,node_a,node_b,dist,audi
0,0.0,10875.0,0.0,2.0
1,1.0,6867.0,0.0,2.0
2,3.0,17884.0,0.0,2.0
3,4.0,30467.0,0.0,2.0
4,5.0,34264.0,0.0,2.0
5,6.0,5337.0,0.0,2.0
6,803.0,13170.0,0.0,2.0
7,355.0,3280.0,0.0,2.0
8,15429.0,37370.0,0.0,3.0
9,4491.0,15204.0,0.0,2.0
10,6046.0,8956.0,0.0,2.0
11,433.0,20128.0,0.0,2.0
12,21625.0,23090.0,0.0,2.0
13,1394.0,19496.0,0.0,2.0
14,591.0,34518.0,0.0,2.0
15,6078.0,8328.0,0.0,2.0
16,7218.0,11052.0,0.0,2.0
17,8.0,28078.0,0.0,2.0
18,181.0,13002.0,0.0,2.0
19,1621.0,11918.0,0.0,2.0
20,2275.0,29746.0,0.0,2.0
21,3438.0,4917.0,0.0,2.0
22,30913.0,37384.0,0.0,3.0
23,5578.0,10558.0,0.0,2.0
24,5916.0,7562.0,0.0,2.0
25,10.0,12841.0,0.0,2.0
26,11.0,31401.0,0.0,2.0
27,13.0,22627.0,0.0,2.0
28,14.0,9510.0,0.0,2.0
29,16.0,35077.0,0.0,2.0
30,17.0,15856.0,0.0,2.0
31,841.0,24473.0,0.0,2.0
32,16898.0,23235.0,0.0,2.0
33,22593.0,33652.0,0.0,2.0
34,262.0,6909.0,0.0,2.0
35,2746.0,19560.0,0.0,2.0
36,2939.0,3300.0,0.0,2.0
37,10496.0,37399.0,0.0,3.0
38,437.0,22848.0,0.0,2.0
39,6087.0,16334.0,0.0,2.0
40,320.0,13336.0,0.0,2.0
41,389.0,8049.0,0.0,2.0
42,10279.0,26269.0,0.0,2.0
43,2254.0,9796.0,0.0,2.0
44,9343.0,17764.0,0.0,2.0
45,26288.0,37406.0,0.0,3.0
46,10588.0,17463.0,0.0,2.0
47,11950.0,32645.0,0.0,2.0
48,12668.0,21068.0,0.0,2.0
49,15438.0,22885.0,0.0,2.0
50,20484.0,37409.0,0.0,3.0
51,19.0,3602.0,0.0,2.0
52,20.0,6479.0,0.0,2.0
53,21.0,5757.0,0.0,2.0
54,22.0,13330.0,0.0,2.0
55,98.0,7823.0,0.0,2.0
56,132.0,4876.0,0.0,2.0
57,391.0,479.0,0.0,2.0
58,4026.0,37420.0,0.0,3.0
59,1366.0,3358.0,0.0,2.0
60,1651.0,3057.0,0.0,2.0
