,node_a,node_b,dist,audi
0,0.0,2266.0,0.0,2.0
1,37.0,2095.0,0.0,2.0
2,281.0,452.0,0.0,2.0
3,302.0,3108.0,0.0,2.0
4,10246.0,37591.0,0.0,3.0
5,602.0,3071.0,0.0,2.0
6,881.0,3809.0,0.0,2.0
7,911.0,1446.0,0.0,2.0
8,1072.0,14982.0,0.0,2.0
9,1346.0,7231.0,0.0,2.0
10,2960.0,37596.0,0.0,3.0
11,2987.0,37590.0,0.0,3.0
12,2548.0,4589.0,0.0,2.0
13,2883.0,13664.0,0.0,2.0
14,4635.0,37599.0,0.0,4.0
15,3456.0,37600.0,0.0,4.0
16,5267.0,37594.0,0.0,3.0
17,5513.0,37592.0,0.0,3.0
18,5998.0,37604.0,0.0,5.0
19,3736.0,17651.0,0.0,2.0
20,6060.0,37595.0,0.0,3.0
21,5067.0,37601.0,0.0,3.0
22,8666.0,37603.0,0.0,5.0
23,4956.0,7646.0,0.0,2.0
24,5158.0,37610.0,0.0,4.0
25,6560.0,37613.0,0.0,5.0
26,7285.0,37605.0,0.0,4.0
27,5587.0,37606.0,0.0,4.0
28,9675.0,37616.0,0.0,5.0
29,7573.0,37607.0,0.0,6.0
30,8377.0,37609.0,0.0,4.0
31,536.0,4103.0,0.0,2.0
32,1907.0,4383.0,0.0,2.0
33,2429.0,11309.0,0.0,2.0
34,4126.0,37620.0,0.0,3.0
35,10067.0,37623.0,0.0,4.0
36,4590.0,37621.0,0.0,3.0
37,5.0,13196.0,0.0,2.0
38,6.0,21027.0,0.0,2.0
39,26872.0,27749.0,0.0,2.0
40,5176.0,10262.0,0.0,2.0
41,10615.0,27365.0,0.0,2.0
42,2215.0,25278.0,0.0,2.0
43,6287.0,14527.0,0.0,2.0
44,15401.0,37632.0,0.0,3.0
45,14830.0,16108.0,0.0,2.0
46,16011.0,37633.0,0.0,4.0
47,654.0,18467.0,0.0,2.0
48,9975.0,12817.0,0.0,2.0
49,10190.0,35548.0,0.0,2.0
50,18715.0,23338.0,0.0,2.0
51,2436.0,17293.0,0.0,2.0
52,21483.0,26579.0,0.0,2.0
53,27810.0,37630.0,0.0,3.0
54,25865.0,25954.0,0.0,2.0
55,9265.0,21279.0,0.0,2.0
56,1399.0,31947.0,0.0,2.0
57,11094.0,25047.0,0.0,2.0
58,11893.0,16274.0,0.0,2.0
59,5193.0,25256.0,0.0,2.0
60,23698.0,24581.0,0.0,2.0
61,28413.0,30697.0,0.0,2.0
62,6398.0,35665.0,0.0,2.0
63,8621.0,9330.0,0.0,2.0
64,18644.0,31244.0,0.0,2.0
65,9224.0,17587.0,0.0,2.0
66,5179.0,33828.0,0.0,2.0
67,22988.0,23187.0,0.0,2.0
68,11284.0,33558.0,0.0,2.0
69,14293.0,24136.0,0.0,2.0
70,14517.0,28173.0,0.0,2.0
71,2622.0,30247.0,0.0,2.0
72,4945.0,21065.0,0.0,2.0
73,29752.0,37647.0,0.0,3.0
