,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
153785,62,12,0,20,62,5,0,52200,32,True,0,1,0,0
107370,42,12,1,20,42,6,0,12100,32,True,0,1,0,0
115157,0,12,1,20,22,5,1,6120,30,True,0,1,0,0
114959,0,12,1,22,11,6,0,42200,34,True,0,1,0,1
155323,0,12,0,20,62,5,1,6120,30,True,1,1,0,0
140247,62,12,0,21,62,5,0,4220,30,True,0,1,1,0
150896,0,12,0,20,51,6,0,5210,30,True,0,1,1,0
112126,61,12,1,22,51,4,1,6110,33,True,1,0,0,1
155997,0,12,1,20,61,5,1,5220,30,True,0,1,0,0
157918,0,12,0,22,51,5,0,51200,33,True,1,1,1,0
126022,61,12,1,20,61,5,0,42200,32,True,0,1,0,0
138268,0,12,1,20,62,6,1,61200,30,True,1,1,0,0
143246,61,12,0,20,61,5,1,51100,32,True,0,1,0,0
129890,62,12,1,21,62,6,0,6120,30,True,0,1,0,0
150469,0,12,0,21,62,6,1,6210,30,True,0,1,0,2
130883,0,12,1,20,52,6,1,4220,30,True,0,1,1,0
119896,51,12,0,20,51,6,1,52100,32,True,0,1,0,0
107532,72,12,0,21,72,6,0,3110,32,True,0,1,1,0
114746,21,12,1,21,21,5,0,6120,32,True,0,1,0,0
107930,22,12,1,20,22,5,1,1110,32,True,0,1,0,0
158423,51,12,1,20,51,5,1,4220,32,True,0,1,0,0
130475,0,12,1,21,61,5,1,5120,30,True,0,1,1,2
119295,0,12,1,20,61,6,1,52100,30,True,0,1,0,2
106458,0,12,0,20,32,5,1,12200,30,True,0,1,0,0
122628,51,12,0,21,51,6,1,5110,32,True,0,1,1,2
137504,51,12,0,20,51,6,1,5110,32,True,0,1,0,0
106092,0,12,1,20,21,6,0,62100,30,True,0,1,0,1
149023,62,12,1,21,62,6,1,61100,32,True,0,1,0,0
154271,61,12,1,21,61,6,0,4220,32,True,0,1,0,2
145688,61,12,0,20,61,5,0,51200,32,True,0,1,1,0
157009,61,12,0,21,61,5,0,51200,30,True,0,1,0,1
132643,0,12,0,20,52,5,0,42200,30,True,0,1,0,0
125757,61,12,0,20,61,6,0,42200,30,True,0,1,1,1
156103,51,12,1,20,51,6,1,6210,32,True,0,1,0,0
107739,31,12,0,21,31,6,0,7310,30,True,0,1,1,0
118457,12,12,0,21,12,3,0,3210,30,True,0,1,0,2
107836,0,12,1,21,71,6,1,2220,30,True,0,1,0,0
156277,62,12,1,20,62,6,0,42200,30,True,0,1,0,0
155846,51,12,1,20,51,6,1,6120,32,True,0,1,0,0
131026,0,12,1,20,51,6,0,52200,30,True,0,1,0,0
132798,51,12,0,21,51,6,1,4220,30,True,0,1,0,0
137277,51,12,1,20,51,6,0,51100,32,True,0,1,0,2
152671,62,12,1,21,62,6,0,5210,32,True,0,1,1,0
112521,62,12,0,21,62,8,1,5220,32,True,0,1,0,2
112501,62,12,0,20,62,8,0,51100,32,True,0,1,0,0
131626,0,12,0,22,52,6,0,5120,33,True,1,0,1,0
108662,72,12,1,22,12,1,0,52100,33,True,1,0,0,0
156368,52,12,0,21,52,6,1,6110,32,True,0,1,0,0
144314,0,12,0,21,62,5,0,51200,30,True,0,1,1,0
142485,0,12,1,21,51,6,1,5210,30,True,0,1,0,0
123694,0,12,0,21,51,6,1,6120,30,True,0,1,0,2
136210,51,12,1,20,51,5,0,61100,32,True,0,1,1,0
117153,51,12,1,21,51,5,0,32200,30,True,0,1,0,0
147668,0,12,1,22,51,6,1,52100,33,True,1,1,1,0
118544,42,12,1,20,42,1,1,7110,30,True,0,1,0,0
136344,61,12,1,20,61,6,0,6110,30,True,0,1,0,1
140916,61,12,0,20,61,5,0,6120,30,True,0,1,0,0
139555,0,12,0,21,52,6,0,42200,30,True,0,1,0,0
143536,52,12,1,21,52,6,0,52100,32,True,0,1,0,0
137735,0,12,1,20,61,5,1,5120,30,True,0,1,0,0
152015,0,12,1,21,51,6,0,61200,30,True,0,1,0,0
133985,52,12,1,20,52,5,0,5120,30,True,0,1,1,2
137988,0,12,0,20,51,6,0,4220,30,True,0,1,0,2
126798,52,12,1,21,52,5,0,42200,30,True,0,1,1,0
123920,51,12,0,22,62,6,1,61200,33,True,1,0,1,0
129085,51,12,1,21,51,6,1,61200,32,True,0,1,0,2
141795,0,12,1,20,62,6,1,6110,30,True,0,1,0,2
147927,52,12,1,21,52,5,0,6110,30,True,0,1,0,0
153739,0,12,1,20,61,5,0,52200,30,True,0,1,0,0
154452,52,12,1,20,52,5,0,6210,32,True,0,1,0,0
142047,0,12,1,21,61,5,0,6210,30,True,0,1,0,0
138952,61,12,1,22,61,5,0,4220,33,True,1,1,1,2
153679,62,12,0,20,62,5,0,51100,30,True,1,1,0,0
149452,0,12,1,21,51,5,1,5120,30,True,0,1,0,1
132966,52,12,1,20,52,6,1,52100,32,True,0,1,0,0
157061,62,12,0,22,52,6,1,51200,33,True,1,0,0,0
110098,0,12,0,21,52,1,0,71100,30,True,0,1,0,0
153622,62,12,0,20,62,6,0,5210,30,True,0,1,0,0
107623,41,12,0,20,41,5,0,72100,30,True,1,1,0,0
110415,0,12,0,20,51,4,0,1210,30,True,0,1,0,2
121671,51,12,1,21,51,6,0,61200,30,True,0,1,0,2
117896,62,12,0,20,62,6,1,1210,30,True,0,1,0,0
118590,0,12,1,21,71,1,0,31100,30,True,0,1,0,0
127401,0,12,0,21,61,5,0,6210,30,True,0,1,1,0
142609,0,12,0,20,51,6,1,5220,30,True,0,1,0,0
136504,0,12,1,20,62,6,1,51200,30,True,0,1,1,0
148525,51,12,1,20,51,5,0,61100,32,True,0,1,0,0
158029,61,12,1,21,61,6,0,42200,32,True,0,1,0,0
112316,52,12,0,21,52,4,0,61200,32,True,0,1,0,0
128542,61,12,1,20,61,5,1,52200,30,True,1,1,0,2
158550,51,12,1,21,51,5,1,52200,32,True,0,1,1,0
118401,21,12,1,20,21,7,1,41200,30,True,1,1,0,2
149904,52,12,0,20,52,6,1,5120,30,True,0,1,1,0
154552,52,12,1,21,52,5,1,5210,30,True,0,1,0,0
144861,0,12,0,21,61,6,0,51100,30,True,0,1,0,0
149955,52,12,0,21,52,5,0,52100,30,True,0,1,0,0
135919,62,12,1,21,62,5,1,6110,32,True,0,1,0,0
129859,51,12,0,21,51,5,1,61200,30,True,1,1,0,0
111368,51,12,1,20,51,2,1,3210,32,True,0,1,0,0
124274,0,12,1,20,61,6,0,5220,30,True,0,1,0,0
144510,61,12,0,20,61,5,1,42200,30,True,0,1,0,2
156704,52,12,0,20,52,5,1,51100,30,True,0,1,1,0
139432,0,12,1,20,61,5,1,5220,30,True,0,1,1,0
122395,61,12,0,21,61,5,0,6120,32,True,0,1,0,1
139857,61,12,1,22,61,5,0,51100,34,True,0,1,1,1
108710,0,12,0,20,42,3,1,5120,30,True,0,1,0,0
125049,61,12,0,20,61,6,0,52200,32,True,0,1,1,0
158798,0,12,0,21,61,5,0,61200,30,True,0,1,0,0
148003,0,12,1,21,61,6,0,6110,30,True,0,1,0,2
131931,51,12,1,20,51,6,0,42200,32,True,0,1,0,0
113710,51,12,0,21,51,7,1,61100,30,True,0,1,0,2
148902,62,12,1,20,62,5,0,5220,32,True,0,1,0,0
139742,62,12,0,21,62,6,1,61200,30,True,0,1,1,0
151047,51,12,0,21,51,5,1,51100,30,True,0,1,0,0
117971,61,12,0,20,61,6,0,7210,32,True,0,1,0,0
108892,74,12,1,20,74,8,0,42200,30,True,0,1,0,2
158761,0,12,0,21,61,5,1,61200,30,True,0,1,0,0
110010,0,12,0,21,52,3,0,7310,30,True,0,1,0,0
133226,62,12,1,21,62,5,1,51100,32,True,0,1,1,0
129840,51,12,1,21,51,6,0,52200,30,True,0,1,0,2
141973,0,12,1,21,62,5,1,52100,30,True,0,1,1,0
158566,0,12,1,22,52,6,1,4220,30,True,0,1,0,1
119968,0,12,0,21,61,5,0,4220,30,True,0,1,0,0
117374,62,12,0,21,62,6,1,72200,30,True,0,1,1,0
121721,0,12,1,22,61,5,1,61200,33,True,1,1,1,0
