,user_id,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
222481,33052d45-a54f-4661-90c2-e69054d45ccd,73,13,0,22,71,7,1,62100,30,False,0,0,0,0
214420,6c126a55-7ffc-423d-b9df-b04c7000e9c9,0,10,0,20,12,1,1,2120,36,False,0,0,1,0
221762,c40c0985-ed81-4295-bdcc-15582642bd13,72,13,0,20,73,8,1,1120,30,False,0,0,0,0
221364,c35726a3-50e0-442b-8737-c5abf26e9024,61,13,0,21,32,8,0,62100,36,False,0,0,0,0
221621,1cd66f5b-c081-4fbe-899b-2be7b1ad725c,0,13,0,22,71,8,1,21100,30,False,0,0,0,2
222106,5c3311d3-6efc-44e6-9d27-75ee100889da,0,13,1,22,71,3,1,7320,36,False,0,0,1,0
221680,f75da6f9-c2c9-4709-8f82-c2eb0c0402f1,0,13,1,20,73,8,1,2220,34,False,1,0,1,0
213337,23e51f8e-ebd5-4b74-8107-a52643cac801,0,10,0,22,22,1,0,3120,36,False,0,0,0,0
214609,3af0e05e-ea23-4a8a-84a8-e0fdb1b85e0e,22,10,0,20,11,1,0,21200,32,False,0,0,0,0
216396,5fdabdbb-f505-48fb-aea8-a3f01840f26f,0,11,0,20,31,4,0,1110,33,False,0,0,0,2
217247,779c4dfa-4554-43be-80b2-87542bf088b1,0,11,1,22,32,3,1,42100,30,False,0,1,0,0
215908,a32e9216-bf1c-44cb-b319-2194f09663ca,73,11,1,21,51,5,1,41200,30,False,0,0,0,2
212352,6935f9a9-13c2-4788-9bda-8ff08971b360,74,10,1,20,61,5,1,1210,32,False,0,0,0,2
219434,53404306-771c-461f-be27-f8dfd62f511d,12,12,1,20,42,6,0,4110,33,False,0,0,1,1
213446,e54b3769-b3c2-4432-9b49-8a7d3172bc4d,0,10,1,22,21,1,1,71100,36,False,0,0,1,0
215287,30d1e68a-c9ce-466d-908b-1cb149dc9376,0,11,1,21,32,5,0,71100,34,False,0,1,0,0
212879,3578ca7b-0f3c-4e69-b70b-83127ad2c81b,62,10,0,21,51,3,0,5210,34,False,0,0,0,0
214755,adb8edc2-3185-4864-af50-bc6dda2584c1,71,11,1,22,71,7,0,42200,33,False,0,1,0,0
220531,0d726a3c-ed55-41ec-90c2-4558c1a5640d,0,13,1,20,72,4,1,4210,31,False,0,0,0,0
215876,a352d294-7d27-4f8a-bb1c-0354a35d0fd8,11,11,0,22,62,1,0,41200,33,False,0,0,0,0
221118,3f2d0227-c8c5-4098-9e1d-17daca806a0c,31,13,1,20,61,3,1,2110,32,False,0,0,0,0
212327,bfafd334-065f-44d1-846f-3e412aabed41,0,10,0,20,72,3,0,11200,32,False,0,0,0,0
218488,d4db44aa-3b14-4ae6-9db6-f6461c3247b3,0,12,1,22,51,3,0,7120,33,False,0,0,0,0
214937,d59d48d5-d40b-4377-bd9f-5fe643ade20b,0,11,1,20,22,2,0,6120,32,False,0,0,0,0
217010,91ce206e-ff11-453a-ba70-b093d7aaa57a,31,11,0,21,31,4,0,3110,34,False,0,1,1,0
218576,66d21a7d-05e6-4c70-9fc9-b066d88e2f65,32,12,0,20,72,8,1,6120,36,False,0,0,0,0
218710,657f8cd8-aa40-455e-80af-2a31f9cd1c51,0,12,1,21,31,4,1,51100,34,False,0,0,0,0
213336,a56ba0f8-674d-4954-b8ed-244de05b841d,21,10,1,20,12,2,1,72100,33,False,0,0,0,0
219904,7ddb9059-02f4-48ba-8fdd-a9c2f5b5e51d,0,12,0,22,62,5,1,51200,33,False,0,0,0,0
222233,2e29f039-0a4e-4eec-8256-5c300a62fd08,0,13,0,21,72,8,0,7220,36,False,0,1,1,0
215097,c2f217b7-62f0-40f8-aae3-5bd51b07a4a7,0,11,0,22,51,3,1,72200,36,False,0,0,0,2
220717,58f9b45e-7ced-4cbe-afd8-a16d997d7054,0,13,0,21,11,8,0,3120,32,False,0,0,0,0
212207,79c97c3e-a72b-49fc-8e95-15715caa2f90,21,10,0,20,12,7,1,73200,34,False,0,0,0,0
215644,0a6f1066-7470-48cc-aeff-d645d70fc1da,51,11,1,20,61,8,0,41100,33,False,0,0,0,2
212915,504e7f01-8878-4ae5-86a3-8bf48cf2e6a8,73,10,0,21,61,4,1,42100,35,False,0,0,0,2
220904,5f1897a6-66b5-4bae-a9cc-06a39f3da945,31,13,1,20,11,5,1,5120,36,False,0,0,0,0
220346,a3fb7e48-7d2d-4eaf-a1fe-c17d0ebb232a,0,13,0,21,71,1,0,61100,33,False,0,0,0,2
214558,9e9579ea-1342-4515-a4a2-f21c5cbcbc0e,12,10,1,20,22,1,1,21200,36,False,0,0,0,0
218255,da28f598-4ed7-4bf4-9288-876518483090,62,12,0,21,52,7,0,4210,31,False,0,0,0,0
220089,58263ad3-1b4e-4bde-b4cd-ddc55849f447,41,13,1,20,11,5,0,62100,36,False,0,0,0,1
218617,72aff790-df39-4618-9f96-31e9da27ac3a,22,12,1,21,74,8,1,51200,36,False,0,0,0,2
219863,3d662938-ffb2-4940-97c0-048998318a99,51,12,0,21,61,6,1,5210,33,False,0,0,0,0
215083,5c7b6a93-4ca1-47da-86a2-2d49c0d55fe4,72,11,1,20,21,3,0,12200,35,False,0,0,0,0
217901,36eb9d3e-893a-4df2-bc78-424a96537851,32,12,1,22,74,5,1,5120,30,False,0,0,1,2
217341,e2ad8b90-18aa-4c37-b7c5-fd5d6a8432a8,61,12,0,20,62,5,0,7320,31,False,0,0,1,0
222128,26a00dbe-9496-4f1f-9c80-8dc3b85b42ee,72,13,1,21,72,2,0,7320,36,False,0,1,1,0
221278,a18e53b3-cd2d-44f8-a8f2-adc0371ad1ce,0,13,0,20,51,8,1,6220,36,False,0,0,0,2
220635,2c5dd05f-9aff-4ef4-93ba-09071b54b1d5,51,13,0,21,61,8,0,3120,30,False,0,0,1,0
212252,9c24cb0b-bac9-4b80-9230-e0d1ed0aa378,11,10,0,20,12,4,0,71100,32,False,0,0,0,0
213245,e2259ead-6234-4472-a86e-eed383e7f777,0,10,1,20,31,1,1,32100,32,False,0,0,0,0
212442,ae962fd4-2b37-4acd-857e-0344f3f25fed,31,10,0,22,51,7,1,2220,30,False,1,0,0,0
213785,3b13872d-99e6-4493-9998-6710a6bc044a,41,10,1,21,74,2,1,2220,30,False,0,0,1,0
214874,f953db92-d3ee-4b91-8afb-c920ac5fdd9d,0,11,0,20,22,5,1,73100,31,False,0,0,0,0
217874,760a5298-be11-4305-ad81-73b9139ae63c,72,12,0,20,72,5,1,6120,31,False,1,1,0,2
218561,15148b67-5926-4dec-b32d-79dd5e2dd104,0,12,0,20,71,1,1,61100,32,False,0,0,0,0
216613,305399ca-f1b4-4309-855f-d25fcb9b93d9,71,11,0,20,12,3,0,41100,34,False,0,0,0,0
212127,06565d7b-bf9f-42a7-b6aa-8b727e52c3e6,12,10,1,21,11,8,1,32100,36,False,0,0,0,0
216723,c6871da4-b39a-4731-9833-8e885707356f,52,11,0,22,74,3,0,3120,33,False,0,0,0,2
213454,ddfa9039-0e26-467c-98c5-7ee285d93138,11,10,0,20,12,2,0,3220,35,False,0,0,1,0
216726,0966adc5-9d83-4e58-9f2d-b7c950012f79,0,11,1,20,72,4,0,41200,34,False,0,1,0,0
221096,c178c669-9626-44c0-ac0c-17317b0dfb9b,0,13,1,20,51,3,1,6210,35,False,0,0,0,0
212721,24aa7cd3-c4a9-4435-af88-e26157b9ca9a,0,10,0,20,72,5,1,72100,32,False,0,0,0,0
220752,ff629955-62cd-4149-90fa-11c5a70f9a7b,0,13,1,21,51,8,0,5120,30,False,0,0,0,0
212988,6233b14c-77f3-4622-826c-29968bc59cd9,52,10,1,20,51,1,1,32100,35,False,0,0,0,0
219847,9ae49af6-94bc-4372-a7b2-a0975029e375,52,12,1,21,52,5,0,6210,31,False,0,1,0,0
215142,f1ededec-93cb-41a2-8820-1626cc5a4233,0,11,1,22,22,4,1,51100,33,False,0,0,1,2
220231,c9a9349d-b150-438c-b26e-6b3981502c08,0,13,0,22,12,3,0,6220,33,False,0,0,0,0
217206,2b176b7d-c6f8-4d43-a116-2153a28fdc8a,0,11,1,20,31,4,1,22200,30,False,0,0,1,2
216305,14a47f93-4665-47d8-8764-e97fd437c106,41,11,1,20,31,3,0,71200,32,False,0,0,0,0
215961,1ab0c549-f2b7-4198-9f2e-727f2e16ac8f,31,11,0,20,31,2,1,3110,34,False,0,1,0,0
221492,9a045180-fdd2-42a2-9f0a-997b69dce14f,0,13,1,20,11,8,0,7320,30,False,0,0,0,0
220715,4e83cd0e-f5a0-4858-a410-edf607f6021e,0,13,1,21,21,8,1,6210,33,False,0,0,0,0
214112,278bcb42-113f-44c2-ab1c-e4d7c5474d18,0,10,0,22,22,3,1,1120,33,False,0,0,0,2
217413,41187919-9619-4613-8219-3ac28ba8a0a8,52,12,0,21,62,6,1,7220,31,False,0,0,1,0
214561,d5cf3181-d4ec-4946-b4b1-cdeb3d35c9e5,0,10,1,21,11,1,1,12100,34,False,0,0,0,0
218462,876176c4-60f4-44f7-9ee3-b3613e627221,0,12,0,22,51,7,0,12100,32,False,0,0,0,0
220867,0f887799-236b-43f0-a8cd-8a89a8debac2,22,13,0,21,51,7,0,1220,36,False,0,0,0,0
222038,033d7ecc-f3a3-4265-8b20-1a90eaee43f5,72,13,1,21,72,1,1,7220,36,False,0,1,1,0
218785,5d5e3e44-46ac-4518-a1df-6fbb80ae7cf6,12,12,1,22,22,1,1,61100,35,False,0,0,0,2
218725,ebe2a8d3-09ed-4b90-b7cc-1f3901c21542,0,12,0,20,74,3,0,6210,31,False,0,0,0,0
215417,3d565ce8-b599-493a-a1d9-528c8c0be0d9,32,11,0,20,32,6,1,11200,35,False,0,1,0,0
219017,b9216ebc-7ea0-4bc9-9ed5-91b680a2892d,0,12,0,20,73,1,1,32200,32,False,0,0,0,0
220190,d71b1ce6-41bd-4a81-8538-62955026d6ab,0,13,0,21,41,4,0,73200,35,False,0,0,1,0
215719,3066fac6-4a46-49f4-adfa-91755cb6ada6,51,11,1,22,21,1,0,3210,34,False,0,0,0,1
