user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
ed790854-9776-4e49-b9d7-06fd21a7c322,proj51,proj51,accountant,1,proj72task2propa,dept8,True,budget,proj51,dept1,2,False,proj11task2a,write,True
16facbf5-35fc-42b9-a69e-24c071437607,proj11,proj11,accountant,,proj71task1propa,dept6,True,budget,proj11,dept6,,True,proj21task1propa,read,True
ce965e2a-7c87-4c7b-a625-b3e8026fa65f,proj62,proj62,accountant,1,proj61task1a,dept7,True,schedule,proj62,dept6,,False,proj72task1propa,write,True
c2acc647-be36-4009-9a6e-410366badccf,proj71,,accountant,,proj51task2a,,False,task,proj21,dept6,,False,proj51task2a,setStatus,True
e3751382-2589-4bb8-857f-a83507ddd969,proj52,,accountant,2,proj11task2a,dept7,False,task,proj52,dept1,,False,proj62task1a,setCost,True
e11a5602-60e0-4815-850f-d60eba8f7a6d,proj52,,accountant,2,proj51task1propa,dept6,False,budget,proj52,dept5,,False,proj21task1a,read,True
a6bab467-56cf-47df-9e03-130aa40366ce,proj52,proj52,accountant,,proj51task1a,dept7,True,budget,proj52,dept8,,False,proj72task2a,write,True
13a22d82-66b0-4d83-b130-4d30bdbfe5c8,proj51,proj51,accountant,2,proj73task2propa,dept2,False,budget,proj51,dept2,,True,proj71task2propa,read,True
85027176-ccdc-450e-8ed9-de2e42ed8752,proj21,,accountant,1,proj12task2a,,False,task,proj21,dept2,1,True,proj61task1a,setCost,True
72fe3833-db32-4bc5-9cc0-e83cec33d992,proj62,proj62,accountant,1,proj62task2a,dept1,False,task,proj62,dept2,2,False,proj72task1a,read,True
209444ea-f6e5-4540-8f58-4058bb085cf6,proj12,proj12,accountant,,proj22task1propa,dept1,True,budget,proj12,dept1,2,True,proj61task1propa,write,True
24646065-1414-48fe-b3f6-830a2299fe3f,proj51,proj51,accountant,2,proj42task2propa,dept2,True,schedule,proj51,dept1,,True,proj71task2propa,write,True
91c0751c-5227-4a00-9afe-4a241d44ec20,proj74,proj74,accountant,,proj72task2propa,,False,task,proj74,dept5,2,False,proj61task1a,setCost,True
74650e52-4ec1-4306-9701-c33b72dc5b74,proj21,proj21,accountant,2,proj12task1a,dept8,True,schedule,proj21,dept8,,True,proj52task2a,write,True
fb643565-aae1-40a8-82fb-98ed320d63f7,proj22,proj22,accountant,,proj11task1propa,dept1,True,schedule,proj22,dept6,2,True,proj52task1propa,write,True
