user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
f6d7cf44-aa68-4ecb-b88d-985a1480344c,proj41,,auditor,1,proj11task2a,dept3,False,budget,proj41,dept4,2,True,proj11task1propa,read,True
9dd9eab8-451e-4e47-a492-d8df7d0697f0,proj42,proj42,auditor,,proj22task1propa,,False,budget,proj42,dept3,1,False,proj11task2propa,read,True
c15544b5-52fc-4ce7-b799-9e1c876084c1,proj74,proj74,auditor,,proj12task1a,dept2,False,budget,proj74,dept3,,False,proj71task2propa,write,True
fddfa5ff-17ee-4a3a-a0c6-efaba9dd19a8,proj11,proj11,auditor,,proj12task2propa,dept4,True,budget,proj11,dept1,1,False,proj73task2a,write,True
7b5a2b5d-877f-4034-976b-511020b1a0ce,proj11,proj11,auditor,1,proj73task1a,dept8,False,schedule,proj11,dept7,1,True,proj11task2a,write,True
20f0ae2f-bd99-4c59-b3f5-9abb9d64ae88,proj73,,auditor,,proj12task2a,dept1,False,schedule,proj73,dept2,1,True,proj12task1propa,read,True
6996ccff-00ba-491b-a5b7-a803d7545e51,proj11,proj11,auditor,1,proj12task1a,dept3,True,schedule,proj11,dept8,,False,proj31task2propa,write,True
482b8e6f-5197-45e1-b10f-c1cb3ae592b0,proj32,proj32,auditor,,proj32task2propa,dept8,True,schedule,proj32,dept8,,False,proj71task1a,write,True
f76d37da-7e40-4c34-96c0-e1ab9482bfe9,proj31,proj31,auditor,1,proj12task1a,,False,budget,proj31,dept3,1,True,proj71task1a,write,True
ec6bafd5-7b9b-4290-882c-1bd1fdce25a6,proj73,proj73,auditor,1,proj32task2propa,dept7,True,budget,proj73,dept2,1,True,proj71task1propa,write,True
2c300848-20af-49de-8ed2-f0cb9e10dcca,proj73,proj73,auditor,2,proj42task1propa,,True,schedule,proj73,dept4,2,False,proj72task2propa,read,True
da1883dc-3ded-40c6-a163-b52364474725,proj72,proj72,auditor,,proj41task1a,,False,schedule,proj72,dept1,2,False,proj21task1a,write,True
7f096b1b-55bf-4aa9-ac27-4261d8e1d0a0,proj12,,auditor,,proj72task2a,,True,schedule,proj12,dept4,2,False,proj31task2a,read,True
df78722a-01ac-4d9f-94b0-1d18de92ea93,proj11,,auditor,2,proj11task1propa,dept4,True,budget,proj11,dept3,,False,proj12task2a,read,True
c29ce365-030e-4919-89f6-4687c3618919,proj71,proj71,auditor,2,proj62task1propa,dept3,False,budget,proj71,dept3,,False,proj31task2propa,write,True
627c9abb-a1f5-47c7-a603-c53e0df71d97,proj74,,auditor,1,proj11task2a,,False,schedule,proj74,dept4,,False,proj11task2propa,read,True
af33fa99-7a43-4ce5-a0a4-40079e633e3c,proj72,proj72,auditor,,proj32task1a,,True,budget,proj72,dept7,,True,proj42task1a,read,True
9650151e-38eb-49bc-b385-0534195db496,proj74,proj74,auditor,1,proj62task2propa,,True,task,proj74,dept4,2,False,proj12task1propa,read,True
fba4be21-e09c-4703-8f57-62293ddda341,proj31,proj31,auditor,,proj21task1a,dept1,True,budget,proj31,dept8,,True,proj32task1a,read,True
9e280b5d-779d-4260-9b5c-d80bae3f34e2,proj41,proj41,auditor,1,proj22task2a,dept2,True,schedule,proj41,dept4,,False,proj21task2propa,write,True
54f59540-e985-432c-9506-15a3f2f49a1f,proj31,proj31,auditor,,proj22task2a,,False,schedule,proj31,dept4,2,True,proj42task1propa,read,True
500e6e54-e115-43d8-8514-0d86ed38a359,proj31,proj31,auditor,2,proj62task2propa,dept7,False,schedule,proj31,dept7,,False,proj11task1propa,write,True
479d4fb7-2c4e-4015-9d6d-733b63299518,proj11,proj11,auditor,,proj71task2propa,,False,budget,proj11,dept8,1,True,proj73task2a,write,True
4cc8951c-ff82-4761-a534-7180bbda6d92,proj71,proj71,auditor,1,proj32task2a,,True,schedule,proj71,dept3,,False,proj72task1propa,read,True
320d56c7-5e73-4fc1-9373-f463cbe99752,proj11,proj11,auditor,,proj41task1propa,,False,budget,proj11,dept8,1,False,proj32task1a,write,True
