user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
982a3eb7-d7e4-44c4-b6ba-b183b77d2d29,proj21,,planner,1,proj31task1a,dept5,True,task,proj21,dept3,,False,proj41task1a,setSchedule,True
e76c0cf0-461e-47cf-826d-caa456083c5e,proj62,,planner,1,proj31task2propa,dept4,False,schedule,proj62,dept4,,False,proj51task2a,read,True
acc68f26-0894-4b37-89c1-96e2e49460b2,proj51,,planner,2,proj12task1propa,dept3,False,schedule,proj51,dept3,1,True,proj32task1a,write,True
eae7b881-d2dc-4057-9171-6bab30c26b90,proj41,,planner,1,proj51task2propa,dept3,False,schedule,proj41,dept3,2,True,proj32task1propa,read,True
fe2a2495-01bc-4b09-b284-6511e8f26bdb,proj52,proj52,planner,,proj61task1a,dept3,False,task,proj52,dept4,2,True,proj21task2a,setSchedule,True
0590828c-4c3e-4f5e-9a2c-fc8bda1c745e,proj12,proj12,planner,,proj42task1a,dept1,True,schedule,proj12,dept5,1,False,proj61task2propa,read,True
d54811a1-f531-4035-8024-493ff1a66597,proj52,,planner,,proj11task1a,dept1,True,schedule,proj52,dept2,2,True,proj52task2propa,write,True
5a54cd69-df28-457c-bcc4-5ede963d29ed,proj31,,planner,,proj51task1propa,dept2,True,schedule,proj31,dept2,,True,proj22task2a,write,True
576d0f96-596c-495c-a7d1-8b93daf13d35,proj52,,planner,,proj22task2a,,False,task,proj32,dept3,2,True,proj22task2a,setStatus,True
42f6970e-67be-488e-8bed-86959051bfe7,proj11,proj11,planner,1,proj22task1a,dept5,True,schedule,proj11,dept2,,True,proj12task2a,read,True
5af150c0-b4da-48f5-a78a-1b38fb6301cd,proj52,,planner,,proj41task1propa,,False,schedule,proj52,dept4,,False,proj42task2propa,write,True
8daea90a-16ff-4fa7-a8a2-92a33839b899,proj42,,planner,2,proj62task1a,,True,schedule,proj42,dept4,1,True,proj31task1propa,write,True
