user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
94c31706-8869-401e-96de-1c40574793e6,proj11,,accountant,,proj32task2propa,dept3,True,budget,proj11,dept3,1,False,proj42task1propa,write,True
86713269-2d91-4e49-8672-7861b19fa6d4,proj71,proj71,accountant,,proj32task1a,,False,schedule,proj71,dept3,,True,proj41task2a,read,True
55ab88ca-b1d0-4a1c-93d9-554f9c7442ed,proj52,proj52,accountant,,proj41task2propa,dept4,True,task,proj52,dept4,,True,proj41task2propa,setCost,True
cb50d3e0-6d59-45ae-80b8-6607f2bb15dc,proj21,,accountant,,proj41task2propa,dept4,True,budget,proj21,dept3,2,True,proj41task1a,write,True
084e6837-c69c-43a8-b8ec-039e9e4b9060,proj72,proj72,accountant,1,proj42task1a,,False,task,proj72,dept4,2,False,proj32task1propa,setCost,True
81f4deea-2e92-41d4-adc2-7e0abd1a958e,proj61,,accountant,,proj42task1propa,dept3,False,budget,proj61,dept4,1,False,proj42task1a,write,True
20ff1241-9a4d-45dd-ab4e-7713fb91f146,proj71,,accountant,,proj41task2propa,,True,budget,proj71,dept3,1,True,proj31task1a,write,True
551eccb1-a0b0-4ac0-be3f-71d5c7e997f0,proj21,proj21,accountant,,proj32task2a,,True,schedule,proj21,dept4,,True,proj41task1propa,write,True
7d2fe689-21f9-4d72-8ccb-c889df9b2270,proj51,,accountant,,proj31task2a,dept3,True,budget,proj51,dept3,,True,proj41task1propa,read,True
fe556fd1-28b8-4cd6-9078-2691cee9a430,proj52,proj52,accountant,2,proj41task2propa,,True,schedule,proj52,dept3,1,True,proj42task1a,read,True
e8ec636b-5234-4e90-ab04-79818bb6dfb9,proj11,,accountant,,proj31task1a,dept4,True,budget,proj11,dept4,2,False,proj42task1a,read,True
4da4d19a-fbf8-459f-8f40-bc3d528f9901,proj11,proj11,accountant,,proj41task2propa,,False,schedule,proj11,dept3,,True,proj31task1propa,write,True
649b2816-0c71-4ba4-ab2a-a5ac196059a7,proj61,,accountant,,proj22task2propa,,False,schedule,proj61,dept3,,True,proj31task2a,read,True
ab06b61b-0fd6-40a4-b92e-777c799cb851,proj12,proj12,accountant,,proj31task1a,dept3,True,budget,proj12,dept3,1,True,proj32task2propa,write,True
d5f25b68-02a6-46e4-ac1e-37fc247be6d1,proj12,proj12,accountant,,proj41task1a,dept4,False,schedule,proj12,dept3,,False,proj42task1propa,write,True
fb9254cb-3354-4efb-83c4-5f2a855329eb,proj74,proj74,accountant,1,proj31task1a,,True,task,proj74,dept4,,True,proj41task2propa,setCost,True
f2576266-edee-408b-a11c-62028a3fb055,proj71,proj71,accountant,1,proj32task2a,dept3,False,schedule,proj71,dept4,,True,proj32task1propa,write,True
81cfbfc0-a6db-4ad1-9ef4-f5e28505c173,proj12,,accountant,,proj31task1a,dept4,False,task,proj51,dept4,2,True,proj31task1a,setStatus,True
1c701c43-5247-45d2-baac-9b4bb9121df8,proj52,proj52,accountant,,proj41task2propa,,True,schedule,proj52,dept4,1,True,proj32task2propa,write,True
ecdd1444-859f-4ad1-bb5b-41e666929de0,proj51,,accountant,1,proj31task2a,dept3,True,task,proj51,dept4,2,False,proj31task2a,setCost,True
c7483e0a-2ac2-4431-8d98-7fa540f269a3,proj22,proj22,accountant,,proj41task2a,,True,task,proj22,dept4,1,False,proj31task2a,setCost,True
10c2685c-089b-475a-92bc-ada5877fe0d0,proj11,,accountant,1,proj32task2propa,dept4,False,task,proj11,dept4,,True,proj41task1a,setCost,True
f244b18a-ed91-4fc4-b969-bd43eea145b8,proj11,proj11,accountant,,proj32task2a,dept4,True,task,proj11,dept4,2,True,proj42task1a,setCost,True
a8c2ab7a-c511-42d7-a50c-3057c699d909,proj12,,accountant,1,proj32task2propa,,True,budget,proj12,dept4,1,True,proj32task1propa,read,True
09a5e5cc-da82-43ab-b793-2e925fe1964a,proj62,,accountant,2,proj31task1a,,True,task,proj22,dept4,2,False,proj31task1a,setStatus,True
6662846e-8607-4df0-a0df-358ba5e95ca5,proj12,,accountant,2,proj31task2a,dept4,True,schedule,proj12,dept4,2,False,proj32task1a,read,True
675b23eb-493e-4b63-a8ce-471be3a47c93,proj74,proj74,accountant,,proj41task2propa,,False,task,proj74,dept3,,False,proj32task1a,setCost,True
8a16bbf6-4e73-4f51-858b-0917f7cda19e,proj22,proj22,accountant,1,proj31task1propa,,False,schedule,proj22,dept4,,True,proj32task1a,read,True
c5f6b523-cc1c-4fcb-ac55-270e7291269e,proj22,proj22,accountant,,proj32task1a,dept3,False,schedule,proj22,dept4,,False,proj42task1propa,write,True
3b785603-f65d-4ce7-91bb-53c4eee18c2d,proj73,,accountant,2,proj41task2a,,False,task,proj73,dept4,,False,proj32task1a,setCost,True
9d8e1032-0d49-4469-84a9-3384188113bb,proj62,,accountant,,proj32task1propa,dept3,True,task,proj62,dept4,,False,proj32task1propa,setStatus,True
4f42f4e5-d7f4-4967-8f5d-6ce180484752,proj22,proj22,accountant,1,proj42task1propa,,True,task,proj22,dept3,2,False,proj31task2propa,setCost,True
8091e5a7-93ed-4eb0-bd15-bdbbc9474c2a,proj52,proj52,accountant,2,proj42task1a,dept4,True,task,proj52,dept4,,False,proj32task2propa,setCost,True
42f853bc-2d7f-4893-8f56-ea00d505cc78,proj22,proj22,accountant,2,proj32task1a,dept4,True,schedule,proj22,dept3,1,True,proj31task2a,read,True
7d935056-37f2-411d-90af-bdc14984fe68,proj21,,accountant,2,proj41task1propa,,False,budget,proj21,dept4,2,False,proj41task2propa,write,True
dbb2bd1d-a77a-4955-b090-2db33e1b7891,proj22,,accountant,,proj32task2propa,,False,task,proj12,dept4,,True,proj32task2propa,setStatus,True
9f438ba7-06b2-409b-9492-ce04af524be8,proj72,,accountant,,proj32task2propa,,True,budget,proj72,dept3,1,True,proj32task1propa,write,True
b7adae52-c7c4-47bf-a50b-66551438c909,proj71,proj71,accountant,,proj41task2propa,dept4,False,schedule,proj71,dept3,,True,proj31task1propa,write,True
d4740060-e3fe-4fad-965b-62cc89aea47f,proj51,proj51,accountant,,proj22task2propa,,False,schedule,proj51,dept4,1,True,proj41task1propa,write,True
e1710352-5e38-4c5a-8729-dad7e1f2f192,proj71,,accountant,,proj31task1a,dept3,True,budget,proj71,dept3,2,False,proj32task1a,read,True
9550667f-3393-4099-8580-0fcfd4b1ed9c,proj11,,accountant,,proj31task1propa,,False,schedule,proj11,dept4,1,False,proj32task1a,read,True
efbd7ebc-d989-467f-b3bb-ad99d84a6ee7,proj72,,accountant,,proj32task1propa,,True,budget,proj72,dept3,2,False,proj41task1propa,write,True
93a406ea-1f31-48a3-a8b3-8eb2a2a77bc0,proj11,proj11,accountant,,proj32task1a,,False,task,proj11,dept4,,True,proj32task1a,setStatus,True
3fbfae55-9078-4426-9560-0cf7238f02fe,proj52,proj52,accountant,2,proj31task1a,,True,schedule,proj52,dept3,1,False,proj41task2propa,read,True
91bc525c-669c-4be4-8d3e-b5467bf1593b,proj72,,accountant,,proj42task1a,,False,task,proj72,dept3,1,False,proj42task1a,setStatus,True
03e41e25-0be5-4a52-bc6c-10838443d94a,proj52,proj52,accountant,1,proj41task1a,dept4,True,task,proj22,dept4,2,True,proj41task1a,setStatus,True
6d53b55b-635a-45aa-b7b6-3a979dcb7633,proj51,proj51,accountant,,proj41task2a,dept4,False,task,proj51,dept4,1,True,proj41task1a,setCost,True
97d447e1-5882-49e9-ba65-13fd7f62e15c,proj51,,accountant,,proj32task1a,,True,task,proj51,dept3,2,False,proj41task1propa,setCost,True
934a01b8-ead7-423b-bfd0-f96ca028ec88,proj71,proj71,accountant,2,proj31task1a,dept4,False,budget,proj71,dept4,,True,proj42task1a,read,True
a49f769f-254f-4799-8548-d311b2bdc3d1,proj72,proj72,accountant,,proj41task1propa,,False,schedule,proj72,dept4,1,False,proj22task2propa,write,True
3fd1eaed-23db-4f66-a77e-4baaf75f7def,proj52,proj52,accountant,1,proj31task1a,,True,schedule,proj52,dept4,,True,proj42task1a,read,True
35be0e8f-9cbd-43c8-b007-e7c6197bdfd4,proj51,,accountant,2,proj32task1a,,False,budget,proj51,dept4,1,True,proj31task2a,read,True
849d22a2-6acf-4d5e-b396-8b05e08c8328,proj62,proj62,accountant,,proj32task1a,dept4,True,task,proj22,dept3,1,True,proj32task1a,setStatus,True
