user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
3791f419-7c47-4cd2-aef1-5d5d78c32cd2,proj11,proj11,accountant,1,proj31task1propa,dept8,True,budget,proj11,dept5,2,True,proj41task1a,write,True
1e40fb41-b7d6-4544-98fa-abc9811ba49d,proj73,,accountant,,proj32task1a,dept5,True,schedule,proj73,dept1,,False,proj22task2propa,read,True
2de76c50-be08-4970-bd94-9e3e8e62f9c8,proj21,,accountant,,proj31task2a,,True,budget,proj21,dept8,1,False,proj42task1propa,read,True
afe21cd8-1117-4bb5-b8ad-964f7698afb4,proj72,proj72,accountant,1,proj31task2propa,dept8,True,budget,proj72,dept7,,False,proj42task1propa,read,True
46c30c0a-2b2e-4da3-b050-56c94dfb11fb,proj72,proj72,accountant,,proj32task1propa,,False,budget,proj72,dept8,1,True,proj31task1a,read,True
cdbd9f05-74cd-4bbc-8a28-4efbe34a7be3,proj74,proj74,accountant,1,proj31task1propa,,False,task,proj72,dept2,,False,proj31task1propa,setStatus,True
e24a5eac-41d1-411b-a729-1d0d7efaec6b,proj61,proj61,accountant,,proj42task1a,,False,task,proj61,dept5,,True,proj41task2propa,setCost,True
3632e435-510a-4a33-a6e9-99174a54d44c,proj22,,accountant,2,proj22task2propa,dept6,True,budget,proj22,dept7,1,True,proj32task2a,read,True
8f894069-2f2c-4bbe-b56f-2f592986f085,proj52,,accountant,,proj32task1a,dept2,False,budget,proj52,dept8,2,True,proj41task1a,read,True
d7fd995e-869d-489d-8608-175c539e95fb,proj73,proj73,accountant,,proj42task1propa,dept2,False,schedule,proj73,dept5,,False,proj42task1a,write,True
23aea1f5-45e1-436c-ae22-747d451dbe1d,proj61,proj61,accountant,2,proj32task2propa,dept6,False,schedule,proj61,dept2,2,False,proj22task2propa,write,True
6471f864-50da-4e7e-9ae5-20a4d6ba952f,proj74,,accountant,,proj41task1propa,,True,budget,proj74,dept6,1,False,proj32task1a,write,True
7ca19075-079c-4188-9937-112be0d37846,proj22,,accountant,,proj41task2a,dept2,True,budget,proj22,dept1,,True,proj31task2a,write,True
1c1f8ab2-285c-40d1-b4f2-94d0882d85c8,proj21,proj21,accountant,,proj42task1propa,dept1,True,budget,proj21,dept7,,False,proj32task2propa,read,True
aa1c275d-4a93-482e-9f72-6ee2a72857a1,proj71,proj71,accountant,,proj32task1propa,dept1,True,task,proj71,dept8,,False,proj31task1a,setCost,True
e3806b27-8ad5-48ed-a079-91b6dde9ddc3,proj62,proj62,accountant,2,proj31task2a,dept7,False,budget,proj62,dept2,,False,proj42task1a,write,True
