user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
9fcc5463-9141-437e-a4fd-913ebd77c82c,proj61,proj61,auditor,1,proj11task1a,dept5,True,budget,proj61,dept5,,True,proj72task1propa,read,True
734e2863-d6b7-4509-a3a1-3f0e10b046a5,proj61,,auditor,,proj32task2propa,,False,budget,proj61,dept6,1,False,proj71task2a,read,True
3aab399a-5766-4148-ac85-f980b5442d9e,proj62,proj62,auditor,,proj12task1a,,True,budget,proj62,dept5,,False,proj73task2a,write,True
01cb516d-231a-4fe8-9042-cfd3b70a5f58,proj52,proj52,auditor,2,proj12task2a,dept6,True,budget,proj52,dept5,2,True,proj73task1a,read,True
f2967ca2-b64b-465d-84ca-cf7000e1aca5,proj51,,auditor,1,proj12task2a,,True,budget,proj51,dept5,2,False,proj72task1propa,read,True
b8bd083f-8854-4f19-a7d1-b3ef54ba8b44,proj62,proj62,auditor,1,proj71task2propa,dept6,False,schedule,proj62,dept6,2,True,proj12task1propa,read,True
fa1c6ddf-8c4d-4dc4-914f-60af20fd6311,proj52,proj52,auditor,2,proj73task2propa,dept5,True,budget,proj52,dept6,1,False,proj32task1propa,read,True
171dd9ca-ac59-4296-881e-adcee18e5b78,proj61,,auditor,,proj31task2a,,False,schedule,proj61,dept5,,True,proj22task2propa,read,True
240ff7a6-1150-43c4-ac3b-1b5b996b9412,proj52,,auditor,,proj71task1propa,,False,schedule,proj52,dept5,1,False,proj62task1propa,read,True
b6f409cb-fc2b-41be-8eef-2fd686b50bd6,proj61,,auditor,1,proj31task1propa,,False,budget,proj61,dept6,2,True,proj12task2a,read,True
3a74ce25-4417-4842-9a8a-75547c090ca5,proj62,,auditor,1,proj41task2propa,,True,task,proj62,dept6,2,False,proj41task1propa,request,True
60faa424-1127-4abe-b6d1-23132e512e81,proj51,proj51,auditor,,proj21task1propa,dept6,False,budget,proj51,dept6,2,True,proj32task2propa,read,True
2743e8d8-8939-4428-aa0e-5ebe4e67c9c6,proj51,,auditor,1,proj22task1propa,dept6,True,task,proj51,dept6,2,True,proj32task2propa,request,True
73747b79-bfca-4e9c-814c-a818c0141e9e,proj61,,auditor,2,proj21task1propa,,True,schedule,proj61,dept5,2,True,proj21task2propa,read,True
9885b28d-a3ba-4f08-9321-2b307e68df47,proj51,proj51,auditor,,proj32task1propa,,True,budget,proj51,dept5,2,False,proj21task1propa,write,True
99abe675-bb03-46b1-b7f3-535a14ef1001,proj61,proj61,auditor,1,proj32task1propa,,True,schedule,proj61,dept6,,False,proj21task1propa,write,True
82dad8da-b092-4a70-a4b2-b76d4e2f0c42,proj61,proj61,auditor,1,proj11task1a,dept6,True,budget,proj61,dept6,2,False,proj12task2a,read,True
7c997847-2d4d-4add-bbfc-c84507f93817,proj61,proj61,auditor,2,proj11task1propa,dept5,True,schedule,proj61,dept5,,True,proj73task2a,write,True
af6ae43f-dc20-4e3b-93c3-b6e8286661b2,proj61,proj61,auditor,,proj12task1a,,True,schedule,proj61,dept6,,False,proj41task1propa,read,True
6db25090-b4af-454c-9192-092c1920044d,proj52,proj52,auditor,2,proj11task1a,dept6,False,schedule,proj52,dept6,1,True,proj32task2propa,read,True
31a16690-602a-4e5c-8d95-812fcff3efa6,proj62,,auditor,2,proj42task1a,dept6,False,budget,proj62,dept6,2,True,proj22task1propa,read,True
5c5624bb-1cf7-4691-b31f-34b62dca23a7,proj51,proj51,auditor,,proj32task1propa,,True,schedule,proj51,dept5,2,True,proj62task2propa,read,True
492956bb-af2e-4d97-b852-ad3b5247ddf4,proj51,,auditor,,proj21task2propa,dept6,False,budget,proj51,dept6,1,True,proj62task1propa,read,True
c9deec09-23bd-41bc-9d31-bcb986da33e2,proj52,proj52,auditor,1,proj32task2propa,dept6,True,budget,proj52,dept5,,True,proj73task2a,read,True
8104338e-38f0-4051-8b5a-5957b7b513f5,proj51,,auditor,2,proj72task2a,,False,budget,proj51,dept6,1,True,proj11task1propa,read,True
b4dbc456-ffbf-4ef6-9d31-a63d6edae57f,proj61,,auditor,,proj71task1a,dept6,False,budget,proj61,dept5,,True,proj22task2propa,read,True
cb3fbf46-14c1-4825-835d-233c35586b74,proj51,proj51,auditor,,proj32task1a,,False,schedule,proj51,dept5,2,False,proj31task1propa,read,True
ef0ee249-8891-462e-a970-45d339088cbd,proj61,,auditor,2,proj31task2a,,False,schedule,proj61,dept5,,True,proj12task1propa,read,True
0c8c66c5-b074-48e5-aedc-4b5e92616e0d,proj62,proj62,auditor,2,proj41task2propa,dept6,False,budget,proj62,dept6,,True,proj72task1a,read,True
5118e2b9-7a52-4db9-b58d-4fc6ca32220f,proj61,,auditor,2,proj32task2propa,dept6,False,budget,proj61,dept5,,False,proj31task1a,read,True
004800c3-6836-4a33-8935-835d0571c79b,proj52,proj52,auditor,,proj41task2a,,True,schedule,proj52,dept6,,False,proj11task1propa,write,True
b55223a8-ce0a-4a9d-ba26-260ca08c1ce7,proj51,,auditor,,proj62task2a,dept5,True,schedule,proj51,dept6,,True,proj41task2a,read,True
da0dfbcc-fd4a-49ef-9fb3-31d78f73d0d0,proj62,,auditor,1,proj41task2a,,False,budget,proj62,dept5,2,False,proj12task1a,read,True
da2c178b-5066-4acf-b842-4f310476a85d,proj52,,auditor,2,proj11task1a,dept5,False,budget,proj52,dept5,1,False,proj12task2propa,read,True
3231aa27-ac1f-4c45-bee8-f52c3730b428,proj51,proj51,auditor,1,proj21task2a,dept6,True,schedule,proj51,dept5,,True,proj12task2propa,write,True
43b4dbff-9c00-49bb-831c-22fc51d715ab,proj62,proj62,auditor,,proj71task2a,dept5,True,budget,proj62,dept6,,True,proj21task2propa,read,True
3532803d-25d3-4687-a2f7-14912522f458,proj61,proj61,auditor,1,proj22task1propa,dept5,True,schedule,proj61,dept6,,False,proj73task2a,write,True
ddcd3ae7-b177-4196-ac4b-f98a33186771,proj62,,auditor,,proj73task1a,dept6,False,schedule,proj62,dept6,2,False,proj62task2a,read,True
8704e28d-45d2-4159-b1da-abb38fb3ab1b,proj61,,auditor,1,proj71task2a,,True,budget,proj61,dept5,1,False,proj41task1a,read,True
239d9b72-4d3b-4f22-a808-d62eef069e9c,proj61,proj61,auditor,1,proj41task2a,,False,schedule,proj61,dept6,,False,proj22task2propa,read,True
eea7b008-a612-41ce-bf25-5e5c682220fb,proj52,proj52,auditor,,proj71task1a,dept5,False,schedule,proj52,dept5,,True,proj22task1a,read,True
fe880767-6528-4bcd-b7de-3db56b2a3b65,proj52,,auditor,2,proj71task2propa,dept6,False,budget,proj52,dept5,1,True,proj22task1a,read,True
