user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
73e4d350-1a3a-4da6-9019-ad13b835f80d,proj52,proj52,auditor,,proj62task2a,,True,budget,proj52,dept3,2,True,proj12task2a,write,True
5cbebd75-7da6-44c3-9443-fd5f80c55744,proj61,,auditor,,proj41task2propa,,True,schedule,proj61,dept7,1,False,proj62task1propa,read,True
34de75d5-2c85-4c6c-9a3b-af36bee847ff,proj51,proj51,auditor,,proj21task2a,dept7,True,budget,proj51,dept7,1,True,proj72task2propa,read,True
4a1f7651-aef3-4598-a82a-214f7c19cda7,proj51,proj51,auditor,,proj21task2a,dept1,True,schedule,proj51,dept8,2,True,proj31task1a,write,True
df967e04-a939-48ba-8e85-46fdfa6b586b,proj62,,auditor,,proj62task1propa,,True,budget,proj62,dept3,,True,proj31task1a,read,True
df38c580-50d9-44ac-9014-d2d9f586adec,proj62,proj62,auditor,1,proj11task1a,dept4,True,schedule,proj62,dept1,,False,proj11task2a,write,True
ed7d091a-c9e9-43c8-a9f6-7b1f412efa6d,proj62,proj62,auditor,1,proj11task1a,dept1,False,budget,proj62,dept4,,False,proj41task1propa,write,True
4638800e-5de4-410a-b662-ed63d00fe256,proj52,,auditor,2,proj71task2propa,dept8,True,schedule,proj52,dept3,2,True,proj73task2propa,read,True
c416f614-14b4-4705-b6a0-cb8c984ab84e,proj52,proj52,auditor,2,proj22task2a,dept1,True,budget,proj52,dept1,2,False,proj71task2propa,read,True
f80d77b3-c0bc-49fe-8555-901d067052bb,proj52,proj52,auditor,,proj73task2propa,,False,budget,proj52,dept4,,False,proj31task2propa,write,True
cabff611-18c2-443b-9d8b-a1863af6fe39,proj52,,auditor,1,proj71task2a,dept8,False,schedule,proj52,dept3,,False,proj73task1a,read,True
6db0ba6c-89a6-41aa-8203-b9cf81b8dd8f,proj51,proj51,auditor,2,proj73task1propa,dept8,False,budget,proj51,dept4,1,True,proj72task2a,write,True
0f4a8508-2074-496b-9a7c-94a016573f83,proj51,,auditor,,proj21task1propa,dept4,False,budget,proj51,dept2,2,False,proj21task1a,read,True
a6f49c42-5fd4-41c2-b4bf-b280dfbe0a99,proj52,proj52,auditor,,proj31task1propa,,True,budget,proj52,dept1,,False,proj11task1a,write,True
f63d95bd-4f47-4331-a410-0b7e55a6ab06,proj62,proj62,auditor,2,proj32task1a,,False,schedule,proj62,dept7,2,True,proj72task2propa,write,True
6f7e48b5-e663-4ae9-853b-2ce6592b0274,proj52,,auditor,2,proj31task2a,,True,budget,proj52,dept2,,True,proj12task1propa,read,True
b7bb1395-1a84-466e-8ea7-e868c9a65fef,proj61,proj61,auditor,1,proj41task1propa,,False,schedule,proj61,dept7,2,False,proj73task1a,read,True
6959c0a6-737a-4024-b7c5-9b686ba6ee9b,proj62,proj62,auditor,,proj72task2a,dept7,True,budget,proj62,dept3,1,False,proj62task2propa,write,True
0487f7aa-1e0e-4019-8531-fb87e18217c5,proj61,,auditor,,proj73task1a,dept8,True,budget,proj61,dept3,1,False,proj42task1a,read,True
6528896c-5438-4932-a197-e3f375745c2c,proj52,,auditor,,proj72task1a,dept4,False,budget,proj52,dept7,1,True,proj72task2propa,read,True
4fae6047-9db6-4780-8345-e673a69e04ba,proj51,,auditor,1,proj72task1a,,True,schedule,proj51,dept2,2,True,proj11task2a,read,True
629298aa-e9b4-4f95-a3c3-74fb59c1f506,proj61,,auditor,2,proj31task1propa,,True,schedule,proj61,dept3,2,True,proj22task2propa,read,True
720f3d0a-8a71-4324-8894-649a6b6814e0,proj51,proj51,auditor,,proj41task2a,,True,schedule,proj51,dept8,,True,proj62task2a,read,True
4e0ca8c0-c0bb-4f67-b280-1dff2526f8dc,proj62,,auditor,2,proj32task2propa,dept3,True,budget,proj62,dept8,,True,proj42task1a,read,True
b9d1083b-d015-4ec4-8dbe-434d82b2593b,proj52,,auditor,1,proj12task2a,dept7,False,schedule,proj52,dept2,2,False,proj41task2propa,read,True
282d12f3-12f3-480d-bf33-cda50f2646ab,proj52,proj52,auditor,1,proj72task1a,dept7,False,budget,proj52,dept8,,False,proj41task2propa,write,True
ea7d2fec-f3ef-417e-b997-e9212651eea5,proj61,proj61,auditor,2,proj62task2a,,False,schedule,proj61,dept4,2,False,proj21task2a,write,True
f4d4e737-612f-410e-b3e2-bf0cb82d5335,proj61,proj61,auditor,,proj72task2propa,dept7,False,schedule,proj61,dept4,1,True,proj12task1propa,read,True
29b40bb6-08a1-4ca4-aa46-2d010418ef18,proj62,proj62,auditor,,proj31task1a,dept4,True,budget,proj62,dept8,2,False,proj71task1propa,read,True
8df81da2-eba2-4cc1-a7c6-15dfea04e92f,proj61,proj61,auditor,2,proj32task1propa,,False,schedule,proj61,dept1,1,False,proj71task2propa,read,True
69fc6466-7579-447d-a64f-410504e31dc1,proj62,,auditor,1,proj41task2a,dept3,True,schedule,proj62,dept4,,False,proj31task2a,read,True
dbb178b6-ec89-44d7-ba19-a1e22278c95e,proj52,proj52,auditor,1,proj31task1a,,True,budget,proj52,dept7,,True,proj11task2a,write,True
385df5c9-2de0-4f43-b0af-3c8fb71c2c2c,proj52,,auditor,1,proj73task1a,,False,schedule,proj52,dept7,1,True,proj11task1propa,read,True
754b46c8-5122-43bd-8b75-7247e87934ca,proj62,proj62,auditor,,proj22task2propa,dept2,False,schedule,proj62,dept4,1,True,proj12task1propa,read,True
45f4d1b5-a789-4612-9a3a-e26baff008de,proj62,proj62,auditor,2,proj22task1propa,dept2,False,budget,proj62,dept8,1,True,proj11task2a,read,True
51337f57-bebe-4064-9fa6-c33d31d304c2,proj61,proj61,auditor,,proj21task1propa,dept4,True,schedule,proj61,dept8,,True,proj32task1propa,write,True
e210a22b-76b3-4cac-a60f-43ee7af5ff0c,proj62,,auditor,1,proj41task2a,dept1,True,schedule,proj62,dept3,2,True,proj72task2a,read,True
c80ed758-491a-45f3-9bd3-6c10f1af9f0e,proj62,proj62,auditor,2,proj73task1a,dept4,True,schedule,proj62,dept7,,True,proj21task2propa,write,True
f7904a5d-7ba2-45ea-8cdc-1a795823edd5,proj61,,auditor,2,proj12task2a,dept8,False,schedule,proj61,dept2,,False,proj72task1propa,read,True
99a9c866-138d-4b79-a279-d2f750f9b4f5,proj61,proj61,auditor,1,proj31task1propa,dept4,False,schedule,proj61,dept3,2,True,proj22task1propa,write,True
fc181ebf-423e-4df1-89a2-7fa4f04d87ed,proj61,proj61,auditor,2,proj12task2a,,True,budget,proj61,dept7,,False,proj12task2a,read,True
1ee2d1fb-6d0d-4f81-84c6-570184a0bade,proj61,proj61,auditor,2,proj31task2propa,,False,schedule,proj61,dept8,2,False,proj71task1a,read,True
187d55e5-12ed-45f9-8109-1770c32985e5,proj62,proj62,auditor,1,proj62task2propa,,False,schedule,proj62,dept2,2,False,proj73task2propa,read,True
11beb9a9-166c-4515-b2a0-72b14a052080,proj62,proj62,auditor,,proj31task1a,dept7,False,budget,proj62,dept8,1,False,proj41task2a,write,True
6a16255b-d92b-4db3-a628-a24a917679cb,proj62,proj62,auditor,1,proj32task1propa,dept8,True,task,proj62,dept8,2,True,proj73task2a,read,True
a2e9001b-9835-41cf-93f5-7e24bfcafaba,proj51,proj51,auditor,2,proj71task2a,,True,schedule,proj51,dept7,2,False,proj41task1a,write,True
