user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
e0184401-a28a-4879-b15e-994de9a6043d,proj12,,manager,,proj11task2propa,,False,task,proj22,dept4,,False,proj11task2propa,setStatus,True
457ef49a-927e-47fa-81cd-9268b56f1be5,proj22,proj22,manager,2,proj22task1propa,dept4,False,budget,proj22,dept3,2,False,proj21task1a,write,True
1d4ce150-c42d-4ae9-82b6-ff52cdfc10e3,proj11,proj11,manager,,proj21task2a,,True,budget,proj11,dept7,,False,proj11task2propa,write,True
0d8df037-537a-48e2-a45f-cedbc562439b,proj22,proj22,manager,1,proj22task1propa,,False,task,proj22,dept4,2,False,proj22task2a,request,True
b30ffd68-77cd-4bed-bf23-fb0973884772,proj12,proj12,manager,1,proj22task2a,,True,budget,proj12,dept8,,False,proj12task1propa,write,True
c409d280-3668-44c7-8a08-e4d97e44a31b,proj22,proj22,manager,1,proj11task1a,,True,budget,proj22,dept4,2,True,proj21task2propa,read,True
dfbe7125-e475-4072-887e-4bcd3b271b52,proj11,,manager,,proj12task1a,,True,task,proj22,dept4,,True,proj12task1a,setStatus,True
bc937fbf-1d57-4095-8549-b78d4407aefa,proj12,proj12,manager,,proj21task2propa,dept5,False,schedule,proj12,dept5,,False,proj21task2propa,read,True
bb5dd506-951b-4411-8212-cbf4dd42f759,proj11,,manager,,proj22task2a,dept3,False,schedule,proj11,dept4,2,True,proj12task1propa,read,True
d498dcd1-7543-4d1e-831b-99f097e4345b,proj21,proj21,manager,,proj12task1propa,dept4,True,budget,proj21,dept4,,False,proj22task1a,read,True
aaed0060-bf75-4ce3-a804-d0b51a3eafde,proj22,,manager,,proj11task2a,dept3,True,budget,proj21,dept3,1,False,proj11task2a,approve,True
563124c2-13df-432d-9bed-f9df328b8b29,proj12,proj12,manager,,proj11task1a,,True,budget,proj12,dept6,,True,proj21task1a,write,True
36864789-d85b-41d1-93c1-5bee0f235bba,proj11,,manager,2,proj21task2propa,dept6,True,schedule,proj11,dept5,,False,proj12task1propa,read,True
8cec1498-6d57-414f-88b7-4f22b6df7e08,proj12,proj12,manager,1,proj21task1a,dept6,True,budget,proj12,dept7,,True,proj21task1propa,read,True
8db19014-0a3f-4d16-ac79-bec6905c503b,proj21,proj21,manager,1,proj11task2propa,dept7,True,budget,proj21,dept4,1,True,proj11task2propa,read,True
9a0c594b-f242-48f7-ab1b-87e471333609,proj22,proj22,manager,,proj22task2a,dept3,True,schedule,proj22,dept7,1,True,proj21task2a,read,True
3c62868f-58aa-4786-8e62-43fc89387999,proj11,proj11,manager,2,proj21task2propa,dept5,True,budget,proj11,dept5,1,False,proj12task1a,approve,True
ffbc21f3-06dc-4dd6-be5d-f9ca196eb895,proj12,proj12,manager,,proj21task2a,dept7,False,schedule,proj12,dept6,,False,proj22task2a,read,True
23e36369-5f33-4156-9503-d5e2f41bd87d,proj21,,manager,,proj21task1propa,,False,task,proj11,dept8,1,True,proj21task1propa,setStatus,True
bec448c4-a506-4c60-9737-4f4c66bded84,proj12,proj12,manager,,proj11task1a,dept3,False,schedule,proj12,dept8,,False,proj12task2a,write,True
2f179ab9-992a-4986-b149-85631196ec2e,proj21,,manager,1,proj11task1a,,True,schedule,proj21,dept3,,False,proj12task1propa,read,True
ee547b9d-0ba7-4b9f-94f0-07b579a00282,proj22,proj22,manager,,proj21task1a,,False,schedule,proj22,dept4,1,False,proj21task2a,write,True
a81eb4df-fb52-4e35-90f3-adccda9ff4cd,proj22,proj22,manager,2,proj12task2propa,dept8,True,budget,proj22,dept5,1,True,proj11task1propa,write,True
7fb191b5-cc66-4030-a435-dfe3263678da,proj12,proj12,manager,,proj22task1a,dept8,False,budget,proj12,dept3,2,False,proj21task1propa,read,True
86745874-5954-49fc-864a-3765febe8207,proj11,proj11,manager,,proj21task2propa,dept5,True,budget,proj11,dept7,,True,proj22task1a,write,True
599cf346-8bad-4b6f-b076-2650c6ce88ec,proj22,proj22,manager,,proj22task2a,,False,schedule,proj22,dept7,2,True,proj22task1propa,write,True
000cb044-a954-411d-aa97-e6bd6f7f1780,proj22,proj22,manager,2,proj12task1propa,dept8,False,budget,proj22,dept5,2,False,proj22task1a,read,True
38be3722-0db3-4d83-833a-326a76269fd9,proj11,proj11,manager,1,proj12task1propa,dept3,True,budget,proj11,dept5,2,False,proj21task2a,read,True
6069e802-2654-4ec8-b7be-27c1a18208b6,proj22,proj22,manager,1,proj21task1a,dept7,False,budget,proj22,dept4,,True,proj11task2propa,write,True
09246962-199d-4cea-9ffe-3c75b585007d,proj12,,manager,1,proj11task2propa,dept7,True,schedule,proj12,dept7,1,True,proj22task1propa,read,True
8933ce84-5f02-4bce-9cfe-2cffa166d15c,proj11,proj11,manager,,proj22task2a,dept3,True,budget,proj11,dept3,2,False,proj21task2propa,approve,True
d6667094-755e-43fc-b8a8-5dbd24412ef6,proj11,proj11,manager,1,proj21task2a,,True,task,proj11,dept4,2,False,proj21task1propa,read,True
b8869515-b744-4e00-be09-5611438c7019,proj22,proj22,manager,1,proj12task2propa,dept6,False,budget,proj22,dept3,2,True,proj11task2propa,write,True
2e2a65d4-2b03-42ea-b363-4d56067f7ff8,proj22,,manager,,proj12task2a,dept6,False,budget,proj12,dept6,,False,proj11task2a,read,True
ea3754a1-d70c-4982-8b1a-8c3033c0369a,proj12,proj12,manager,,proj22task1propa,dept7,False,schedule,proj12,dept6,,True,proj11task2propa,write,True
e37c4310-ed64-44dc-a9fe-2d54c885f9e4,proj11,,manager,2,proj22task1propa,dept3,True,schedule,proj11,dept8,,False,proj11task1propa,read,True
ffed0014-c618-4614-aed7-01d6e5793750,proj22,,manager,,proj22task1a,,True,schedule,proj22,dept3,,False,proj11task2a,read,True
bc7bf3d7-e780-4da6-b1e9-a992bb541ec0,proj11,proj11,manager,,proj11task2a,,False,schedule,proj11,dept8,,False,proj21task2propa,write,True
8c912e6c-4d66-4022-b7b4-50a353473264,proj11,proj11,manager,1,proj22task1a,dept6,False,budget,proj11,dept7,,True,proj11task2propa,read,True
35531f01-1b27-418b-a81f-0b83f4d9c9c7,proj22,proj22,manager,,proj21task1a,dept8,True,budget,proj22,dept8,1,True,proj11task1a,read,True
53104d93-65dc-4763-b4e1-977fc8a9f396,proj12,proj12,manager,1,proj22task1a,,False,budget,proj12,dept8,1,False,proj11task1propa,write,True
2a7ae6a7-f064-4ce5-94d9-af3a336f0e43,proj22,proj22,manager,,proj22task1propa,dept5,False,schedule,proj22,dept6,1,True,proj12task1a,read,True
5356cf03-38f4-4a4a-8a8c-910b230f96cf,proj12,proj12,manager,1,proj21task2propa,dept7,False,budget,proj12,dept8,2,False,proj21task2a,write,True
965d15ac-1315-4d25-8197-6fa575a63120,proj21,proj21,manager,,proj12task1propa,,False,schedule,proj21,dept7,2,True,proj11task2a,write,True
7816b8ce-5f62-435d-aa4c-300e64b494e5,proj11,proj11,manager,,proj21task2a,dept3,False,schedule,proj11,dept3,,False,proj11task1a,write,True
1d13f844-725f-4436-b95c-e000a60c8604,proj22,proj22,manager,2,proj12task1a,dept3,False,schedule,proj22,dept6,,False,proj11task1propa,write,True
48fec3c5-4def-44e0-bb9d-6779a509b86a,proj11,,manager,1,proj21task1propa,dept6,True,schedule,proj11,dept7,2,True,proj11task2propa,read,True
241e0eca-a06f-4cc8-9907-0dce7374a6f2,proj21,proj21,manager,1,proj21task1a,,False,budget,proj21,dept5,2,True,proj12task2propa,read,True
20123b65-a974-4a5f-93eb-6e69df28864f,proj11,proj11,manager,2,proj22task1a,,False,schedule,proj11,dept3,1,False,proj21task2propa,read,True
18be3ce6-98b8-4478-b34c-e41e31a9ce7c,proj12,proj12,manager,,proj12task1a,,True,task,proj11,dept3,2,False,proj12task1a,setStatus,True
bbd42249-92c0-4d0d-9f8d-c756536434a5,proj11,proj11,manager,,proj12task2propa,,True,budget,proj11,dept3,,False,proj12task2propa,read,True
5bb048bf-7ee5-4e61-a5c2-455fb41e9e28,proj22,proj22,manager,2,proj21task1a,,False,schedule,proj22,dept4,,False,proj21task2propa,read,True
6fedb4f4-7640-4c2f-aaaf-11f73becc33a,proj12,proj12,manager,,proj12task2propa,dept4,False,schedule,proj12,dept3,2,False,proj21task2a,read,True
c7f0633c-ec8e-441d-9c6c-0fe3365df87a,proj21,,manager,,proj22task1a,,True,schedule,proj21,dept6,,False,proj12task2propa,read,True
fb2f756b-f074-40c2-91f8-0fcba057bc90,proj21,proj21,manager,1,proj21task1propa,dept6,False,budget,proj21,dept8,,False,proj12task1propa,write,True
373d5f0c-4f99-4841-90c7-e8fcaf83eb7d,proj12,,manager,2,proj22task1propa,dept6,False,budget,proj11,dept6,2,True,proj11task1a,approve,True
c04b74a6-2480-4975-a1df-47fce5de1cb8,proj11,,manager,2,proj12task2a,dept6,True,schedule,proj11,dept7,1,False,proj21task2propa,read,True
38b3cbf8-8247-4b83-968d-ddd3294a975e,proj21,,manager,2,proj12task1propa,,False,schedule,proj21,dept5,,False,proj21task1propa,read,True
ad649d86-c05b-421d-b90c-be2de2f9f70b,proj11,proj11,manager,,proj22task1propa,,True,budget,proj11,dept6,,False,proj12task1a,read,True
cea16d94-a1c1-45a7-a2e7-d4b170efa93e,proj22,proj22,manager,1,proj22task2a,dept4,False,schedule,proj22,dept3,1,True,proj21task1a,read,True
