user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
2bee626a-eee4-4a3c-9568-373d07d44e73,proj74,,manager,,proj11task2a,dept1,False,budget,proj31,dept1,,True,proj11task1a,read,True
d8b234d8-8880-4b23-88a4-3b7b37bbbce2,proj52,,manager,2,proj12task2propa,dept1,True,budget,proj41,dept1,,True,proj12task1propa,read,True
a8c38353-d140-4746-8941-74805aff3586,proj74,,manager,,proj21task1a,dept2,False,budget,proj73,dept2,,False,proj12task1propa,approve,True
8b56dc82-06f2-40c4-8eef-d7781b66dd1b,proj42,,manager,2,proj11task2a,dept2,False,budget,proj42,dept2,,True,proj11task1propa,read,True
2464914e-a60d-405b-b2cd-4ddac6731d10,proj73,proj73,manager,,proj12task2a,dept1,True,schedule,proj73,dept2,,False,proj21task1propa,read,True
599475f2-12e3-4d02-9b97-311f9343f54d,proj52,proj52,manager,,proj21task1a,dept1,False,schedule,proj52,dept2,2,True,proj12task1propa,read,True
d62976e9-6a98-4317-a407-bfc8d22fdbf5,proj42,,manager,,proj11task2a,dept1,False,budget,proj71,dept1,,True,proj12task2a,approve,True
f7776139-0085-4b02-a8ec-36ab14feb611,proj42,,manager,2,proj11task2a,dept1,True,budget,proj61,dept1,,True,proj21task1propa,read,True
0e8f6a6d-3d91-447d-9fe7-e3a46646b648,proj42,proj42,manager,,proj12task2a,dept2,True,budget,proj51,dept2,,True,proj12task1a,read,True
dc011695-1cee-4883-9123-0692b9619abb,proj73,proj73,manager,2,proj12task2propa,dept1,False,budget,proj61,dept1,2,True,proj12task1propa,approve,True
8028bf1b-fb34-478e-956f-2ed1b282d7b7,proj73,,manager,,proj11task2propa,dept1,True,budget,proj32,dept1,,False,proj11task2propa,read,True
e62ecf95-2cc7-4057-9258-42907f5d78d1,proj74,,manager,,proj22task1propa,dept1,False,budget,proj52,dept1,2,False,proj11task1a,read,True
a9050994-0cde-4494-b6df-23066eba5bd3,proj61,proj61,manager,,proj11task1propa,,True,budget,proj61,dept1,,True,proj21task2propa,write,True
