user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
b664d64b-beca-4e79-894d-7f23c741724f,proj72,proj72,manager,,proj61task1propa,dept2,True,schedule,proj72,dept1,1,False,proj71task2propa,write,True
3b9d4ff9-3e82-49da-8c1b-57f5d2444758,proj32,proj32,manager,2,proj41task2propa,dept2,True,schedule,proj32,dept1,,False,proj71task2a,write,True
b120ac11-c7c7-48c8-9651-3613ed8f88b8,proj52,proj52,manager,,proj32task2a,dept2,True,budget,proj51,dept2,,False,proj52task1propa,approve,True
c8813c96-a6e5-4eab-9e7e-b7fc4802394c,proj61,proj61,manager,,proj62task2propa,,False,budget,proj61,dept2,2,True,proj51task2propa,write,True
61da1c93-754d-4efa-a8b4-9d462b7073e3,proj61,,manager,,proj52task1a,dept1,False,budget,proj73,dept1,,True,proj73task1propa,read,True
537e53ee-f9bc-4dbb-ab8f-da3dce4d8677,proj41,proj41,manager,,proj62task1propa,,False,budget,proj41,dept2,,True,proj61task1a,read,True
c3fffecd-0f5b-438a-8ac3-c20ac3004636,proj51,proj51,manager,2,proj42task1propa,dept1,False,budget,proj52,dept1,,False,proj61task1propa,approve,True
1729e65d-ee56-410d-af29-0809ee5252e6,proj42,proj42,manager,,proj31task1a,dept1,True,budget,proj74,dept1,1,False,proj62task1propa,read,True
999721a7-1096-4587-9afc-18f8d5f4334a,proj72,proj72,manager,2,proj51task2a,dept2,False,budget,proj62,dept2,1,False,proj32task1a,approve,True
19f87be9-3971-428e-94d1-cfabcd1a4672,proj51,proj51,manager,2,proj42task1a,,False,budget,proj51,dept1,,True,proj62task2propa,write,True
76bc27e6-4c0c-4147-8240-387d714970b7,proj52,,manager,,proj31task1propa,dept1,False,budget,proj61,dept1,1,True,proj52task1propa,read,True
13afce4d-2d34-4d79-ad59-bb477ac70b33,proj61,proj61,manager,1,proj61task2propa,dept2,True,budget,proj73,dept2,,False,proj41task2a,approve,True
130bcd10-eb38-4021-9410-7b96852e2c3e,proj74,proj74,manager,,proj51task2propa,dept1,True,budget,proj32,dept1,,True,proj62task2propa,approve,True
a2ede413-e81f-4c71-9610-b4140853db09,proj73,proj73,manager,1,proj51task1propa,dept1,True,budget,proj73,dept1,2,True,proj73task2a,write,True
f6206460-2729-4946-902f-646dc50a69f1,proj32,,manager,1,proj42task2propa,dept2,False,task,proj32,dept2,2,False,proj22task2propa,request,True
75780e0f-ab99-46b8-8e0e-ec20a2a33137,proj51,proj51,manager,1,proj71task1a,dept2,True,budget,proj42,dept2,,True,proj52task1a,read,True
5c499374-420d-4db7-987e-5d474182806b,proj73,proj73,manager,1,proj52task2propa,dept1,False,budget,proj41,dept1,1,False,proj52task1a,read,True
