user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
44a8b93a-3644-4d20-a70a-c71c847845ff,proj12,,planner,1,proj71task1propa,dept8,True,task,proj12,dept7,2,True,proj71task2propa,read,True
5db2f220-204a-4038-b290-e2e9c116525c,proj52,proj52,planner,1,proj62task2a,,False,task,proj52,dept7,2,False,proj73task2a,read,True
edbae0b7-e176-4e60-85a1-b8667edd5b37,proj52,proj52,planner,,proj73task2propa,,False,budget,proj52,dept8,2,False,proj71task2propa,write,True
aa801f09-e293-4787-84f6-7e86e0380f9d,proj61,,planner,2,proj71task1propa,dept8,False,schedule,proj61,dept8,,False,proj72task2a,write,True
2a8d9ec1-1d9d-4e1e-87e6-7a8ca5693988,proj22,,planner,,proj73task2a,,False,schedule,proj22,dept8,,True,proj62task1propa,write,True
a48c32c2-29a3-4dfd-bbf8-ca6fa69a6031,proj32,,planner,,proj73task1propa,dept8,True,task,proj32,dept7,,True,proj71task2propa,setSchedule,True
0ab1b843-c723-4306-9a7e-da3ce76f691b,proj21,,planner,,proj71task2propa,,False,schedule,proj21,dept8,1,False,proj71task1propa,read,True
2cab8808-5235-4bed-bef1-dd3505acd24c,proj41,,planner,1,proj71task2propa,,True,task,proj41,dept8,2,False,proj62task2propa,setSchedule,True
861d10c5-4e52-46d2-87f5-d4be873d964f,proj62,,planner,,proj72task1propa,,False,task,proj32,dept7,2,False,proj72task1propa,setStatus,True
88c11239-73e4-45e9-9240-2b7dcbe0221d,proj42,proj42,planner,,proj73task2propa,,False,task,proj32,dept7,,True,proj73task2propa,setStatus,True
cbff7549-9220-42e8-a371-1a6239e06456,proj31,,planner,,proj62task1propa,dept7,True,schedule,proj31,dept8,,False,proj62task2propa,read,True
e588d40a-4ee2-4d6a-8598-f26465dd0813,proj41,,planner,,proj72task1propa,,False,task,proj42,dept8,,False,proj72task1propa,setStatus,True
039fd18c-6279-40b6-92d8-8b285ccdbd91,proj22,proj22,planner,2,proj73task1propa,dept8,False,schedule,proj22,dept8,2,True,proj72task1propa,write,True
9a1533f2-25aa-4ba1-86b0-548d8d6ee9da,proj32,proj32,planner,1,proj72task2propa,dept7,True,schedule,proj32,dept8,,False,proj72task1propa,read,True
697fe6a9-897c-4863-a899-0ddef3170c4a,proj41,,planner,1,proj73task1a,,True,schedule,proj41,dept8,2,False,proj72task2a,read,True
36e5ddf5-c36c-4311-b6e7-2f0a66965a76,proj22,,planner,,proj73task2a,dept7,True,schedule,proj22,dept7,,True,proj73task1propa,write,True
dd3d38a8-27dc-4cef-b2ee-de114e4562c0,proj51,,planner,2,proj73task1propa,,True,schedule,proj51,dept8,1,False,proj72task1a,write,True
39a739ef-3022-4669-835c-ed407cd2e730,proj41,,planner,1,proj71task1propa,dept7,False,task,proj31,dept8,,True,proj71task1propa,setStatus,True
4d79bcfe-10b3-48e2-b31f-426c2b7cbc49,proj31,proj31,planner,,proj71task1a,,False,schedule,proj31,dept8,,True,proj72task1propa,read,True
bd351d7f-0b14-45ff-99dd-56091a9917c8,proj42,proj42,planner,,proj71task2a,,True,budget,proj42,dept8,1,False,proj73task2propa,read,True
f1226b1a-69d2-4c1f-8c46-71f3664759b5,proj61,,planner,1,proj73task2propa,dept8,True,task,proj61,dept7,1,False,proj62task1propa,setSchedule,True
fa76da23-a89a-4738-8bb6-89664193b8a4,proj12,proj12,planner,,proj62task2a,dept8,False,schedule,proj12,dept7,1,False,proj72task1propa,read,True
ab19f0e3-10a4-409f-b08b-f1c4b1f68cba,proj52,proj52,planner,1,proj62task2a,dept8,True,task,proj51,dept8,,True,proj62task2a,setStatus,True
970b6ec6-3587-498f-85d8-6b489c601565,proj52,proj52,planner,,proj71task2a,,True,budget,proj52,dept8,1,True,proj62task1propa,read,True
a9879719-0fb1-44e8-aec9-e54c512e04b6,proj41,,planner,1,proj71task1a,dept8,False,task,proj41,dept8,2,False,proj62task2propa,read,True
dc43d545-851f-46b5-8b13-328d359d4dc4,proj21,proj21,planner,,proj71task2propa,dept8,False,budget,proj21,dept8,,True,proj72task2propa,read,True
fc40499f-3c6a-46f0-a972-1dbbfd928565,proj51,,planner,,proj71task1propa,,True,task,proj51,dept7,,True,proj62task1propa,setSchedule,True
b119e840-4a9b-49f3-a54a-5c95204cd655,proj62,,planner,2,proj71task1a,dept8,True,task,proj62,dept7,2,True,proj71task1propa,setSchedule,True
7817f564-3d3e-448a-9cd6-9dd8fcd4226f,proj32,proj32,planner,,proj73task1a,,True,budget,proj32,dept7,,False,proj73task1propa,write,True
ed51efe7-4da7-431a-b92c-5ff521b61da6,proj41,,planner,,proj73task1a,,True,schedule,proj41,dept8,,True,proj72task1a,read,True
0ba2edbb-b60a-4a4e-81f0-909264b9f5c5,proj51,proj51,planner,,proj71task1propa,,True,budget,proj51,dept7,1,False,proj72task2propa,write,True
2f48642d-0379-4c52-a50a-01c71e294bdc,proj11,proj11,planner,1,proj72task2propa,,True,budget,proj11,dept8,2,True,proj72task2a,write,True
bf9ec9cc-bc27-4a06-a1a6-58e3dfddc132,proj62,proj62,planner,,proj62task2a,,False,budget,proj62,dept8,,True,proj72task1a,write,True
74c376b6-cb7c-4434-8e80-9b029604331a,proj32,,planner,2,proj71task2propa,,True,task,proj32,dept8,2,False,proj71task2propa,setStatus,True
a2c4e98b-243e-4ddf-81ce-2a20d51d877d,proj11,proj11,planner,,proj72task1a,dept8,False,schedule,proj11,dept8,,True,proj62task2propa,read,True
f3903efd-5559-4c93-a1cd-2ad5a5051a54,proj51,,planner,1,proj71task1propa,dept8,False,schedule,proj51,dept7,1,True,proj73task2a,read,True
