user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
453a47d6-a30f-4577-b1ec-d48a9cdf3fe2,proj73,,planner,1,proj41task1a,,True,schedule,proj73,dept5,1,True,proj51task2a,read,True
7ff971b7-374d-4ad8-a89f-9c0145142058,proj72,proj72,planner,,proj21task2a,,False,schedule,proj72,dept6,,True,proj52task1a,write,True
3644d300-e310-4243-91f4-40c9c34b5032,proj72,proj72,planner,,proj21task2propa,dept4,False,schedule,proj72,dept5,,False,proj62task1a,write,True
4a89ded7-4c23-4529-80d3-e574625fdbb0,proj74,proj74,planner,,proj62task1a,dept6,True,budget,proj74,dept6,,True,proj31task2propa,write,True
9ce070d2-ad29-497e-9fa2-409881ef0e54,proj74,proj74,planner,2,proj61task1propa,,False,task,proj74,dept1,1,True,proj52task1a,setSchedule,True
59f0fac1-10dc-411b-82db-15c6ffe93ede,proj73,proj73,planner,,proj42task2a,,False,budget,proj73,dept2,,True,proj11task1a,write,True
871d7543-a7c5-449a-b64b-8bcf54e797a9,proj74,,planner,2,proj42task1propa,,True,task,proj74,dept5,2,True,proj42task1propa,setSchedule,True
913626de-3e77-46a5-8d09-c2e9d287975e,proj74,,planner,,proj31task1propa,dept3,True,task,proj74,dept5,,True,proj32task2a,setSchedule,True
b42b811b-4682-4b98-8fc0-782a986daad1,proj74,proj74,planner,,proj31task1a,,False,budget,proj74,dept4,2,True,proj51task2propa,read,True
be34209f-609a-409a-a4ab-3dfc595e51b8,proj72,,planner,2,proj21task2a,dept4,True,schedule,proj72,dept5,,False,proj61task1a,read,True
b8e046bd-1b15-442b-af05-5b118fe150d8,proj71,,planner,1,proj32task1a,,False,schedule,proj71,dept2,,True,proj42task1propa,read,True
fe1b5235-2175-4731-9c1c-de37e250c335,proj73,proj73,planner,,proj12task1propa,,True,schedule,proj73,dept4,1,True,proj61task1propa,read,True
15942bed-a9aa-42c5-8397-f4407b704ac7,proj73,proj73,planner,2,proj42task1a,dept5,False,budget,proj73,dept3,2,False,proj11task2propa,write,True
9a302588-e5e3-4111-bdf5-d554bdcfb8c6,proj73,proj73,planner,2,proj52task1propa,dept1,True,budget,proj73,dept3,,True,proj22task2a,write,True
