user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
5a0fa98d-7452-4f9a-a2e0-c21113ce75b8,proj41,proj41,accountant,,proj31task1propa,,True,budget,proj42,dept8,,True,proj31task1propa,read,False
6af40f11-b831-48ab-b4be-55ec3429602e,proj32,proj32,accountant,1,proj42task1a,dept7,False,schedule,proj32,dept1,,True,proj32task2a,request,False
c93a0f35-4fa1-4274-a875-7c2b4549c375,proj32,,accountant,1,proj41task1a,dept6,True,task,proj42,dept7,,False,proj41task2a,write,False
d277a2ff-0089-4747-8c70-4977b1a0af62,proj42,,accountant,2,proj41task2a,,False,budget,proj42,dept5,1,True,proj32task2a,setSchedule,False
4ea1f491-a5fe-4902-a87f-c9ef198ad133,proj32,,accountant,2,proj32task1propa,dept2,True,budget,proj31,dept6,2,True,proj32task2a,setSchedule,False
49828101-c3b0-496c-b333-6f68de8d5b44,proj42,proj42,accountant,,proj31task2a,,False,task,proj31,dept7,2,False,proj22task2propa,request,False
f65a4bdd-8ec4-48dd-baa8-76bc9cc03df7,proj31,proj31,accountant,2,proj31task2a,dept1,True,budget,proj31,dept7,,False,proj41task1a,setCost,False
b8d79bcf-e0cb-48e7-a268-eb5aa6f5cd1e,proj42,,accountant,2,proj32task1propa,,False,task,proj41,dept1,,True,proj41task2a,setCost,False
868d8bec-8753-4d86-90f5-cead41ae9e88,proj42,proj42,accountant,2,proj42task1a,,True,task,proj32,dept8,1,True,proj22task2propa,setStatus,False
81e638ce-f968-47c7-a943-efdd94e85dbb,proj32,proj32,accountant,,proj32task1a,,False,budget,proj41,dept5,,False,proj42task1propa,setStatus,False
83416fb4-5761-4159-805f-60e39454bc27,proj41,proj41,accountant,,proj32task2propa,dept7,False,budget,proj41,dept6,,False,proj31task1a,request,False
3fe179d8-ccb8-4473-bfb5-2fcf26481204,proj31,,accountant,2,proj32task1a,,True,task,proj42,dept5,,True,proj42task1propa,approve,False
c44e4485-91c2-40ac-a7d9-b61a24aa55c9,proj42,,accountant,,proj42task1propa,,False,schedule,proj41,dept7,,False,proj32task2a,setStatus,False
19bc297c-770b-4613-907e-ce0dd7695866,proj41,,accountant,,proj31task1propa,dept8,True,task,proj31,dept6,,True,proj32task1a,setCost,False
363b0866-6fad-40fa-902e-ad839fe9a32a,proj41,,accountant,2,proj41task2propa,dept7,False,schedule,proj31,dept5,,True,proj31task1a,write,False
4b292874-f9ad-475a-a99a-8a3d1415b984,proj32,,accountant,1,proj32task1a,,False,budget,proj32,dept6,,True,proj31task1propa,approve,False
ba30ad3c-59f8-4779-b5cc-0ea8040c5e4c,proj31,proj31,accountant,,proj31task2a,dept1,True,budget,proj41,dept8,2,True,proj32task2propa,write,False
9aca172f-5e0d-4035-8f21-f2b433fa4db3,proj32,proj32,accountant,1,proj41task2propa,dept1,False,schedule,proj41,dept7,1,False,proj31task1a,request,False
e340b401-9334-4e8f-9ba8-686e89c7e57b,proj32,,accountant,,proj41task2propa,,True,task,proj42,dept8,,True,proj42task1a,read,False
664b224d-bed7-4652-97af-b6bd5bbfe203,proj41,,accountant,,proj41task2propa,,False,budget,proj32,dept6,,False,proj41task2propa,request,False
bc3db0d4-8596-4477-8cf6-1d27382026a3,proj31,,accountant,2,proj32task2propa,,True,schedule,proj42,dept5,1,False,proj31task1propa,approve,False
46786ddd-4c63-4f4e-b288-a299dcef3631,proj42,,accountant,1,proj31task1a,dept6,False,budget,proj41,dept1,,False,proj31task1propa,setStatus,False
75ca9cf3-ce3f-480d-a8cd-8639add38484,proj32,,accountant,1,proj32task1a,,False,task,proj42,dept8,1,False,proj31task2propa,setSchedule,False
97017b0d-5cd9-4a7f-ae29-7b7e0cc713c1,proj31,proj31,accountant,,proj31task1propa,,True,budget,proj42,dept6,,True,proj42task1propa,write,False
ebad1466-18d1-4f6f-84df-8b8e061f5de4,proj31,,accountant,2,proj41task2a,,True,schedule,proj41,dept6,1,False,proj31task2propa,write,False
083db911-f0e2-4ed5-a9fe-029d35e6e1e6,proj31,proj31,accountant,2,proj32task2propa,,False,task,proj31,dept5,2,False,proj32task1propa,setStatus,False
169436f9-eedb-4d4c-acf0-69679ef9f432,proj42,,accountant,,proj31task1a,dept5,True,schedule,proj32,dept8,2,True,proj32task1a,request,False
7b2b4be5-688d-470b-9641-50df88d5dce6,proj41,proj41,accountant,,proj42task1propa,,False,schedule,proj31,dept6,,False,proj41task2a,setCost,False
212cc9a2-b1ef-44d2-8b9c-50f3cba1d54a,proj42,proj42,accountant,1,proj31task1a,,True,budget,proj31,dept5,1,True,proj42task1propa,setCost,False
fc8de3b3-aaa6-4e40-a8d7-edbcf1275ed0,proj42,,accountant,2,proj32task2a,dept8,False,task,proj31,dept6,1,False,proj41task2a,setCost,False
c61f721c-2fef-4464-b2da-738e66c5cea6,proj31,proj31,accountant,1,proj31task1a,,False,schedule,proj31,dept2,,True,proj41task2a,setSchedule,False
6020cc6a-f296-4256-94e4-b1993320aee6,proj31,,accountant,2,proj31task2a,dept7,False,budget,proj42,dept1,,True,proj31task2propa,write,False
c9bf09e9-8237-42e4-8b89-871c24cacc59,proj41,,accountant,2,proj41task1propa,,False,budget,proj42,dept5,2,False,proj42task1a,write,False
f1554d7c-11b4-4a75-a8ef-4401a52241a4,proj41,,accountant,1,proj42task1propa,dept8,False,task,proj31,dept7,,False,proj31task1propa,setSchedule,False
ee4f7b8f-71fa-4d24-8c06-0a6b71fe74ae,proj42,,accountant,2,proj32task2a,dept2,False,task,proj32,dept5,,False,proj41task2propa,setStatus,False
1dfbcd5f-d9a7-4cce-afe0-6794e87d1ec2,proj32,proj32,accountant,,proj32task1a,dept7,True,budget,proj41,dept6,,False,proj42task1a,read,False
4b96bd7c-adf1-474d-b1ef-feda41e390c0,proj31,,accountant,,proj31task2a,,True,budget,proj42,dept8,2,False,proj41task2propa,approve,False
eb58495b-87e1-4c28-bed4-c59195c825eb,proj32,proj32,accountant,,proj42task1a,dept6,True,task,proj42,dept5,2,True,proj41task2a,write,False
12a58b79-e00a-4ed0-8900-96c39fc415ce,proj31,,accountant,1,proj31task1propa,,False,schedule,proj32,dept5,2,False,proj41task1propa,setStatus,False
e4e77959-5af6-4d50-8e6f-f00aeec24c2c,proj42,proj42,accountant,2,proj31task2a,,True,task,proj31,dept6,2,True,proj42task1propa,setSchedule,False
d1e98e3d-2db8-4233-8570-3cd3f0cf6059,proj31,,accountant,1,proj32task2a,dept5,False,schedule,proj41,dept6,,True,proj31task1a,read,False
b7d242fe-6bcb-47d9-9d62-23796916ca48,proj42,proj42,accountant,,proj31task1propa,dept6,False,budget,proj31,dept1,2,False,proj41task1propa,approve,False
1ab0c549-f2b7-4198-9f2e-727f2e16ac8f,proj31,proj31,accountant,,proj42task1a,dept1,False,budget,proj31,dept2,2,True,proj31task1a,request,False
fb8a2c69-ec46-4cce-806d-de0b1dfb3f20,proj41,proj41,accountant,,proj41task1propa,,True,schedule,proj31,dept6,1,True,proj41task1propa,setCost,False
921ebae8-44fc-4475-aa26-9451397e0665,proj32,proj32,accountant,,proj22task2propa,dept8,False,schedule,proj42,dept7,1,False,proj41task1propa,read,False
b8177599-337b-4c5c-ad62-7359ec83658a,proj31,proj31,accountant,2,proj31task2propa,dept2,False,budget,proj31,dept7,,True,proj31task2propa,approve,False
b42de583-dcff-4305-81bb-26cc46fd51bc,proj42,proj42,accountant,,proj42task1a,dept7,False,schedule,proj32,dept7,,False,proj31task1a,request,False
6b8006be-56b3-4833-99df-51365e692b6d,proj32,,accountant,,proj41task1propa,dept5,True,budget,proj41,dept1,1,False,proj41task1a,write,False
aecb306c-dffa-4bec-a2ef-c04e6cbcab90,proj31,proj31,accountant,,proj32task1propa,dept5,True,task,proj42,dept5,,False,proj41task1propa,setStatus,False
a6b344f7-d67e-4b4a-a826-f7fa40d6d44b,proj31,,accountant,2,proj32task1a,dept7,False,budget,proj41,dept1,,False,proj32task2a,read,False
a29e254a-6427-42a7-9e07-96dd1ff1f1a4,proj41,,accountant,,proj32task1a,,False,budget,proj42,dept6,2,True,proj31task1a,approve,False
94cdb592-0778-4416-b4b4-7ccaee958a6a,proj42,proj42,accountant,,proj32task2a,,False,schedule,proj42,dept1,,False,proj31task1a,setSchedule,False
50155304-e610-42f9-b355-10c30b41712b,proj31,proj31,accountant,2,proj41task2a,dept8,True,task,proj41,dept5,,False,proj42task1propa,read,False
4570d09c-ab91-49d4-8494-33795f29d6c0,proj41,proj41,accountant,,proj22task2propa,,True,task,proj31,dept2,1,True,proj31task1a,read,False
62f1d591-6a63-4004-af2e-3d5e607bd120,proj41,proj41,accountant,,proj32task1a,,False,schedule,proj41,dept1,,False,proj42task1a,request,False
7bd69bef-143e-417f-94d4-14895e53dd68,proj32,proj32,accountant,,proj32task1a,,False,schedule,proj42,dept7,1,False,proj31task1a,approve,False
d2b1f693-dda1-4059-92cd-91e744fccf44,proj41,proj41,accountant,,proj42task1a,,False,budget,proj31,dept6,2,True,proj22task2propa,setCost,False
a0ac9ebd-c072-41ce-98f2-7ff06ad41fdb,proj41,,accountant,2,proj32task1a,,True,budget,proj31,dept2,,True,proj41task1a,request,False
dd0f75c7-678e-4ebc-9d1a-7fb42374c616,proj41,,accountant,2,proj31task2a,dept6,False,task,proj31,dept7,1,True,proj41task2a,write,False
3a7c1e3e-cb0e-44ad-a70d-ae05c14c86dd,proj31,,accountant,1,proj31task2a,dept2,True,task,proj42,dept7,2,True,proj32task1propa,write,False
fb07941d-96c9-4d01-8b80-c4b039166081,proj42,,accountant,,proj42task1a,dept6,False,schedule,proj32,dept5,1,False,proj31task2propa,approve,False
251e846c-06ab-4b64-b798-64508a6c46c6,proj31,,accountant,,proj31task2a,dept7,False,task,proj32,dept8,,False,proj31task2a,approve,False
b474db22-a49c-484d-acf6-41eaf59e5f17,proj42,proj42,accountant,1,proj41task1a,,True,schedule,proj32,dept1,2,True,proj31task1propa,setSchedule,False
ae1b8ac1-0517-49a8-95d9-dc8241792a43,proj32,proj32,accountant,2,proj31task2a,dept2,False,budget,proj41,dept8,,True,proj22task2propa,request,False
8025286b-9f86-4469-a197-32fada46a8b0,proj41,proj41,accountant,,proj32task1propa,,False,task,proj32,dept2,2,True,proj31task1propa,write,False
4519f483-fda9-4c47-aeb5-1ce38a0b1f14,proj31,,accountant,,proj31task2propa,,False,task,proj41,dept5,,True,proj32task2propa,approve,False
4241912f-9fd8-4618-b63c-61e758e610c3,proj42,,accountant,,proj32task1propa,dept1,False,task,proj31,dept6,,False,proj41task2a,setSchedule,False
82764cc7-0660-475d-98fb-c8741a15cd6b,proj31,proj31,accountant,,proj31task2propa,,False,budget,proj41,dept2,,False,proj41task2a,setSchedule,False
51adc16c-79fd-44a3-8f43-5594c527937d,proj41,proj41,accountant,,proj31task2a,,False,schedule,proj31,dept1,2,False,proj32task1propa,approve,False
558890ff-f351-49f4-bf09-bb20e628aa92,proj31,proj31,accountant,1,proj41task2a,,False,schedule,proj31,dept6,,True,proj32task1propa,setSchedule,False
55778d7f-fc33-4441-a0eb-8b4f509d15f6,proj31,,accountant,,proj31task2propa,,True,schedule,proj41,dept7,2,False,proj32task1propa,setStatus,False
1c0ee7e1-9f09-4e60-843b-e930010feb09,proj41,proj41,accountant,,proj32task1a,,False,task,proj32,dept1,2,False,proj41task1a,read,False
4e60a02b-0664-4ada-b6ac-753e602b8d83,proj31,,accountant,2,proj22task2propa,dept7,False,task,proj41,dept7,,False,proj41task2a,setCost,False
8a704e37-18d5-4905-b3f6-ca89b891d18c,proj31,,accountant,,proj41task2propa,dept1,False,budget,proj41,dept5,,False,proj31task2propa,setCost,False
567d60a8-99af-4382-ac39-1dde398221f0,proj41,proj41,accountant,,proj31task2a,,False,task,proj32,dept6,2,False,proj41task2a,write,False
fffcc9bb-3bc2-420e-bb38-77d93fc289a8,proj42,proj42,accountant,,proj32task2a,dept8,True,budget,proj41,dept2,1,False,proj31task1propa,request,False
0864917b-b1af-4790-afb3-729fdd6f57cd,proj41,proj41,accountant,1,proj31task2propa,,True,task,proj42,dept2,2,False,proj41task1a,write,False
8c3814aa-0b96-48d2-8514-08d7f60859ef,proj32,proj32,accountant,2,proj41task2a,,False,budget,proj32,dept6,2,False,proj31task2propa,approve,False
a7793d10-fb86-421c-b624-660bcc9ae652,proj31,,accountant,2,proj42task1a,dept2,False,schedule,proj42,dept8,,True,proj31task2a,read,False
5f25bbc5-0a8b-4c97-9ab5-136f641481be,proj41,proj41,accountant,2,proj41task2propa,dept6,True,task,proj41,dept7,,False,proj31task1a,write,False
7c39812f-a56d-4b21-8033-3f2596ff8ee8,proj31,proj31,accountant,1,proj31task1propa,,True,budget,proj42,dept7,,False,proj32task2a,setStatus,False
2204c804-667b-419c-bb4c-11d0e04d863e,proj32,proj32,accountant,,proj22task2propa,dept6,False,schedule,proj31,dept5,,True,proj41task2propa,request,False
a9593ca6-a2ef-4312-88e0-fa1a7d1bfd72,proj32,,accountant,,proj32task1a,dept7,True,task,proj31,dept2,,True,proj41task2propa,approve,False
29227ee4-49bd-481e-b26c-af45b01b23a2,proj41,,accountant,,proj31task1a,dept1,False,task,proj31,dept7,1,False,proj32task2propa,setSchedule,False
2df212c2-eaeb-4591-8a1f-a2580b58a605,proj31,,accountant,,proj32task1propa,,False,schedule,proj32,dept2,,True,proj41task2a,read,False
d919f15b-2efd-47ba-82c8-6287de5ff82e,proj32,,accountant,,proj31task2a,,False,budget,proj42,dept6,,True,proj42task1propa,setSchedule,False
4d7f699d-5974-40a8-bf41-a01743a69cda,proj41,,accountant,1,proj32task1propa,,True,budget,proj31,dept7,,True,proj32task1a,write,False
b7efd074-b071-4df8-b229-0ac1f7566ea8,proj32,,accountant,,proj41task2a,,True,budget,proj32,dept5,2,True,proj32task2propa,setStatus,False
8646bc34-30c3-47e7-b7f3-d7ebac57b749,proj31,proj31,accountant,,proj32task2a,,True,task,proj32,dept6,1,True,proj42task1a,setStatus,False
f051cfb1-c2ca-4ec9-ac7e-f7782f69be8b,proj42,,accountant,,proj41task2a,dept6,True,budget,proj32,dept5,2,False,proj41task1a,read,False
41c429ef-a6b9-4926-8a1a-b81d0a99e1ff,proj41,,accountant,2,proj31task2a,dept1,True,schedule,proj32,dept7,1,False,proj32task2a,setStatus,False
7f5ba699-8179-431c-8e3e-e76945c50074,proj42,,accountant,1,proj32task2propa,dept1,False,budget,proj31,dept7,1,True,proj41task2a,approve,False
c21f5ece-291c-49e4-8e01-0a41be7caaca,proj31,proj31,accountant,1,proj22task2propa,,True,schedule,proj42,dept6,,False,proj22task2propa,approve,False
6fb3f881-d3e5-4893-9e4b-8217c2321bd6,proj31,,accountant,2,proj42task1propa,dept2,False,budget,proj42,dept5,,False,proj42task1a,setSchedule,False
0758d937-9519-4db2-8a19-ebc879b6b9e9,proj42,proj42,accountant,2,proj32task2a,,False,budget,proj41,dept8,1,False,proj22task2propa,approve,False
5879984c-bff4-4c72-b378-04ba2b350002,proj31,proj31,accountant,,proj22task2propa,,False,task,proj42,dept7,,True,proj32task1propa,read,False
007aa058-63d5-4063-b068-5e91ff6fabdc,proj42,,accountant,,proj41task1a,,True,schedule,proj32,dept1,1,False,proj41task1a,write,False
