user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
a14203f3-535f-426b-a167-93d0d7ca098d,proj52,,accountant,,proj42task2propa,dept3,True,budget,proj11,dept4,1,False,proj51task1a,setStatus,False
d9d51b5f-3ff5-4110-bd41-0be46895bf01,proj11,,accountant,,proj72task1propa,dept3,False,task,proj51,dept3,2,False,proj61task2propa,setSchedule,False
8f61c8c6-5f2d-44da-aa58-eb35ed515cbf,proj12,,accountant,2,proj51task1a,,False,task,proj22,dept3,,False,proj42task2propa,setCost,False
09c03829-353d-4c91-9ee4-f53f5d7980dc,proj74,,accountant,1,proj52task1propa,dept3,False,task,proj61,dept4,,False,proj21task2propa,read,False
54f9e363-099f-476c-bf80-d4d8d56d496a,proj11,,accountant,,proj72task1a,dept3,False,schedule,proj74,dept3,2,True,proj62task1a,write,False
543f9a8f-9d75-4be5-8b25-b1c39bf81748,proj22,,accountant,,proj11task2propa,,True,budget,proj72,dept3,,False,proj51task1a,request,False
2f7d1259-aa59-48bf-b462-2dd31bb6c076,proj72,proj72,accountant,,proj42task2propa,dept3,True,budget,proj71,dept4,,True,proj51task2propa,approve,False
8a3df09f-85ca-4b30-a7e4-4567298518ec,proj11,proj11,accountant,2,proj12task2a,,False,schedule,proj22,dept3,,False,proj11task2a,setCost,False
013fc0f0-ab82-4a69-9beb-275cb9504b3a,proj11,,accountant,2,proj61task1propa,dept3,True,schedule,proj52,dept4,,True,proj52task1a,setStatus,False
887f8939-2f1b-414b-8b0e-47ca5ad00035,proj62,,accountant,2,proj51task1propa,dept3,True,budget,proj71,dept4,,False,proj21task1a,request,False
d545fb33-c4df-4aa7-bbd7-f26b906ff868,proj12,proj12,accountant,,proj11task1propa,,True,task,proj62,dept4,1,False,proj12task2propa,setSchedule,False
65ed04dc-508a-4769-b990-8a73796a8d3f,proj71,,accountant,,proj51task1a,,True,schedule,proj74,dept4,,False,proj62task1propa,setStatus,False
2704bcca-5474-4d81-ba1b-7b6b42f10103,proj21,proj21,accountant,,proj11task2a,,False,budget,proj62,dept4,2,False,proj73task2propa,setCost,False
e66703e5-5406-4ade-bf68-c882e331488d,proj12,proj12,accountant,1,proj51task2a,dept4,True,task,proj52,dept4,2,False,proj22task2a,setStatus,False
5d1fb79c-a1be-4742-a43b-848a13db675b,proj52,,accountant,2,proj21task1propa,,True,task,proj51,dept4,1,False,proj21task2a,write,False
99b0fb66-88bc-4a1b-b54c-cff32dece751,proj11,proj11,accountant,,proj12task1propa,,True,task,proj22,dept3,,False,proj62task2propa,write,False
325baf1d-41bf-4b15-8792-12780ea70f83,proj61,,accountant,,proj71task2a,,True,schedule,proj74,dept3,,True,proj42task2a,request,False
343184b5-4970-4f4e-b534-db899a19c2e6,proj71,,accountant,1,proj12task1a,dept4,True,task,proj72,dept4,1,True,proj61task1a,write,False
be08546b-85f4-4557-aa27-4463a8ba6cb9,proj22,,accountant,,proj71task2propa,,True,schedule,proj12,dept3,1,True,proj52task2propa,setSchedule,False
60508dfd-124f-4604-bc39-edf37367c9b9,proj22,,accountant,1,proj12task2a,dept4,True,task,proj52,dept4,1,False,proj71task1a,setCost,False
