user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
e36fd81d-21ed-4198-88e6-d83d0c8fc129,proj51,,auditor,1,proj42task2a,dept7,False,schedule,proj51,dept4,,False,proj51task1propa,setSchedule,False
4c11b4eb-339e-47d0-a556-d986ccc67d4a,proj61,proj61,auditor,,proj42task2propa,dept7,True,task,proj51,dept8,,False,proj61task2propa,write,False
111e4d06-e481-43bb-81be-5b3696df3e78,proj51,,auditor,1,proj61task2propa,,True,task,proj62,dept1,,False,proj61task2propa,approve,False
6f9e1b93-ce13-4978-b7bf-c81ac26c9e6f,proj62,proj62,auditor,2,proj51task1a,,False,task,proj51,dept7,1,False,proj42task2a,setCost,False
699094c9-9553-4954-97bc-65b231c375e5,proj62,proj62,auditor,1,proj52task1a,dept2,True,task,proj61,dept2,,False,proj61task1a,read,False
5cb543d0-b2e9-4086-9127-8ccf9faa7c1a,proj61,proj61,auditor,,proj61task2propa,,False,task,proj62,dept4,,True,proj42task2propa,setCost,False
c9715d9e-439e-41a9-a4cb-e5c4af43559d,proj52,proj52,auditor,,proj52task1propa,dept3,False,budget,proj62,dept3,,True,proj52task2propa,setCost,False
7de25eca-1dc8-4c6b-8887-d5536f6655bc,proj51,,auditor,1,proj61task1propa,,True,budget,proj52,dept8,,False,proj61task2propa,setSchedule,False
cf299327-5faa-4cc4-a23c-25abcd1c0473,proj52,proj52,auditor,1,proj61task1a,dept1,True,budget,proj61,dept3,1,True,proj52task2a,read,False
2b0d9793-8b89-4585-9798-69f1d3e917db,proj62,,auditor,1,proj42task2a,dept2,False,budget,proj52,dept4,,True,proj52task2a,setStatus,False
28d78f8f-213b-4df4-9278-cee5acb6d822,proj52,,auditor,,proj52task1propa,,False,schedule,proj51,dept4,,False,proj61task2propa,read,False
d43ed197-c8d3-4e45-bef7-800a2c2f4275,proj52,proj52,auditor,,proj52task1propa,,False,task,proj51,dept8,,False,proj52task2propa,request,False
81ed5590-1920-4de9-b75b-2b5ec9a17175,proj52,,auditor,,proj42task2propa,,True,schedule,proj52,dept3,2,False,proj51task2a,setCost,False
e25e020b-bba6-48a3-9576-9aa41b0a9c10,proj51,,auditor,2,proj61task2a,,True,schedule,proj62,dept2,,False,proj52task1propa,setSchedule,False
685a29c4-20f0-470f-b744-29f6e42419e4,proj52,proj52,auditor,2,proj61task1propa,,True,task,proj52,dept8,,False,proj51task1propa,write,False
ba1ac7c5-f2b1-45c4-8e4d-8f0476ae5b93,proj62,proj62,auditor,,proj51task1a,dept4,True,schedule,proj52,dept3,2,True,proj61task2a,request,False
9ae949d1-01e4-4f3f-a856-7cb9f48f4e43,proj61,proj61,auditor,2,proj52task2a,,True,schedule,proj62,dept2,,True,proj51task2a,setStatus,False
70449a03-8aa2-4e46-938f-8b1be60f330a,proj61,proj61,auditor,,proj61task1propa,,False,schedule,proj51,dept7,2,False,proj42task2propa,setSchedule,False
add1da74-a901-4d5f-b00f-487101e24dda,proj52,proj52,auditor,,proj52task2a,,True,schedule,proj61,dept4,,True,proj62task1a,request,False
2e1f5d54-4289-4a4f-8352-a4b4d413833e,proj52,,auditor,2,proj52task2propa,dept8,True,task,proj52,dept1,,False,proj42task2a,request,False
4ae7a7d1-2ff5-4283-bcff-e4bf5cfb9a62,proj61,proj61,auditor,,proj42task2propa,,False,schedule,proj52,dept7,,False,proj51task1propa,read,False
bcfefff9-9b6a-429e-b6fa-555da995b832,proj62,,auditor,1,proj61task2a,,False,task,proj61,dept1,2,True,proj42task2a,approve,False
aeeac391-b3e6-4722-a916-9f5016117a7f,proj62,proj62,auditor,2,proj42task2propa,dept3,False,budget,proj62,dept8,1,True,proj52task1a,setCost,False
bb8975b5-fd0f-4282-8556-97e16ddf2ef1,proj52,proj52,auditor,,proj52task1propa,,True,schedule,proj62,dept8,,True,proj42task2a,read,False
38358370-3487-4823-9ff0-26778d42df97,proj62,,auditor,,proj42task2a,dept4,False,schedule,proj61,dept8,,False,proj61task1a,request,False
f5c1bd68-e8c3-49d0-aa4a-055f38e5e886,proj52,,auditor,,proj52task1a,,True,schedule,proj62,dept4,1,True,proj51task1propa,setCost,False
9223b89d-f20f-4255-99c6-34a5d8c0fa3a,proj61,,auditor,1,proj51task1propa,,True,schedule,proj52,dept3,,True,proj52task1a,request,False
4839aa59-4e27-48c3-a6fe-ca5b44a985dc,proj62,,auditor,,proj51task1propa,,True,budget,proj52,dept7,2,True,proj51task1propa,write,False
bf56ad33-90e1-40e3-8355-8ac34d44e6b1,proj61,proj61,auditor,1,proj51task1a,,True,budget,proj52,dept8,,False,proj51task2a,approve,False
9b68b226-e74f-4bb4-8bcd-1ef90223a2d0,proj52,,auditor,1,proj42task2propa,dept8,True,budget,proj52,dept4,1,False,proj42task2propa,write,False
74de8a5e-d9bb-4269-97d0-ce0b16f6d90e,proj52,,auditor,,proj52task1propa,,True,task,proj51,dept7,2,True,proj51task1a,approve,False
7329d62e-f28c-42d6-aebc-38a678e7a944,proj61,,auditor,,proj62task1a,,True,budget,proj61,dept2,,True,proj42task2a,setStatus,False
1a3ebc2b-8ffe-4f42-9b0e-b1f099c46503,proj62,proj62,auditor,,proj52task2propa,dept3,False,budget,proj52,dept1,,False,proj61task1a,approve,False
090cd3d2-178f-4de8-8d2a-c658e8161caa,proj61,proj61,auditor,,proj52task1a,dept3,True,budget,proj61,dept3,,True,proj61task2propa,setStatus,False
e14ccb34-6353-4442-be76-f94b4bf347d4,proj52,proj52,auditor,2,proj52task1a,,True,schedule,proj61,dept7,,False,proj51task2propa,write,False
888120b8-97ea-4252-8e8a-2302d57e9c2d,proj61,,auditor,,proj52task1propa,dept8,True,budget,proj52,dept3,2,True,proj52task1a,setStatus,False
32a80647-b539-4f25-b93a-bb0fac9e4388,proj62,,auditor,2,proj51task2propa,,True,task,proj61,dept8,,False,proj61task1propa,setSchedule,False
632a970e-066d-47f2-9023-b4c49eb9dabc,proj62,proj62,auditor,,proj52task1a,dept2,False,budget,proj61,dept2,1,True,proj51task1propa,setStatus,False
90e313eb-fed1-493c-b416-67a4280685ce,proj52,,auditor,2,proj51task1a,,True,task,proj62,dept3,,True,proj42task2propa,setCost,False
008430d8-826f-4642-8a0f-9729bcb94e9a,proj61,,auditor,1,proj51task2a,,False,task,proj51,dept7,2,True,proj52task1propa,request,False
53a70e0f-443d-4ae7-b3f8-485c50f6881e,proj62,,auditor,1,proj61task2propa,,True,schedule,proj51,dept2,2,False,proj62task1a,write,False
697adc42-0d40-4a46-a1db-6aa83132bdb0,proj51,proj51,auditor,1,proj52task2a,,True,task,proj61,dept3,,True,proj61task2a,setCost,False
764b155a-a86f-4f93-b16c-ae9c70d532e2,proj62,proj62,auditor,1,proj52task2a,dept8,False,budget,proj62,dept1,,False,proj52task1propa,approve,False
ec0528e0-4b0d-4e7a-9d15-c5913fdbc88a,proj62,,auditor,1,proj61task2a,dept4,True,budget,proj62,dept3,1,False,proj61task1propa,setCost,False
c9074281-2c24-4ae8-8d32-f22d4af988d1,proj52,,auditor,1,proj61task2a,dept3,False,task,proj52,dept7,2,True,proj62task1a,approve,False
4c28476a-3ffc-4eac-b12d-5b5a59c1305d,proj52,,auditor,,proj42task2a,dept4,True,schedule,proj52,dept4,1,False,proj61task1propa,approve,False
fe4ddae2-4946-4852-b9fa-530c68d03c1b,proj52,,auditor,2,proj51task1propa,,True,schedule,proj52,dept4,,False,proj52task1propa,request,False
9a8fddd1-87c3-44a0-a1d8-321a88a756bd,proj52,,auditor,,proj62task1a,dept7,False,budget,proj51,dept4,,False,proj52task1a,setCost,False
18770b22-bb70-4907-8e5b-fa1d7dcdbbd1,proj52,proj52,auditor,,proj42task2propa,,False,task,proj61,dept1,1,False,proj52task1propa,write,False
c9e2c661-dfb6-4162-bde4-a8c8a757efb5,proj61,,auditor,2,proj61task1a,dept8,False,task,proj51,dept1,,True,proj61task2propa,read,False
523e866c-9408-440b-a81a-f8d3528a504e,proj52,proj52,auditor,,proj51task2propa,,False,task,proj51,dept8,2,False,proj61task1a,read,False
8c0a0318-8853-492d-9cd1-b59494190717,proj62,,auditor,,proj51task2propa,dept8,False,budget,proj51,dept4,,False,proj61task1propa,write,False
e1b51873-6dbd-4b15-a9bc-597b6a518555,proj61,,auditor,,proj52task1propa,dept7,False,task,proj52,dept4,,True,proj52task2propa,request,False
ead28932-277d-4756-9931-84a079663e25,proj61,,auditor,,proj52task1propa,dept8,False,task,proj51,dept3,,False,proj52task1a,request,False
935cbb7e-a7c8-4c21-a5c9-771c3da2926c,proj52,proj52,auditor,1,proj52task1a,,True,schedule,proj51,dept8,,False,proj42task2propa,read,False
9c59d1cb-adff-49f5-80a2-d031504fea08,proj51,,auditor,,proj61task2a,,False,budget,proj62,dept2,,True,proj52task2propa,write,False
96f35d2c-195d-496a-a873-4217943a8796,proj51,,auditor,,proj42task2a,dept7,True,budget,proj52,dept7,2,False,proj61task1a,request,False
