user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
c3570421-3b36-45d5-8d54-95b20ad6762d,proj11,,auditor,1,proj51task1a,dept6,True,task,proj12,dept6,,False,proj52task1a,write,False
74ae751c-2be2-48ed-a971-1b628f93b28c,proj32,,auditor,2,proj61task2a,,True,task,proj21,dept5,,False,proj61task2propa,setSchedule,False
72d697c8-e02b-43d4-9b2e-0b8f53cf971a,proj73,,auditor,,proj51task2a,,False,schedule,proj12,dept5,,False,proj52task1a,setSchedule,False
c8784965-96f9-4aa5-b33d-0beff970d54a,proj73,,auditor,2,proj62task1a,,True,schedule,proj41,dept5,,True,proj61task1propa,write,False
801c0950-f70c-4ea0-aaf4-1af8dacd25a0,proj72,proj72,auditor,,proj61task1propa,dept6,False,schedule,proj71,dept6,2,True,proj61task2propa,setStatus,False
705c4e03-d0f5-447a-bf66-83ebf4170e15,proj11,proj11,auditor,,proj61task2propa,dept5,False,budget,proj12,dept5,,False,proj42task2a,read,False
317920f6-1703-445f-8a81-905d89c16df0,proj22,proj22,auditor,,proj61task2propa,,False,schedule,proj22,dept6,1,False,proj51task1propa,approve,False
fee23f0c-469d-4acf-a26f-c8c4ca9f7fc8,proj73,,auditor,,proj61task1propa,,True,budget,proj73,dept6,2,False,proj61task2a,setStatus,False
2e15d287-d3f8-4a45-a61c-80f430105902,proj41,proj41,auditor,,proj62task1a,dept5,False,schedule,proj22,dept5,,False,proj61task2propa,setSchedule,False
7907387e-1018-44d5-b1a8-f9e6ae2cc44b,proj72,,auditor,2,proj52task1propa,dept5,False,task,proj41,dept6,1,False,proj52task1propa,approve,False
8da02490-ff05-4af7-a381-ac47545d3434,proj22,,auditor,2,proj52task2propa,,False,budget,proj12,dept5,2,True,proj51task1a,read,False
009310ac-3477-48c6-ac27-fd249d7a8f9f,proj32,,auditor,1,proj62task1a,,True,schedule,proj12,dept6,1,False,proj52task2propa,setSchedule,False
6056cd9b-cbd9-4b60-8edd-01e7c82e598d,proj22,,auditor,,proj52task1a,dept5,False,budget,proj74,dept5,,True,proj61task2a,request,False
c2005e3b-36ce-45f8-98c4-e55fd86956e5,proj22,,auditor,,proj52task2propa,dept6,True,schedule,proj22,dept5,,False,proj52task1a,setStatus,False
8f6646bd-2ac0-42fe-96e1-038c7638555e,proj12,proj12,auditor,1,proj51task2a,,True,task,proj32,dept6,2,False,proj61task2propa,setStatus,False
15d633d9-ae83-4fcd-a305-da088b4a11b1,proj74,proj74,auditor,1,proj51task2a,dept6,False,task,proj41,dept5,,True,proj51task1propa,request,False
c3d91d33-ea3c-4bcf-9a62-172fd014fff4,proj32,proj32,auditor,1,proj51task1propa,,False,schedule,proj73,dept6,,False,proj42task2a,setStatus,False
47763497-3cc5-48ce-b930-658b18593658,proj12,proj12,auditor,,proj52task2propa,dept5,True,task,proj72,dept5,2,False,proj42task2propa,approve,False
0829617a-4be1-4028-9a17-f8b765e3397c,proj71,,auditor,1,proj52task2a,dept6,False,budget,proj21,dept5,,True,proj51task2propa,setCost,False
52f87d81-932a-43e1-bcf3-1b788da617f2,proj31,,auditor,1,proj42task2propa,,False,task,proj74,dept6,,False,proj61task2a,setCost,False
7b894bd0-3df8-4096-8003-6874362150e1,proj73,proj73,auditor,1,proj61task2a,dept5,False,budget,proj11,dept6,,False,proj42task2a,approve,False
6000e8fe-2343-4092-a1a5-8a10e5f843d5,proj12,,auditor,,proj52task1a,,True,schedule,proj11,dept5,,True,proj51task2a,setCost,False
687141bb-a52c-402a-9efe-dfafed236dfd,proj71,,auditor,2,proj52task1a,,True,task,proj21,dept5,,True,proj61task1a,write,False
47909a42-ea32-43a8-9fd8-38e851ab4cf9,proj32,,auditor,2,proj61task1a,dept6,False,budget,proj22,dept6,,False,proj52task1a,setCost,False
9aa5ba6a-2f49-42fb-9179-28ae24b6e01b,proj71,proj71,auditor,2,proj51task1a,,True,schedule,proj41,dept5,,True,proj61task1propa,approve,False
1df23dab-5503-4b77-b1a7-047bbabffa2e,proj32,,auditor,2,proj51task2a,dept6,False,budget,proj11,dept5,,False,proj52task2propa,approve,False
0c66e6b3-20b9-497b-aa4e-7a64d244734e,proj42,proj42,auditor,1,proj61task1a,,True,budget,proj73,dept5,,True,proj51task1a,read,False
