user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
1710cb49-9015-4a4b-bdb6-eceacc475837,proj41,proj41,auditor,,proj42task2propa,dept2,False,task,proj41,dept1,,False,proj51task2propa,read,False
d5acfe19-6ba8-497c-951a-51d63ca7c96a,proj72,proj72,auditor,,proj52task2propa,dept3,False,task,proj12,dept7,,False,proj61task1propa,setCost,False
15148b67-5926-4dec-b32d-79dd5e2dd104,proj32,,auditor,1,proj61task1a,,False,budget,proj71,dept1,,True,proj61task1propa,write,False
151576e1-1edb-4da8-bbbf-3dbb5296755d,proj74,proj74,auditor,1,proj51task1a,dept2,True,budget,proj22,dept4,,False,proj62task1a,read,False
8a7492e4-66e1-4626-bb8b-749cad2b643e,proj22,proj22,auditor,1,proj52task2a,dept7,True,task,proj72,dept3,,False,proj62task1a,write,False
6c549097-296c-48ca-a29d-b225b68a8d1c,proj11,proj11,auditor,2,proj61task2propa,,False,schedule,proj42,dept3,2,False,proj51task1a,setStatus,False
df8d621a-5328-4655-bcc8-1cb60ac78941,proj12,proj12,auditor,1,proj61task2a,dept4,True,schedule,proj72,dept8,,False,proj51task1a,request,False
12ea3bc2-b206-4317-bf53-c722e7a8eff4,proj74,,auditor,1,proj61task1propa,dept7,True,schedule,proj12,dept1,2,False,proj42task2propa,setStatus,False
81593bc1-3bec-4049-b55f-5a831774d0b1,proj12,proj12,auditor,2,proj51task1propa,dept8,False,task,proj41,dept2,,False,proj52task2propa,request,False
01f3b135-6c65-4f23-a367-f57b44fd4872,proj11,proj11,auditor,,proj61task1a,,True,budget,proj32,dept3,1,False,proj52task1propa,setCost,False
369c7faf-a935-45a4-ac62-b13e4fe8cd49,proj74,,auditor,1,proj42task2a,dept4,False,task,proj12,dept1,,True,proj62task1a,setSchedule,False
e895805b-4275-4f9a-91d0-1a1a64be0df3,proj72,proj72,auditor,2,proj61task2a,,True,task,proj11,dept3,,True,proj52task1a,read,False
927bfff5-9f5e-4643-a988-11e7ddfc2fcc,proj22,proj22,auditor,2,proj61task1a,dept4,True,task,proj21,dept7,,True,proj51task2propa,approve,False
594931f9-066e-4b52-951f-ccd3aaac6afd,proj72,proj72,auditor,2,proj42task2a,,True,task,proj71,dept3,2,True,proj61task1propa,read,False
cd7296a3-e868-472e-89b6-9ffc27966a33,proj72,proj72,auditor,2,proj52task1propa,dept2,False,budget,proj72,dept1,1,True,proj42task2propa,setCost,False
4aee8cec-e98d-4443-bf73-44635606b237,proj21,proj21,auditor,,proj51task1propa,dept4,False,budget,proj22,dept7,,False,proj61task1a,write,False
e88d48c7-c45e-43d5-b673-21118b5ab46b,proj71,,auditor,2,proj52task2a,dept2,False,budget,proj72,dept3,,True,proj52task2propa,request,False
66d21a7d-05e6-4c70-9fc9-b066d88e2f65,proj32,proj32,auditor,,proj61task1a,dept7,False,budget,proj72,dept8,,True,proj61task2a,setSchedule,False
