user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
b98d9675-558f-45c1-aba0-af91c459751a,proj21,proj21,auditor,1,proj12task2a,,False,schedule,proj72,dept5,1,True,proj31task2a,setCost,False
61c2fef3-24a8-4e87-9b10-bc69e0495094,proj71,,auditor,2,proj21task2a,,True,task,proj74,dept6,2,False,proj71task2a,request,False
e0fdfad9-9618-4d79-aa93-77af95a7cf8d,proj31,proj31,auditor,2,proj31task2propa,,True,task,proj42,dept6,,False,proj42task1propa,setStatus,False
b6918b31-056c-4c90-bf1f-0d86bbdf0491,proj31,proj31,auditor,1,proj12task1a,,False,budget,proj11,dept6,,True,proj41task2a,approve,False
b4c8c363-b775-4d1f-b520-ce5aedb66392,proj41,,auditor,,proj72task1a,,True,task,proj12,dept6,,True,proj22task1propa,approve,False
c536db35-832f-444b-99f0-f38e46a50e6e,proj12,proj12,auditor,2,proj41task1a,,True,task,proj21,dept5,,True,proj21task2a,setStatus,False
86e52178-d69a-4051-987d-7516358547d0,proj73,,auditor,,proj42task1propa,dept6,True,task,proj31,dept6,2,True,proj41task2propa,setCost,False
f55316ac-c252-4e32-927c-ffc0c7b18c63,proj22,proj22,auditor,,proj41task2propa,,True,task,proj41,dept6,,True,proj22task2propa,setSchedule,False
359368df-c73b-4c93-a6f7-9b4a6afbe92d,proj21,,auditor,,proj32task1a,dept5,True,task,proj74,dept5,1,True,proj73task1propa,setStatus,False
adc4f542-c8bf-446b-9a10-1ef1d54ead08,proj11,,auditor,1,proj71task2a,dept5,True,budget,proj74,dept5,,False,proj41task1a,request,False
b1452301-f4e4-4e66-9f5a-d64f13b41fff,proj71,proj71,auditor,,proj41task2propa,dept6,False,task,proj21,dept6,1,True,proj41task1propa,setCost,False
fa80e9a1-4732-46f5-a820-2523b1efc499,proj41,,auditor,,proj11task2a,,False,task,proj74,dept6,,True,proj42task1propa,request,False
38141da1-1fc9-4d91-b1dc-063df53db54d,proj73,,auditor,2,proj71task1propa,dept6,True,schedule,proj22,dept5,,True,proj72task2a,read,False
423debf7-a60d-4260-a1bb-994c446d690f,proj73,,auditor,1,proj72task1a,,True,schedule,proj21,dept6,1,False,proj71task2propa,setStatus,False
9b2169eb-6652-4e2b-ad31-55ad37eea779,proj12,,auditor,,proj22task1a,dept5,True,task,proj12,dept5,1,True,proj62task2propa,setCost,False
5c99cd2c-6d18-4dc9-999f-3e4856208b6d,proj21,proj21,auditor,1,proj72task2propa,,True,schedule,proj74,dept6,2,False,proj21task2propa,read,False
fc2fe1f5-648d-4b04-a767-d04a544e7f99,proj71,,auditor,,proj12task2propa,dept5,True,task,proj42,dept5,1,False,proj22task1propa,request,False
06aab3c9-062f-451d-81d1-2bbac0164e79,proj73,proj73,auditor,1,proj11task1propa,dept6,True,task,proj11,dept5,2,False,proj11task2a,setCost,False
5edb086c-2f33-428d-8347-cf8932f14467,proj42,proj42,auditor,2,proj12task2a,dept5,False,schedule,proj41,dept6,2,False,proj73task1a,setCost,False
