user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
9b8eb418-c8f5-4389-8b77-826906d0832e,proj11,proj11,manager,,proj12task2a,,True,task,proj22,dept4,2,False,proj22task1propa,request,False
758fb08a-c2f1-4d45-a8a2-f840e585d9ac,proj21,proj21,manager,1,proj12task2propa,,False,budget,proj22,dept6,2,True,proj12task1propa,approve,False
5b066604-6dbd-4414-873c-112c1316d67c,proj11,,manager,,proj11task2propa,dept6,True,budget,proj12,dept7,,False,proj22task1a,setCost,False
1053bcc7-627a-4d51-b803-a635bb11a90a,proj11,proj11,manager,2,proj12task2propa,dept3,True,schedule,proj22,dept4,,False,proj21task1propa,write,False
c841530e-ef0d-4e3c-97bb-d65f184806be,proj11,proj11,manager,1,proj22task1a,dept8,True,budget,proj12,dept5,2,False,proj11task2a,write,False
02755e07-0c27-4280-8f30-7d7060e4cb82,proj22,proj22,manager,,proj12task2propa,dept5,True,budget,proj21,dept6,,False,proj11task2a,setCost,False
f21ae05e-1ed8-4d9f-a463-834095ce7a67,proj11,proj11,manager,,proj12task1a,dept8,True,task,proj12,dept8,1,False,proj12task2propa,setCost,False
e458d842-05b4-451a-a427-3106894bcd59,proj21,,manager,,proj22task2a,,False,task,proj12,dept3,2,True,proj11task2a,setCost,False
e021351a-68d7-4f0b-b26f-0651a7f07e40,proj12,,manager,,proj22task1propa,,True,task,proj22,dept4,,True,proj21task1a,setCost,False
996606bc-0527-45f0-a309-d60b084bbfee,proj22,,manager,1,proj21task2a,dept3,True,budget,proj22,dept3,,False,proj22task1propa,write,False
7a1277fa-b29e-4c27-bea3-4a725a3dbe72,proj12,,manager,,proj22task1a,dept5,False,budget,proj11,dept8,,False,proj11task1propa,setStatus,False
5e30c074-8ae5-457b-a2ce-9974c494a504,proj21,,manager,,proj11task2propa,,True,task,proj21,dept8,2,False,proj12task2propa,setSchedule,False
63501674-b5d9-4396-8760-aae207f77c7d,proj21,proj21,manager,,proj21task2propa,,True,task,proj11,dept3,,False,proj12task1propa,read,False
cae80cd5-62f1-4817-9f4f-6a498e9e87b6,proj21,,manager,,proj21task1propa,,True,task,proj21,dept4,,True,proj12task1a,setCost,False
5913e4d6-4ba5-4fef-9bb4-693f4e8b2a44,proj21,,manager,1,proj21task2propa,,False,budget,proj11,dept8,,False,proj12task2a,request,False
acb74ce6-c0fd-4520-99f2-27ac88e0352c,proj22,proj22,manager,,proj12task2a,,True,schedule,proj12,dept4,,True,proj21task1propa,setStatus,False
fbb8398c-c35d-4c0e-8429-fc70e3eb76f2,proj21,proj21,manager,2,proj11task2propa,,True,schedule,proj12,dept6,1,False,proj12task2propa,setStatus,False
56a8e945-3a44-4552-8895-2750e821bd55,proj21,,manager,1,proj22task1a,,True,budget,proj21,dept3,,True,proj12task2a,setStatus,False
73eab1c4-f110-4987-972d-298f13a970e6,proj22,proj22,manager,,proj21task1a,dept3,True,budget,proj21,dept7,,False,proj21task1propa,write,False
dbae75c4-36f4-41a8-9a72-7ff735001746,proj11,proj11,manager,,proj22task1a,dept7,False,task,proj12,dept3,1,True,proj22task2a,setStatus,False
ad6e72b4-f72b-41f8-8b89-781c26cad3a8,proj22,,manager,,proj21task1a,dept5,False,task,proj12,dept8,,False,proj12task1propa,setSchedule,False
fbc0b421-b6b1-437d-8895-9826f302e72e,proj12,proj12,manager,,proj11task1a,,True,budget,proj11,dept4,,False,proj22task2a,setStatus,False
fe1476ad-af83-4b59-9bbc-6de32738222d,proj11,,manager,2,proj21task2propa,,True,task,proj22,dept8,1,False,proj11task1propa,setSchedule,False
03aa1f65-394c-4935-838a-3b1ea60f4898,proj22,proj22,manager,2,proj11task1propa,dept4,True,task,proj12,dept8,,True,proj12task1a,request,False
bb04cdcd-8e21-4ffe-bf9f-231c2edd7e9f,proj12,,manager,,proj11task2propa,,True,task,proj11,dept7,1,False,proj12task2a,request,False
69bead72-c537-4d69-b9b3-f8f96a5b1c3d,proj21,proj21,manager,1,proj12task1propa,,True,schedule,proj12,dept7,2,True,proj22task1propa,read,False
37d6fe62-7dc2-4924-9f9d-8c3f88e93e73,proj12,proj12,manager,2,proj12task1propa,,False,schedule,proj11,dept3,1,False,proj12task1a,read,False
d63e647b-e355-449e-bc49-d3b9f12e08c4,proj22,,manager,,proj21task1propa,dept6,True,budget,proj11,dept7,1,True,proj11task2a,setCost,False
a94dd392-de87-4aeb-ab4d-923964796cc5,proj21,proj21,manager,1,proj12task1a,dept3,False,task,proj12,dept7,,False,proj11task2a,approve,False
b5a74657-fc0f-45b9-999d-25e6519fff39,proj12,proj12,manager,2,proj21task1propa,dept6,False,budget,proj21,dept7,,True,proj11task1a,setCost,False
f57a7928-52a8-4751-9e26-31d0b4dba1f0,proj22,,manager,,proj12task2propa,dept7,True,schedule,proj22,dept3,,False,proj21task2a,setStatus,False
a0ed6e25-6cba-46a5-96f4-ea3529c741e3,proj12,,manager,1,proj12task2propa,dept6,False,schedule,proj22,dept3,1,True,proj22task1propa,write,False
92d4827d-c5ac-4047-815c-27c1e633dee0,proj12,,manager,2,proj11task2propa,,True,task,proj21,dept7,1,False,proj22task1propa,read,False
a0e74d16-65a5-4c62-9fe4-6a87d6cb5996,proj22,proj22,manager,1,proj12task1propa,,False,budget,proj12,dept7,,False,proj21task2a,write,False
2e07f5c6-d3c0-4347-ba0e-42a2a198d078,proj12,proj12,manager,1,proj21task2a,,False,task,proj11,dept8,,True,proj22task2a,approve,False
5c7da304-2a3d-4401-b2dc-9081a2b99072,proj11,proj11,manager,2,proj21task1propa,dept5,False,budget,proj12,dept6,1,False,proj12task1a,setCost,False
720602d6-9f54-4edd-88ac-027adde4bd31,proj11,proj11,manager,1,proj22task1a,dept8,False,task,proj11,dept7,2,True,proj21task1a,write,False
f4494200-ec3d-4593-b8f3-ee11f53bf8d7,proj22,,manager,2,proj12task2a,dept6,True,budget,proj11,dept8,1,False,proj12task2a,setSchedule,False
70355886-3911-4c32-b89f-cd52974ec407,proj11,proj11,manager,,proj11task2propa,,True,task,proj21,dept4,,False,proj12task2a,setCost,False
754d879c-1013-4c56-b64c-208457032baf,proj22,,manager,2,proj21task2propa,,True,task,proj12,dept3,2,False,proj12task2propa,setCost,False
8fe141d8-d6b3-4ff1-b9bf-08a51886227b,proj12,,manager,1,proj21task2a,,True,schedule,proj21,dept8,,False,proj11task1propa,write,False
19cef07e-a8e1-486f-8c9b-62f30cb02f07,proj11,proj11,manager,,proj21task1propa,dept5,False,budget,proj11,dept4,,False,proj12task1propa,request,False
39bc2481-f8d5-452c-8aaf-b0ef7c52da3c,proj12,,manager,,proj12task1propa,dept7,True,task,proj21,dept8,2,False,proj21task2propa,setCost,False
c81bc08a-df47-4dd3-ad5c-c9dc6fe5305a,proj21,,manager,1,proj12task2propa,,False,budget,proj12,dept8,,True,proj11task1propa,approve,False
42c24e64-7c8f-4eaa-b84f-22352cd42a4f,proj11,proj11,manager,,proj22task1a,dept5,True,task,proj21,dept3,1,True,proj11task2a,setStatus,False
2ce5ffe9-d410-4443-aba9-96551d7bc900,proj22,proj22,manager,,proj22task1a,,True,task,proj11,dept8,1,False,proj12task2propa,write,False
af595779-8dc7-4118-b951-7b78d7a833cd,proj11,,manager,,proj12task2a,,True,schedule,proj21,dept7,1,True,proj11task2a,read,False
d4c282cd-25b0-4ea2-bf0a-e600eb8042ea,proj12,proj12,manager,2,proj11task1propa,,False,schedule,proj12,dept6,,True,proj12task2a,request,False
f339fb98-ec54-4d06-a556-fcbf825e2bde,proj21,,manager,2,proj22task2a,,False,budget,proj11,dept3,,False,proj21task2propa,request,False
a0656ce1-98bc-423f-8429-6686c0cd3003,proj12,,manager,2,proj11task1propa,dept8,True,task,proj21,dept3,,True,proj21task1a,setStatus,False
ef2a529c-7693-4d0a-83d9-e35a11a6b483,proj11,,manager,,proj22task1a,dept3,True,budget,proj22,dept4,,False,proj22task1a,setStatus,False
fa066fc5-50ca-40d2-8a15-928fbc023e2c,proj21,proj21,manager,,proj22task1a,,True,task,proj21,dept8,,False,proj12task1propa,request,False
1110ea71-5650-40fa-b1b9-0df04f57f066,proj21,,manager,,proj21task2a,,True,budget,proj12,dept5,2,False,proj21task1propa,setSchedule,False
3b468c64-3490-4320-ac8a-5a80ff74835b,proj21,proj21,manager,1,proj11task2a,,False,task,proj11,dept7,1,False,proj22task1propa,setStatus,False
e8c767bf-1ea8-43f1-84b0-90c8519ed298,proj21,,manager,1,proj11task1a,dept4,False,schedule,proj11,dept8,,True,proj12task1propa,write,False
4d425a72-ca2d-4fa8-8577-2f16e410052b,proj21,,manager,2,proj21task2a,dept3,True,budget,proj12,dept7,,True,proj11task2a,read,False
05bf0d99-74f1-4940-a7aa-f761bcaae74f,proj11,,manager,,proj11task1propa,dept6,False,budget,proj12,dept3,2,True,proj12task1a,setStatus,False
95089707-ce4f-455c-b587-0dc41d37454d,proj12,,manager,,proj22task1a,,True,budget,proj12,dept3,,True,proj21task1a,write,False
7d799668-e773-4324-ae49-7eca989b67c8,proj11,proj11,manager,2,proj11task2a,,True,budget,proj12,dept4,2,False,proj12task2a,approve,False
3e61d21b-a8a2-4dd1-a738-fe73c3d56f8e,proj12,proj12,manager,2,proj21task2propa,dept6,True,schedule,proj11,dept4,2,True,proj21task1a,approve,False
6501f3d2-9333-4b22-9249-ec4955a0726b,proj11,,manager,,proj12task2a,,False,budget,proj22,dept6,,True,proj22task1a,read,False
