user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
862e1728-f8a6-4762-9760-ee0542537037,proj71,,manager,,proj11task2propa,dept2,True,budget,proj42,dept2,,False,proj12task1a,setSchedule,False
433c1880-4912-49b1-ba14-37b4f78515ba,proj41,,manager,,proj21task2a,dept1,True,budget,proj61,dept2,2,False,proj22task1propa,approve,False
f6e2f3b0-206b-46de-9f2e-b59322ba320c,proj74,proj74,manager,,proj21task2propa,dept1,True,budget,proj62,dept2,1,False,proj21task2a,setStatus,False
359f5779-de78-48fa-a968-eff8b463c1e0,proj61,proj61,manager,,proj11task2a,dept2,True,task,proj41,dept2,2,True,proj22task1a,write,False
6f8fe0ce-b306-4c60-b124-e98c7f4b511d,proj71,,manager,,proj22task1propa,,False,schedule,proj41,dept1,,False,proj12task2propa,request,False
e5fed126-0057-4974-b959-ed5c1eb01747,proj72,proj72,manager,,proj12task2propa,,True,schedule,proj62,dept1,,False,proj21task1a,setSchedule,False
4177a4aa-5f7e-4ac4-8cac-3c66b375d6a4,proj51,proj51,manager,,proj11task1propa,,False,task,proj51,dept2,2,False,proj22task1a,write,False
595ff1ae-3c07-4832-92eb-7e683550a85f,proj71,proj71,manager,,proj11task1a,dept2,True,budget,proj71,dept1,1,False,proj22task2a,setStatus,False
affc2e1a-1095-46df-aa15-bf2e0122c7bc,proj52,proj52,manager,,proj22task2a,,False,schedule,proj51,dept2,2,False,proj12task2a,setCost,False
280db28d-51cc-4086-9962-72697f366fca,proj74,proj74,manager,2,proj21task1propa,dept2,True,budget,proj32,dept2,,False,proj11task2a,setSchedule,False
d849050b-f97c-4c8f-b116-a47314850d24,proj72,,manager,2,proj21task1propa,dept1,False,schedule,proj31,dept2,2,True,proj22task1propa,setStatus,False
12d97b10-ce6c-40e4-8eee-07fada31c81c,proj72,proj72,manager,,proj22task1a,,True,budget,proj52,dept1,,False,proj12task1propa,request,False
91cfd43f-6d29-48a6-9d42-bb6e11762eb6,proj42,proj42,manager,1,proj21task2a,,True,schedule,proj71,dept1,1,True,proj12task2propa,read,False
0bd28758-9f0c-40b2-b53f-6fd9e7803933,proj52,,manager,2,proj22task2a,,True,schedule,proj52,dept1,1,True,proj12task1a,write,False
97651269-9c54-4275-94fa-1ae4d25f6d07,proj32,proj32,manager,,proj21task1propa,,False,task,proj62,dept1,,True,proj21task1a,read,False
15dd3166-9d5d-43a2-945c-0a9bfd30810f,proj73,,manager,,proj22task2a,,False,budget,proj61,dept2,2,False,proj12task1propa,read,False
92b20c41-e4ca-4de4-a8fe-c9354e081983,proj41,,manager,2,proj21task1a,,False,task,proj73,dept2,2,True,proj22task2a,setSchedule,False
3513c1fd-c050-4446-96ba-675d4a9dbbe7,proj32,proj32,manager,2,proj21task1propa,dept2,False,schedule,proj74,dept2,2,True,proj21task2propa,request,False
13b40ea6-13d2-41f7-b911-23bc5a379c81,proj72,,manager,,proj12task2a,,False,task,proj42,dept1,1,False,proj22task2a,setSchedule,False
76754756-5c2b-4953-a66f-a2750f9595cd,proj52,,manager,1,proj22task1propa,dept1,True,schedule,proj42,dept1,,True,proj21task2a,setCost,False
fc8fc859-3047-4a68-a159-361105556b06,proj31,,manager,2,proj21task1a,,False,budget,proj51,dept2,,False,proj11task1a,setSchedule,False
4deffe81-88d7-4407-a844-5dd778b8f703,proj52,,manager,2,proj21task2a,dept2,True,task,proj52,dept1,2,True,proj11task2propa,request,False
7b7634fd-dcc2-448b-b739-133e38ad4cb2,proj32,,manager,1,proj22task1a,,False,budget,proj51,dept1,,True,proj11task1a,setCost,False
b4332c8d-aa89-4478-96d2-48bb264f6a76,proj41,,manager,2,proj11task2a,,False,budget,proj41,dept2,,True,proj21task1a,write,False
e80555df-1916-4d59-a589-62f4ad758930,proj41,proj41,manager,,proj11task1propa,,True,schedule,proj73,dept1,2,True,proj21task1a,request,False
553d6299-e68c-4e2c-a710-9fade5f2fdb4,proj71,proj71,manager,,proj11task1propa,,True,task,proj51,dept2,1,True,proj12task1a,setStatus,False
c7234d40-4651-4adb-9962-3aaa9567a336,proj41,proj41,manager,,proj12task2a,dept1,True,schedule,proj61,dept2,,False,proj11task2propa,setCost,False
ec7d9dc9-8cfd-4df8-9883-51f9e9c96840,proj31,,manager,1,proj21task1propa,,True,schedule,proj62,dept1,2,True,proj21task2propa,setCost,False
e4def146-2c78-4f2a-8139-08c0e36b1330,proj71,,manager,1,proj11task2propa,,True,budget,proj31,dept2,,True,proj21task2a,write,False
6aa4da0a-0b46-4bdd-a0d0-a40a3047b5aa,proj31,,manager,,proj21task2a,,True,schedule,proj31,dept2,2,False,proj22task1propa,setCost,False
d2b17346-e8f9-4fad-b26d-554a87ed2ea2,proj41,proj41,manager,,proj21task1a,,True,schedule,proj31,dept2,2,False,proj11task2a,setStatus,False
3b5f05d4-819c-4ccb-aab6-662506ee4918,proj61,proj61,manager,,proj11task1propa,dept1,False,task,proj41,dept1,2,False,proj22task1a,request,False
bc3659ab-7351-4387-b99a-40f73bbf1dde,proj73,proj73,manager,1,proj22task2a,,False,task,proj74,dept2,1,True,proj21task1a,write,False
266cade0-4250-4dd2-bab3-553dd14b0058,proj52,proj52,manager,2,proj11task1propa,,True,schedule,proj32,dept1,,True,proj21task2a,request,False
f14140b5-ab4d-442b-935e-b3ba780fc03c,proj62,proj62,manager,,proj21task1a,,False,budget,proj72,dept2,,False,proj21task1propa,setStatus,False
3a3d8eee-811d-4210-afbc-3121218e3155,proj31,proj31,manager,,proj21task1a,dept1,False,task,proj52,dept2,1,True,proj21task2propa,read,False
e02ecbf3-6d75-4263-9002-57dd2cf1b076,proj52,proj52,manager,1,proj12task1propa,,True,task,proj71,dept2,2,False,proj21task1propa,approve,False
81b6b8fa-f81c-40a1-91c7-1cd1e85a051c,proj42,,manager,,proj12task1propa,dept2,True,budget,proj71,dept1,2,True,proj21task2a,read,False
