user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
c031c080-ff01-4ec7-acea-0aea5ee08a4e,proj72,,planner,2,proj62task2a,,True,schedule,proj71,dept3,,True,proj72task1propa,request,False
70ab18cb-c13d-44fe-bebd-c55e1e86f7a8,proj71,,planner,1,proj73task2propa,,False,schedule,proj71,dept6,1,False,proj71task1a,setCost,False
2c867dd1-1019-4848-9beb-4d912730429d,proj73,proj73,planner,1,proj62task1propa,dept3,True,task,proj72,dept5,1,True,proj73task1propa,request,False
7056a9a5-e645-4a49-965b-4c0a2fc83327,proj74,proj74,planner,,proj73task1a,dept1,True,task,proj73,dept5,,True,proj62task2a,setSchedule,False
6fe5f952-1fa5-409f-a9e6-4964307a1f90,proj73,,planner,2,proj72task2a,dept2,True,budget,proj71,dept3,,True,proj71task2a,setStatus,False
b7e934e1-9574-4e44-b52e-c979acfb6376,proj72,proj72,planner,,proj71task1propa,,False,schedule,proj72,dept4,1,True,proj71task2a,setSchedule,False
1b53d456-cc1e-400a-a830-b1c6b00ed956,proj73,,planner,,proj71task2propa,dept6,False,task,proj71,dept3,,False,proj73task1propa,setStatus,False
67d7ed55-4c05-4ab2-98f8-dfc198d21630,proj73,proj73,planner,2,proj62task2a,,False,budget,proj71,dept4,1,False,proj62task2a,setStatus,False
6fc573ed-294d-4742-8a42-6ca0fd231f0b,proj72,,planner,2,proj73task1a,,True,schedule,proj71,dept3,2,True,proj72task1a,read,False
741a5f20-4620-453b-bf54-decd3ebebbbf,proj74,,planner,,proj71task1propa,dept4,False,budget,proj74,dept5,,True,proj71task2a,setSchedule,False
74987936-d102-4740-991d-54c733242b8c,proj73,proj73,planner,2,proj72task2propa,dept2,False,schedule,proj73,dept4,,False,proj62task2a,setSchedule,False
a93ea8ed-812a-468a-9fac-eea31dc2f356,proj71,,planner,,proj62task1propa,dept5,True,budget,proj72,dept5,,False,proj73task2propa,read,False
11e0defa-4dde-4ff2-80c1-1b682ec3101b,proj74,proj74,planner,,proj62task2a,,True,schedule,proj72,dept6,2,False,proj62task1propa,setSchedule,False
e4ce92e7-4629-4758-89f5-4e0a29f16a00,proj73,,planner,,proj73task2propa,dept1,True,budget,proj72,dept3,,True,proj71task1propa,setSchedule,False
462f7c8c-8488-4dba-ade1-0a87d471404e,proj72,proj72,planner,1,proj73task1a,dept2,False,budget,proj74,dept1,1,True,proj72task1a,setStatus,False
946016ff-984a-4a46-baca-66f8488fc6f8,proj71,,planner,,proj73task2a,,True,budget,proj73,dept6,2,True,proj73task1a,read,False
