user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
77d82d7e-16ff-42cf-9735-f0a10f229b88,proj73,,planner,2,proj42task1a,dept8,True,task,proj74,dept7,,True,proj11task2a,setCost,False
cbed17fb-b09c-45fe-9b16-e9a4fc3b9dba,proj74,,planner,1,proj41task2propa,,False,schedule,proj73,dept7,,True,proj22task2a,approve,False
e297945e-6bf3-4fc9-83f8-3e452d0cc789,proj71,,planner,2,proj31task2a,,True,schedule,proj71,dept7,,False,proj42task2a,setSchedule,False
aa5994ac-6f1a-4bd6-8e5b-43ae89b842d2,proj73,proj73,planner,1,proj51task2propa,dept8,True,schedule,proj71,dept7,1,True,proj21task2a,setSchedule,False
e50982c3-4dc4-4871-926d-3e89b39822aa,proj71,,planner,2,proj22task1a,dept7,True,schedule,proj72,dept8,,True,proj21task1propa,request,False
1a7f91c1-7c14-4701-bc10-2e224672ebd9,proj73,proj73,planner,,proj42task2a,dept8,True,schedule,proj74,dept8,,True,proj12task2propa,setCost,False
32024a4c-af7f-4372-a0f3-db416f85375f,proj74,,planner,2,proj11task1propa,,False,schedule,proj71,dept8,2,False,proj11task2propa,request,False
d82140b5-a1e0-4adb-89e8-3ce445db40f7,proj73,proj73,planner,2,proj61task1a,,False,schedule,proj72,dept7,1,True,proj41task2a,setCost,False
ec4b9260-9804-494e-8678-548b032441db,proj72,proj72,planner,,proj52task2propa,,False,budget,proj72,dept7,1,True,proj52task2propa,setStatus,False
6989dbee-9cce-4093-880c-cde22899f8a6,proj74,proj74,planner,2,proj61task2propa,dept7,False,schedule,proj74,dept7,,False,proj12task2a,approve,False
3f67a07a-8587-49b3-a6c3-250d8d6bea78,proj73,proj73,planner,1,proj21task2propa,dept8,False,task,proj73,dept8,1,True,proj32task1propa,setStatus,False
7d2e61ae-d12a-47f3-9acb-1e3426d0a1b1,proj73,proj73,planner,,proj41task2propa,,True,task,proj71,dept7,,False,proj32task2a,setStatus,False
8d967069-56f8-4c06-9b9c-e2c446ad57ee,proj72,,planner,1,proj21task2a,dept7,True,budget,proj73,dept8,,False,proj42task1propa,request,False
b0d36ad8-ddf1-4b64-9b27-31457ea09bb5,proj72,proj72,planner,1,proj61task1propa,,True,budget,proj74,dept8,,True,proj22task2a,read,False
a5f781ec-5be6-4ecb-8cdb-72fabfd198b3,proj73,proj73,planner,2,proj41task2a,,False,schedule,proj71,dept8,1,False,proj52task1propa,request,False
fe2b0dd0-2f3e-4102-857a-31392bff4d8f,proj71,proj71,planner,1,proj12task1a,dept8,True,schedule,proj73,dept7,1,False,proj31task1a,setSchedule,False
50574320-eb10-4cfa-aefc-d85b1bd5c122,proj74,proj74,planner,,proj61task1propa,,False,schedule,proj71,dept8,,False,proj62task1a,read,False
ac28b3af-942c-4a5f-a544-37c05400abc4,proj73,proj73,planner,,proj22task2a,,True,schedule,proj73,dept7,,False,proj61task2propa,request,False
0e30f682-6bcf-428e-b853-f7226fcf1432,proj71,proj71,planner,,proj51task1a,dept8,True,schedule,proj71,dept8,1,False,proj41task1a,setStatus,False
0a61dcc3-4a29-4e3b-b2f0-e103b74dbc65,proj74,,planner,2,proj41task2a,,False,schedule,proj71,dept7,,True,proj51task2propa,approve,False
0b61b71d-1162-4963-a34c-669568009e8d,proj74,proj74,planner,,proj51task2a,,True,task,proj74,dept7,,True,proj32task1a,approve,False
767d9207-ab0f-4c82-ada1-58b4b1261e5c,proj74,,planner,,proj31task2a,dept8,False,task,proj71,dept8,1,False,proj41task2propa,read,False
8f72d92e-c1a8-4e08-b412-b734eb7364d5,proj73,proj73,planner,,proj12task1a,,True,schedule,proj74,dept8,,False,proj42task2propa,setCost,False
28eac55b-7e2e-4342-9d78-0241e6be75df,proj72,,planner,2,proj42task1propa,dept7,True,task,proj71,dept8,,True,proj22task1a,setCost,False
15d0ae56-a2d8-4cda-9776-abef280d82ee,proj71,,planner,,proj52task2a,dept7,False,budget,proj74,dept8,,True,proj52task1a,setStatus,False
2f26fe62-cb4a-4c83-9e8f-cf55dc68a9e5,proj71,,planner,,proj51task2propa,dept8,True,budget,proj73,dept8,,False,proj42task2a,setSchedule,False
ae782ea1-735e-44cb-aa6e-2165f7ab9200,proj72,proj72,planner,,proj51task2propa,,True,budget,proj74,dept8,,True,proj22task2a,setSchedule,False
cdc89503-f541-4ac6-aa35-97c63e91be42,proj72,proj72,planner,2,proj51task2a,,True,budget,proj71,dept8,,False,proj41task2a,write,False
9da3a1a3-ed25-4c27-acb0-318e9baa8233,proj72,,planner,,proj41task1propa,dept8,True,schedule,proj73,dept8,1,True,proj21task2propa,read,False
3eb54945-b268-4072-84e0-376925a23469,proj72,proj72,planner,1,proj21task1a,dept8,True,task,proj73,dept7,,False,proj32task1a,write,False
0b05dd57-3299-4021-b836-53f684509363,proj73,proj73,planner,,proj21task2a,dept7,True,task,proj72,dept7,,False,proj11task2propa,approve,False
224eb8a7-ca84-4179-b93c-f3b79b300117,proj72,proj72,planner,,proj21task1a,,True,budget,proj74,dept7,2,True,proj31task2propa,setSchedule,False
2644d73f-e05b-4384-b1e7-bf3a39e32815,proj74,proj74,planner,1,proj22task1propa,,True,schedule,proj74,dept7,2,False,proj21task1propa,approve,False
9e697b3c-3052-4a58-9e98-91bb6bdc93cf,proj73,proj73,planner,1,proj21task1a,dept7,True,budget,proj71,dept7,,True,proj11task1propa,write,False
7d289345-3170-4e97-a266-2e7d8d8f1a25,proj73,proj73,planner,2,proj52task2a,dept7,True,schedule,proj73,dept7,,False,proj12task1propa,setSchedule,False
60f4a5c4-ff24-4829-9a0e-28bb84049379,proj71,proj71,planner,,proj21task2a,dept7,True,task,proj74,dept7,1,True,proj21task1propa,request,False
b1643707-f7c4-40c8-aff9-f36aada61793,proj71,,planner,1,proj12task1propa,,False,schedule,proj71,dept8,,True,proj11task2a,setStatus,False
47686861-c707-408d-8a8f-53711b4b637b,proj73,proj73,planner,,proj12task1a,dept8,True,budget,proj71,dept8,2,False,proj12task2a,write,False
3680b89e-97ea-40d7-8787-76cbeece6d31,proj74,,planner,1,proj31task2a,,True,task,proj73,dept8,,True,proj21task1propa,setSchedule,False
e036d0fd-70eb-48d3-994c-50079dae86a9,proj72,,planner,1,proj42task1propa,,False,budget,proj73,dept8,,True,proj31task2propa,approve,False
efc26534-3d25-42f4-be2b-17668ba96953,proj74,,planner,,proj11task1a,dept8,False,budget,proj73,dept7,,True,proj61task1propa,read,False
e96abd37-67f0-448b-9684-6a69c94af07e,proj73,proj73,planner,2,proj31task2propa,dept7,False,schedule,proj74,dept8,,True,proj11task2a,setSchedule,False
fcdf23ee-44c4-45fe-8ecc-2b8cafd07b44,proj74,,planner,,proj31task1propa,dept7,False,task,proj71,dept8,2,False,proj51task1propa,approve,False
776eceea-8093-461b-b628-262b091e67f1,proj73,,planner,,proj51task2propa,,True,budget,proj74,dept7,,False,proj62task1a,setSchedule,False
e6e987a4-d804-4963-ad21-eaca3c085b57,proj72,,planner,,proj12task2a,,True,task,proj71,dept8,1,True,proj32task2propa,approve,False
e296b3c7-5fe3-417b-8700-b61938b0fa75,proj71,proj71,planner,1,proj41task2a,dept7,False,budget,proj72,dept8,1,True,proj61task1a,approve,False
6ab2cc78-caf4-4ba7-b7cc-551dbc9a0460,proj74,,planner,2,proj41task2propa,,False,task,proj73,dept8,,True,proj31task1propa,read,False
7ff028cc-6cbe-40b6-b611-3d3450b48655,proj71,proj71,planner,2,proj51task1propa,dept7,True,budget,proj73,dept7,2,True,proj22task2a,setCost,False
8882c6ca-5d01-4e33-bf32-32b7ef0cc614,proj74,proj74,planner,1,proj22task1propa,dept8,False,schedule,proj72,dept7,,False,proj31task1a,setStatus,False
8dcfb55b-154e-4176-9de3-e5a3707612e0,proj71,,planner,,proj32task2a,dept7,True,schedule,proj72,dept7,,True,proj61task1a,setStatus,False
1343703b-0616-46cf-8acd-17a83c1749c1,proj73,,planner,,proj21task2propa,,True,task,proj71,dept7,,False,proj61task2a,request,False
3e39ddef-6624-4518-8f88-239ab5e0fe19,proj73,,planner,1,proj11task2a,dept7,True,budget,proj73,dept8,,False,proj52task2propa,request,False
fdd8ae1b-a62c-460b-b98a-e08cf7eadee4,proj71,proj71,planner,2,proj12task2propa,,False,budget,proj71,dept8,,False,proj42task2a,setStatus,False
15ffb5d1-f0ad-4090-ac3b-5e950f737b2c,proj72,proj72,planner,2,proj11task2propa,dept8,True,schedule,proj74,dept8,,True,proj31task2propa,setSchedule,False
a73888cb-1328-4d47-80ea-7323f3cc1acc,proj71,,planner,,proj32task2a,dept8,True,schedule,proj72,dept7,2,False,proj61task2a,read,False
33126dd6-f7e7-4e30-8f10-6bb27f959770,proj72,,planner,1,proj41task1propa,dept7,False,task,proj71,dept8,1,True,proj61task1propa,request,False
24865e7e-c418-4cb0-a566-56efe308bc03,proj74,proj74,planner,,proj21task1a,,True,task,proj73,dept8,,False,proj41task1propa,read,False
5a4391c2-7205-4739-a6c9-a0a1b2e193ce,proj73,proj73,planner,,proj42task1a,dept7,True,task,proj73,dept7,2,True,proj31task2propa,setStatus,False
e4a5c249-4d59-4b70-bbba-7b11c21c30d8,proj73,,planner,,proj61task2a,,True,budget,proj73,dept8,1,True,proj22task1propa,setSchedule,False
a3a95fc6-fd1c-4dcb-a732-f9d1b49c8c4d,proj71,,planner,1,proj42task2propa,,True,budget,proj71,dept8,1,True,proj12task1propa,setStatus,False
e227555d-446f-4899-9147-bf2df2ed644a,proj74,,planner,2,proj52task2a,dept8,False,task,proj72,dept8,,True,proj32task2propa,read,False
9fe0b43e-c423-4035-8f47-9e9508a906bd,proj74,proj74,planner,,proj31task2a,,True,task,proj71,dept8,2,False,proj61task1a,request,False
7075ecd6-5b3b-45c1-8713-f323e1c8a96b,proj71,proj71,planner,1,proj31task1propa,dept8,True,task,proj72,dept8,1,True,proj32task2propa,setCost,False
8a808ede-c7a4-4a2e-a01d-4ea1bfbdc759,proj73,,planner,1,proj52task2a,dept8,True,budget,proj73,dept7,,False,proj11task1a,write,False
b237f5d1-6637-42d8-ae3f-c56366d22458,proj73,,planner,1,proj11task1propa,dept7,True,schedule,proj71,dept7,1,True,proj11task1propa,write,False
a4a90d46-33cc-4a0d-9a76-af3448827709,proj71,,planner,1,proj22task1propa,,True,schedule,proj73,dept8,1,False,proj21task2propa,setCost,False
7b3f8be5-01fd-4188-a0e7-adca25576be8,proj71,,planner,,proj42task2propa,dept8,True,task,proj74,dept8,,True,proj42task2a,read,False
1887a721-0b06-413a-b311-a78a6ad6f70f,proj73,,planner,1,proj52task1propa,,False,budget,proj74,dept7,,False,proj51task2propa,approve,False
a235e150-4c96-49f1-998e-ab89364bdc11,proj73,proj73,planner,,proj62task1a,dept7,False,budget,proj71,dept7,1,True,proj52task1propa,setCost,False
e10537d0-957b-4674-898a-c685c97c2ca8,proj71,,planner,,proj22task2propa,dept8,True,task,proj71,dept7,2,True,proj51task2a,read,False
f94a0aa2-0a15-4b75-a664-348e78d0a334,proj72,proj72,planner,,proj61task1a,dept8,True,schedule,proj72,dept8,,False,proj11task2propa,setSchedule,False
5111a97c-bcd1-4ef9-a366-9e24a0e0a170,proj74,proj74,planner,,proj52task1propa,dept8,True,task,proj72,dept7,1,False,proj61task1a,read,False
5cfd9c4b-8c65-44ab-b9ae-596052d460a2,proj74,,planner,,proj32task1a,dept8,True,budget,proj74,dept8,,True,proj11task1a,setCost,False
79897058-4eee-4b4e-a080-612199cdf3e0,proj71,,planner,,proj22task1a,dept8,True,schedule,proj74,dept7,,False,proj61task2propa,setStatus,False
9d2386d1-76e5-4a6a-b952-2a9c0ac3286b,proj71,,planner,1,proj32task1propa,,False,budget,proj72,dept8,2,False,proj11task1a,setCost,False
e35af406-088c-4143-9649-7bf7defdc85c,proj71,,planner,,proj52task1propa,,True,budget,proj71,dept7,,False,proj42task2a,request,False
c02ce57d-6374-460c-84ee-1ac160d1d214,proj74,,planner,1,proj51task2propa,,False,schedule,proj71,dept8,,False,proj41task2a,read,False
8d85cf02-3ec3-4a47-8526-39779b113dd6,proj73,,planner,,proj22task2propa,,True,budget,proj74,dept8,,True,proj41task1a,write,False
3a57904b-e19f-4cf0-b11f-8697446fd819,proj74,proj74,planner,,proj61task1propa,dept7,True,schedule,proj74,dept8,1,False,proj32task1a,setSchedule,False
3b81823b-dde4-4e23-a7f5-6983ed9c5c60,proj72,proj72,planner,,proj12task2propa,dept7,True,schedule,proj71,dept7,1,True,proj32task2propa,request,False
a0aadc8d-b14b-468e-b545-e247e526dbbe,proj72,,planner,,proj42task1propa,,True,schedule,proj73,dept7,2,False,proj41task1propa,setSchedule,False
a81071b2-1a13-4e9b-ba3c-76781a58fc77,proj71,,planner,2,proj42task1propa,,False,budget,proj72,dept7,,True,proj32task2a,write,False
d01c6050-9d91-43ea-8362-e58eb65bfd68,proj71,proj71,planner,1,proj12task2a,,True,budget,proj73,dept7,,False,proj42task1propa,setSchedule,False
79b42e3e-2d73-495e-b239-8be6c9fc5779,proj71,,planner,,proj51task2propa,dept8,False,task,proj71,dept7,2,False,proj31task2a,request,False
1d1a9562-d732-4ebe-a94b-bed4d2d89899,proj73,,planner,2,proj11task2a,,True,budget,proj72,dept8,1,False,proj62task1a,setCost,False
3025e068-307b-4163-af08-d387a08b4d2e,proj74,proj74,planner,,proj41task1propa,,True,task,proj72,dept8,,False,proj51task2propa,write,False
9d9a1955-0d7a-40ae-bde8-e6856466c061,proj74,,planner,,proj21task1a,dept8,True,schedule,proj73,dept8,,True,proj42task2a,request,False
7ea65eab-2695-4679-8553-e727559fba83,proj72,proj72,planner,,proj42task2a,dept7,True,task,proj74,dept7,2,True,proj31task1a,approve,False
