user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
34af1b85-d5c6-4c89-a6d5-7df1c1b980a0,proj72,proj72,planner,1,proj32task1propa,dept2,True,task,proj71,dept5,,True,proj41task1a,write,False
38033b81-6cfa-4528-bcc3-50ec2d15e54e,proj74,,planner,,proj11task2a,dept5,True,budget,proj73,dept3,1,False,proj52task2a,setStatus,False
19063218-b678-406a-bba1-f35e99c4edaf,proj71,proj71,planner,,proj51task2propa,dept3,True,budget,proj71,dept5,,True,proj51task2a,request,False
3f8380de-8cc7-4cd2-b4ad-b219d0e1e80b,proj73,proj73,planner,,proj42task2a,,True,schedule,proj71,dept1,2,False,proj61task1propa,request,False
92c2d4ab-ce22-4978-a2a5-657475081d89,proj71,proj71,planner,,proj42task1a,dept5,True,budget,proj72,dept4,,False,proj52task1a,read,False
e4d2bf1f-bb5a-4b41-a50d-282586b8d9a6,proj74,,planner,,proj31task2a,dept3,False,budget,proj72,dept2,2,False,proj31task2a,approve,False
887e320c-bceb-4b0b-9a35-55fe6865b2b3,proj73,proj73,planner,,proj21task2propa,,True,schedule,proj74,dept1,1,True,proj31task2propa,setStatus,False
b399b7f8-0e15-442c-b965-b9c931b3e65d,proj74,,planner,,proj41task1a,dept4,False,schedule,proj74,dept4,1,True,proj42task1propa,setSchedule,False
ef38271e-487c-4358-bd85-c55248d927e4,proj74,proj74,planner,,proj21task2a,,True,schedule,proj73,dept3,1,False,proj61task1a,setStatus,False
ddde6f2e-aed5-45db-9856-bde306e76949,proj71,,planner,2,proj32task2propa,,False,schedule,proj73,dept2,1,False,proj31task1a,setStatus,False
fab058d4-1799-4086-a314-4f5fcb348143,proj73,proj73,planner,,proj21task2propa,dept1,True,schedule,proj72,dept3,,False,proj21task1propa,request,False
096ed052-bd61-4bf8-b4b6-0c609c66ed3c,proj72,proj72,planner,1,proj22task2propa,,False,task,proj74,dept1,,False,proj12task2propa,setStatus,False
ab006098-89f9-4292-aee5-3fad3050b9f9,proj74,,planner,,proj51task1propa,dept6,True,task,proj74,dept5,1,False,proj21task2a,write,False
