user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
891101ef-ed0c-45e5-bd3f-d2ca7b46b8f3,proj42,,planner,,proj72task2propa,,True,schedule,proj51,dept5,1,True,proj72task1propa,setStatus,False
bd1b1af2-2e0c-4874-a654-c6c7c4cb2225,proj41,,planner,1,proj71task2a,,True,schedule,proj62,dept1,1,True,proj62task2a,setCost,False
37cffbf7-d87d-40f1-9513-012ff6f2b9d5,proj32,,planner,2,proj73task1propa,,False,schedule,proj22,dept3,2,False,proj72task1a,read,False
27bffa7f-aa14-4c6d-b08b-578b2b320c2a,proj61,,planner,1,proj73task1a,dept4,True,task,proj11,dept5,,True,proj72task2a,setStatus,False
24011c8b-d6a7-4c2a-839a-89fe3f815221,proj51,,planner,,proj62task2propa,,False,budget,proj41,dept4,1,True,proj72task2propa,write,False
e435cf8d-4184-40fd-833b-3b109b12bf21,proj62,,planner,,proj72task1propa,,False,budget,proj11,dept4,2,True,proj72task1a,request,False
7fea507e-2cb1-425c-a9ca-9ed8c5a2a948,proj41,,planner,,proj62task1propa,dept6,False,task,proj61,dept1,1,True,proj62task2propa,setStatus,False
a9e8edcb-57f7-458f-8d81-3383fabffc78,proj62,,planner,,proj72task1a,dept4,True,schedule,proj11,dept1,1,True,proj62task2propa,request,False
5cf2f847-42ef-4a2d-922e-b10420b7b4e2,proj62,,planner,,proj71task1a,dept6,False,schedule,proj21,dept5,,True,proj72task2a,write,False
54d0967b-b384-46b7-ad6d-baef57a3b7d1,proj52,proj52,planner,2,proj62task2a,dept4,False,task,proj22,dept5,,False,proj73task1propa,setStatus,False
f254f845-12e6-41c9-9d69-a0348ede395c,proj51,,planner,1,proj71task2propa,dept1,True,task,proj21,dept3,1,True,proj72task1a,request,False
d3695aea-6466-4bfc-a4df-7adf35c96e20,proj62,,planner,2,proj72task2a,,True,budget,proj21,dept2,,True,proj73task2a,read,False
a5f0ec6e-ab3c-43a5-8f0a-b2e97db566f9,proj11,proj11,planner,,proj73task1propa,,True,budget,proj41,dept3,,False,proj73task1propa,write,False
c07cb294-3781-4df3-92d4-e48c8efccf89,proj61,proj61,planner,1,proj62task2propa,,True,schedule,proj41,dept6,2,True,proj71task1propa,setStatus,False
c27ffc12-7418-487c-bdec-d4e860f41b8e,proj51,proj51,planner,,proj73task2a,dept3,True,task,proj62,dept6,1,False,proj73task2propa,read,False
ef3da93e-d49e-4248-a2fd-38c7daa00030,proj52,,planner,2,proj71task2propa,,False,schedule,proj32,dept1,1,False,proj62task1propa,setStatus,False
4a145cd4-9797-4532-a387-40dd171b8da1,proj51,proj51,planner,,proj71task2a,,False,budget,proj12,dept5,1,True,proj73task1a,request,False
6f69721a-981a-4cc5-8e94-63c9c1797d3e,proj52,,planner,,proj62task2propa,dept3,False,budget,proj52,dept1,1,True,proj72task1a,setSchedule,False
a2057a22-036a-4966-b7b1-3cd3e0a150fe,proj51,proj51,planner,1,proj62task2propa,,True,schedule,proj31,dept6,,True,proj73task1propa,read,False
6dfc968d-cc7d-4325-8e4f-a24e16817962,proj22,,planner,2,proj62task2a,dept1,True,budget,proj22,dept6,1,True,proj62task2a,approve,False
3598f38d-6eec-4a17-86ee-c9a7a1bb39a8,proj42,,planner,,proj72task2a,dept4,False,schedule,proj61,dept2,,True,proj73task1a,write,False
723ccecd-a9b5-48c7-8020-dd76e615d177,proj62,proj62,planner,2,proj72task1propa,,False,task,proj42,dept5,2,True,proj62task2a,request,False
9ad76ee7-e248-45ef-b0e9-1ebd10620bc0,proj12,proj12,planner,,proj62task2propa,,True,schedule,proj52,dept6,,False,proj72task1propa,setSchedule,False
cdd3e135-f1cb-4094-8b03-abdff67492ff,proj52,proj52,planner,2,proj62task2a,dept3,True,schedule,proj52,dept5,,False,proj71task1a,setCost,False
28377491-af9d-4717-bcf4-573854526e4a,proj42,,planner,,proj71task1a,dept4,False,budget,proj11,dept3,2,True,proj73task1a,setSchedule,False
