user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
f1e27a64-c809-4907-9aaf-07b5e1983c9d,proj41,,planner,2,proj12task2a,dept8,True,budget,proj52,dept7,2,False,proj51task1propa,setCost,False
268cb8bb-ec00-4538-9bdc-c503a349a7dd,proj11,proj11,planner,1,proj22task1a,,True,schedule,proj31,dept7,1,True,proj32task2a,setStatus,False
79d37d7d-0e28-404f-89f1-6a2a9187052d,proj52,proj52,planner,1,proj31task1propa,dept7,True,schedule,proj12,dept7,2,True,proj52task1a,setSchedule,False
1cc640c5-7bb8-4c0f-8d25-ab2949bdcf93,proj12,,planner,,proj32task1propa,,False,task,proj62,dept8,,False,proj41task1propa,read,False
c33bd6e1-0c90-4350-bf48-d02c47bc9cd7,proj42,proj42,planner,2,proj41task2propa,dept7,True,schedule,proj12,dept7,1,True,proj22task1a,setCost,False
2cbc0172-e689-4bdc-a5f7-e1719c8f527f,proj51,proj51,planner,,proj11task2a,dept7,False,budget,proj42,dept7,1,True,proj11task2a,setCost,False
17a57b4c-643d-4fc7-8f7d-c498d8e03785,proj51,,planner,,proj62task1a,dept8,True,task,proj41,dept7,,True,proj61task2a,read,False
850f9104-c36c-4ef9-8d33-b264940704e8,proj21,proj21,planner,,proj11task1a,dept7,False,budget,proj31,dept7,2,False,proj11task2a,setCost,False
55ee6105-d2b4-44bd-aa10-9de179a4456e,proj41,,planner,,proj11task2propa,,True,task,proj11,dept8,2,True,proj52task1a,approve,False
95e14768-9965-459a-a44a-84b72462cce1,proj22,proj22,planner,1,proj21task2a,dept8,True,budget,proj11,dept7,,False,proj41task1a,write,False
8286334f-b136-4393-9831-39796a1ca298,proj21,proj21,planner,,proj31task1a,dept7,False,task,proj21,dept7,,True,proj51task1a,read,False
a4832fae-243c-4fd9-b6b6-dfe3ec15230b,proj41,proj41,planner,1,proj61task2propa,dept7,False,task,proj42,dept7,,False,proj11task2propa,read,False
231f2fc3-fa1a-41f8-93b1-0dfa9b11dc09,proj61,,planner,,proj61task2a,dept8,True,task,proj32,dept8,,True,proj51task2a,write,False
afdb606d-86c8-4538-9bf7-20834bb700ef,proj32,proj32,planner,2,proj31task1a,dept7,False,budget,proj31,dept7,,True,proj31task1propa,write,False
349514e0-3d61-44e1-b646-b2d18ef396f3,proj21,,planner,,proj12task1a,dept8,True,schedule,proj62,dept7,1,False,proj41task1propa,setStatus,False
a310810e-6c33-4e54-89da-99f510b8547e,proj32,proj32,planner,,proj41task1propa,,True,budget,proj62,dept8,,True,proj61task2a,setCost,False
ffe48867-8fc8-4857-a425-b1e7a0e721cd,proj61,proj61,planner,,proj51task1propa,dept7,False,schedule,proj52,dept8,2,False,proj51task2a,setCost,False
d7462bba-33a2-466f-9520-b6c3166d604d,proj32,,planner,2,proj11task2a,,False,schedule,proj51,dept8,,True,proj31task2a,read,False
45ff1686-caf1-487c-85ea-7e0363062e1a,proj31,,planner,2,proj12task1propa,dept7,True,budget,proj32,dept7,,True,proj31task1propa,write,False
011f5771-9658-4f5d-8cca-c8ed70cdf213,proj11,,planner,,proj31task1propa,,False,budget,proj31,dept7,2,False,proj31task2a,approve,False
c79bd92c-4a16-4286-b145-ecfb9d1adaa3,proj41,,planner,,proj21task1a,,True,budget,proj61,dept7,1,False,proj42task1propa,read,False
0142732e-6c74-4913-a63f-9008de1f070e,proj42,,planner,,proj22task2a,,False,task,proj42,dept7,,True,proj12task1propa,read,False
d2f73e3c-cf07-408d-8d10-b1fbcce2ec40,proj21,proj21,planner,,proj32task2a,dept8,False,budget,proj42,dept7,,True,proj11task2propa,write,False
66db3b14-6131-47c4-bf25-a041f82cec31,proj52,proj52,planner,,proj62task1a,dept8,False,schedule,proj32,dept8,2,True,proj12task1propa,write,False
a3261437-142b-4c28-9355-7f628ca87291,proj52,,planner,2,proj11task1a,,True,task,proj12,dept8,1,False,proj51task1propa,read,False
4a2f2ef0-ad1e-4347-8e8b-bfaac1494520,proj12,,planner,,proj61task1propa,dept8,True,budget,proj42,dept7,2,True,proj21task2propa,setStatus,False
f06c902e-735c-4fd7-8668-1c542ce3f346,proj52,proj52,planner,,proj31task1a,,True,task,proj61,dept7,,True,proj11task1a,request,False
d6db09da-fae7-4a7f-a973-bd41229d5a86,proj52,,planner,,proj52task1propa,,False,task,proj51,dept7,1,False,proj52task1propa,setSchedule,False
61bdce3e-7350-45ac-9acd-259487730100,proj51,proj51,planner,1,proj12task2propa,dept7,True,task,proj22,dept8,,True,proj51task1a,read,False
66d1a973-2235-4ddf-b1d3-94e1e6552bce,proj31,proj31,planner,2,proj22task2propa,dept8,False,schedule,proj12,dept8,1,False,proj22task2a,setSchedule,False
3f3a3a1e-563f-4b13-9c59-d887ee8cabe4,proj42,proj42,planner,,proj61task2propa,,True,schedule,proj21,dept8,2,False,proj32task1a,read,False
77add236-849e-4b9c-9d7a-8a042ad8bec2,proj12,proj12,planner,1,proj21task1a,,True,schedule,proj11,dept7,2,False,proj51task2a,approve,False
619debfc-e46e-4536-9319-3abba4c16551,proj11,proj11,planner,2,proj41task2propa,,False,schedule,proj52,dept8,,False,proj62task1a,setCost,False
9425773a-a172-4033-b2a5-2d31c2dce47d,proj21,,planner,1,proj41task1a,,True,budget,proj32,dept8,2,True,proj41task1a,approve,False
c15c9af0-b0a7-430d-a9ec-3268fd5fbbb6,proj52,proj52,planner,,proj12task2a,,True,budget,proj62,dept7,1,False,proj22task1propa,read,False
0dd635bd-b4a0-4d40-8a20-1b6606468f26,proj31,,planner,,proj21task1propa,dept8,False,task,proj21,dept7,,False,proj32task1propa,approve,False
c0d7adea-a24c-4187-92db-afd6fcd5d384,proj42,proj42,planner,,proj21task2propa,,True,task,proj11,dept8,1,False,proj11task2a,request,False
36422745-0af8-41c8-a4e5-b52f4e3fb3a0,proj22,,planner,,proj12task1propa,dept8,True,budget,proj42,dept7,,False,proj31task2a,setSchedule,False
ee17dcdc-b763-4d4b-b9de-6573a9f80a15,proj12,,planner,2,proj52task1a,dept8,False,task,proj32,dept8,1,True,proj11task1propa,setCost,False
a273cb06-6799-4cda-9fb6-a48d32fc7e9a,proj52,proj52,planner,,proj42task2a,,True,budget,proj61,dept7,2,False,proj51task2a,setCost,False
3f1daaae-9c19-45f0-825a-679c4d89819e,proj42,proj42,planner,2,proj62task1a,,True,schedule,proj42,dept8,2,True,proj11task2a,setCost,False
b20964d0-053c-40b5-8a02-8545475dcef0,proj31,,planner,1,proj11task1a,dept7,True,task,proj61,dept8,,False,proj21task2propa,setSchedule,False
6f2f07f4-8100-454b-883d-4f8f2af72ae0,proj41,proj41,planner,1,proj61task1a,dept8,False,schedule,proj41,dept8,1,True,proj41task1propa,setCost,False
c143edb3-b626-48c7-a811-862ffc2e4a11,proj62,,planner,,proj42task2a,dept7,True,task,proj22,dept7,2,True,proj41task1a,setStatus,False
c19a72a0-a11e-4aba-bff5-c47e9d30abc1,proj22,proj22,planner,,proj21task2propa,dept8,True,budget,proj31,dept8,,True,proj22task1a,request,False
9373d2ce-73ce-4b92-a975-6ffc06e71c35,proj32,,planner,,proj42task1a,dept7,True,budget,proj52,dept8,1,True,proj12task1propa,write,False
e916a19b-e61e-4f2c-8677-017069615d21,proj22,,planner,1,proj61task1propa,,False,task,proj11,dept8,2,True,proj21task2a,request,False
63a673d3-4bf7-4058-834b-5518cf4ebc1f,proj12,,planner,,proj21task2a,,False,task,proj61,dept8,2,True,proj11task2propa,approve,False
e4987eaf-7c10-4c50-8441-255471fedbc8,proj62,,planner,,proj21task2propa,,True,task,proj12,dept8,2,False,proj52task2propa,write,False
8d9276a8-65cf-43f7-a210-b48df29c00bd,proj62,proj62,planner,,proj32task2a,dept7,False,task,proj52,dept8,,False,proj61task2a,request,False
e490c106-99cd-4e5a-bc7b-bfad28c6d743,proj42,,planner,,proj31task2a,dept7,False,budget,proj42,dept8,1,True,proj12task2propa,write,False
465280b3-847c-44df-902b-ded1c8dde3b9,proj42,proj42,planner,,proj32task1propa,dept8,False,budget,proj31,dept8,,False,proj32task2a,setCost,False
34d66e65-57f0-426e-b490-e60d52c0bb4b,proj41,proj41,planner,,proj41task2propa,dept8,True,schedule,proj22,dept8,,False,proj11task2propa,write,False
98194ad1-3f68-44c2-9625-6b51100d6115,proj42,,planner,1,proj31task2propa,dept8,False,budget,proj12,dept8,,True,proj62task1a,setStatus,False
70995bfa-0d50-4efa-b2f2-3c4627fcd7c1,proj12,proj12,planner,,proj52task1a,dept7,True,budget,proj32,dept8,1,True,proj51task1propa,request,False
7fa74846-4fc5-4e0b-b9d7-da4f7068b705,proj62,,planner,2,proj11task1propa,,True,task,proj51,dept7,1,False,proj52task2a,setCost,False
7af9653b-52cd-4fbe-9d1e-8d6f1f676b31,proj62,,planner,2,proj61task1a,,False,budget,proj22,dept7,1,False,proj31task2a,setCost,False
17d231c0-b691-482d-bf6b-d536b6c2acca,proj52,,planner,2,proj61task2propa,dept7,False,budget,proj32,dept8,2,True,proj51task1a,approve,False
c7eab777-9d79-402e-b39e-68eac997588c,proj12,proj12,planner,,proj52task1a,,False,schedule,proj42,dept7,,False,proj61task2propa,setCost,False
7ebbacac-54b7-42a6-a9b6-484429f6b90c,proj52,,planner,,proj31task1a,dept7,False,schedule,proj62,dept8,2,False,proj52task2a,read,False
7b5e91f5-18a0-42d7-b596-524cb34a6276,proj22,,planner,2,proj42task2propa,dept8,True,task,proj21,dept8,2,False,proj31task1a,write,False
c99c3a9e-125b-4fd2-85ef-634d74a34b71,proj51,proj51,planner,,proj51task2a,,False,schedule,proj51,dept8,,False,proj61task1propa,request,False
86eacaae-4bb1-45eb-ae36-c54c637e6678,proj21,proj21,planner,,proj12task2propa,dept7,True,budget,proj62,dept7,,True,proj61task1a,setCost,False
60237e94-7501-4f97-9674-c8dee8a6b91b,proj41,,planner,,proj41task1propa,,True,budget,proj32,dept7,,True,proj61task2propa,setStatus,False
32322e24-7d65-4734-8dd8-4f4ff1efa89c,proj22,,planner,,proj41task2propa,dept8,False,task,proj52,dept7,1,True,proj31task1propa,setSchedule,False
6f98bb4c-2e79-4a28-8811-453f62e54c69,proj21,proj21,planner,2,proj22task2a,,True,budget,proj61,dept7,,False,proj61task1propa,setStatus,False
5d361c0e-6b54-41d4-9d2e-4322d292777e,proj12,,planner,,proj31task2propa,dept8,False,task,proj31,dept8,,False,proj61task2propa,approve,False
0937d47f-fd50-4872-a4f5-7377a4f6bf91,proj61,proj61,planner,,proj51task2a,dept8,True,task,proj12,dept7,,False,proj62task1a,read,False
a9f6bc43-0957-41d3-95df-c1d153f62eae,proj32,,planner,1,proj12task2a,,True,budget,proj21,dept7,,True,proj32task2propa,write,False
8a66ee58-c536-4e93-9030-9cecf635a706,proj52,,planner,,proj61task1a,dept7,True,task,proj62,dept7,2,True,proj41task2propa,read,False
75013152-557b-478c-a489-e152a4a3e40d,proj11,proj11,planner,1,proj41task2propa,dept7,True,schedule,proj12,dept7,,True,proj21task2a,setSchedule,False
62801124-9ce4-4088-8188-68c262fe8ba5,proj52,proj52,planner,1,proj61task1propa,,True,schedule,proj42,dept7,1,False,proj12task2a,approve,False
