user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
68257ce3-cf77-42b2-a0ee-1817089cd468,proj41,,accountant,1,proj32task2a,,True,budget,proj41,dept4,,False,proj32task2propa,setCost,False
4305343d-cb5a-4b41-9d33-5d41b9c81d2a,proj42,,accountant,,proj41task1a,,True,budget,proj41,dept4,,True,proj41task1propa,approve,False
9d5c1c0b-8e13-48eb-ae6e-012907c90925,proj42,proj42,accountant,1,proj41task1propa,dept3,True,budget,proj31,dept3,2,False,proj32task2propa,request,False
b3294d1a-451a-41d7-aeca-6092cfcd54d2,proj32,proj32,accountant,,proj31task2a,,False,task,proj31,dept3,1,True,proj31task1a,setStatus,False
b6411310-3e58-453e-a813-e79109084bfd,proj41,,accountant,1,proj32task1a,,True,task,proj41,dept3,2,True,proj22task2propa,setStatus,False
2ffecbe6-81c9-469c-92a7-49088de4f8a6,proj32,,accountant,2,proj41task2propa,dept3,False,budget,proj41,dept4,,False,proj22task2propa,setSchedule,False
b8838b92-e15e-4e35-9a9e-873bf879accb,proj32,,accountant,1,proj41task2a,dept3,True,schedule,proj41,dept4,,True,proj31task2propa,setStatus,False
fbca26d7-1b53-457a-a8c6-844d817f552d,proj31,,accountant,2,proj32task1a,dept4,False,task,proj41,dept3,1,True,proj22task2propa,approve,False
80ad8725-a523-4fcc-aa51-6ca89c3820c6,proj31,proj31,accountant,,proj42task1a,dept3,True,task,proj32,dept4,1,True,proj31task1propa,approve,False
9241e123-2c71-4309-a905-51dc041e62b1,proj42,,accountant,1,proj31task1propa,,True,schedule,proj41,dept3,,True,proj32task2propa,write,False
d9e9d6a2-a8d5-49ae-ae14-913af22142e4,proj41,,accountant,2,proj32task1propa,dept4,False,task,proj42,dept4,,False,proj41task1a,setStatus,False
0c37474f-3ce0-4607-9c09-625c43efcf44,proj41,proj41,accountant,1,proj42task1a,dept4,True,schedule,proj32,dept4,,True,proj41task2a,setStatus,False
590ecb38-bb2c-4f44-b5e3-57f011ee37e8,proj32,proj32,accountant,2,proj22task2propa,dept3,True,schedule,proj32,dept3,,False,proj32task2propa,setSchedule,False
66514de4-b73a-49a7-b132-19d8c4a91a49,proj32,proj32,accountant,1,proj32task2a,,False,task,proj42,dept4,2,True,proj31task2a,setCost,False
6a3dbfcb-09fd-44e0-bbf3-dfee4285d414,proj41,proj41,accountant,2,proj32task2a,dept4,True,task,proj31,dept3,1,False,proj41task1propa,approve,False
d6f19396-79b0-4b4e-a77c-9e99a02bf8ab,proj31,proj31,accountant,2,proj32task1propa,dept3,False,task,proj31,dept4,1,False,proj31task1propa,setSchedule,False
85ddced4-b9d3-480b-b3f7-5ba6dcaff457,proj31,proj31,accountant,2,proj22task2propa,dept3,False,schedule,proj41,dept3,,False,proj41task1a,setSchedule,False
147ff880-8a48-4bf6-a9d9-165ac291e892,proj42,proj42,accountant,,proj32task2propa,dept3,False,task,proj41,dept3,,True,proj41task2a,setCost,False
4c965ad3-0d96-4271-b945-eb0d03d2f033,proj31,proj31,accountant,,proj41task2propa,dept3,False,schedule,proj42,dept4,,True,proj41task2a,read,False
10e5f0ac-6c12-4ee4-8cbb-8b16b9944ea8,proj31,proj31,accountant,1,proj22task2propa,,False,schedule,proj41,dept4,,False,proj32task1propa,approve,False
8d2461be-4581-43c1-9a73-6d5f1b8db9db,proj31,proj31,accountant,1,proj22task2propa,,True,schedule,proj41,dept3,,True,proj31task2propa,setCost,False
63806a03-b81d-4932-b5b7-0f5895c1b285,proj41,,accountant,1,proj42task1propa,dept3,False,schedule,proj41,dept4,1,False,proj32task1propa,setCost,False
f0425692-096e-4a2b-8850-00ee3fadaac5,proj41,proj41,accountant,,proj32task2a,,False,task,proj32,dept4,1,False,proj32task2propa,setStatus,False
6d9d0aca-c28d-4d13-8d8e-fcc84367fec8,proj32,,accountant,1,proj32task2propa,dept4,True,budget,proj42,dept4,,False,proj42task1propa,write,False
1baf3590-8fb9-4f3d-a223-aaf4a24ff2b1,proj42,,accountant,,proj32task1propa,,True,task,proj41,dept3,,True,proj41task1propa,request,False
1e261e2d-e51e-4a29-a75e-40e24a99e8f3,proj42,,accountant,1,proj41task2a,,True,schedule,proj31,dept3,,False,proj32task1a,setCost,False
7be860e1-5796-4fef-991e-872130c88217,proj32,,accountant,2,proj41task1propa,dept4,False,schedule,proj32,dept4,2,False,proj41task2propa,setStatus,False
a85c7e1b-b139-4d09-a5c3-a7b451759087,proj41,,accountant,,proj41task2a,dept4,True,task,proj41,dept4,,False,proj31task2propa,read,False
e4fb944f-e668-4150-8da7-d835726e90f3,proj31,,accountant,1,proj32task1propa,,True,budget,proj41,dept4,,False,proj31task2propa,request,False
2b7a9400-3ab4-46ec-a50c-e10d33384715,proj31,,accountant,,proj31task1propa,,True,schedule,proj32,dept4,,False,proj41task1a,setCost,False
2f40281b-8b4d-493f-8044-a4be83ad4704,proj41,proj41,accountant,,proj32task1propa,dept4,True,task,proj42,dept3,,True,proj42task1a,setSchedule,False
