user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
7c753418-3992-4d85-8434-0b4ace03d17d,proj72,,planner,2,proj72task2a,dept7,True,budget,proj72,dept8,1,False,proj62task1propa,setCost,False
647ed5e5-0863-48e0-bc86-0db306398cd2,proj74,proj74,planner,,proj72task2a,,True,task,proj72,dept8,,False,proj62task1propa,setCost,False
b5dc208e-8611-4330-846a-4f5373c85678,proj72,,planner,,proj73task2propa,,True,schedule,proj73,dept7,2,True,proj72task1propa,read,False
d7eadb42-f927-4557-9e89-c6c1a67a4d03,proj72,proj72,planner,,proj73task1propa,,False,schedule,proj71,dept8,1,False,proj73task2a,setSchedule,False
c3c9e66d-75b4-4940-a5ef-00328325a237,proj71,proj71,planner,1,proj62task1propa,dept7,False,schedule,proj71,dept7,,False,proj73task2a,approve,False
6b4d900a-6fae-4478-a521-b6854f5328ba,proj71,,planner,,proj73task2a,,False,budget,proj74,dept7,2,False,proj73task1propa,setCost,False
0160d409-ea1f-4911-bccb-94f3b82188a8,proj71,,planner,2,proj73task2propa,,True,schedule,proj74,dept7,1,True,proj71task1propa,setCost,False
2aa1dfaf-1a8a-4f8e-8587-171a02f6f54f,proj72,,planner,2,proj62task1propa,,True,task,proj74,dept8,1,True,proj73task2a,setCost,False
e15322f8-c6a5-43fe-913f-550870df3da5,proj72,proj72,planner,,proj62task2a,dept8,True,budget,proj72,dept7,,False,proj71task2a,approve,False
c1093eff-9243-442e-b795-dc3c5a377aed,proj72,proj72,planner,,proj71task2propa,,False,task,proj72,dept7,2,False,proj72task1a,request,False
83c3e5f5-0345-41c5-ac9e-19ef565991b7,proj73,proj73,planner,2,proj71task1propa,,True,schedule,proj74,dept8,1,True,proj71task2propa,approve,False
16f38c6b-ceda-40d1-bc6d-a7c2318ac92c,proj71,proj71,planner,1,proj73task2propa,dept7,True,task,proj72,dept8,,True,proj72task1a,write,False
53059be5-3a02-4226-ab52-180462dea182,proj74,proj74,planner,,proj62task1propa,,True,budget,proj73,dept8,2,True,proj62task2propa,write,False
f8fbbabe-26c2-4334-9809-daa39e2dedef,proj73,proj73,planner,1,proj72task2propa,,True,task,proj72,dept7,,False,proj73task2propa,setSchedule,False
e289a057-2113-4c3f-bf7a-6151db78b47b,proj74,proj74,planner,,proj73task1a,dept7,False,task,proj71,dept7,,True,proj72task2a,write,False
2ca03043-7d7c-4de9-8050-c4f6469cc042,proj71,proj71,planner,,proj72task2propa,,True,schedule,proj72,dept7,2,True,proj62task2propa,request,False
6c30ab70-965c-409d-bfda-83fa4e7733f7,proj74,proj74,planner,,proj73task1a,,True,budget,proj71,dept8,,True,proj71task2propa,read,False
72c4c5a8-67f5-41f5-93bb-705061cc8bf1,proj74,,planner,2,proj73task2a,,True,budget,proj71,dept7,2,False,proj72task2propa,request,False
ccfa3c4c-e7ad-48d2-b2d5-d06f09decf4f,proj73,proj73,planner,1,proj71task2a,dept7,False,budget,proj74,dept7,,True,proj71task1a,approve,False
e74d53a2-2f45-4296-8a00-edc50a78756f,proj74,proj74,planner,1,proj71task2propa,,False,task,proj73,dept8,2,True,proj72task1propa,read,False
94d490e5-a957-490b-a905-375b5c6f57aa,proj72,proj72,planner,1,proj72task1propa,,True,schedule,proj72,dept7,2,False,proj73task2propa,setStatus,False
ce2f0e90-b0c1-448d-8db8-2c3596beff9c,proj73,proj73,planner,1,proj71task1a,dept7,False,budget,proj71,dept7,2,False,proj73task2propa,setStatus,False
39636c4e-0c90-45ca-a63f-7cd427d1c0fd,proj73,,planner,,proj62task1propa,,True,schedule,proj71,dept8,2,True,proj71task2propa,setCost,False
d586b87b-9152-44ac-9bed-862478e6b919,proj74,,planner,1,proj62task2propa,dept7,True,budget,proj71,dept8,1,True,proj71task1a,request,False
e541294e-c86f-411d-9eb2-0ccf3998a54c,proj72,,planner,,proj71task1a,,False,task,proj71,dept8,,False,proj62task2propa,read,False
dee95d87-280f-487e-9654-4b3dab44bc5c,proj74,,planner,2,proj62task1propa,,False,task,proj73,dept8,,False,proj73task2a,approve,False
f7659199-89ab-4df6-9ff8-c0c57fb37f0e,proj73,,planner,,proj71task2propa,,False,budget,proj71,dept7,2,False,proj72task1propa,write,False
09f8d3f7-ac33-48e1-bc52-d47a2e41d473,proj74,proj74,planner,,proj72task1propa,dept8,False,schedule,proj72,dept7,,True,proj73task2a,read,False
b5a9d029-07be-48a4-a4e0-bd75f619b5ad,proj72,proj72,planner,,proj73task1propa,,True,budget,proj72,dept7,,False,proj73task1propa,approve,False
11ea2028-8ba3-43a3-a1d6-4d52427ecf75,proj73,proj73,planner,,proj72task1a,dept7,False,schedule,proj71,dept7,2,True,proj73task1a,setCost,False
00ae5726-e852-4e8f-8ded-6ff30430aed3,proj73,proj73,planner,,proj71task2propa,dept8,False,schedule,proj71,dept7,,True,proj62task2a,setCost,False
2657b6c8-9c37-47d2-9ff0-741d077c1662,proj73,proj73,planner,,proj72task2a,dept8,False,schedule,proj72,dept8,,True,proj73task2propa,setCost,False
37cccc73-0f14-4f5b-96bb-37c3ff1879cb,proj72,,planner,,proj73task2propa,,True,budget,proj72,dept7,,True,proj73task1a,read,False
d4e2240f-c6f7-4db6-9e42-b44486b6332b,proj74,,planner,2,proj71task1propa,dept8,False,schedule,proj73,dept8,,True,proj72task1propa,approve,False
7eec7260-6742-44ee-a80c-dbb6f1952488,proj72,proj72,planner,,proj73task2propa,,True,task,proj74,dept7,2,False,proj72task1a,setCost,False
e239dffc-ce29-4c25-b9a3-fb2f1d0dab3f,proj71,proj71,planner,,proj62task2propa,dept8,False,task,proj73,dept8,,False,proj72task1propa,request,False
ea564222-e8cc-4eb0-a3e7-c900efdf16fd,proj74,proj74,planner,2,proj62task2a,,False,schedule,proj72,dept7,,False,proj73task1propa,write,False
c5401236-635a-4894-8a89-646a2dccd3b0,proj74,,planner,,proj62task1propa,dept7,False,budget,proj72,dept7,1,False,proj73task1propa,approve,False
0ebb899c-8580-4ba1-83da-f5642656a171,proj73,proj73,planner,1,proj62task2a,,True,task,proj74,dept7,,True,proj71task2a,setSchedule,False
99a781ef-397f-4e85-94a8-4d9d5688802f,proj72,proj72,planner,,proj73task1a,dept8,False,budget,proj73,dept7,,True,proj72task1a,request,False
35f6cb1d-98f1-4fb8-8952-9b83fc9c726b,proj73,,planner,2,proj73task2a,,False,schedule,proj72,dept7,,False,proj72task2a,setCost,False
4837b9e7-64ac-421d-a8a9-8f40acdc7df7,proj71,,planner,,proj71task1a,,False,budget,proj74,dept7,1,True,proj62task1propa,setSchedule,False
09b73745-0acb-4deb-be63-e632ffe6a2e5,proj72,,planner,,proj72task1propa,,False,budget,proj74,dept8,1,False,proj71task1propa,setSchedule,False
981a9406-ade2-4b27-a594-c12bf05b9a5d,proj74,,planner,1,proj62task2a,,False,schedule,proj74,dept8,,True,proj62task1propa,setSchedule,False
5bd87dbe-e91e-411a-b8a4-9099b2f2e8e7,proj71,,planner,1,proj71task1propa,,True,task,proj74,dept7,1,False,proj72task1a,write,False
243f5199-9b53-4ee3-8f20-099aa675399d,proj73,,planner,1,proj71task1propa,,False,budget,proj74,dept7,,True,proj72task2propa,approve,False
653e1d0f-a62c-4e97-93c7-0d5ca25b940e,proj72,proj72,planner,2,proj62task2propa,dept7,False,task,proj73,dept8,1,False,proj71task2propa,setStatus,False
89cd4ce0-a124-4092-ac53-d8c362c5f485,proj71,,planner,1,proj71task1a,dept7,False,task,proj72,dept7,,False,proj72task1a,write,False
7a33cf69-eb14-4b07-b244-3bfe6b62b9e2,proj72,proj72,planner,1,proj73task1a,dept7,False,schedule,proj73,dept8,,False,proj71task2a,setSchedule,False
6c46ae58-58f2-4abf-9116-f50ac80e352d,proj72,proj72,planner,2,proj71task1a,,False,task,proj73,dept8,2,False,proj72task1a,approve,False
c9560329-9c2a-4790-9ee1-25b9fd090662,proj74,,planner,2,proj72task1a,dept8,True,budget,proj71,dept7,,True,proj71task1a,setSchedule,False
cdc63a41-34b3-4cb9-a3d4-92c1140837c3,proj71,,planner,2,proj73task1propa,,True,task,proj74,dept8,2,False,proj73task1propa,write,False
599bf915-4222-4f78-81dc-413886949780,proj73,,planner,,proj71task2propa,dept8,True,task,proj74,dept7,,False,proj72task1a,setStatus,False
b4eac936-61a4-48af-a7b4-86081c34b224,proj72,proj72,planner,,proj73task2a,,False,schedule,proj72,dept8,2,True,proj62task2propa,setSchedule,False
0732a087-928a-4039-9981-28c51a69fe07,proj72,proj72,planner,,proj62task1propa,,False,budget,proj71,dept7,,False,proj71task1a,setStatus,False
2e1c718f-facc-450a-9e92-75a67e6f3849,proj71,,planner,,proj71task2propa,,True,schedule,proj71,dept7,1,True,proj72task1propa,setCost,False
3f10ff10-9d63-4042-b518-a087732de4bf,proj71,,planner,1,proj73task1propa,dept8,False,schedule,proj71,dept7,1,True,proj73task1propa,approve,False
c69ce877-5257-4471-b983-2cf495fbd7eb,proj74,,planner,2,proj71task1a,,False,schedule,proj72,dept7,,True,proj72task1a,setStatus,False
2e74e43f-1181-4e70-9214-79da36ddbac0,proj73,proj73,planner,,proj73task2a,dept8,True,task,proj71,dept8,,False,proj73task1a,setStatus,False
b2afdb43-a4bd-4760-a64e-6986825434d7,proj73,proj73,planner,1,proj62task1propa,,True,budget,proj74,dept7,,False,proj72task1a,write,False
78aafdc9-5cb3-4cfb-81bb-8d9adc42874e,proj74,proj74,planner,,proj73task1propa,,True,budget,proj72,dept8,,True,proj73task2a,read,False
835af333-8636-4290-8334-23a5622afb02,proj71,,planner,,proj72task2a,dept8,True,budget,proj72,dept7,,False,proj72task1propa,write,False
39c5986d-9bbf-4859-9d63-7ce0908c7991,proj74,,planner,2,proj71task2a,dept8,False,budget,proj73,dept7,1,False,proj72task1a,setCost,False
e048e37b-d756-43c2-b8c8-5000b9b32479,proj72,,planner,,proj72task1propa,dept8,True,schedule,proj74,dept8,1,False,proj72task2propa,approve,False
219ff900-dbb6-4e40-8a7e-7b17ae2faff6,proj73,,planner,2,proj73task2propa,dept7,False,budget,proj73,dept8,,True,proj71task2propa,approve,False
51dcb6c2-3b8c-4efa-b0a5-30e50566c3b9,proj71,,planner,,proj62task2propa,,True,task,proj73,dept8,,False,proj73task2a,write,False
4ef93891-dfdb-45c6-a576-b1b4af37a76d,proj73,,planner,2,proj72task1propa,,True,schedule,proj74,dept8,2,False,proj72task2a,request,False
07f9b391-5157-4d24-ab24-a8d876651980,proj72,,planner,2,proj62task2propa,,False,budget,proj73,dept7,,True,proj72task2propa,approve,False
c89afaaa-ece6-49f5-b0e8-981f3e69a972,proj73,,planner,,proj72task2a,dept8,True,schedule,proj73,dept7,,True,proj73task1propa,request,False
c019fa5b-56b5-4abe-9fed-dd933258aca9,proj73,,planner,2,proj73task2a,,True,budget,proj71,dept8,,True,proj73task1propa,approve,False
4eaf08e9-90fc-441e-aef1-a2400d9e7023,proj72,,planner,,proj71task1propa,,False,schedule,proj73,dept8,2,False,proj62task2a,read,False
0f84aca7-9461-4876-b18c-3425836e38d7,proj73,,planner,2,proj72task2a,dept7,True,task,proj74,dept8,,False,proj71task1a,setStatus,False
b07efb26-0577-4e06-901b-be5db140a1a0,proj72,,planner,,proj72task1propa,dept8,True,task,proj74,dept8,,True,proj71task2propa,setStatus,False
738781df-6692-4f3b-9b5d-390ebbeea2eb,proj72,,planner,,proj73task1a,,False,budget,proj73,dept7,1,True,proj72task1propa,read,False
2e29f039-0a4e-4eec-8256-5c300a62fd08,proj72,,planner,,proj71task1a,dept8,False,schedule,proj72,dept8,,False,proj72task2a,setSchedule,False
273d2002-1d67-4278-90fc-232a159f50a7,proj74,,planner,1,proj73task2propa,,True,task,proj74,dept7,1,False,proj62task2propa,setCost,False
087a214a-1182-4303-bb2b-f8a293154222,proj71,,planner,1,proj71task1propa,,False,task,proj74,dept7,2,True,proj72task2a,setStatus,False
7692a577-e046-4f5e-8153-bffd6ed0c865,proj74,proj74,planner,2,proj71task1a,,True,budget,proj72,dept7,,True,proj72task1propa,read,False
310a6558-b89f-4c12-aa9d-307875af60ff,proj72,proj72,planner,,proj71task2propa,,True,budget,proj72,dept8,,False,proj72task2a,request,False
e7d80047-0d68-4aa7-8cf2-69f722ea7639,proj74,,planner,,proj72task2a,,False,budget,proj74,dept7,,False,proj72task2propa,write,False
1e2785ab-89de-425c-ba4e-0d4968a1b2f1,proj73,proj73,planner,,proj72task2a,,True,budget,proj74,dept7,1,True,proj73task1propa,setStatus,False
4df57bbb-6730-47b7-942a-a2c6f45b9828,proj73,proj73,planner,,proj71task2propa,dept8,True,task,proj74,dept8,2,False,proj72task1a,write,False
878f7712-b05a-458e-ae1c-7134c0c4f882,proj74,,planner,2,proj71task1a,,False,task,proj72,dept7,1,False,proj73task1propa,setSchedule,False
f9ad975c-4521-456e-a982-9d5a1c18f80b,proj74,,planner,,proj72task1a,,False,schedule,proj74,dept8,,False,proj72task2a,approve,False
4bed54f4-5393-40f4-b7a4-ff4c5dd2ca73,proj74,,planner,,proj73task1a,,True,budget,proj72,dept7,2,False,proj62task2propa,approve,False
2c298334-c482-4ac3-ab48-50a66e381120,proj72,proj72,planner,2,proj71task2a,dept8,False,budget,proj74,dept8,1,True,proj72task2a,setSchedule,False
bf87481e-e13c-4b65-a0d6-1e01ca5e21ad,proj72,proj72,planner,1,proj71task1a,dept8,True,budget,proj71,dept8,1,True,proj62task2a,setStatus,False
40a6d4e7-1bf3-47d4-abcc-9a7d5992da37,proj71,,planner,1,proj72task2propa,dept8,True,task,proj72,dept7,,True,proj71task1a,setStatus,False
9baf5351-251c-4fd1-929d-0d2cf5305827,proj72,proj72,planner,1,proj72task2a,,False,schedule,proj74,dept7,,True,proj73task1propa,write,False
43b7453e-bc1e-4b9e-a49c-626e0d304816,proj74,,planner,,proj71task1a,,False,schedule,proj74,dept8,,False,proj62task2a,setStatus,False
2f3be488-65ac-428e-afab-cd7def467b98,proj71,proj71,planner,1,proj72task2propa,dept7,True,budget,proj72,dept7,,False,proj71task1propa,setSchedule,False
ee872fd8-c3dc-4f4b-87d4-a1b97a7b25a8,proj73,,planner,1,proj62task2a,dept8,True,budget,proj71,dept8,2,True,proj72task2propa,request,False
2427fd82-f50e-4c53-bc4e-d2cc09525232,proj73,proj73,planner,2,proj62task2a,,True,budget,proj74,dept7,,False,proj71task1propa,setStatus,False
c21e056f-ea24-423c-886b-6e0bc861cc2a,proj71,proj71,planner,,proj71task1propa,dept7,True,schedule,proj73,dept7,1,False,proj72task1propa,request,False
2e96fa4e-e5c0-4f59-b6b3-e93b775a1bae,proj74,,planner,2,proj73task2propa,dept8,True,task,proj74,dept7,1,False,proj73task1a,write,False
043ed050-4103-4f27-b836-6ce81f813d06,proj72,proj72,planner,,proj73task2a,,True,budget,proj71,dept8,2,True,proj71task2propa,approve,False
64d55f1c-7838-434c-ab35-41cabd9a69ae,proj74,,planner,,proj73task1propa,dept7,False,schedule,proj71,dept8,,False,proj62task2a,read,False
9f56aad3-c78f-40e2-ab6a-f38c49a4558f,proj72,proj72,planner,2,proj72task1propa,,True,budget,proj72,dept7,2,True,proj73task2a,setStatus,False
8e618c90-671c-4a7f-b39e-8e4605579fd7,proj73,proj73,planner,,proj72task2a,dept7,False,budget,proj72,dept8,,False,proj73task1propa,approve,False
befaed1e-29da-44b4-aaef-6a1d8ff47966,proj74,proj74,planner,2,proj72task1propa,dept8,False,schedule,proj74,dept8,2,True,proj62task1propa,setStatus,False
b4b7f2d7-78f2-40d3-8adc-cfaeffc85411,proj74,proj74,planner,,proj72task2propa,,False,budget,proj71,dept7,1,True,proj73task2a,write,False
b7996f26-eca4-4855-a09a-ad913cfec25f,proj72,,planner,1,proj62task2a,dept8,False,task,proj71,dept7,1,True,proj71task1propa,read,False
1fb07e9a-9a07-4466-8989-01975d16c6bd,proj74,proj74,planner,,proj73task1propa,,False,task,proj74,dept8,,True,proj72task1propa,request,False
cf6cd74e-13ad-486c-9a9b-3f192920d571,proj73,proj73,planner,1,proj72task2propa,,False,task,proj72,dept8,2,True,proj71task1a,request,False
c10a7376-1fdc-4815-8f2f-3b8298c5f2b7,proj71,,planner,1,proj62task1propa,dept8,True,schedule,proj73,dept8,1,False,proj71task2propa,setStatus,False
3da2ada5-bf26-4aa1-9748-1bfc79b82aeb,proj73,,planner,,proj73task1propa,,False,task,proj72,dept7,,False,proj62task1propa,request,False
96e2a496-c88b-4e12-8627-7c147ba9c36d,proj71,proj71,planner,2,proj73task2a,,True,task,proj74,dept8,1,True,proj71task1propa,request,False
90535033-c6e7-4c50-b775-ed40f8378ccc,proj73,,planner,1,proj71task1a,dept8,False,schedule,proj71,dept7,,True,proj71task1propa,request,False
fa20e691-8fe9-4e7b-8f47-576e3b549c03,proj74,proj74,planner,,proj71task2a,,False,budget,proj74,dept8,2,True,proj71task1propa,setStatus,False
9dce1c7a-d886-462f-a26e-ad4f58a0748f,proj72,,planner,1,proj72task1propa,,True,schedule,proj71,dept7,2,False,proj62task2a,setStatus,False
d875d247-aa49-4738-9437-694c17a02a64,proj73,,planner,,proj71task2propa,dept7,True,budget,proj72,dept8,1,False,proj71task1a,setStatus,False
70c69f5c-5ca6-4acc-8c67-ab241872d6ee,proj74,proj74,planner,2,proj71task2propa,,True,budget,proj71,dept7,2,False,proj73task1propa,write,False
fdc4afa2-e359-40fc-88cb-fedba4b62e32,proj73,,planner,,proj72task2a,dept7,True,budget,proj73,dept8,2,True,proj62task2a,setSchedule,False
554a04be-e8bb-4fbc-8b4b-7d698389e6e8,proj71,proj71,planner,,proj73task2propa,,True,task,proj73,dept8,2,True,proj72task2propa,request,False
23ffaec4-a01a-49a0-8034-c6324a8acbff,proj72,proj72,planner,,proj62task2a,dept7,True,budget,proj72,dept7,1,False,proj71task1propa,request,False
ce8568c6-f77d-4bff-bd21-8da1deaa48d4,proj72,proj72,planner,1,proj72task1a,,False,schedule,proj72,dept8,,False,proj72task2propa,setSchedule,False
7de6bda5-9f85-4765-87ce-48a340e6f4fa,proj73,proj73,planner,,proj71task1propa,dept7,False,budget,proj73,dept8,1,True,proj73task1propa,approve,False
b0e7cea2-2b50-4a15-b170-57f6db863ad8,proj74,proj74,planner,,proj72task1a,dept7,True,schedule,proj71,dept8,,True,proj73task1propa,request,False
36130bbd-848f-444b-be7c-2574238c6bf2,proj74,,planner,,proj73task1propa,,False,task,proj71,dept7,,False,proj62task2a,read,False
874ae2a7-a044-455d-aa54-10879bc54fb2,proj71,,planner,1,proj71task2propa,,False,task,proj74,dept8,,False,proj71task1a,setStatus,False
e5dc0a00-60a0-4c1a-a836-bab2fa4eefd3,proj72,proj72,planner,,proj62task2propa,dept7,True,schedule,proj72,dept8,1,True,proj72task2propa,setCost,False
4ab80df2-7509-4042-9421-c5fb19fb53cb,proj73,,planner,2,proj71task1a,,False,schedule,proj71,dept8,,True,proj73task2a,request,False
