,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0,ff7e0a80-896d-431c-a162-0f6851dc7e4a,proj52,,auditor,,proj32task2propa,dept5,False,budget,proj51,dept6,,True,proj72task2propa,write,False
1,1f4c2ddc-13fd-4d98-a20d-5ed67f9cc708,proj51,proj51,auditor,1.0,proj42task1a,,False,task,proj62,dept6,1.0,False,proj21task2propa,approve,False
2,5b4797c8-1433-4892-b9cd-c0a759447ebe,proj51,,auditor,,proj62task1propa,,False,budget,proj62,dept6,,True,proj31task2a,write,False
3,518fb6d9-7465-4f87-a4e2-507a1dbeb50c,proj61,proj61,auditor,,proj11task2propa,,True,task,proj61,dept6,,True,proj42task1a,write,False
4,e94cb818-0525-4e80-a6ef-51d4e7393cc5,proj62,proj62,auditor,2.0,proj11task1propa,,True,schedule,proj62,dept6,,True,proj71task1propa,approve,False
5,15b6c57b-b981-4ce4-9880-eef4b72932e4,proj52,proj52,auditor,,proj32task1propa,dept5,True,task,proj61,dept6,,False,proj11task2a,setSchedule,False
6,a49af9fb-c176-40b0-939a-606c2355f8a1,proj61,proj61,auditor,,proj32task2propa,dept5,False,task,proj62,dept6,2.0,True,proj31task1propa,approve,False
7,18e7da7a-1c68-4007-aba4-95eeedddcb2f,proj61,,auditor,,proj42task1a,dept5,True,budget,proj52,dept6,1.0,False,proj11task2propa,setCost,False
8,c9f030d9-9085-4083-93ea-654efad56fff,proj61,proj61,auditor,,proj12task1propa,dept5,True,budget,proj51,dept6,1.0,False,proj73task2a,request,False
9,d2b58214-a0bc-4bc2-a28a-ce6bc391a2c0,proj62,proj62,auditor,,proj41task2propa,,False,budget,proj61,dept5,,False,proj12task1propa,request,False
10,fe88c7d4-69af-4a0b-8968-dc27509f1be6,proj62,,auditor,2.0,proj31task2propa,dept6,True,task,proj51,dept6,1.0,False,proj41task1a,request,False
11,3b53e806-38dc-45be-8e37-9aa973aa9a09,proj62,,auditor,,proj71task2a,dept5,True,task,proj62,dept6,2.0,True,proj21task1a,setStatus,False
12,154ba669-1959-4a2a-a085-5ac12b22997e,proj61,,auditor,2.0,proj71task1propa,dept6,False,task,proj51,dept6,,True,proj42task1a,read,False
13,e97e4c3e-6838-406a-994d-457df03f4109,proj51,,auditor,,proj73task2a,,False,budget,proj51,dept6,,False,proj71task1a,setCost,False
14,b0fbb65e-3c6e-486c-998b-7031da4c92d5,proj61,,auditor,,proj62task2propa,,True,schedule,proj61,dept5,1.0,True,proj32task2propa,setSchedule,False
15,f99be700-447c-406e-9554-bb5993990a03,proj51,,auditor,,proj22task1propa,,True,schedule,proj62,dept6,1.0,True,proj32task2propa,write,False
16,c028672a-5f7c-4ec9-af58-5d9af9461aec,proj52,,auditor,,proj11task1a,,False,task,proj62,dept6,1.0,True,proj41task2propa,approve,False
17,d66d7b91-9c55-4704-8c33-3cb2def10141,proj62,,auditor,1.0,proj32task1propa,dept6,True,schedule,proj61,dept5,,True,proj32task2a,request,False
18,119a90a2-c50e-4184-a9da-33f5650863bd,proj61,proj61,auditor,,proj11task1a,,True,task,proj52,dept6,1.0,False,proj71task2propa,write,False
19,2b68e358-402f-4ecd-8373-028868b3ad20,proj51,,auditor,,proj31task1a,,False,task,proj61,dept6,,True,proj62task2propa,setSchedule,False
20,0477f282-fc32-48a5-acb3-964a2c213b89,proj52,proj52,auditor,1.0,proj21task2a,dept5,True,budget,proj51,dept5,2.0,True,proj22task1propa,approve,False
21,d301bb35-3324-4b89-933d-c2589b9489de,proj61,proj61,auditor,2.0,proj12task1a,dept5,True,schedule,proj51,dept5,,False,proj73task1a,setStatus,False
22,df1289eb-94c8-4b22-a001-64cff637817c,proj52,proj52,auditor,2.0,proj21task1propa,dept5,False,schedule,proj61,dept6,,False,proj42task1propa,setSchedule,False
23,d6e8e1ca-0235-4fd0-9587-555e7a03b26f,proj61,,auditor,,proj73task2propa,,False,budget,proj52,dept6,2.0,False,proj62task2propa,write,False
24,d03c409c-08a3-4bad-9cd8-2c0e0683b91e,proj62,proj62,auditor,2.0,proj32task1propa,dept6,True,task,proj51,dept6,1.0,True,proj32task2propa,read,False
25,e6f882e0-c679-4cce-9fbd-c6a44988b712,proj52,,auditor,,proj73task2propa,,False,task,proj52,dept5,2.0,False,proj12task1a,read,False
26,7139571c-f512-49bc-b1fd-215f6a3705f8,proj52,,auditor,1.0,proj31task2a,,False,budget,proj52,dept5,1.0,False,proj71task1propa,setStatus,False
27,368ccbd1-57ba-494a-a2ff-ea02626d864a,proj52,proj52,auditor,2.0,proj11task2propa,dept5,True,budget,proj62,dept5,1.0,False,proj41task2propa,request,False
28,9918ed5c-d2c3-4db6-b4e2-57cccbbcf8f4,proj61,proj61,auditor,1.0,proj12task1propa,,False,task,proj51,dept5,,True,proj62task2propa,setSchedule,False
29,dd5d9ed5-21e5-43a2-848a-111992b0eaf1,proj51,,auditor,,proj41task1propa,,True,task,proj61,dept6,2.0,True,proj12task2propa,approve,False
