,node_a,node_b,dist,audi
0,0.0,6742.0,0.0,2.0
1,106.0,24878.0,0.0,2.0
2,399.0,8246.0,0.0,2.0
3,778.0,20586.0,0.0,2.0
4,1492.0,20903.0,0.0,2.0
5,1667.0,19271.0,0.0,2.0
6,1981.0,2333.0,0.0,2.0
7,8835.0,37595.0,0.0,3.0
8,2621.0,12844.0,0.0,2.0
9,2914.0,6934.0,0.0,2.0
10,10118.0,37598.0,0.0,3.0
11,4407.0,18192.0,0.0,2.0
12,4581.0,16499.0,0.0,2.0
13,4722.0,12485.0,0.0,2.0
14,572.0,5533.0,0.0,2.0
15,2323.0,9221.0,0.0,2.0
16,4147.0,7060.0,0.0,2.0
17,5136.0,23601.0,0.0,2.0
18,5432.0,14645.0,0.0,2.0
19,1693.0,3317.0,0.0,2.0
20,2713.0,4276.0,0.0,2.0
21,2828.0,4431.0,0.0,2.0
22,10039.0,37608.0,0.0,3.0
23,18684.0,37609.0,0.0,3.0
24,12943.0,37610.0,0.0,3.0
25,6802.0,22645.0,0.0,2.0
26,13805.0,37591.0,0.0,3.0
27,8658.0,14015.0,0.0,2.0
28,35120.0,37611.0,0.0,4.0
29,10438.0,25672.0,0.0,2.0
30,6094.0,16170.0,0.0,2.0
31,6108.0,7298.0,0.0,2.0
32,24514.0,37620.0,0.0,3.0
33,613.0,11673.0,0.0,2.0
34,8293.0,15104.0,0.0,2.0
35,19011.0,37623.0,0.0,3.0
36,18514.0,18618.0,0.0,2.0
37,19730.0,37625.0,0.0,3.0
38,33808.0,37624.0,0.0,4.0
39,20046.0,37626.0,0.0,4.0
40,25171.0,37628.0,0.0,5.0
41,25072.0,29923.0,0.0,2.0
42,8756.0,34384.0,0.0,2.0
43,8785.0,10340.0,0.0,2.0
44,8996.0,12596.0,0.0,2.0
45,9162.0,23534.0,0.0,2.0
46,1055.0,7191.0,0.0,2.0
47,3205.0,10429.0,0.0,2.0
48,22593.0,37635.0,0.0,3.0
49,3738.0,6887.0,0.0,2.0
50,4735.0,7942.0,0.0,2.0
51,10076.0,17214.0,0.0,2.0
52,10158.0,13135.0,0.0,2.0
53,2057.0,6050.0,0.0,2.0
54,2357.0,13398.0,0.0,2.0
55,3783.0,11806.0,0.0,2.0
56,6813.0,37642.0,0.0,3.0
57,11946.0,37645.0,0.0,4.0
58,1605.0,16412.0,0.0,2.0
59,3965.0,21135.0,0.0,2.0
60,4.0,3600.0,0.0,2.0
61,316.0,13396.0,0.0,2.0
62,646.0,8165.0,0.0,2.0
63,859.0,5180.0,0.0,2.0
64,1166.0,9769.0,0.0,2.0
65,3828.0,7115.0,0.0,2.0
66,15650.0,37652.0,0.0,3.0
67,6500.0,20609.0,0.0,2.0
68,6.0,3951.0,0.0,2.0
69,8012.0,16634.0,0.0,2.0
70,10563.0,25244.0,0.0,2.0
71,19984.0,37658.0,0.0,3.0
72,35710.0,37660.0,0.0,4.0
73,26566.0,37659.0,0.0,3.0
74,8.0,3299.0,0.0,2.0
75,9.0,26177.0,0.0,2.0
76,10.0,18454.0,0.0,2.0
77,11.0,18166.0,0.0,2.0
78,12.0,2226.0,0.0,2.0
79,288.0,23015.0,0.0,2.0
80,14.0,8575.0,0.0,2.0
81,15.0,5972.0,0.0,2.0
82,3610.0,11607.0,0.0,2.0
83,492.0,4448.0,0.0,2.0
84,1556.0,8003.0,0.0,2.0
85,1562.0,24914.0,0.0,2.0
86,2256.0,10459.0,0.0,2.0
87,2432.0,3052.0,0.0,2.0
88,2504.0,16211.0,0.0,2.0
89,3923.0,37676.0,0.0,3.0
90,2460.0,14003.0,0.0,2.0
91,1164.0,6784.0,0.0,2.0
92,1414.0,1487.0,0.0,2.0
93,7488.0,37681.0,0.0,3.0
94,2797.0,6772.0,0.0,2.0
95,20.0,2196.0,0.0,2.0
96,22.0,15255.0,0.0,2.0
97,24.0,3295.0,0.0,2.0
98,25.0,18832.0,0.0,2.0
99,28.0,14595.0,0.0,2.0
100,29.0,4001.0,0.0,2.0
101,30.0,4785.0,0.0,2.0
102,31.0,13905.0,0.0,2.0
103,32.0,296.0,0.0,2.0
104,33.0,1422.0,0.0,2.0
105,37.0,13215.0,0.0,2.0
106,39.0,2972.0,0.0,2.0
107,40.0,274.0,0.0,2.0
108,41.0,21769.0,0.0,2.0
109,42.0,5695.0,0.0,2.0
110,514.0,565.0,0.0,2.0
111,1773.0,37699.0,0.0,3.0
112,3103.0,37700.0,0.0,4.0
113,47.0,24485.0,0.0,2.0
114,49.0,27258.0,0.0,2.0
115,50.0,3706.0,0.0,2.0
116,51.0,5317.0,0.0,2.0
117,53.0,4760.0,0.0,2.0
118,56.0,8126.0,0.0,2.0
119,57.0,9345.0,0.0,2.0
120,58.0,24469.0,0.0,2.0
121,59.0,1504.0,0.0,2.0
122,60.0,25706.0,0.0,2.0
123,61.0,11493.0,0.0,2.0
124,63.0,3797.0,0.0,2.0
125,64.0,13920.0,0.0,2.0
126,66.0,7034.0,0.0,2.0
127,67.0,17439.0,0.0,2.0
128,69.0,11981.0,0.0,2.0
129,1400.0,8920.0,0.0,2.0
130,2215.0,14469.0,0.0,2.0
131,638.0,27176.0,0.0,2.0
132,758.0,20822.0,0.0,2.0
133,72.0,2319.0,0.0,2.0
134,74.0,3011.0,0.0,2.0
135,26038.0,35601.0,0.0,2.0
136,77.0,28551.0,0.0,2.0
137,12836.0,14559.0,0.0,2.0
138,84.0,717.0,0.0,2.0
139,86.0,5567.0,0.0,2.0
140,87.0,3195.0,0.0,2.0
141,90.0,419.0,0.0,2.0
142,92.0,13970.0,0.0,2.0
143,93.0,12565.0,0.0,2.0
144,2013.0,3615.0,0.0,2.0
145,9057.0,37733.0,0.0,3.0
146,3823.0,5591.0,0.0,2.0
147,96.0,2238.0,0.0,2.0
148,97.0,9385.0,0.0,2.0
149,100.0,3026.0,0.0,2.0
150,102.0,9581.0,0.0,2.0
151,103.0,6114.0,0.0,2.0
152,10915.0,14388.0,0.0,2.0
153,577.0,5794.0,0.0,2.0
154,7943.0,37742.0,0.0,3.0
155,31357.0,37743.0,0.0,4.0
156,287.0,4945.0,0.0,2.0
157,2154.0,17744.0,0.0,2.0
158,2195.0,8426.0,0.0,2.0
159,3853.0,21416.0,0.0,2.0
160,15222.0,37741.0,0.0,3.0
161,19371.0,35531.0,0.0,2.0
162,2070.0,7992.0,0.0,2.0
163,19820.0,37751.0,0.0,3.0
164,107.0,13551.0,0.0,2.0
165,109.0,7424.0,0.0,2.0
166,2712.0,30591.0,0.0,2.0
167,112.0,2593.0,0.0,2.0
168,113.0,12148.0,0.0,2.0
169,114.0,7309.0,0.0,2.0
170,6139.0,17464.0,0.0,2.0
171,10386.0,18339.0,0.0,2.0
172,12192.0,24360.0,0.0,2.0
173,1110.0,2608.0,0.0,2.0
174,7769.0,37762.0,0.0,3.0
175,3210.0,10714.0,0.0,2.0
176,8677.0,33032.0,0.0,2.0
177,2056.0,20910.0,0.0,2.0
178,6051.0,7492.0,0.0,2.0
179,2892.0,19754.0,0.0,2.0
180,118.0,2727.0,0.0,2.0
181,119.0,6665.0,0.0,2.0
182,121.0,14327.0,0.0,2.0
183,2178.0,17187.0,0.0,2.0
184,861.0,3540.0,0.0,2.0
185,4967.0,37723.0,0.0,3.0
186,3435.0,22084.0,0.0,2.0
187,124.0,11849.0,0.0,2.0
188,125.0,11588.0,0.0,2.0
189,127.0,8675.0,0.0,2.0
190,128.0,11680.0,0.0,2.0
191,702.0,907.0,0.0,2.0
192,9242.0,37780.0,0.0,3.0
193,1321.0,15390.0,0.0,2.0
194,2780.0,19695.0,0.0,2.0
195,130.0,10015.0,0.0,2.0
196,131.0,339.0,0.0,2.0
197,132.0,12431.0,0.0,2.0
198,133.0,1677.0,0.0,2.0
199,2041.0,20555.0,0.0,2.0
200,135.0,9312.0,0.0,2.0
201,136.0,387.0,0.0,2.0
202,137.0,2402.0,0.0,2.0
203,138.0,3666.0,0.0,2.0
204,1983.0,8092.0,0.0,2.0
205,2217.0,29768.0,0.0,2.0
206,3024.0,22939.0,0.0,2.0
207,140.0,575.0,0.0,2.0
208,916.0,23522.0,0.0,2.0
209,142.0,5039.0,0.0,2.0
210,143.0,4650.0,0.0,2.0
211,297.0,18051.0,0.0,2.0
212,7038.0,37756.0,0.0,3.0
213,3387.0,19326.0,0.0,2.0
214,3442.0,13169.0,0.0,2.0
215,3926.0,4319.0,0.0,2.0
216,11894.0,37804.0,0.0,3.0
217,30924.0,37801.0,0.0,4.0
218,962.0,23245.0,0.0,2.0
219,1646.0,3235.0,0.0,2.0
220,146.0,27914.0,0.0,2.0
221,147.0,18028.0,0.0,2.0
222,149.0,1568.0,0.0,2.0
223,619.0,3281.0,0.0,2.0
224,1076.0,24016.0,0.0,2.0
225,2601.0,35409.0,0.0,2.0
226,5158.0,37812.0,0.0,3.0
227,3324.0,35650.0,0.0,2.0
228,3436.0,4970.0,0.0,2.0
229,4704.0,13284.0,0.0,2.0
230,30598.0,37817.0,0.0,3.0
231,25218.0,37815.0,0.0,4.0
232,5452.0,18651.0,0.0,2.0
233,5808.0,7637.0,0.0,2.0
234,151.0,193.0,0.0,2.0
235,152.0,5450.0,0.0,2.0
236,153.0,1567.0,0.0,2.0
237,1188.0,24985.0,0.0,2.0
238,1012.0,9176.0,0.0,2.0
239,1541.0,6285.0,0.0,2.0
240,3057.0,13740.0,0.0,2.0
241,2406.0,4281.0,0.0,2.0
242,719.0,14108.0,0.0,2.0
243,362.0,6433.0,0.0,2.0
244,1856.0,2737.0,0.0,2.0
245,4660.0,37833.0,0.0,3.0
246,17315.0,37834.0,0.0,4.0
247,6479.0,37832.0,0.0,3.0
248,7025.0,37836.0,0.0,4.0
249,18063.0,37837.0,0.0,5.0
250,159.0,32867.0,0.0,2.0
251,160.0,27813.0,0.0,2.0
252,161.0,3068.0,0.0,2.0
253,162.0,10653.0,0.0,2.0
254,164.0,6534.0,0.0,2.0
255,167.0,6355.0,0.0,2.0
256,168.0,2239.0,0.0,2.0
257,170.0,5330.0,0.0,2.0
258,171.0,4613.0,0.0,2.0
259,172.0,5955.0,0.0,2.0
260,947.0,23642.0,0.0,2.0
261,176.0,20834.0,0.0,2.0
262,1794.0,32341.0,0.0,2.0
263,3642.0,3966.0,0.0,2.0
264,5056.0,37852.0,0.0,3.0
265,11503.0,37853.0,0.0,4.0
266,17354.0,37854.0,0.0,5.0
267,207.0,621.0,0.0,2.0
268,512.0,1015.0,0.0,2.0
269,3071.0,37856.0,0.0,3.0
270,19931.0,37857.0,0.0,3.0
271,1071.0,9476.0,0.0,2.0
272,1802.0,6326.0,0.0,2.0
273,179.0,6832.0,0.0,2.0
274,181.0,27995.0,0.0,2.0
275,182.0,4518.0,0.0,2.0
276,1342.0,20412.0,0.0,2.0
277,185.0,567.0,0.0,2.0
278,1289.0,8346.0,0.0,2.0
279,1921.0,2942.0,0.0,2.0
280,2249.0,4506.0,0.0,2.0
281,2266.0,5025.0,0.0,2.0
282,5683.0,37868.0,0.0,3.0
283,3768.0,23634.0,0.0,2.0
284,7260.0,37869.0,0.0,3.0
285,4675.0,10377.0,0.0,2.0
286,4715.0,8339.0,0.0,2.0
287,20627.0,37870.0,0.0,3.0
288,5481.0,29799.0,0.0,2.0
289,28760.0,37871.0,0.0,4.0
290,6586.0,8489.0,0.0,2.0
291,6893.0,21783.0,0.0,2.0
292,188.0,1041.0,0.0,2.0
293,1318.0,7987.0,0.0,2.0
294,191.0,34834.0,0.0,2.0
295,10694.0,37823.0,0.0,3.0
296,194.0,1081.0,0.0,2.0
297,195.0,8645.0,0.0,2.0
298,686.0,987.0,0.0,2.0
299,4774.0,37887.0,0.0,3.0
300,1223.0,3786.0,0.0,2.0
301,1230.0,1497.0,0.0,2.0
302,10314.0,37890.0,0.0,3.0
303,3162.0,22396.0,0.0,2.0
304,15522.0,37889.0,0.0,3.0
305,4382.0,7146.0,0.0,2.0
306,4534.0,31990.0,0.0,2.0
307,9542.0,37888.0,0.0,4.0
308,5737.0,25679.0,0.0,2.0
309,6057.0,7661.0,0.0,2.0
310,6354.0,7353.0,0.0,2.0
311,7923.0,37894.0,0.0,3.0
312,27815.0,37899.0,0.0,3.0
313,1019.0,15150.0,0.0,2.0
314,1074.0,1697.0,0.0,2.0
315,1235.0,5720.0,0.0,2.0
316,4708.0,37903.0,0.0,3.0
317,3587.0,31845.0,0.0,2.0
318,4469.0,13325.0,0.0,2.0
319,5334.0,24344.0,0.0,2.0
320,6092.0,18421.0,0.0,2.0
321,6306.0,11520.0,0.0,2.0
322,7334.0,8226.0,0.0,2.0
323,21631.0,37898.0,0.0,3.0
324,7926.0,17101.0,0.0,2.0
325,8180.0,22172.0,0.0,2.0
326,18338.0,37911.0,0.0,3.0
327,9232.0,15023.0,0.0,2.0
328,9556.0,22613.0,0.0,2.0
329,9568.0,21748.0,0.0,2.0
330,9996.0,27858.0,0.0,2.0
331,11179.0,29066.0,0.0,2.0
332,20119.0,37910.0,0.0,3.0
333,20504.0,37893.0,0.0,4.0
334,4081.0,4725.0,0.0,2.0
335,16200.0,30770.0,0.0,2.0
336,21879.0,37922.0,0.0,5.0
337,32175.0,37912.0,0.0,4.0
338,539.0,6378.0,0.0,2.0
339,1154.0,13229.0,0.0,2.0
340,1159.0,1958.0,0.0,2.0
341,4120.0,37929.0,0.0,3.0
342,2568.0,6311.0,0.0,2.0
343,2920.0,34474.0,0.0,2.0
344,3035.0,4246.0,0.0,2.0
