,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
10380,0,10,1,20,11,1,0,11200,36,True,0,0,0,0
2046,12,10,1,20,12,2,0,12200,36,True,0,1,1,0
14625,0,10,0,21,11,1,0,11100,31,True,0,0,0,0
15495,0,10,1,20,11,2,0,1220,30,True,0,0,0,0
16520,0,10,0,22,12,1,0,1220,31,True,0,1,0,0
253,22,10,0,20,22,2,0,12100,33,True,0,1,1,0
2493,21,10,0,22,11,1,0,22100,34,True,1,0,0,1
18620,0,10,1,20,11,2,0,12100,32,True,0,0,0,0
17095,12,10,0,22,11,2,0,2220,30,True,0,0,1,2
21287,72,10,0,21,32,4,0,12100,32,True,0,0,0,2
494,0,10,1,20,11,2,0,1220,31,True,0,1,1,2
16421,0,10,1,21,11,2,0,1120,34,True,0,1,1,0
1586,21,10,0,22,11,1,0,1110,35,True,0,0,0,0
23607,72,10,1,21,42,2,0,2220,36,True,0,0,0,2
20824,71,10,0,20,52,3,0,22100,31,True,0,0,0,0
14902,0,10,0,20,11,2,0,1220,33,True,0,0,0,0
23,12,10,0,21,12,1,0,12100,36,True,0,1,0,1
3064,0,10,1,21,11,1,0,1210,31,True,0,1,0,0
17971,12,10,0,21,11,2,0,2220,36,True,0,0,0,2
18031,21,10,1,22,21,1,0,1120,30,True,0,1,1,2
13069,0,10,0,22,22,2,0,22100,36,True,0,0,1,0
25050,0,10,0,21,12,1,0,52100,34,True,0,1,0,0
18053,0,10,1,20,21,2,0,1110,34,True,0,0,0,0
5158,0,10,0,21,12,1,0,11100,31,True,0,1,0,2
18592,12,10,0,21,12,1,0,12100,35,True,1,1,0,0
6192,0,10,1,22,21,1,0,22100,33,True,0,0,1,0
12773,0,10,0,22,22,2,0,2110,32,True,0,1,0,2
13804,0,10,0,20,11,1,0,12100,34,True,0,1,0,0
4670,0,10,0,22,21,1,0,2210,30,True,0,0,0,0
8191,22,10,0,20,21,2,0,22100,30,True,1,0,0,2
646,22,10,1,20,21,2,0,21200,30,True,0,0,0,0
21582,0,10,1,21,21,3,0,71200,30,True,0,1,0,0
1830,12,10,0,21,22,2,0,11100,36,True,0,0,0,0
17033,0,10,0,20,12,2,0,1220,36,True,0,0,0,0
12951,0,10,0,22,12,2,0,11100,31,True,0,0,0,0
6781,0,10,1,22,11,1,0,11100,36,True,0,0,0,0
16355,0,10,1,20,12,1,0,2110,30,True,0,1,0,0
7911,0,10,1,22,12,2,0,11100,30,True,0,0,1,0
14846,0,10,1,20,12,1,0,11100,35,True,0,0,0,0
25434,22,10,0,22,21,1,0,7210,35,True,0,0,0,0
5558,0,10,0,21,22,2,0,2220,34,True,0,1,1,1
6153,11,10,1,22,12,1,0,2110,30,True,0,0,1,0
20573,0,10,1,21,41,3,0,21200,30,True,0,0,0,0
21929,0,10,0,22,12,6,0,7320,34,True,0,1,0,0
11796,0,10,0,20,11,2,0,1120,32,True,0,1,0,0
24157,61,10,0,22,61,1,0,12100,30,True,0,1,0,0
20904,0,10,1,21,62,3,0,1120,36,True,0,0,0,2
18969,12,10,1,21,12,2,0,12100,35,True,0,1,0,0
6105,21,10,0,22,22,1,0,2110,36,True,0,0,0,0
6148,0,10,1,21,11,1,0,22100,31,True,0,0,0,0
11081,0,10,1,22,22,2,0,1110,34,True,0,1,1,0
15466,0,10,0,22,11,2,0,12200,35,True,0,0,0,0
10650,21,10,0,20,21,1,1,11100,32,True,0,1,0,2
19443,0,10,0,22,11,1,0,1210,33,True,0,0,0,0
18454,11,10,0,20,11,1,0,1210,30,True,0,1,0,2
10303,0,10,0,21,11,1,0,12200,34,True,0,0,1,0
3861,21,10,1,22,11,2,0,12100,36,True,0,0,0,0
2107,0,10,1,20,21,2,0,2220,32,True,0,0,0,0
2072,22,10,0,20,22,2,0,21100,34,True,0,1,0,0
7333,0,10,1,21,11,2,0,2210,34,True,1,0,1,0
25776,0,10,0,21,22,3,0,11100,32,True,0,0,0,0
24934,0,10,1,20,22,1,0,6110,34,True,0,0,0,2
23280,0,10,0,22,73,1,0,7310,33,True,0,0,0,0
6491,0,10,0,21,21,2,0,1120,34,True,1,0,0,0
15249,0,10,1,20,21,1,0,2110,34,True,0,0,0,0
22200,21,10,0,21,12,8,0,52200,31,True,0,0,0,0
17654,21,10,0,22,12,1,0,1120,30,True,0,0,0,2
22182,0,10,1,20,11,5,0,5220,31,True,0,0,0,0
18418,22,10,1,22,12,2,0,21100,32,True,0,0,1,2
14131,0,10,0,20,12,2,0,22100,35,True,0,1,0,1
16440,11,10,0,21,21,2,0,1110,35,True,0,0,0,0
7730,22,10,0,22,22,1,0,12100,33,True,0,1,0,0
20864,0,10,1,20,73,3,0,1110,30,True,0,0,0,0
295,0,10,1,21,11,1,0,12100,32,True,0,0,1,0
12222,22,10,0,20,22,1,1,1110,30,True,0,1,0,0
21917,12,10,0,22,21,8,0,5210,33,True,0,0,0,0
19181,0,10,0,20,12,2,0,2120,32,True,0,0,1,0
17613,21,10,1,21,21,2,1,12100,32,True,0,1,0,0
15177,0,10,0,22,22,1,0,21100,31,True,0,0,0,0
2546,0,10,0,22,22,2,0,1120,30,True,0,0,0,2
25742,0,10,0,20,21,4,0,12100,35,True,0,0,0,0
8999,0,10,0,20,11,1,1,1110,31,True,0,1,1,0
14296,11,10,1,20,21,1,0,1120,31,True,0,0,1,0
17679,22,10,1,20,22,1,0,12100,36,True,0,1,0,0
9263,0,10,1,20,12,2,0,1120,35,True,0,0,0,0
25949,0,10,1,20,12,4,1,2120,30,True,0,0,1,0
7748,22,10,0,22,22,2,0,22100,32,True,0,1,0,2
19496,22,10,1,22,11,2,0,11100,31,True,0,0,0,0
25093,0,10,0,20,21,1,0,4120,33,True,1,1,0,0
3738,21,10,1,22,12,1,0,1210,32,True,0,0,0,0
20590,31,10,1,22,31,3,0,12100,32,True,0,1,0,0
12382,22,10,0,20,22,1,0,12200,36,True,0,1,1,0
18387,0,10,1,22,12,1,0,21100,32,True,0,0,0,0
16188,0,10,0,20,21,1,0,2220,30,True,0,1,0,0
17919,0,10,1,22,22,1,0,2220,35,True,0,0,0,2
15888,22,10,1,21,12,1,0,2110,34,True,0,0,0,0
6316,12,10,0,21,12,1,0,2220,36,True,0,1,1,0
5567,12,10,1,22,22,2,0,21100,30,True,0,0,0,0
6724,0,10,1,20,22,2,0,2210,34,True,0,0,0,0
7343,12,10,1,20,11,2,0,2210,30,True,0,0,0,1
12509,12,10,0,21,11,1,0,11200,35,True,0,0,0,2
13768,0,10,1,21,11,2,0,12200,33,True,0,0,1,0
12580,12,10,1,21,11,2,0,1220,32,True,0,0,0,2
422,22,10,1,20,12,1,0,2210,32,True,0,0,0,0
8296,0,10,1,20,21,2,0,1120,34,True,0,0,0,0
7418,11,10,0,20,12,1,0,11100,32,True,0,0,0,0
1175,0,10,1,20,12,2,0,1120,34,True,0,0,0,2
161,12,10,1,21,12,1,0,11100,36,True,0,1,0,2
5264,0,10,1,22,22,2,0,21200,34,True,0,0,1,1
24436,71,10,1,20,32,1,0,12100,32,True,0,0,0,1
9887,12,10,1,21,12,2,0,2120,34,True,0,1,1,1
12986,22,10,1,20,22,2,0,1110,31,True,0,1,0,0
20832,0,10,1,20,52,8,0,2120,35,True,0,0,1,0
23507,0,10,0,22,73,2,0,1120,30,True,0,0,1,0
15671,0,10,0,20,12,2,0,11200,35,True,0,0,0,1
10565,0,10,0,20,21,1,0,12200,31,True,0,1,0,0
11855,0,10,0,22,22,2,0,22100,34,True,0,0,0,2
10429,0,10,0,20,22,2,0,2210,36,True,0,0,0,0
9749,11,10,1,22,12,2,0,1110,31,True,0,0,0,0
7722,0,10,1,21,12,1,0,2220,32,True,0,0,0,0
9158,0,10,1,21,21,1,0,1110,36,True,0,1,0,2
