,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
160965,72,13,0,22,73,7,0,72100,34,True,0,0,1,0
173904,0,13,0,21,72,7,0,7210,33,True,0,0,0,0
211361,0,13,1,20,32,8,0,11200,35,True,0,0,0,0
194921,73,13,1,20,72,8,0,62100,36,True,1,0,0,0
179177,74,13,1,21,73,8,0,7210,30,True,0,0,0,0
163374,0,13,1,22,71,8,0,62200,31,True,0,0,0,0
167297,72,13,1,21,71,7,0,72200,30,True,0,0,0,0
201581,0,13,1,22,12,7,0,73100,35,True,0,0,0,0
184965,0,13,0,21,74,7,1,7310,30,True,0,1,0,0
203916,72,13,0,20,73,8,0,32100,36,True,0,0,0,0
175056,0,13,0,22,74,8,0,72100,34,True,0,0,0,0
170546,74,13,0,20,71,8,0,7110,30,True,0,0,0,0
185259,73,13,0,21,72,7,0,7310,31,True,0,0,0,2
184674,71,13,0,21,72,7,0,7220,36,True,0,0,0,0
164741,74,13,1,20,71,7,0,73200,30,True,0,0,1,0
201175,0,13,0,21,11,7,0,7210,34,True,0,0,1,0
188330,71,13,1,21,74,8,0,62100,30,True,0,0,0,0
167989,71,13,0,22,72,8,0,73200,35,True,0,0,1,0
209989,73,13,0,21,74,6,0,22200,31,True,0,0,0,1
189759,0,13,1,21,74,7,0,7320,33,True,0,0,1,0
181152,0,13,1,21,72,7,0,73200,35,True,0,0,0,2
169183,0,13,1,20,71,8,0,71100,34,True,0,0,0,2
192427,74,13,0,22,72,7,0,71100,36,True,0,0,1,0
203104,74,13,0,22,71,7,0,51200,30,True,0,0,0,0
169100,0,13,1,22,74,8,0,73100,32,True,0,1,0,0
180549,73,13,1,20,72,7,0,73200,36,True,0,0,0,0
183030,71,13,0,21,73,8,0,71100,35,True,0,0,1,0
205780,73,13,1,21,71,1,0,71100,32,True,0,0,0,0
192750,0,13,0,21,72,8,0,7110,36,True,0,0,0,0
206178,0,13,1,21,62,1,0,62100,30,True,0,0,0,1
167855,73,13,1,20,71,8,0,7320,35,True,0,0,0,0
193570,74,13,1,22,72,8,0,7120,30,True,1,0,0,0
163184,73,13,0,22,71,7,0,71200,32,True,0,0,0,0
193665,0,13,1,21,73,7,0,7320,35,True,0,1,0,2
177530,72,13,1,20,71,7,0,7210,33,True,0,0,0,0
202055,0,13,1,22,74,7,0,22100,31,True,0,0,0,0
189417,71,13,0,22,72,7,0,71200,30,True,0,0,0,0
165912,73,13,1,21,71,8,0,7210,33,True,0,0,0,0
188878,73,13,1,22,72,8,0,72200,35,True,0,0,0,0
194375,73,13,1,20,71,8,0,7110,32,True,0,0,0,2
199887,0,13,1,20,71,7,0,7110,35,True,0,0,0,2
205210,0,13,1,20,72,3,0,7220,36,True,0,0,0,0
204070,0,13,1,20,72,2,0,72200,31,True,0,0,0,1
174031,73,13,0,21,74,7,0,62100,33,True,0,0,0,2
173072,0,13,1,20,71,7,0,71100,36,True,0,1,0,0
211264,0,13,0,21,11,8,0,31200,33,True,0,0,1,0
198839,0,13,1,20,72,8,0,7220,30,True,0,0,0,0
204383,73,13,1,21,71,5,0,7320,31,True,0,0,1,0
201204,0,13,0,22,12,7,0,73100,34,True,0,0,1,0
208878,0,13,0,21,73,6,0,41100,33,True,0,1,0,0
165085,0,13,1,22,71,7,0,73200,36,True,0,0,0,0
170064,73,13,1,22,71,7,0,72200,30,True,0,0,0,2
179497,71,13,1,22,74,7,0,7120,36,True,0,0,1,0
165584,73,13,0,21,72,8,0,71200,36,True,0,0,0,0
181136,72,13,0,20,74,7,0,7310,34,True,0,0,0,0
204625,73,13,0,22,71,3,0,73100,30,True,0,0,0,0
175926,0,13,0,21,74,7,0,7320,30,True,0,0,0,0
175087,72,13,0,20,74,7,0,7210,35,True,0,0,0,2
186635,0,13,1,20,73,8,0,71100,35,True,0,0,0,0
175015,0,13,1,22,73,8,0,73100,36,True,0,0,0,0
210004,0,13,0,21,62,8,0,2210,34,True,0,0,0,0
191235,71,13,0,22,74,8,0,7220,34,True,0,0,1,0
175556,74,13,1,21,74,8,0,71200,30,True,1,1,0,2
192031,71,13,0,21,71,8,0,71100,34,True,0,1,1,0
171783,74,13,1,21,74,7,0,7320,33,True,0,1,0,0
171991,0,13,1,22,71,8,0,62200,35,True,0,0,0,0
193092,0,13,1,21,74,8,0,7320,33,True,0,0,0,0
164544,74,13,0,20,72,7,0,62100,32,True,0,0,1,0
163702,72,13,0,21,74,7,0,62100,32,True,0,0,0,2
185640,74,13,1,22,74,8,0,73100,32,True,0,1,1,0
203475,0,13,0,22,73,7,0,42200,32,True,0,0,1,0
177533,74,13,1,22,73,8,0,7320,34,True,0,0,0,0
204648,0,13,0,22,71,2,0,7310,35,True,0,0,0,1
211235,42,13,0,22,61,8,0,32200,36,True,0,0,0,0
189284,0,13,0,21,71,8,0,7210,36,True,0,0,1,0
199309,72,13,1,20,72,7,1,7120,32,True,0,1,0,0
190560,0,13,1,22,73,7,0,71100,32,True,0,0,0,2
