,user_id,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
108761,aef71093-e560-478d-ace9-f3f645798fc4,51,11,1,21,22,7,1,1110,32,False,0,0,0,0
111536,e1c1a8a7-df3c-4a2d-8897-9237e9ef4a2c,0,12,0,22,52,6,1,3110,32,False,0,0,0,0
112323,7cb99571-dc55-4ca7-9535-19c9b566bfea,62,12,0,21,61,7,0,62200,31,False,0,0,0,0
114629,7f55604f-f34e-46ef-94b0-740a59a8072a,31,13,1,20,31,8,0,52100,35,False,0,1,0,2
107715,f213ccda-e1c1-49fd-9fa6-ce0525f657a8,0,10,1,21,52,2,1,21200,33,False,0,0,0,0
113597,f9a33ec9-9777-44bc-a386-918e9cbe4ec5,0,12,1,20,52,6,0,52100,30,False,1,0,1,0
109676,c0a91adc-6d31-42b2-8d55-db683c3549de,0,11,0,21,74,8,0,3220,35,False,0,0,0,0
112642,328ac827-6f84-4741-9b7b-39bebd29d0b4,0,12,1,22,22,4,0,4220,34,False,0,0,0,0
115879,a5ad8d94-1ea2-462c-a6be-e910df745f63,0,13,1,21,72,1,1,7220,36,False,0,0,0,0
115529,7c004ab4-108a-409c-b944-0b3f05d67b52,0,13,1,21,74,8,0,32200,32,False,0,0,0,0
114549,56946749-0e02-4b01-a030-7afbec0c45b2,0,13,0,22,73,5,0,21200,34,False,0,0,0,0
112066,c4fe803e-7127-4a7a-8dd3-53151d90b999,62,12,1,22,61,3,1,5220,32,False,0,0,0,0
112680,5c011944-8fd4-4a59-905b-980495b28232,22,12,0,22,42,8,1,61200,33,False,0,0,0,0
113652,6315ec79-4cd3-41ea-bad5-60b06c7975c2,52,12,0,20,61,5,1,5120,30,False,0,0,0,0
114860,665916b7-1812-46a9-8167-613362347b33,0,13,1,20,31,7,1,5220,34,False,0,0,0,0
108827,0efdc4c6-bf27-4eee-aa0a-3e605e7f7301,0,11,1,22,22,5,1,52200,36,False,0,0,0,0
112015,8b190448-bd52-4c0c-bc89-aae1f5b79665,61,12,0,22,61,4,0,61100,33,False,0,1,0,0
113702,4c2b4cd3-484f-4bd5-8d1b-67a83c6d91a4,51,12,1,21,62,5,0,61100,34,False,0,0,0,0
