user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
04fb7184-2a41-447c-b3b3-b0378d81aefc,proj22,,accountant,,proj22task1propa,,True,budget,proj71,dept5,1,False,proj11task2a,write,True
47797134-0174-4eb1-9534-5eedcb93b921,proj12,,accountant,,proj52task1propa,dept5,False,task,proj51,dept6,1,False,proj12task2propa,setSchedule,True
dd480981-e9a1-45b7-a656-2f6ee58740cd,proj72,,accountant,1,proj51task1a,dept6,True,schedule,proj73,dept7,,False,proj71task2a,setSchedule,True
1f16e54c-2139-4b5f-b980-51eda08f142b,proj52,,accountant,,proj12task2propa,,False,budget,proj74,dept6,,False,proj62task1a,approve,True
6a7c20e3-a08c-41ec-94ac-a91d97d7a2b9,proj11,,accountant,,proj11task1a,dept5,True,task,proj21,dept6,1,False,proj21task1a,setSchedule,True
11e207c1-5f79-4b38-8dad-259ea1586eaf,proj74,,accountant,,proj12task1propa,dept8,False,task,proj74,dept6,1,False,proj62task2propa,write,True
abb7f68c-7e60-404a-99de-87ec35ab5781,proj71,proj71,accountant,,proj71task1propa,dept5,True,task,proj62,dept2,,False,proj22task1propa,request,True
a2f66822-7c0a-422a-a16b-945e4baf7cda,proj12,proj12,accountant,2,proj72task2a,,True,task,proj21,dept1,,False,proj73task1a,request,True
8637619f-841b-42f4-b149-1bf7eb8d748a,proj73,,accountant,2,proj61task2a,,False,task,proj22,dept2,1,False,proj51task1propa,write,True
29c63d44-2d82-4a82-a3ac-ba52f66477a1,proj73,,accountant,,proj72task1propa,dept6,True,schedule,proj52,dept5,,False,proj71task2a,request,True
0c2dd81b-9694-4068-8449-18151da2514b,proj62,proj62,accountant,2,proj11task2a,,True,budget,proj71,dept2,1,False,proj73task1a,setSchedule,True
8aad9fcd-88d9-4726-99ce-06f3fea70e37,proj74,proj74,accountant,2,proj12task1a,dept6,False,schedule,proj12,dept1,,False,proj11task2a,approve,True
fd41dd62-5313-4e65-9699-ccd961506f72,proj22,proj22,accountant,1,proj21task1propa,dept8,False,schedule,proj51,dept2,1,False,proj21task1propa,setStatus,True
6aa5189b-24f1-492b-8089-2b5af5465bd9,proj22,,accountant,,proj52task1a,dept6,False,budget,proj62,dept5,2,False,proj12task1a,setCost,True
98b346a7-3539-45fa-a503-75143c939beb,proj11,,accountant,2,proj21task2propa,dept8,True,task,proj73,dept7,2,False,proj72task1propa,request,True
6a933308-cee1-484f-8024-2cfd085e4616,proj51,,accountant,1,proj21task2propa,dept5,False,budget,proj74,dept5,2,False,proj11task1propa,approve,True
31eefe0e-58af-491b-a8ec-b8e0bbd13fa3,proj61,,accountant,2,proj62task1propa,dept7,True,schedule,proj61,dept1,1,False,proj62task2a,read,True
3bce66f0-1f7c-4e25-82a6-70c7887545b1,proj72,,accountant,,proj62task1propa,dept1,True,budget,proj51,dept1,,False,proj62task2a,read,True
f7909959-6318-47c1-bcd6-a933c2ff3050,proj51,,accountant,1,proj11task1a,,True,schedule,proj71,dept6,2,False,proj21task2propa,read,True
3f0f950d-453b-4a76-8c1b-7c7bb801ce58,proj71,proj71,accountant,2,proj12task2a,dept5,True,task,proj73,dept5,2,False,proj71task1propa,setStatus,True
8674e026-ce59-4c9c-935e-2b0fece9546b,proj22,proj22,accountant,2,proj61task1propa,,False,schedule,proj12,dept5,1,False,proj51task1propa,write,True
