user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
a8b26906-f4fe-48ae-89b8-77ba9bc4bbb8,proj11,proj11,auditor,2,proj72task1propa,dept2,True,schedule,proj32,dept8,,False,proj22task2a,setSchedule,True
ce74c251-c044-4ce5-9daf-4b90214dbebe,proj11,,auditor,1,proj32task2propa,dept3,False,schedule,proj11,dept1,,False,proj21task2propa,setStatus,True
a58e1088-838a-4264-a706-5eeebb0396d7,proj71,,auditor,1,proj41task1propa,,False,schedule,proj31,dept8,1,False,proj62task2a,request,True
b2716186-6b49-456f-90e6-2702e1e20fbf,proj11,,auditor,2,proj22task1a,dept8,False,budget,proj41,dept2,2,False,proj31task1propa,write,True
e072bd01-14df-41c3-babe-df9b866b5a55,proj71,,auditor,2,proj32task2a,,True,task,proj41,dept7,1,False,proj32task1a,write,True
32878603-27dd-42c8-a6c7-6f7b070f9f45,proj42,,auditor,1,proj72task2propa,dept4,True,schedule,proj42,dept8,,True,proj71task2a,read,True
a97dd158-b351-4f53-91fd-ccd723c6e5dd,proj74,proj74,auditor,1,proj11task1propa,,True,schedule,proj31,dept4,,False,proj72task2propa,write,True
fe8899cd-9c6f-4811-9eff-a8c05e0808e7,proj32,proj32,auditor,1,proj21task2a,,True,task,proj42,dept7,1,False,proj22task1a,setSchedule,True
ba7ee441-9bc3-4a94-93df-1b3833cb27d3,proj11,,auditor,,proj11task2a,,False,schedule,proj73,dept3,2,False,proj32task2propa,setStatus,True
996c74cf-e991-4126-b173-fe016d4a9dc0,proj22,,auditor,,proj41task1a,dept4,False,task,proj74,dept2,1,False,proj32task1propa,setSchedule,True
e097c7e4-4a37-4b40-91a2-86da43d306a5,proj31,,auditor,,proj32task2propa,,True,schedule,proj71,dept1,,False,proj22task1propa,request,True
7deee8e9-32c9-4fe1-b7fc-031c6900e907,proj74,proj74,auditor,,proj71task1propa,dept7,True,budget,proj42,dept8,,False,proj32task1propa,approve,True
2fadaece-4db5-4cce-b294-19e841acd38b,proj11,,auditor,2,proj12task1a,,True,schedule,proj42,dept7,,False,proj73task1a,request,True
64cec9f3-b936-411d-bdb8-9fb80d269958,proj41,proj41,auditor,1,proj22task1a,dept1,True,task,proj71,dept2,1,False,proj41task2propa,setStatus,True
aedfc871-cf9c-4fa6-a96c-03f44df4536d,proj12,proj12,auditor,1,proj11task2propa,dept8,True,schedule,proj74,dept4,1,False,proj21task2a,setStatus,True
053c278f-e7b8-4cbb-b91e-fd6584d86032,proj12,proj12,auditor,1,proj22task2a,dept4,False,budget,proj71,dept4,1,False,proj62task1propa,setCost,True
cb4aea2f-d99c-4b3a-bd1d-aac92cb13650,proj31,,auditor,,proj42task1a,dept4,True,schedule,proj12,dept2,2,False,proj71task2propa,setSchedule,True
cbc27f5e-b014-450b-8681-fafe1920ab4a,proj74,proj74,auditor,2,proj73task2a,,False,schedule,proj73,dept8,2,False,proj21task2propa,setStatus,True
7f173730-167d-48a5-b4fe-22afe623ff31,proj74,proj74,auditor,2,proj72task2a,,False,schedule,proj31,dept2,,False,proj72task2a,read,True
29fd6bb2-18e3-4202-be85-af77a489f486,proj73,proj73,auditor,,proj32task2a,,False,schedule,proj11,dept4,,False,proj42task1propa,setCost,True
426953df-d544-4290-96a9-a05daa844c03,proj72,proj72,auditor,2,proj42task1propa,,True,schedule,proj32,dept3,2,False,proj11task1propa,approve,True
b09fdf69-398b-473f-b035-0cc006343d36,proj72,proj72,auditor,,proj73task1a,,False,schedule,proj41,dept1,2,False,proj12task2propa,setSchedule,True
720e66e0-d0d8-4926-b907-6ac53745c905,proj41,,auditor,1,proj11task2a,dept4,True,schedule,proj12,dept7,,False,proj21task1propa,setSchedule,True
52449929-9779-4553-a995-2f521827ec53,proj74,proj74,auditor,,proj21task2propa,dept2,False,schedule,proj21,dept7,,False,proj21task1propa,setStatus,True
dcb79b54-fa66-4b96-84a8-43ab9c930717,proj41,proj41,auditor,,proj73task2a,dept1,False,schedule,proj11,dept8,,False,proj32task2propa,approve,True
ce933403-7b51-4f75-a5ed-bc3fdd5ffb77,proj12,,auditor,2,proj12task1a,,True,task,proj73,dept2,2,False,proj21task2a,setSchedule,True
75f3a26c-8b99-43dd-b56a-d7a8fe4484b8,proj42,,auditor,,proj41task2a,dept2,True,budget,proj42,dept3,,False,proj41task2propa,approve,True
