user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
1f535dab-899d-4d64-8615-55c0e77d8b3c,proj12,,planner,2,proj41task1propa,dept4,False,task,proj21,dept4,,False,proj51task2a,approve,True
ad536066-1575-4bc8-b0e3-305f60f38801,proj12,proj12,planner,2,proj52task1propa,,True,schedule,proj51,dept6,1,False,proj21task2a,read,True
8f808a8a-3efc-4b7a-a417-815429ac330d,proj62,,planner,,proj52task1propa,,True,schedule,proj61,dept3,,False,proj41task2a,read,True
11500d32-1ebc-477a-b9d9-d72b29c42c3a,proj52,proj52,planner,2,proj32task2a,dept6,True,schedule,proj22,dept6,,False,proj42task1propa,read,True
c280bebc-390b-458a-9800-d9054019a338,proj31,proj31,planner,,proj41task1a,,True,budget,proj32,dept1,1,False,proj12task2a,approve,True
55ffb974-60d5-4528-bd94-6b1ea601a3cf,proj12,,planner,2,proj11task2propa,dept6,True,task,proj52,dept4,,False,proj51task2a,read,True
1fe2383a-8704-4def-b29b-a6417a2f4c35,proj42,,planner,1,proj61task2propa,dept5,True,task,proj51,dept4,,False,proj61task2a,request,True
c31725c9-0055-46d8-b7f8-c141168a7e4e,proj32,proj32,planner,1,proj12task1a,,False,schedule,proj11,dept5,1,False,proj41task1a,write,True
55be303c-7d27-4fa6-a5b1-a11cef515846,proj61,proj61,planner,2,proj52task2a,,True,task,proj21,dept3,1,False,proj22task1a,setStatus,True
16522483-3722-4985-84cb-cd1338bdf539,proj61,proj61,planner,2,proj61task2propa,dept5,True,budget,proj12,dept2,,False,proj11task2propa,request,True
ded7bbc1-a24b-4a3f-b6c5-41f909b7b5ef,proj62,proj62,planner,,proj42task2propa,dept2,True,schedule,proj42,dept1,1,False,proj42task1a,setCost,True
93fd40d6-47f9-4c1f-baea-a983d4b561f3,proj61,,planner,,proj22task1propa,,False,task,proj41,dept2,2,False,proj11task1propa,setCost,True
aa911bfb-428b-45d8-b91f-49b97a9be751,proj12,proj12,planner,,proj61task1a,dept6,True,task,proj22,dept4,2,False,proj32task1a,setCost,True
926eff38-5e42-4cfc-a5f9-359857326f7b,proj11,,planner,,proj41task2a,dept2,False,schedule,proj61,dept2,,False,proj51task1propa,request,True
cd14fe77-1f91-49a0-898f-4ecf88829460,proj52,proj52,planner,,proj52task2propa,dept3,True,budget,proj11,dept3,1,False,proj32task2propa,setStatus,True
db119807-10fc-4d25-a625-08f1fa2cf10a,proj32,,planner,1,proj22task1a,,True,schedule,proj12,dept2,2,False,proj41task2a,request,True
2815defe-56c8-40e7-ae49-c8441000a8ed,proj42,proj42,planner,2,proj31task2propa,,False,task,proj51,dept6,1,False,proj41task2a,setSchedule,True
443a0b29-9665-4f26-8ad1-0e87ea0b684f,proj52,proj52,planner,,proj11task1a,dept3,True,schedule,proj52,dept4,,False,proj61task2a,setCost,True
a2da86f6-f42b-4dc7-a318-80eb7bccc6e2,proj31,proj31,planner,,proj31task1a,dept5,False,task,proj31,dept3,1,False,proj52task2a,write,True
fa7db9e4-5d86-4b05-a4d4-2f1e8b98c1eb,proj52,,planner,1,proj22task2a,dept6,True,schedule,proj42,dept6,1,False,proj22task1propa,write,True
b8e964c8-9a18-430b-8ccc-75bf20b473ee,proj42,proj42,planner,,proj41task1propa,,False,task,proj52,dept4,,False,proj51task2a,write,True
dfe3c52f-48ba-4796-8380-ef7fa3bcfd79,proj12,proj12,planner,1,proj21task2a,dept1,False,budget,proj31,dept3,,False,proj31task2a,approve,True
6f73f3f2-2ac6-47d4-92a9-75ee268aa10a,proj21,,planner,1,proj61task2propa,,False,budget,proj21,dept3,,False,proj11task1a,setStatus,True
4adbd9af-166d-43ee-9ebf-ce9a848fb062,proj42,proj42,planner,,proj32task1a,,False,schedule,proj61,dept5,2,False,proj22task1a,setSchedule,True
1269b5a0-ed7b-49e9-aeb2-4d326436e1f5,proj42,proj42,planner,1,proj42task2a,dept6,False,schedule,proj22,dept2,,False,proj22task2a,setSchedule,True
efdd0739-5c93-48b4-bf8a-eb024d7c2c74,proj32,proj32,planner,,proj21task1a,dept6,False,schedule,proj42,dept4,,False,proj31task2a,setCost,True
43f6c51f-a611-4fdb-ad2a-e99339640cf5,proj32,proj32,planner,2,proj42task2propa,dept5,True,task,proj52,dept5,,False,proj32task2a,read,True
490785c4-7e29-4f55-b366-4ebeeb30c033,proj31,,planner,,proj21task2a,dept1,False,schedule,proj61,dept1,2,False,proj22task2a,approve,True
9113a989-fcf0-4dd3-a5e8-1850c5faabdc,proj12,proj12,planner,,proj11task1a,,False,budget,proj61,dept4,,False,proj12task2propa,request,True
3812d7ae-8631-40e6-a501-982c803bc77d,proj22,,planner,,proj51task1propa,,False,schedule,proj52,dept6,1,False,proj42task1a,setCost,True
f5ec863f-a29a-443f-9ba0-c94da291787a,proj51,,planner,,proj22task1propa,,False,task,proj21,dept3,2,False,proj51task2propa,setSchedule,True
9a0ac9d2-bcac-49e9-a310-bccf9b48cbe9,proj21,,planner,2,proj61task1propa,,False,budget,proj31,dept6,1,False,proj21task2propa,setCost,True
ad5f4b4a-8c14-4255-a64b-0c687a141d4f,proj41,proj41,planner,2,proj12task2propa,,True,budget,proj11,dept4,1,False,proj21task2propa,request,True
