user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
44b8a112-1889-4018-9ee2-b36ab094b28f,proj41,,accountant,2,proj41task1propa,dept2,True,task,proj41,dept1,1,False,proj31task2a,setCost,True
f19bb5c0-0254-4469-9c5b-9bbe939b6393,proj31,proj31,accountant,2,proj41task1a,,False,schedule,proj32,dept1,2,False,proj42task1a,setCost,True
e39a7494-a3b7-4cfd-a4d9-520b14f82c0c,proj42,proj42,accountant,1,proj31task1propa,,False,task,proj31,dept6,2,False,proj41task2propa,setCost,True
740aeffb-c323-47b0-bfe9-ff954f6be913,proj32,proj32,accountant,2,proj41task2a,dept2,False,task,proj41,dept8,,False,proj41task2propa,setStatus,True
e2019874-51ff-43d3-bdb7-0dd4ed4c0828,proj42,,accountant,2,proj32task2propa,dept2,False,schedule,proj32,dept7,1,False,proj32task1a,read,True
e52859ad-9f7d-4b65-ba1d-0cc29c4c63f7,proj32,,accountant,1,proj31task1a,dept1,False,budget,proj41,dept8,,False,proj42task1a,setStatus,True
4c2f4a43-fa73-4334-bb5d-f2f8e0f7493d,proj41,proj41,accountant,1,proj31task1propa,dept2,False,budget,proj41,dept1,1,False,proj41task2propa,approve,True
b69c0358-1880-4608-9984-69d3f209c13a,proj42,,accountant,,proj31task2a,,False,schedule,proj32,dept7,1,False,proj31task1a,request,True
17316443-6ec9-4088-8810-20955ae4ed4f,proj32,,accountant,1,proj41task1propa,,True,budget,proj31,dept8,,False,proj41task1a,read,True
8665bded-22dc-4f2e-b381-7a19c6c79cc3,proj42,proj42,accountant,,proj31task2a,dept5,False,task,proj31,dept8,1,False,proj22task2propa,write,True
791880da-8eac-40bf-aa73-3857bfcecdaa,proj42,,accountant,,proj41task1propa,dept1,False,budget,proj41,dept5,1,False,proj32task1propa,setCost,True
858199ab-8a5d-4671-a929-3370c1ddd600,proj32,,accountant,,proj41task2a,,False,schedule,proj32,dept8,,False,proj41task1a,request,True
73566f8d-a25f-4f06-bd20-463b46b5da55,proj31,,accountant,,proj41task2a,dept8,True,budget,proj41,dept5,,False,proj32task2propa,write,True
c9ddef0d-1ff8-4dcb-8cfd-e95fb7e1783a,proj41,proj41,accountant,,proj41task1propa,,False,schedule,proj42,dept7,,False,proj41task1a,read,True
5d1eef82-dd2c-40ed-ba84-0c8b0dee2778,proj42,,accountant,2,proj41task2propa,,True,task,proj32,dept2,2,False,proj41task2propa,read,True
aba342fb-ef0c-4fa2-8fc4-92a8f6f9616f,proj32,proj32,accountant,1,proj41task1propa,dept1,False,task,proj32,dept7,,False,proj42task1propa,read,True
6bb19dbf-2639-484e-b375-5babf8009b6b,proj32,proj32,accountant,,proj31task1propa,dept1,True,schedule,proj41,dept5,,False,proj41task2propa,read,True
403d1565-161e-41dd-bc86-8d8d198abb9e,proj32,,accountant,,proj41task1propa,dept5,True,task,proj31,dept6,2,False,proj32task1a,approve,True
d2033805-1506-4415-9750-8439e2f75ef3,proj41,proj41,accountant,,proj41task2a,dept8,False,task,proj42,dept8,1,False,proj42task1propa,setSchedule,True
67b60655-d09a-4859-94c7-17c9c284d72d,proj41,,accountant,,proj41task2propa,,True,schedule,proj32,dept7,,False,proj32task2a,read,True
39a1ed15-55d7-4960-ac9e-d4065cb38b60,proj31,proj31,accountant,,proj41task1a,,False,task,proj42,dept6,,False,proj42task1a,approve,True
e91592c0-4b9b-41be-baa1-8914c6da550a,proj41,proj41,accountant,,proj22task2propa,dept7,True,task,proj31,dept7,,False,proj41task2propa,setStatus,True
494c0f47-41cf-4bef-8a92-1099d81fcca6,proj41,proj41,accountant,,proj32task1propa,,False,schedule,proj32,dept5,2,False,proj41task2a,setStatus,True
2527c7ad-8bbd-4744-8b36-d6657d0301e5,proj31,proj31,accountant,1,proj41task2a,,False,task,proj32,dept6,1,False,proj41task2a,setSchedule,True
3feba5a5-ff6f-4881-bbbc-25732b8e5d02,proj32,,accountant,1,proj31task1propa,dept1,False,task,proj41,dept8,,False,proj41task2propa,write,True
386b94f8-b0d9-4f29-a03b-23e4043313e2,proj42,proj42,accountant,2,proj42task1a,dept8,False,budget,proj31,dept8,,False,proj32task1propa,approve,True
b80c79c6-3b08-466d-b0fc-06284b3e346e,proj32,,accountant,,proj31task1a,dept1,False,task,proj32,dept5,1,False,proj41task2propa,approve,True
bd850fd8-9c97-4822-b379-98c094435551,proj42,,accountant,,proj31task2propa,dept6,False,task,proj31,dept2,2,False,proj42task1a,request,True
6675d6df-ebd8-4b1a-ab6b-15a24cbae765,proj31,,accountant,1,proj31task2propa,dept7,False,task,proj32,dept7,,False,proj31task2a,approve,True
0c12a800-8cb8-4ddd-86ac-5728fea9b4b9,proj32,,accountant,2,proj42task1propa,,False,schedule,proj42,dept8,,False,proj32task1a,setCost,True
850af04e-237d-4f81-97a9-a469227a074f,proj42,,accountant,,proj32task2propa,dept5,False,task,proj42,dept1,,False,proj41task1a,request,True
0d32e9d2-851a-4f89-96aa-0f07e51683bc,proj41,proj41,accountant,1,proj42task1propa,dept5,False,budget,proj32,dept5,1,False,proj22task2propa,read,True
72e33350-5a7c-4b40-8797-56584e1dc613,proj31,,accountant,2,proj31task2a,dept2,True,task,proj41,dept6,,False,proj32task2propa,setStatus,True
fe968395-f55a-41c8-ba50-53abb6552eb4,proj41,proj41,accountant,1,proj41task1a,,False,task,proj31,dept6,2,False,proj32task1a,setCost,True
f5f79d9e-8390-4ee7-88dc-a0ceafb7c7ab,proj31,,accountant,2,proj31task1a,dept7,False,schedule,proj42,dept5,1,False,proj31task2a,request,True
cb5fdec7-6639-4a87-b54d-4a3b5bc4f481,proj41,,accountant,2,proj42task1a,dept8,True,schedule,proj42,dept6,2,False,proj41task2a,setSchedule,True
bb99413e-8b75-4366-b7f8-bcc65f9b2478,proj32,,accountant,,proj31task2a,,True,budget,proj31,dept2,1,False,proj42task1propa,request,True
a9cc0d59-e388-4f80-9fcb-9145d79ffeb8,proj32,proj32,accountant,2,proj41task2propa,dept8,True,schedule,proj31,dept1,2,False,proj31task2a,setSchedule,True
29795767-5432-474b-9fd8-d9800283c990,proj32,,accountant,2,proj31task1a,,True,task,proj42,dept1,,False,proj31task1propa,setCost,True
66c591d8-55fc-42ad-b57a-983a8be812a5,proj42,proj42,accountant,,proj22task2propa,,False,budget,proj42,dept1,,False,proj32task2propa,write,True
8300b7b4-fbc7-421e-a847-b09f149f125d,proj41,proj41,accountant,1,proj41task1propa,,False,task,proj31,dept6,1,False,proj41task2a,approve,True
9d6755a1-9419-4011-8ddd-6408b0d5f137,proj32,proj32,accountant,2,proj41task2propa,dept1,True,task,proj31,dept1,,False,proj31task1propa,setStatus,True
4b4a1842-c842-4282-a97d-00fe99092446,proj42,proj42,accountant,1,proj31task1a,dept1,False,task,proj32,dept6,1,False,proj42task1a,setStatus,True
3212a387-7150-4b75-be9f-4154dde345aa,proj42,proj42,accountant,,proj31task1a,,False,budget,proj31,dept5,1,False,proj41task1propa,request,True
0be83655-d2e9-42bd-86af-f89a93e96eaf,proj31,proj31,accountant,1,proj31task2a,,False,task,proj32,dept1,,False,proj41task2a,read,True
eb19f43b-78c3-437e-9e96-918166a2e12d,proj31,,accountant,1,proj31task2a,dept6,True,budget,proj42,dept5,,False,proj41task2propa,read,True
e5370a6c-6b18-4a21-a44a-651517ba9aae,proj42,,accountant,2,proj32task2a,,True,task,proj31,dept6,1,False,proj22task2propa,setStatus,True
4630bbfa-c55f-464c-a496-14e9b1ce7d7d,proj31,,accountant,2,proj22task2propa,dept1,False,schedule,proj42,dept7,,False,proj32task2a,write,True
e54f7c99-fd5f-4beb-af69-bad3f161a80b,proj42,,accountant,,proj22task2propa,,True,task,proj32,dept5,,False,proj41task1propa,approve,True
0301ff16-5192-47b3-977c-9922b8bedd4b,proj32,,accountant,2,proj32task2a,dept5,False,task,proj42,dept7,1,False,proj41task2a,write,True
256815f2-b3cd-4c54-b7ad-e5a973bdd88d,proj41,,accountant,1,proj32task1a,dept5,True,schedule,proj32,dept8,,False,proj41task2propa,setStatus,True
bde1bce7-4807-4363-9b11-aa6cb2109e4d,proj32,proj32,accountant,1,proj41task1a,dept1,True,schedule,proj41,dept5,2,False,proj32task1propa,setSchedule,True
44a3cd55-183f-4bf3-8f2b-0a980a8cee39,proj32,,accountant,1,proj31task1propa,dept7,True,task,proj41,dept6,1,False,proj32task2a,write,True
e9e41406-28fa-4e48-b8c9-d6a8df42c1fa,proj32,proj32,accountant,2,proj22task2propa,dept8,False,budget,proj41,dept1,2,False,proj41task2propa,setSchedule,True
96435d87-de49-4e09-8fa8-3a02c1a47bcb,proj32,,accountant,2,proj32task1a,dept7,False,task,proj32,dept2,1,False,proj32task1a,setStatus,True
bce17b06-978d-4510-8a1d-6ba9602589d4,proj32,proj32,accountant,,proj41task2a,,True,budget,proj41,dept5,,False,proj32task2a,write,True
8d319958-e170-47f7-b7c7-c30e972dfb0f,proj31,proj31,accountant,,proj31task1a,dept2,True,budget,proj31,dept6,,False,proj32task1a,approve,True
6acdfe79-4819-4bba-8a5b-c9abda782c9b,proj31,proj31,accountant,,proj22task2propa,,True,task,proj41,dept2,,False,proj41task2a,setStatus,True
d8d8db00-3ef6-45a5-b526-88a938007528,proj41,,accountant,2,proj31task2a,,True,schedule,proj32,dept5,1,False,proj41task1propa,request,True
3ba7b472-459a-4448-85c3-33bc2f60222e,proj31,,accountant,,proj32task1propa,dept2,False,budget,proj31,dept8,1,False,proj32task1a,request,True
