user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
82d894cc-8e6f-4731-8acd-3ccf7805308b,proj72,proj72,accountant,,proj31task1a,,False,task,proj72,dept4,,False,proj31task1propa,setSchedule,True
78948aaf-7801-48ee-926b-6ed8446d4d62,proj71,proj71,accountant,2,proj22task2propa,,False,schedule,proj21,dept4,,False,proj42task1propa,request,True
c7de1f84-d4aa-45d6-bff7-27037148dbb9,proj62,proj62,accountant,1,proj31task2a,,False,task,proj72,dept3,2,False,proj22task2propa,approve,True
57f885b2-5450-4b1e-99d5-493c0becc306,proj52,proj52,accountant,2,proj31task1propa,dept3,False,budget,proj74,dept4,,False,proj31task2propa,write,True
21099763-58b4-46c0-acf7-2a0531e787a3,proj62,proj62,accountant,,proj41task2propa,,False,schedule,proj71,dept4,2,False,proj31task2a,write,True
07507e18-9b32-43a3-b92f-de32c8ce17be,proj71,proj71,accountant,,proj31task2propa,dept3,True,task,proj72,dept4,1,False,proj41task2propa,setSchedule,True
27020746-ae84-45c4-86ed-a6918ec1afa3,proj73,,accountant,,proj41task1propa,dept3,True,schedule,proj22,dept3,,False,proj31task2a,setSchedule,True
fdbde2b1-ad90-4bcc-811f-b3d52631b38f,proj21,proj21,accountant,2,proj41task2a,,False,budget,proj52,dept3,,False,proj41task1a,setCost,True
1a633343-f66f-419f-b73c-9a5ed2579a26,proj73,,accountant,1,proj31task2a,,True,budget,proj22,dept4,,False,proj32task1a,read,True
331fa0cc-492f-4328-ada2-5399168ba293,proj21,proj21,accountant,2,proj32task2a,dept4,True,task,proj72,dept3,,False,proj22task2propa,write,True
8cd7d1a8-cad1-4cec-9424-ee6ddc38fcd9,proj71,proj71,accountant,2,proj32task1a,,True,task,proj61,dept3,1,False,proj41task2propa,setCost,True
9541a7c2-b095-4503-8fd6-079f3315c6af,proj12,,accountant,1,proj31task1a,,True,budget,proj71,dept3,2,False,proj41task2propa,setCost,True
1bdd53a9-1040-4c5a-bf69-6f53c80dcc6a,proj12,,accountant,1,proj42task1a,dept4,True,schedule,proj22,dept4,,False,proj41task1propa,setSchedule,True
a69e0da6-af91-4e86-8fa0-22dc6db99d21,proj74,proj74,accountant,1,proj32task2propa,,False,schedule,proj22,dept3,2,False,proj41task2propa,read,True
b4b0244e-a4aa-4045-830f-5200c3f7110d,proj11,,accountant,,proj42task1propa,dept4,False,task,proj11,dept4,,True,proj31task2a,setCost,True
fa7011e1-c8d2-4673-8cfd-c2e035eb1e2e,proj51,proj51,accountant,1,proj41task2propa,,False,budget,proj22,dept3,,False,proj41task2propa,setCost,True
84620685-0c0a-4138-9278-2e29320cc6d6,proj12,,accountant,,proj31task2a,dept4,False,schedule,proj11,dept4,2,False,proj31task1propa,approve,True
851d5e7f-793e-4191-9ad0-c64e116871b7,proj12,proj12,accountant,2,proj41task2propa,dept3,False,task,proj61,dept4,1,False,proj32task2a,approve,True
94495867-45c4-4778-9f7f-46aed9110bf6,proj11,proj11,accountant,,proj31task2a,,False,task,proj22,dept3,,False,proj42task1a,write,True
7037264e-eaf5-4f46-9c45-dc897bb38d0f,proj52,,accountant,2,proj41task1propa,dept4,True,task,proj21,dept3,,False,proj22task2propa,request,True
2a3074a0-6613-4d73-ac5f-20c64c5e93b4,proj11,proj11,accountant,1,proj41task1a,dept4,True,budget,proj21,dept3,1,False,proj42task1a,approve,True
08c4a3c2-042b-427a-b3de-74dd10bfe7fb,proj12,proj12,accountant,,proj42task1propa,,True,budget,proj11,dept4,1,False,proj22task2propa,setCost,True
4bdd33d4-a274-4898-8863-1fea112377f2,proj74,proj74,accountant,2,proj31task2propa,,False,schedule,proj71,dept4,2,False,proj41task1propa,setCost,True
50528e9d-efa7-44c1-b9f8-f51843020443,proj61,proj61,accountant,,proj22task2propa,dept4,False,task,proj72,dept4,2,False,proj32task1propa,approve,True
