user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
46492ed8-03fc-4d1c-9d78-eb649be9ae61,proj32,,accountant,2,proj72task1a,,False,task,proj32,dept7,,True,proj62task2a,setCost,True
7105eb4e-f24f-439b-94d1-28d6aec83d31,proj41,,accountant,,proj11task2propa,,True,task,proj42,dept2,,False,proj72task1propa,setSchedule,True
1559f939-292f-4612-89ff-cf38d59067ae,proj31,,accountant,,proj73task1propa,,False,budget,proj32,dept2,,False,proj51task2propa,approve,True
4d388b37-f0ac-4fe3-b36d-26be18292075,proj32,proj32,accountant,2,proj12task1propa,dept1,True,budget,proj31,dept2,,False,proj12task1a,setCost,True
7fc88d9d-731c-419a-a685-1913b8244a4a,proj31,proj31,accountant,,proj22task1propa,dept2,True,task,proj32,dept7,,False,proj71task2a,setSchedule,True
68570f70-f513-4127-8618-c691222bb4ee,proj31,,accountant,,proj52task2a,dept5,False,schedule,proj32,dept1,,False,proj73task1a,approve,True
fb392ffe-1519-415d-b0ff-e355de59b435,proj32,proj32,accountant,,proj52task1propa,dept6,False,schedule,proj32,dept1,2,False,proj12task2propa,request,True
526cc7c6-f5bc-4efa-bafa-869dab0d4b84,proj32,proj32,accountant,1,proj72task1a,dept7,True,task,proj42,dept1,2,False,proj71task2propa,setStatus,True
67a1c217-0b5c-41dc-bc61-f5666f97626f,proj31,proj31,accountant,2,proj72task2propa,dept1,True,schedule,proj31,dept6,,False,proj73task1propa,request,True
402e8c96-726b-4db2-b706-c500bc6196ba,proj41,proj41,accountant,,proj61task2a,,True,task,proj31,dept7,,False,proj12task1a,setStatus,True
5996171f-f939-4a13-8fa7-b30ee9cd8db1,proj32,,accountant,,proj73task2a,dept8,True,schedule,proj32,dept7,,False,proj61task1a,write,True
ff9ed67e-ab6a-40d4-9358-06c9c88d467d,proj42,,accountant,1,proj12task1a,,True,schedule,proj32,dept7,,False,proj21task1a,setStatus,True
7ae37419-411f-4f5c-ad1a-8f89258b2767,proj42,,accountant,,proj72task2a,dept1,True,budget,proj31,dept6,1,False,proj52task1propa,approve,True
e1147941-525c-4c53-83d2-5c89fc30b3d3,proj41,proj41,accountant,,proj71task1a,dept8,False,budget,proj32,dept5,,False,proj71task2propa,approve,True
a5a07f33-5479-4291-8630-e344b8cf428a,proj32,proj32,accountant,,proj11task2propa,,True,budget,proj42,dept1,,False,proj51task1a,setStatus,True
9278aed5-4e5d-4820-9f68-084651dfb464,proj42,proj42,accountant,,proj51task1propa,,True,budget,proj42,dept6,,False,proj11task1a,setSchedule,True
07bd87a6-46c7-47a0-8a32-083a586374b6,proj41,proj41,accountant,,proj61task1a,dept8,True,budget,proj31,dept7,2,False,proj22task1propa,setCost,True
c1a9e741-c454-4eaf-8e85-f0336092977a,proj42,,accountant,,proj22task1propa,,True,task,proj31,dept7,,False,proj42task2a,read,True
dd632eed-a024-4baf-9933-a5353298ff02,proj31,proj31,accountant,1,proj42task2propa,,False,budget,proj32,dept5,,False,proj61task1propa,request,True
81ee763e-8973-492e-a86c-1ceac696a1f9,proj32,proj32,accountant,1,proj21task2propa,,True,budget,proj41,dept1,1,False,proj62task1propa,read,True
1fd77196-e386-43c9-9c49-797dc557ab91,proj42,,accountant,,proj73task2a,dept2,True,schedule,proj32,dept1,,False,proj52task2a,approve,True
afd2f533-6756-4e3d-ae92-7be935e483cf,proj31,proj31,accountant,,proj52task2a,,True,task,proj41,dept6,1,False,proj11task2propa,request,True
6742bab9-1ad4-4978-b2ce-53e0f91b9a32,proj31,proj31,accountant,,proj21task1a,dept1,False,budget,proj31,dept7,1,False,proj51task2a,setCost,True
f1d30395-a1ad-48fd-8518-7f4ffdcc7c06,proj31,,accountant,1,proj52task1a,dept7,False,schedule,proj31,dept2,1,False,proj72task2a,setCost,True
d24b3708-f7bd-4206-b19d-b8e47c6d5369,proj31,,accountant,,proj62task2propa,,False,task,proj42,dept7,,False,proj11task1a,setSchedule,True
cdfaf3d6-6dfb-4eaa-9263-3b5086c19ce0,proj31,proj31,accountant,,proj21task2propa,,True,budget,proj32,dept7,2,False,proj42task2propa,setSchedule,True
c3fc20af-efb7-4a87-8ccc-407d3a3c7bbd,proj31,proj31,accountant,,proj21task1a,dept8,False,budget,proj41,dept1,1,False,proj21task1a,request,True
8905a850-3d37-4f7e-9f42-aef801e410e2,proj32,,accountant,2,proj22task1a,,True,budget,proj31,dept8,2,False,proj61task1a,setSchedule,True
405c79bc-14ff-4682-a869-4a2f41665546,proj41,,accountant,1,proj61task2a,dept8,True,schedule,proj42,dept7,1,False,proj72task2a,request,True
37019bb1-db63-451f-823b-fc54d3063943,proj32,,accountant,1,proj73task1propa,,True,schedule,proj32,dept7,,False,proj51task1a,request,True
31e97355-8e45-4727-bedc-980747404002,proj32,proj32,accountant,1,proj72task1propa,,True,schedule,proj31,dept1,,False,proj51task2a,request,True
2eefa8a7-c48e-43bd-8a31-fa02f2a9a9c7,proj41,proj41,accountant,,proj42task2a,,True,budget,proj42,dept8,2,False,proj73task1propa,approve,True
d6a0eb94-7f55-43fe-b5ed-af1e6365ff0c,proj42,,accountant,,proj52task2a,,True,budget,proj41,dept7,2,False,proj21task2propa,read,True
ec421198-2be7-4a57-9212-32b08a410e02,proj31,proj31,accountant,,proj12task1propa,,False,schedule,proj42,dept2,,False,proj52task2propa,setSchedule,True
edc8ec9d-92bc-4eab-bb9e-8e7eb9ab5837,proj41,proj41,accountant,1,proj61task1propa,,True,schedule,proj42,dept8,,False,proj62task1propa,request,True
abf48430-e02f-417c-8894-a6cbd2e30924,proj41,proj41,accountant,1,proj71task2a,dept6,True,budget,proj42,dept6,2,False,proj21task1a,setSchedule,True
eabd7aa5-e694-4f16-b868-7c606ae1afcc,proj32,proj32,accountant,1,proj11task2propa,,False,task,proj41,dept2,,False,proj12task2a,setSchedule,True
a8920b8b-f53d-44dd-8ac8-9b438fb61f8b,proj32,proj32,accountant,2,proj73task1propa,,True,budget,proj31,dept7,,False,proj11task1propa,setSchedule,True
b46edf97-8a4f-412e-9960-78dbe7d2e32c,proj31,,accountant,2,proj22task1propa,,True,budget,proj32,dept6,1,False,proj62task2a,setCost,True
a56090fe-9a53-49a6-a747-12c379a70a24,proj42,proj42,accountant,1,proj72task1a,,True,task,proj41,dept6,1,False,proj12task1propa,setCost,True
59b44865-9ae0-4bba-9435-ed83362638b1,proj41,proj41,accountant,2,proj22task1a,,True,budget,proj32,dept2,,False,proj62task2propa,approve,True
c9deb685-422e-4601-b49f-b5828d37439f,proj41,,accountant,,proj51task1a,,False,schedule,proj32,dept6,2,False,proj71task2a,read,True
8659426c-1782-43f8-8824-7b4591185140,proj41,proj41,accountant,2,proj12task1a,dept6,False,task,proj32,dept5,,False,proj11task1a,setSchedule,True
27beb54d-4344-46bf-b4b3-8db1fac52d6f,proj31,,accountant,1,proj62task2a,,True,budget,proj41,dept5,2,False,proj52task1propa,request,True
581e4d3e-6d84-405d-afe4-edea121e67be,proj32,,accountant,,proj73task2propa,dept1,False,budget,proj32,dept5,,False,proj51task1propa,setSchedule,True
