user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
158de6dd-76e3-4c77-91a6-0d1142a0f1b5,proj12,proj12,accountant,1,proj31task2a,,False,schedule,proj52,dept6,1,False,proj31task2propa,setCost,True
c4388faf-fe68-4d5c-9ba6-99ac36fc6cb9,proj71,proj71,accountant,,proj31task1propa,,False,task,proj52,dept1,1,False,proj32task1a,request,True
b760ff71-d740-4966-962a-ff8b5087dc30,proj52,proj52,accountant,,proj31task2a,dept5,True,schedule,proj72,dept2,,False,proj42task1propa,approve,True
8cff3736-0284-4d27-b2a6-6677eb018f4a,proj52,,accountant,,proj42task1a,,False,task,proj61,dept8,,False,proj31task1propa,setStatus,True
50533d22-3c73-4929-8674-c9da1041d028,proj62,,accountant,1,proj31task2propa,dept8,False,task,proj11,dept2,,False,proj41task1a,setStatus,True
5c12507c-a536-4001-9364-de303fe3f315,proj71,proj71,accountant,,proj41task2a,,False,schedule,proj11,dept5,2,False,proj22task2propa,read,True
1f1a07a4-9424-4e26-9c11-a6f2a6ae734c,proj21,,accountant,,proj32task2propa,,True,task,proj71,dept6,2,False,proj41task2propa,request,True
92f64d2d-68d2-41cb-ad83-ec5d6a1f3879,proj74,proj74,accountant,2,proj31task1propa,dept8,False,task,proj51,dept1,,False,proj32task1propa,approve,True
260bc217-387c-4f17-a42c-b27f39d4621d,proj22,,accountant,,proj31task2propa,,True,budget,proj22,dept7,2,False,proj32task2propa,setCost,True
5b023a17-dae0-45b3-90cf-410a6c053481,proj72,,accountant,,proj31task2propa,,True,task,proj52,dept1,,False,proj41task1propa,read,True
b5cb997e-0b51-4a42-8d66-5f89621cf2d5,proj71,,accountant,,proj32task2a,,False,budget,proj11,dept6,,False,proj22task2propa,setSchedule,True
c4baf70f-7c72-41d8-be0d-d7c606ff6fd8,proj12,,accountant,,proj22task2propa,dept8,True,budget,proj11,dept6,,False,proj42task1propa,setStatus,True
b4c7dc42-72da-4a7c-afe7-2797fc84ec09,proj52,proj52,accountant,2,proj32task1propa,dept7,True,schedule,proj74,dept5,,False,proj32task1a,setSchedule,True
ab3060bd-53f8-4720-9042-9d738342bad2,proj71,,accountant,2,proj41task1a,dept7,True,task,proj21,dept7,,False,proj31task2a,setSchedule,True
d0e3f681-d984-4d21-9aaa-3a7e6be454c0,proj21,proj21,accountant,1,proj41task1propa,,True,budget,proj11,dept5,,False,proj31task2propa,request,True
3ff762be-492a-42f9-8714-fc264fbd4a08,proj22,,accountant,2,proj32task1a,dept7,False,budget,proj21,dept5,1,False,proj41task2a,setStatus,True
1af85dc7-96d1-45ea-9b7c-964b6c6407bc,proj61,proj61,accountant,,proj42task1a,,False,budget,proj21,dept2,,False,proj42task1propa,setSchedule,True
fc3c8d19-49f6-44d7-bcdd-65c21360e982,proj12,proj12,accountant,1,proj31task1propa,,False,schedule,proj51,dept7,1,False,proj31task2propa,setCost,True
4e1c941a-a77c-491a-9374-b381d89a4a5c,proj22,proj22,accountant,,proj32task2a,dept2,False,task,proj21,dept8,2,False,proj31task1a,setSchedule,True
