user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
c38536fa-3358-4393-bbb7-320c91979af0,proj12,,accountant,,proj52task2a,dept4,False,budget,proj21,dept3,,False,proj51task2a,request,True
17467f9c-6e10-472a-8b83-0cd9263b9c8d,proj22,proj22,accountant,1,proj72task2propa,dept3,False,task,proj62,dept4,,False,proj52task2propa,read,True
1fe2aa36-29d4-4ea8-a181-204b3bf283ec,proj74,,accountant,1,proj72task1propa,dept3,False,schedule,proj71,dept3,2,False,proj73task2a,setSchedule,True
624658ff-cdbb-443d-81ed-56e23ff3a591,proj61,proj61,accountant,2,proj12task1propa,dept4,True,task,proj12,dept4,2,False,proj22task1a,request,True
a1dcd3e2-eafb-43b3-9a1b-02efcbe7dc6e,proj11,,accountant,2,proj21task2a,dept4,False,budget,proj51,dept4,2,False,proj21task2propa,setSchedule,True
5ccf8ccb-3679-4018-8492-bb9af0c0742a,proj73,proj73,accountant,2,proj61task2a,,True,task,proj71,dept4,,False,proj51task1a,setCost,True
c2504f95-feea-4b2d-95d6-eb932c4e5e41,proj74,proj74,accountant,2,proj71task1propa,dept3,False,task,proj73,dept4,,False,proj52task2a,request,True
0d8c0e26-8b39-455d-b5d3-b7e410dc1055,proj74,,accountant,,proj61task1a,dept4,True,task,proj72,dept3,1,False,proj51task2a,setSchedule,True
4604f86d-c6fa-4ff9-b4a9-0ab7b79c0692,proj74,proj74,accountant,1,proj71task1propa,,False,schedule,proj51,dept4,,False,proj42task2propa,approve,True
b92647b0-0a9e-457c-9349-14b310a6cfd3,proj51,proj51,accountant,2,proj72task2propa,dept3,False,budget,proj51,dept3,,False,proj71task2propa,approve,True
62d91aeb-3b1c-4694-8a2f-1a19533d846d,proj62,proj62,accountant,2,proj21task1a,,True,schedule,proj72,dept4,,False,proj52task2propa,setCost,True
0174018f-81c4-4ddd-a8e0-cb437b41dab7,proj72,proj72,accountant,,proj12task2a,,True,budget,proj74,dept3,,False,proj42task2a,write,True
d09fc32b-6b0e-42f9-bb4b-a0e5fdf57e62,proj73,proj73,accountant,1,proj73task1a,,True,task,proj61,dept4,,False,proj52task1propa,setCost,True
366fa1ce-00b4-4244-9869-57722499dd0c,proj12,,accountant,1,proj21task2propa,dept4,False,schedule,proj51,dept4,2,False,proj71task1a,write,True
3e3c8d9e-5068-4f1e-a400-fb307a074dc9,proj22,,accountant,2,proj73task2a,dept3,False,schedule,proj22,dept3,,False,proj12task2a,setStatus,True
10769005-904c-4f70-b26b-1f41021be3f1,proj52,,accountant,,proj52task1a,dept3,False,schedule,proj22,dept3,2,False,proj62task2propa,setStatus,True
60a41196-0400-4b5c-ba50-961d986280f7,proj74,proj74,accountant,1,proj22task2a,dept3,True,schedule,proj21,dept4,1,False,proj21task1a,setSchedule,True
f902c86a-e968-4c42-8281-69df94b497fa,proj74,proj74,accountant,,proj61task2propa,,True,budget,proj62,dept4,2,False,proj51task1propa,setSchedule,True
222c4185-07cf-44dd-8e76-79d52ca3a8f8,proj22,,accountant,2,proj71task2propa,,True,schedule,proj51,dept3,1,False,proj62task1propa,read,True
293702f7-2a6f-4feb-8881-b75d864437ae,proj52,proj52,accountant,,proj52task2a,dept4,False,task,proj61,dept3,2,False,proj71task1a,setCost,True
7d2fb00b-6f5f-4dad-9db0-09dd8ba232b4,proj74,proj74,accountant,1,proj61task2propa,dept3,False,task,proj11,dept3,2,False,proj72task1a,setStatus,True
c53bfee4-47cb-45f0-b585-d43fbca5e7d7,proj51,,accountant,,proj11task2a,dept3,True,task,proj21,dept4,,False,proj52task2a,setStatus,True
5e255026-5711-4587-aa0d-b4ca634182c5,proj74,proj74,accountant,,proj11task2propa,dept4,True,schedule,proj21,dept3,,False,proj71task1propa,setCost,True
bb1b7991-7cea-478f-bca2-b2be8bf1cff4,proj73,,accountant,2,proj21task2a,dept3,False,budget,proj11,dept4,2,False,proj71task1a,request,True
5936e9e0-3954-4dc3-a2b4-be2fb0bd6da0,proj52,proj52,accountant,2,proj51task1a,dept3,False,schedule,proj73,dept4,,False,proj71task1propa,read,True
739c9fbd-a36e-41df-a5f9-617388f72820,proj62,proj62,accountant,,proj71task1propa,,True,task,proj51,dept3,2,False,proj71task2propa,read,True
e9256895-8220-40eb-a800-195c39f4357e,proj12,,accountant,,proj72task1a,dept4,False,schedule,proj72,dept3,2,False,proj42task2propa,setCost,True
0fd18844-7733-4a96-8ea5-d676f756858c,proj22,proj22,accountant,,proj21task2propa,dept4,False,schedule,proj74,dept3,,False,proj72task1propa,setStatus,True
56ae3951-242e-4fb2-bbcc-31d3e6531bb1,proj73,proj73,accountant,,proj62task2propa,dept3,False,task,proj72,dept3,,False,proj11task2a,setCost,True
ee5e4a9c-14f1-4246-a855-b07bc340ba80,proj51,proj51,accountant,1,proj61task2propa,,False,schedule,proj22,dept4,2,False,proj73task1a,write,True
b5164eca-c5c5-4cae-bf0e-78fa02384963,proj22,,accountant,1,proj11task1propa,,True,schedule,proj52,dept4,,False,proj42task2propa,request,True
a505c2fb-eb08-4e13-866c-4dcb34ad7c90,proj62,proj62,accountant,1,proj71task1propa,,False,budget,proj74,dept3,,False,proj71task2a,request,True
37ec7c2b-4a33-4b1b-b780-32e228398fe2,proj52,proj52,accountant,,proj12task2propa,,False,schedule,proj52,dept4,1,False,proj71task1propa,setCost,True
ede306d1-2787-43f1-a3f6-1d20a4972dc1,proj21,proj21,accountant,1,proj61task1a,,False,budget,proj74,dept4,,False,proj42task2a,approve,True
5f2c03d3-fc67-45eb-83b8-c879992713d1,proj11,,accountant,,proj22task1propa,,True,schedule,proj22,dept3,1,False,proj72task1propa,setSchedule,True
60d6203c-7441-4e1f-a299-773d4289aa51,proj72,,accountant,,proj73task2propa,,False,budget,proj74,dept4,,False,proj51task2propa,read,True
