user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
cfc65c7d-2055-4380-b7f1-a3e2840aa309,proj61,proj61,auditor,2,proj41task2a,,True,budget,proj52,dept6,,False,proj22task1propa,setCost,True
851f69a6-5df5-4328-b6ee-5cb7099b872c,proj61,proj61,auditor,1,proj73task1a,dept5,False,schedule,proj52,dept5,1,False,proj71task1propa,write,True
92816111-4d13-4b90-bec6-45f344a0c549,proj62,proj62,auditor,1,proj41task1a,,True,task,proj62,dept6,2,False,proj32task2propa,approve,True
6f26efb4-8cea-4361-98c7-16946f992555,proj52,proj52,auditor,,proj73task2a,,False,schedule,proj51,dept5,1,False,proj12task2a,setCost,True
b3ec391e-74db-4bfb-958e-5e750dd9cccb,proj62,,auditor,,proj21task1a,dept6,True,budget,proj62,dept6,,False,proj11task1propa,setSchedule,True
bbb84305-a71f-4234-af9d-119ef71dc049,proj51,proj51,auditor,,proj32task2a,dept6,False,budget,proj51,dept6,2,False,proj41task1a,setStatus,True
6472d105-b609-4e36-893a-cf0c207e5842,proj52,proj52,auditor,1,proj73task1propa,dept6,False,task,proj51,dept5,1,False,proj73task1propa,request,True
a3e3f6a1-e324-4b44-85d2-5050b0f6e234,proj52,proj52,auditor,,proj32task1a,dept6,False,task,proj51,dept5,2,False,proj41task1a,write,True
1b5b11f4-86ad-44d7-b4b5-97bc3ed39764,proj62,proj62,auditor,,proj12task2a,dept6,True,schedule,proj61,dept6,,False,proj32task1propa,setCost,True
6aaba91f-fd84-4d73-bd04-74a4ab3d6d21,proj51,,auditor,,proj72task2a,,True,schedule,proj62,dept6,2,False,proj32task2a,read,True
1d3248f2-456a-44bf-822f-f41c53f52291,proj62,proj62,auditor,2,proj12task1propa,dept5,False,budget,proj51,dept5,2,False,proj71task1propa,setSchedule,True
3d44b128-f34c-4767-bd94-94eb1fee53d5,proj62,proj62,auditor,2,proj41task1a,dept5,True,task,proj51,dept5,,False,proj22task1propa,read,True
24f1fd46-70d1-4da8-b40d-f1ab80a249d1,proj51,,auditor,1,proj41task1propa,dept6,False,budget,proj61,dept5,1,False,proj41task2propa,setStatus,True
d05b780f-7194-44a3-83d1-b99cd47a9906,proj61,,auditor,1,proj22task2a,dept5,False,budget,proj51,dept6,2,False,proj11task1a,request,True
1822d28e-ad6a-4daf-a3ff-3d943e4dbe04,proj52,proj52,auditor,,proj42task1a,dept5,False,budget,proj51,dept6,2,False,proj73task1a,setCost,True
5ea915fa-e784-490f-92d0-fe4719fccaac,proj51,proj51,auditor,,proj12task2a,dept5,True,schedule,proj51,dept5,,False,proj12task2a,setStatus,True
a1e5526d-63be-4520-bc63-53e9ec4de5ac,proj61,proj61,auditor,,proj32task2a,,True,task,proj52,dept6,,False,proj22task2a,setCost,True
4ba3cde1-3dfa-4d71-9cfb-28e1792ae3fd,proj61,proj61,auditor,,proj11task1a,,False,budget,proj51,dept5,,False,proj73task1a,setStatus,True
2675c13b-41b9-4c5f-bc48-f27384a28b13,proj52,,auditor,1,proj71task1a,,True,budget,proj51,dept5,,False,proj11task1propa,setCost,True
7515590b-4f0e-40c6-871e-84a39132e05d,proj62,proj62,auditor,1,proj22task1a,,False,task,proj52,dept5,2,False,proj12task1propa,setSchedule,True
c57af7df-649b-44c0-86fb-6b0fc7ee7734,proj51,proj51,auditor,,proj71task1a,dept6,True,task,proj52,dept6,2,False,proj22task1propa,read,True
01cc9fd6-2786-4d02-8741-2b0fe79ef774,proj61,proj61,auditor,,proj73task1a,dept5,True,task,proj61,dept5,,False,proj12task2a,approve,True
77ff8d3b-a457-445d-9d20-82b7eb8fc0df,proj52,proj52,auditor,2,proj71task1propa,dept5,False,task,proj61,dept5,,False,proj11task1propa,request,True
6e6a53a7-193e-4b53-b401-c451d81a7df1,proj52,proj52,auditor,,proj72task2propa,dept5,False,schedule,proj51,dept6,1,False,proj41task2propa,setSchedule,True
886b4cdf-68b1-4b1b-b046-c6cb6781ffff,proj62,proj62,auditor,,proj22task2propa,,False,schedule,proj62,dept6,1,False,proj32task1a,write,True
