user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
a673fa40-4575-4731-8982-30fab92c7671,proj42,proj42,auditor,1,proj51task2a,,False,schedule,proj42,dept8,1,True,proj61task2a,write,True
aabed26b-b602-40b0-b03b-f2526794ed26,proj74,proj74,auditor,,proj61task1a,dept2,False,schedule,proj11,dept1,,False,proj52task1propa,read,True
f9570f7f-73eb-4c24-a37e-e110b7bb5fb3,proj41,,auditor,1,proj51task1propa,,False,schedule,proj11,dept7,1,False,proj52task1a,write,True
e4c879a6-5418-473a-b41c-4634f88be503,proj21,proj21,auditor,,proj52task1a,,False,budget,proj21,dept2,2,False,proj51task1propa,setCost,True
3caf4d56-06c3-4baa-98ad-94628695b463,proj74,,auditor,,proj52task2a,,True,task,proj31,dept4,,False,proj61task2propa,setCost,True
37208691-189b-4353-ae47-0fa877a82232,proj32,,auditor,,proj51task1a,dept3,True,task,proj41,dept7,,False,proj52task2propa,setStatus,True
8a97e492-75f1-47f3-93e1-c933c385e059,proj72,,auditor,,proj52task1a,,True,budget,proj31,dept4,,False,proj62task1a,setCost,True
8a835cda-204a-4a0e-b660-115207852ec5,proj32,,auditor,,proj51task2a,,True,schedule,proj74,dept1,,False,proj52task1propa,setStatus,True
e4e70102-b7fa-4211-bfed-1c28372127a4,proj71,,auditor,1,proj51task1propa,,False,task,proj12,dept8,1,False,proj61task1propa,write,True
d90c4565-ce7c-4348-967c-64cfa1060b30,proj31,,auditor,2,proj52task1propa,,True,budget,proj73,dept1,,False,proj52task2a,write,True
5470ab82-e51b-4f3a-95d8-6f7f116b678c,proj42,,auditor,,proj51task1propa,dept3,False,schedule,proj12,dept7,1,False,proj42task2a,setCost,True
0d807859-595c-40ba-a351-1e44bee3c5be,proj71,proj71,auditor,2,proj51task1propa,,False,task,proj12,dept4,1,False,proj61task1propa,setStatus,True
0d1d8e9d-5452-4536-8631-718ab30b8df5,proj74,,auditor,,proj61task2a,dept1,False,task,proj41,dept4,1,False,proj52task2propa,request,True
455faa36-ea4c-40a8-bce7-668f32dc89e3,proj32,,auditor,,proj61task1propa,dept7,True,schedule,proj72,dept4,1,False,proj61task1propa,read,True
6bb2a948-06a4-4b90-a43c-a7ac56fb2c67,proj42,,auditor,,proj51task2propa,dept4,True,budget,proj21,dept4,1,False,proj52task2propa,request,True
6e94e7c5-f89d-4695-8e70-9d9690dbde0d,proj32,proj32,auditor,2,proj61task2a,,False,schedule,proj73,dept2,,False,proj52task1propa,setStatus,True
d5ab3433-735a-4124-8ed5-305c8910000d,proj22,,auditor,2,proj51task1a,,True,schedule,proj74,dept1,1,False,proj61task1propa,setCost,True
800bff74-f519-42e9-b132-914fdd6d789e,proj72,proj72,auditor,,proj61task1propa,dept3,False,task,proj73,dept1,2,False,proj52task1a,write,True
1b63ae3e-a943-42c7-a87c-631bdbef3477,proj74,,auditor,,proj52task1a,,False,schedule,proj21,dept7,,False,proj61task1a,approve,True
7676151c-8eb9-4aaa-92d8-28b7e27991c5,proj11,,auditor,,proj51task2propa,,False,task,proj12,dept8,2,False,proj52task2a,setCost,True
10254e8d-a71f-4286-810b-082932e022c9,proj73,proj73,auditor,2,proj52task1propa,dept1,False,task,proj41,dept1,2,False,proj42task2propa,setSchedule,True
11208bfb-7261-43de-b5fc-1a43bad23fc2,proj72,proj72,auditor,,proj61task2propa,dept8,False,schedule,proj21,dept7,2,False,proj52task1a,write,True
acea2371-19f8-4338-9e3d-4048d73eaa0a,proj22,proj22,auditor,2,proj51task2a,,True,schedule,proj31,dept8,1,False,proj52task1a,request,True
70ebd285-4e1e-4ab2-8e2f-cc310ef574ff,proj22,proj22,auditor,1,proj51task2a,dept8,True,schedule,proj21,dept4,,False,proj51task1propa,request,True
bb23808b-2cd9-4d22-a5dc-b2c44eaa0265,proj73,proj73,auditor,2,proj42task2a,,False,budget,proj12,dept8,,False,proj52task2propa,request,True
456cbe6b-7fe6-4779-ab0a-5d52d87d0f27,proj41,proj41,auditor,1,proj61task2propa,,True,schedule,proj22,dept3,2,False,proj61task2propa,setStatus,True
5699b344-e77b-440c-992a-c1000cd247c4,proj32,,auditor,,proj51task1a,,False,budget,proj73,dept1,,False,proj61task2propa,request,True
6b459a5c-11bd-4c8d-bf70-9a1a392f6ad3,proj22,,auditor,2,proj51task1a,,True,task,proj72,dept1,,False,proj61task1a,read,True
e553e3ba-435f-48f2-9636-2961c969ac24,proj31,,auditor,1,proj61task2propa,,True,budget,proj22,dept4,1,False,proj61task2propa,setCost,True
6cf08dbf-8eed-4c53-adc8-b5d155d5ffac,proj21,proj21,auditor,2,proj42task2propa,dept8,False,schedule,proj72,dept1,1,False,proj52task1propa,setSchedule,True
c98857d5-b060-456d-afa1-39076820e21a,proj72,proj72,auditor,,proj51task1a,,True,task,proj12,dept8,,False,proj51task2propa,read,True
9f6e54bd-ec9f-487d-b2a3-010f223b5448,proj42,,auditor,2,proj51task2propa,,True,task,proj74,dept3,,False,proj62task1a,setSchedule,True
b87e20d8-ff3d-42d0-9f09-88f7f2d816d9,proj42,proj42,auditor,2,proj42task2propa,dept8,False,budget,proj31,dept2,,False,proj52task2a,write,True
a7dfaa34-f7a9-4bab-8d52-dac5585f70c2,proj31,proj31,auditor,2,proj52task1propa,,True,schedule,proj32,dept1,,False,proj52task2propa,setCost,True
3c1fc7af-b2e9-416b-a976-9051339ea8aa,proj41,proj41,auditor,,proj51task2propa,,False,budget,proj41,dept8,,True,proj61task1a,write,True
d84713f3-75a4-449f-a9a1-a6ba7267f934,proj42,,auditor,,proj52task2propa,dept8,False,schedule,proj71,dept7,,False,proj61task1a,setSchedule,True
65116177-d5be-4776-92b4-12401c4d6b17,proj22,proj22,auditor,,proj61task2propa,,False,task,proj11,dept4,,False,proj51task2a,request,True
