user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
6bfcc2d6-c477-4f97-90a9-45d4b1823324,proj42,proj42,manager,,proj21task1a,,False,task,proj41,dept1,2,False,proj11task2propa,approve,True
4c9aba67-7d37-4c48-a12f-ac4545af193e,proj73,,manager,1,proj12task1a,,True,schedule,proj41,dept1,,False,proj22task2a,approve,True
2be79cf4-108c-4ad4-b584-da5a37d61a71,proj73,proj73,manager,,proj11task1a,dept1,False,budget,proj42,dept2,1,False,proj22task1a,setSchedule,True
c569d5d4-b4ea-4ca8-9a50-0b3ceb2f9ef7,proj74,,manager,,proj21task2propa,,False,budget,proj72,dept1,1,False,proj12task1a,write,True
3f058f9b-f490-4d19-b63e-b8e80c794d40,proj74,,manager,2,proj11task1propa,dept1,False,schedule,proj62,dept1,,False,proj12task2a,setCost,True
097f3b85-1ee3-41ee-9a41-82c0577653e3,proj52,proj52,manager,,proj11task2a,,True,schedule,proj31,dept1,2,False,proj21task2a,setSchedule,True
5afbcbf8-fa79-4ab5-8fd6-9ca5fe742e9d,proj71,proj71,manager,2,proj12task1a,dept2,True,budget,proj31,dept2,,False,proj22task1propa,read,True
cd721e1c-ac01-4a42-a035-f4283bdfd63f,proj73,,manager,2,proj22task1propa,dept1,True,budget,proj42,dept2,,False,proj21task2propa,approve,True
2f29dc75-77c4-42e0-b4af-c4d185104095,proj73,proj73,manager,,proj21task1a,,True,task,proj51,dept2,1,False,proj22task1a,request,True
9c64812b-38b7-4502-8dc3-541f58c49658,proj71,,manager,,proj22task2a,,False,task,proj32,dept2,1,False,proj21task2propa,approve,True
835eca11-1b82-4c49-9814-7bf4bb4a4b58,proj41,,manager,1,proj21task2a,dept2,False,schedule,proj32,dept1,,False,proj21task2a,request,True
f9090eba-840d-420c-81ac-70351308cc76,proj61,,manager,1,proj11task1propa,,False,schedule,proj52,dept2,,False,proj11task2propa,read,True
0cbadf8e-a91b-4579-b78c-8b1fb3ff3214,proj51,proj51,manager,,proj12task2a,,True,budget,proj51,dept1,1,False,proj21task2a,setCost,True
107c978e-3d41-4f9d-8f34-48960adf4868,proj72,proj72,manager,,proj21task1a,,False,budget,proj62,dept1,,False,proj11task2a,read,True
c943917d-e242-46a7-993d-057ea3ec0aa6,proj62,proj62,manager,1,proj11task1propa,dept1,False,budget,proj61,dept1,,False,proj21task2a,write,True
da921c44-ee89-43c7-ad2d-c30e118c85b8,proj72,,manager,,proj12task2a,,True,budget,proj73,dept2,2,False,proj12task2propa,setStatus,True
13e1094d-356a-4949-a55c-81a0fcbabdb2,proj31,proj31,manager,1,proj21task2a,,True,task,proj71,dept2,,False,proj22task1propa,setStatus,True
dc5f818e-fe26-40e1-927f-4264673263d8,proj61,,manager,2,proj21task1propa,dept2,False,schedule,proj61,dept2,,False,proj12task2propa,request,True
e5712a37-04dc-4cc1-9fbb-33e9e62a5f48,proj41,,manager,2,proj22task2a,,True,schedule,proj74,dept1,1,False,proj12task2a,approve,True
01ad2443-1d06-42b2-9ba6-bbcff9ff16d8,proj32,,manager,,proj11task2propa,,True,task,proj42,dept2,1,False,proj21task2propa,setStatus,True
0dad719d-af1a-4c34-b635-8a2b81744963,proj74,,manager,2,proj12task1a,dept2,True,budget,proj72,dept1,,False,proj21task2propa,setStatus,True
b253071c-337b-4cdf-bc56-376945c26415,proj73,,manager,1,proj21task2propa,,False,task,proj42,dept2,1,False,proj11task1propa,setStatus,True
808e1806-fd53-4995-b5fe-2a9681521610,proj72,,manager,2,proj12task2a,dept2,True,budget,proj72,dept2,2,True,proj11task2a,approve,True
9f02aa3a-7fd3-47b1-8bb0-eb505c68682d,proj73,,manager,2,proj11task1propa,dept2,False,budget,proj32,dept1,,False,proj21task1a,write,True
38c38e17-f6f3-48c3-b186-53bbb6f7ecb8,proj31,proj31,manager,2,proj12task2propa,,True,budget,proj72,dept2,,False,proj21task2a,setStatus,True
de6ad87f-6743-4492-a30f-ab950f3d7899,proj52,proj52,manager,,proj21task2propa,dept1,True,task,proj71,dept2,2,False,proj11task1propa,approve,True
864e3dc9-f2d3-431e-92aa-276d3c3adca5,proj42,,manager,,proj21task1a,,False,schedule,proj73,dept2,2,False,proj11task1propa,request,True
1c3b03ed-3131-48d1-953c-efe12859ce64,proj72,proj72,manager,,proj22task1a,,False,schedule,proj61,dept1,,False,proj11task1propa,read,True
9a99b569-3405-48bb-bb17-662833400757,proj62,proj62,manager,,proj21task1propa,,False,schedule,proj73,dept2,,False,proj11task1propa,setStatus,True
61839d51-0494-448e-8d62-c347308c0939,proj73,proj73,manager,,proj11task1a,,False,schedule,proj72,dept1,,False,proj12task1propa,setSchedule,True
82a9c238-e239-4887-b720-4b71949f7ae6,proj73,,manager,2,proj12task1propa,,False,budget,proj62,dept2,2,False,proj12task1a,read,True
e1db32bc-c83d-479b-9d2a-82766f9d9e70,proj31,proj31,manager,,proj21task1propa,dept1,True,schedule,proj61,dept1,,False,proj21task2a,write,True
f931fce0-8426-47a2-a015-2ca6b927387e,proj31,,manager,2,proj12task2a,dept1,False,budget,proj72,dept1,,False,proj12task1a,setSchedule,True
a4285936-d7fb-4565-a9c1-a4bead6808ae,proj73,,manager,,proj22task2a,dept1,False,schedule,proj74,dept2,1,False,proj21task1propa,read,True
75cf98b6-572a-406d-b4ac-6d546a2aa774,proj41,proj41,manager,2,proj12task1a,dept1,True,schedule,proj73,dept1,,False,proj11task1propa,request,True
4e8374b7-b2b5-43bc-a93f-fc73e5efcbeb,proj31,,manager,1,proj12task1propa,,True,budget,proj41,dept1,2,False,proj11task2a,request,True
f4d01a2d-cfe4-4ae7-854f-26e70db008fb,proj41,,manager,,proj12task2propa,dept2,True,budget,proj32,dept1,,False,proj22task1propa,setCost,True
954a485d-ef6b-4e0d-97a8-e88781bf181a,proj31,proj31,manager,,proj21task2propa,dept2,False,schedule,proj73,dept1,1,False,proj21task1a,setCost,True
aef07c4e-f534-4153-82db-b87984416857,proj62,,manager,1,proj11task1a,dept1,False,task,proj42,dept2,,False,proj12task1propa,setStatus,True
9c4fecf4-220b-49d3-b0fd-0aaccf18d8cf,proj42,proj42,manager,2,proj21task1a,dept1,False,task,proj32,dept1,2,False,proj11task1propa,setSchedule,True
ec4d11d7-c274-406c-a4da-9950433769c0,proj42,,manager,2,proj21task2propa,,True,task,proj42,dept1,,False,proj12task2a,approve,True
e537a6ba-0f25-4baf-8842-301609f37d8d,proj52,,manager,1,proj12task1a,dept1,True,schedule,proj42,dept2,2,False,proj12task1a,approve,True
5b15b288-d7e4-4be3-ab4f-87c46b27a7fb,proj41,proj41,manager,,proj11task1a,,True,task,proj32,dept1,,False,proj12task2a,approve,True
450ee2f3-6d0b-4815-a0b6-53b9d1cba593,proj61,proj61,manager,2,proj11task2a,dept1,True,task,proj51,dept1,,False,proj22task1propa,setCost,True
6c6f1710-d51f-482a-885d-aebc4247b92d,proj73,,manager,2,proj21task1a,,True,budget,proj31,dept2,1,False,proj12task1a,write,True
c08420dc-d39c-41a1-8c6c-3ba832c86f55,proj62,proj62,manager,,proj21task2a,dept1,True,schedule,proj31,dept2,,False,proj12task1propa,approve,True
ee448c06-54f0-4818-bb75-82ed264ae202,proj31,proj31,manager,,proj22task1a,,True,budget,proj51,dept1,,False,proj12task2propa,approve,True
9e00e371-4083-4a63-ba41-f5d579407800,proj62,,manager,2,proj21task1a,,True,schedule,proj61,dept2,,False,proj11task2propa,approve,True
fb88eed3-8fd5-4bac-ab7f-d5f56b001b4d,proj31,proj31,manager,,proj11task1propa,dept2,True,schedule,proj72,dept1,,False,proj12task2propa,setStatus,True
1a8be18e-9f50-4e8a-8977-621c6503c6f1,proj41,,manager,2,proj11task2a,dept2,True,task,proj74,dept1,2,False,proj11task2propa,setStatus,True
1dcae645-5707-40ac-bb64-322f9cd62c3f,proj73,proj73,manager,2,proj11task2a,dept2,True,schedule,proj42,dept2,1,False,proj11task1a,approve,True
70755f3a-8219-4451-914f-456ddeacabeb,proj74,proj74,manager,2,proj11task1propa,,False,task,proj72,dept1,,False,proj12task1propa,setSchedule,True
ff141c99-5654-438b-8b14-2783a683c199,proj73,proj73,manager,1,proj12task1propa,dept1,True,budget,proj32,dept2,2,False,proj21task1propa,setSchedule,True
1659f58d-074a-4038-9b0e-91f820f9fefe,proj41,proj41,manager,,proj22task1propa,dept2,True,task,proj62,dept2,,False,proj11task2propa,approve,True
77e08735-70a8-4310-afc1-62bec4356895,proj61,proj61,manager,1,proj12task2propa,,False,schedule,proj31,dept2,,False,proj11task2a,setSchedule,True
4aaec301-36d4-4514-b0ce-2b196fd09b5f,proj31,proj31,manager,,proj21task2propa,dept2,False,task,proj51,dept2,1,False,proj22task1propa,request,True
c79b94c7-5089-437c-91b9-9ce6b82c098a,proj71,,manager,,proj11task1a,dept1,True,budget,proj51,dept2,,False,proj11task2a,approve,True
38cf97b5-fe02-4939-ba35-0a5e3e0e5233,proj73,,manager,,proj21task1a,,False,budget,proj41,dept1,,False,proj12task1a,request,True
497cce82-c6ae-4124-9978-3218a501fc76,proj71,,manager,1,proj11task2a,dept1,False,budget,proj31,dept2,1,False,proj22task1a,approve,True
85923a0a-d5b9-4be6-a7fa-7e1e689ffe6d,proj52,proj52,manager,,proj12task1propa,dept1,True,schedule,proj32,dept1,2,False,proj12task2propa,request,True
b3e18acc-bdaa-4ba2-b98a-fcd52ca0bd90,proj31,proj31,manager,2,proj12task2a,,False,task,proj52,dept1,,False,proj11task2a,approve,True
e37556c3-5827-4962-a918-273bea26cb99,proj74,,manager,2,proj12task2a,dept1,False,budget,proj72,dept1,,False,proj22task1propa,setStatus,True
e32c0aeb-b0b0-4a1d-86ec-f89630074a1d,proj71,proj71,manager,,proj22task1a,dept1,False,budget,proj62,dept1,,False,proj12task2a,write,True
aeac57b8-e8ae-4323-af27-e558f3c966a0,proj42,proj42,manager,,proj11task2propa,dept2,True,budget,proj42,dept1,1,False,proj11task2propa,approve,True
740a89f2-e93c-4a32-8313-02e1aa6a6871,proj32,proj32,manager,,proj21task1propa,,True,budget,proj62,dept1,,False,proj22task2a,setCost,True
b5d07a6f-32bb-49d9-9205-7ecb23150666,proj61,proj61,manager,1,proj11task2a,dept2,True,budget,proj72,dept1,,False,proj22task1propa,request,True
