user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
98436f4e-3bed-4ead-a244-c502af0b017b,proj41,,manager,,proj11task1a,dept6,False,task,proj41,dept5,,False,proj22task1a,read,True
3439a069-0167-468d-b4a9-6f56cb96dbd2,proj42,,manager,,proj11task1a,dept6,True,schedule,proj52,dept3,1,False,proj21task1propa,setStatus,True
c0629ccd-6546-49e6-99fc-59ef6f205138,proj42,,manager,1,proj22task1propa,,True,budget,proj41,dept8,,False,proj12task1propa,approve,True
f84cfd58-9fb6-4c36-9ada-1d7e78a0d9c7,proj73,,manager,,proj12task1propa,dept8,True,schedule,proj52,dept8,,False,proj21task1propa,setSchedule,True
22776125-605c-44e9-b2c5-f46c2b723bb1,proj71,proj71,manager,,proj21task1propa,dept5,False,budget,proj41,dept7,1,False,proj21task2propa,write,True
441a0fef-371a-433d-8bdf-14f5d8891a8d,proj42,,manager,,proj11task2propa,dept4,True,task,proj73,dept6,1,False,proj21task2propa,setCost,True
8b8e5a73-a35b-4484-b958-844f3f4fb47f,proj71,proj71,manager,1,proj22task1a,,True,task,proj61,dept5,,False,proj21task2a,approve,True
bbeaef9e-ab2e-43e6-8770-5caada5a8681,proj73,proj73,manager,,proj12task2a,,False,schedule,proj61,dept8,,False,proj11task2a,setCost,True
bf3e1103-88c4-420e-a9da-a50613527e2e,proj31,proj31,manager,,proj22task1a,,True,task,proj62,dept8,2,False,proj12task2propa,setSchedule,True
29115d64-c397-4466-bdaa-69868983c122,proj72,proj72,manager,,proj21task2a,,True,budget,proj72,dept8,2,False,proj11task2a,write,True
4c4b65bf-6f9f-495a-b895-47c5c9e24403,proj71,,manager,2,proj22task2a,dept4,True,budget,proj41,dept7,,False,proj11task2propa,approve,True
307bf610-8489-4d31-ad10-f2e8a1ba8022,proj42,proj42,manager,2,proj21task1propa,dept3,True,task,proj32,dept5,,False,proj11task2a,read,True
cb6b2cfe-d67f-4a3a-8a87-f6974322f941,proj42,proj42,manager,,proj22task1a,dept8,False,task,proj62,dept5,1,False,proj21task2a,setStatus,True
a73aaed4-0799-4890-867a-c93c193c2ade,proj62,,manager,,proj22task2a,dept4,True,budget,proj74,dept8,2,False,proj11task1a,approve,True
a0e28639-7645-4639-8f7c-c169fe3284c3,proj72,,manager,2,proj11task1propa,,False,budget,proj62,dept4,,False,proj11task1a,request,True
d96f7c36-7855-4a13-9329-e5be93144788,proj31,,manager,2,proj21task1propa,dept4,True,schedule,proj73,dept7,,False,proj22task2a,read,True
99e4e01b-a796-48f2-bccf-0f73ffce447f,proj32,proj32,manager,1,proj21task1propa,dept5,True,task,proj31,dept5,1,False,proj22task1propa,read,True
74ba3324-16bc-4669-89b9-6062ee3e7b1d,proj32,proj32,manager,,proj11task1propa,dept8,False,task,proj32,dept6,,False,proj11task2propa,request,True
325a4392-57f2-4e45-9a82-dda6c41f1900,proj73,,manager,2,proj22task1propa,dept8,True,budget,proj71,dept6,1,False,proj11task1propa,request,True
877054fd-d6d4-41c3-b296-ef728deb804c,proj42,,manager,2,proj12task2propa,,True,schedule,proj31,dept7,,False,proj21task1a,request,True
d90b6ea3-7681-4d34-98bf-2867880f45e3,proj32,proj32,manager,,proj21task1propa,dept4,False,budget,proj42,dept7,,False,proj11task1propa,request,True
c6a92805-c22e-4155-90a5-aeb81170b5cd,proj51,,manager,2,proj21task2a,dept6,True,task,proj74,dept7,,False,proj21task1propa,read,True
58a9aa02-3f04-4da7-8f48-b07e47048d02,proj62,proj62,manager,1,proj21task2propa,,False,schedule,proj42,dept3,,False,proj12task2propa,request,True
efe53943-f6bd-41d2-bd72-859c5f14f0fa,proj32,proj32,manager,,proj21task1a,dept7,False,schedule,proj71,dept4,1,False,proj12task1a,approve,True
b51e8121-a87e-4542-b062-e926aba71d14,proj31,,manager,,proj22task1a,,False,task,proj32,dept7,1,False,proj11task1a,setSchedule,True
805b364c-9935-4d75-964b-a98f80758afa,proj41,,manager,,proj12task2a,,True,budget,proj62,dept7,2,False,proj11task1a,setSchedule,True
e900d7b8-dd58-4a8c-8bef-5a896fa623ba,proj62,proj62,manager,1,proj21task2propa,dept8,True,task,proj74,dept8,1,False,proj12task1a,read,True
f7bc584d-3319-4778-8ae8-131e5b32017a,proj31,proj31,manager,2,proj22task1a,,False,task,proj32,dept5,,False,proj12task2propa,setCost,True
98b689c4-b321-46d8-9435-f88fc6e2d4c5,proj51,,manager,,proj12task1a,dept4,True,task,proj61,dept3,,False,proj21task1a,setSchedule,True
b4a0fe9a-a89a-4e2e-9bf2-2bc09a9d5ab9,proj74,proj74,manager,,proj22task1a,,True,task,proj74,dept5,1,False,proj22task1propa,setSchedule,True
effc6e07-3f9d-41d8-8c67-bf4bfe6df1ea,proj72,proj72,manager,2,proj11task2propa,,False,schedule,proj61,dept7,1,False,proj12task2propa,setSchedule,True
002b7c6f-6036-4720-9139-939ce6ec84da,proj71,proj71,manager,2,proj12task2a,dept4,False,budget,proj61,dept7,,False,proj22task2a,write,True
b589d32a-5f52-4b42-9c30-313b07096e03,proj61,proj61,manager,,proj22task1propa,,False,schedule,proj74,dept3,2,False,proj21task2a,write,True
c74a2a9d-fb3e-4e82-afe4-1806b37fe079,proj32,,manager,1,proj12task1propa,dept6,False,task,proj42,dept8,1,False,proj21task1a,read,True
e7851f81-aad0-4b30-8623-30b7b4c21425,proj72,proj72,manager,,proj22task2a,dept6,True,budget,proj61,dept7,1,False,proj11task1propa,approve,True
7099e235-6698-4b00-b993-5cee11f6d44f,proj41,proj41,manager,1,proj11task1a,,True,task,proj42,dept3,1,False,proj22task1propa,read,True
773ba83c-395c-4dc5-8c08-e9b094ccedd2,proj41,,manager,,proj12task2propa,dept4,False,schedule,proj32,dept3,,False,proj12task2a,setCost,True
5ac99a39-88b8-45f1-9ddb-3508e7175956,proj71,proj71,manager,1,proj11task2propa,dept3,True,schedule,proj72,dept5,,False,proj21task1propa,read,True
88c90546-e80c-4381-915f-cb2b21437012,proj52,proj52,manager,,proj11task2a,dept6,True,task,proj41,dept8,,False,proj22task2a,setSchedule,True
e41cb801-2381-4880-b97c-d9859483836d,proj52,,manager,,proj12task2a,,True,schedule,proj61,dept3,2,False,proj11task2a,setSchedule,True
