user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
c7924597-b2e6-49c3-8ea2-eb77a312971a,proj74,,planner,2,proj71task2a,,True,budget,proj73,dept1,,False,proj72task1propa,setCost,True
52316371-fe94-463b-948c-60d0de5e83f3,proj73,,planner,1,proj71task1propa,,False,budget,proj71,dept3,,False,proj71task1propa,setSchedule,True
256136d8-06b3-4c64-a73f-e7d6c3bd4d56,proj71,proj71,planner,,proj71task1a,,False,schedule,proj73,dept1,2,False,proj73task2a,request,True
e7b78638-8dc6-4591-957d-8820c22fbce0,proj74,proj74,planner,1,proj71task1propa,,False,budget,proj72,dept1,2,False,proj72task2propa,setStatus,True
8c7fc846-979f-4641-8db2-91e8a5d7bb3c,proj72,proj72,planner,,proj71task1a,,True,task,proj74,dept2,,False,proj73task1propa,setSchedule,True
07feecd7-6439-426f-9016-28b94e73a009,proj72,,planner,,proj72task1propa,dept3,False,task,proj72,dept5,2,False,proj62task1propa,setCost,True
bafcea99-c4ac-4073-a40b-307bdf187430,proj72,,planner,,proj73task1a,,False,task,proj74,dept6,,False,proj73task2a,request,True
723f6b20-ead3-40e7-b2b8-8b0158a6daf9,proj71,proj71,planner,1,proj71task2propa,dept1,True,task,proj73,dept4,,False,proj71task1propa,read,True
c1650123-5554-4444-bc82-5f9b8ab69721,proj74,proj74,planner,,proj71task2a,,False,schedule,proj74,dept1,,False,proj71task2a,setStatus,True
d710ebef-a524-42b1-a096-17062c764003,proj74,,planner,,proj72task1propa,dept2,True,budget,proj74,dept5,2,False,proj62task2a,setCost,True
d61dbe8c-c665-47bd-a4b5-5ab0a1c617e5,proj74,,planner,1,proj72task2a,dept4,True,task,proj74,dept6,,False,proj72task2a,request,True
79192eb3-6ac5-4c20-b358-c7fc711b620e,proj72,,planner,,proj71task2a,dept1,False,budget,proj71,dept5,,False,proj73task1a,request,True
e271871e-bde2-4097-b5a1-114fc5ddf4f8,proj71,proj71,planner,,proj71task2propa,,True,schedule,proj71,dept1,1,False,proj62task2a,setSchedule,True
005c60f9-0e77-4805-b719-c6aadb5ea816,proj73,,planner,2,proj72task1a,dept5,False,schedule,proj71,dept5,1,False,proj71task1a,write,True
c79064a1-a949-4a35-a3a2-38e2e182a7fb,proj74,,planner,1,proj71task1propa,dept1,False,budget,proj74,dept3,,False,proj62task2propa,setSchedule,True
