user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
196843d8-6198-4a20-a8cb-01a7e6cc566b,proj73,proj73,planner,1,proj51task1propa,,False,task,proj71,dept3,2,False,proj21task2a,approve,True
5ca5f78b-0b7a-4681-a564-172fc1b22c8d,proj71,proj71,planner,2,proj41task1a,,False,budget,proj71,dept1,,False,proj11task1propa,setCost,True
4285edf3-a7d4-4508-8c07-518a9b8e6745,proj74,,planner,,proj21task1a,dept3,False,schedule,proj71,dept3,1,False,proj41task1a,request,True
57762b4e-ae6e-4c7e-8016-a07f24223b4d,proj74,proj74,planner,,proj61task2a,,False,schedule,proj71,dept4,,False,proj62task1a,write,True
8b5759c0-5a10-464b-b81c-cbf7de3a61b2,proj73,proj73,planner,,proj41task2a,dept2,True,schedule,proj71,dept1,1,False,proj21task2propa,setStatus,True
fc626240-8084-4e72-aebc-4ff3cbe3d1ca,proj72,proj72,planner,2,proj51task1a,,True,schedule,proj71,dept1,,False,proj61task2a,write,True
58e7f766-37ec-4a9e-9b0e-f79042c7ec9a,proj71,proj71,planner,,proj41task1propa,dept1,True,schedule,proj73,dept3,,False,proj51task1a,write,True
3bbbbf91-2c22-4b19-8e5f-77d36f61529e,proj73,proj73,planner,2,proj42task1a,,False,budget,proj72,dept1,1,False,proj32task1propa,request,True
be4d26a3-5f6a-452c-8fc5-3767024ff198,proj73,,planner,1,proj31task1propa,dept6,False,budget,proj73,dept2,,False,proj21task2propa,setSchedule,True
f7008a25-528e-475b-a83d-3122bc3abaad,proj71,,planner,1,proj21task2propa,,True,schedule,proj72,dept6,,False,proj51task2a,write,True
0bd9a6e0-24bf-4890-a224-9b3cc6b2c13e,proj72,,planner,1,proj41task1propa,,True,schedule,proj72,dept1,,False,proj41task2propa,setStatus,True
e9d4259d-e3a6-4820-b092-05ae0db0a58f,proj71,,planner,1,proj12task2propa,,True,budget,proj71,dept4,,False,proj42task2propa,write,True
55e5dcb9-b669-4f51-a71e-a51a908c3959,proj73,proj73,planner,1,proj32task2propa,dept1,True,budget,proj73,dept3,2,False,proj21task2propa,request,True
436ae132-9528-497a-95ab-58b775712e8b,proj72,,planner,,proj52task2propa,dept3,False,budget,proj73,dept2,,False,proj41task1a,write,True
f1d7cb38-bf86-4c5e-8309-8761d2edbdf4,proj71,,planner,1,proj12task2propa,,False,schedule,proj73,dept6,2,False,proj51task1propa,approve,True
166002e9-4cf2-4bee-9a9c-6a559f0c0b09,proj71,,planner,,proj42task2a,dept1,False,schedule,proj72,dept3,1,False,proj52task2a,setSchedule,True
162e2de7-48a4-4170-ae21-7038bc536730,proj71,,planner,,proj42task1a,dept4,True,task,proj72,dept4,1,False,proj52task1propa,request,True
fd822668-5cd7-4d0b-9d31-b940334f8560,proj74,,planner,1,proj52task2propa,dept4,False,budget,proj71,dept1,1,False,proj42task1a,setSchedule,True
8a833f7a-89e6-4e67-8df0-a0d187ac0c59,proj72,,planner,1,proj42task1propa,,False,schedule,proj74,dept3,1,False,proj12task2propa,setSchedule,True
58926a0f-d90a-43ff-98ef-f1c8e8add370,proj74,,planner,1,proj22task2propa,,True,schedule,proj72,dept5,,False,proj21task1a,write,True
c5472dde-10c0-45ff-a545-cfdd7b427675,proj74,proj74,planner,1,proj51task1propa,,False,schedule,proj71,dept2,2,False,proj21task2propa,write,True
4261fdd3-9d5e-44b4-9b95-8ca29e7ec567,proj72,,planner,1,proj51task1a,,True,task,proj72,dept5,,False,proj42task2propa,request,True
c119691c-6aab-4087-88dd-6d38995dd9aa,proj71,proj71,planner,2,proj12task1propa,dept6,True,schedule,proj74,dept2,,False,proj61task1propa,request,True
65225871-2962-4325-84fc-7b1c2e7c9112,proj72,,planner,1,proj42task2a,dept6,True,task,proj73,dept4,,False,proj32task1a,setStatus,True
69bc8274-d82a-4b9f-8360-c5b2602da0f6,proj73,,planner,2,proj12task2propa,dept1,False,task,proj71,dept1,,False,proj31task2propa,write,True
42e7fb22-1858-4977-8280-c5d9b6089205,proj71,proj71,planner,,proj51task1propa,dept1,False,schedule,proj74,dept4,1,False,proj61task1a,setSchedule,True
91ef1ea1-6ba0-4596-b55b-baceefdeac1c,proj71,,planner,,proj52task2propa,dept4,False,budget,proj73,dept2,,False,proj22task1a,setCost,True
e85f4ad0-20c5-4e0b-8b7a-daad7dcafab1,proj74,proj74,planner,,proj32task2propa,,True,task,proj73,dept3,,False,proj12task2propa,setSchedule,True
