user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
2d1f64a7-a471-4e93-be1c-77b3bce02175,proj41,proj41,planner,,proj62task2a,dept1,True,schedule,proj41,dept4,2,False,proj72task2a,request,True
18365c32-41a7-44cb-8547-7f3282ec442e,proj61,proj61,planner,2,proj72task1a,,True,task,proj11,dept2,2,False,proj73task1a,setStatus,True
7b49ae23-a7d2-4e32-b22f-580c5a34b7a6,proj12,,planner,2,proj71task2a,,False,budget,proj42,dept3,1,False,proj62task2propa,request,True
e3a8a06a-8937-4eab-88c4-9ba128a39dca,proj32,,planner,2,proj71task1propa,,True,schedule,proj21,dept6,1,False,proj71task2a,setStatus,True
61b5b5d1-6e1f-4149-8c32-4e86c330b604,proj11,proj11,planner,,proj72task2a,dept6,True,budget,proj31,dept2,,False,proj71task1propa,read,True
a5e9ca2b-a95a-4f88-a295-221c510d012d,proj22,proj22,planner,,proj72task2a,,False,task,proj31,dept6,2,False,proj71task2propa,setSchedule,True
c8521fad-e788-4af8-95d0-4ae45a4f21bc,proj21,proj21,planner,,proj71task2propa,,False,schedule,proj42,dept4,,False,proj73task1propa,setCost,True
9ae7c262-28d7-4c99-9b58-2ee9aca3d29d,proj61,,planner,,proj73task1propa,dept4,False,schedule,proj22,dept3,1,False,proj73task1a,setCost,True
ebfa712d-8329-4994-8446-0bebfd4627b0,proj32,proj32,planner,1,proj62task1propa,dept1,False,schedule,proj22,dept2,2,False,proj73task1a,setSchedule,True
995d9f4b-6718-4cda-bbf5-bad70ba3b215,proj11,,planner,2,proj73task2a,dept3,False,schedule,proj61,dept4,2,False,proj62task2a,read,True
1e490537-2644-4426-afe4-dd843d571c13,proj12,proj12,planner,,proj72task1propa,dept2,False,schedule,proj52,dept1,2,False,proj62task1propa,request,True
b4da5e15-8613-4440-825e-743d746aaf7e,proj21,proj21,planner,1,proj62task1propa,,False,budget,proj12,dept3,1,False,proj62task2a,setSchedule,True
edc48fcf-8f3a-4fd8-94a6-4bd9a9b087b1,proj52,,planner,,proj62task1propa,dept3,False,schedule,proj21,dept6,2,False,proj62task2propa,read,True
3a390ceb-7d58-43a3-bcbc-eb6466af36cc,proj61,proj61,planner,1,proj71task1a,,False,task,proj31,dept4,2,False,proj72task1propa,read,True
88b246cd-6202-4017-85d7-6c1a5a9c5157,proj21,proj21,planner,2,proj62task2a,dept6,True,budget,proj12,dept3,,False,proj73task2propa,setStatus,True
de21c71e-f6c4-4232-b4ed-c321362e5e0e,proj62,proj62,planner,,proj71task2a,dept2,False,task,proj52,dept6,,False,proj73task2a,request,True
905a4ae8-1eac-447a-a836-827b37378bfd,proj32,,planner,,proj72task2propa,dept2,False,schedule,proj32,dept5,1,False,proj73task2propa,read,True
d4a5bd8f-ca2b-4983-9457-6920b6272e15,proj21,proj21,planner,2,proj62task2propa,dept6,True,budget,proj32,dept2,2,False,proj73task2propa,write,True
1a5231bf-cf08-49b7-8062-5913015998cd,proj52,,planner,,proj73task1a,dept2,True,schedule,proj41,dept2,,False,proj72task2propa,read,True
c1008fe4-0735-42f9-9a53-7521ca62a89c,proj42,,planner,1,proj73task2a,dept4,True,budget,proj41,dept5,,False,proj71task1propa,request,True
674f70be-1ddb-4e8c-9a2e-116fe679a958,proj32,proj32,planner,,proj72task2a,dept1,False,schedule,proj42,dept2,2,False,proj71task1propa,setSchedule,True
7ce84507-32c2-4663-b881-7ea96796e36e,proj61,proj61,planner,,proj72task2propa,dept1,True,task,proj41,dept6,2,False,proj62task2propa,setSchedule,True
4336d575-90cc-4bca-8eb2-dde8ce934a6e,proj41,,planner,1,proj71task1propa,dept6,False,task,proj31,dept5,1,False,proj72task1a,write,True
d6ec22cb-25ee-428a-8a5a-9b86bd963c5e,proj62,proj62,planner,1,proj73task1propa,dept2,True,schedule,proj51,dept5,1,False,proj62task2a,read,True
