user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
d265a992-b6df-496f-84ad-17369e0d8ce9,proj31,,accountant,,proj21task1a,,False,budget,proj41,dept4,2,False,proj71task2a,approve,False
69fe7ea9-9e8e-43a5-a4d0-fa27e60eae71,proj31,proj31,accountant,,proj22task2a,dept3,True,budget,proj31,dept3,2,True,proj11task2propa,request,False
956ad87b-8a0e-4859-a5ad-c5d6d8094ec8,proj32,,accountant,,proj72task2propa,dept3,False,task,proj42,dept3,,True,proj52task2propa,request,False
cb1c111e-7ff8-4f3e-a946-1eba1b75ac01,proj41,,accountant,,proj11task1a,,True,task,proj41,dept3,,False,proj61task1a,request,False
bcd72028-14c9-463a-a812-991b622f6871,proj42,proj42,accountant,,proj73task2propa,dept4,False,budget,proj31,dept3,1,False,proj71task2propa,write,False
a4cbdfee-2649-4e8e-b5c3-c5bb1659b995,proj31,,accountant,2,proj52task1a,dept3,False,task,proj32,dept4,,False,proj51task2propa,setCost,False
ab3669bf-5e6b-4f71-b66d-3c5eaf52a2e7,proj32,,accountant,,proj52task2propa,dept4,True,task,proj32,dept3,,False,proj42task2propa,write,False
c5e4b79b-b095-405d-bd6a-20eba8aa4070,proj31,proj31,accountant,,proj51task1propa,,True,schedule,proj31,dept4,2,False,proj73task2propa,approve,False
8da0d129-768e-4e87-b5de-ac7062413491,proj31,proj31,accountant,,proj21task1propa,,True,budget,proj41,dept4,1,False,proj62task1propa,write,False
1cc5c296-d0b0-4a86-b6c8-3a43c3a49cf6,proj41,,accountant,,proj12task1propa,,True,schedule,proj31,dept3,,False,proj61task2a,request,False
6cbfc7ee-c8a5-481e-89a8-f45e9b82fdf9,proj32,proj32,accountant,,proj11task1propa,,True,budget,proj41,dept3,,True,proj22task1a,approve,False
41e28aeb-8e04-4e9f-b86f-c1d5c7514a96,proj32,proj32,accountant,2,proj73task2propa,,True,task,proj42,dept3,2,True,proj42task2propa,setCost,False
ef684f03-d8ab-41c9-ac8c-2cf6871e5ea8,proj31,proj31,accountant,1,proj12task2a,,True,task,proj42,dept3,2,True,proj72task2propa,setSchedule,False
c17c2216-e27d-459e-820f-c8ba81ba3849,proj32,,accountant,,proj73task2propa,,False,task,proj31,dept3,1,False,proj21task1a,setCost,False
ef594c5f-8bf6-4545-9cb3-90df7ea5b9c5,proj41,proj41,accountant,2,proj71task2a,,True,task,proj41,dept3,2,True,proj22task2a,write,False
070c2bdb-5d96-4d04-928b-c598486a1b5a,proj41,,accountant,2,proj22task2a,dept3,True,task,proj42,dept3,,True,proj72task2a,setCost,False
22ae24d3-db17-4cbf-bc1a-6ce737553b56,proj31,,accountant,,proj51task2a,dept4,True,task,proj42,dept4,,False,proj11task1a,request,False
8f1fe2d6-eb7a-4c37-b538-87a084558446,proj42,,accountant,2,proj51task2a,,True,budget,proj32,dept4,,True,proj12task2propa,setCost,False
f1cf9e95-923a-4bff-a7b3-99dbf5ef7dcc,proj42,,accountant,2,proj72task2propa,,False,schedule,proj31,dept4,,False,proj21task2propa,setStatus,False
b62b11b0-0495-46d6-a6f2-81a39be994b0,proj42,proj42,accountant,,proj22task1a,dept3,False,schedule,proj41,dept4,1,False,proj12task2propa,setStatus,False
