user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
9a895ce1-ab28-4b0d-a4dc-d6ae03612fcd,proj12,proj12,accountant,1,proj31task1propa,dept3,True,schedule,proj73,dept3,1,False,proj22task2propa,setSchedule,False
422b54ec-bc95-437f-bd52-2ae9c20a6618,proj72,proj72,accountant,,proj41task2propa,dept4,True,task,proj11,dept3,,False,proj32task1propa,approve,False
b06146f0-54ca-48e7-9b17-6b7dfba1f13d,proj12,,accountant,2,proj42task1propa,dept3,True,budget,proj21,dept3,1,True,proj32task2propa,read,False
0f615dc0-b171-4aa1-bd19-2888eef2443d,proj52,proj52,accountant,,proj31task2propa,,True,schedule,proj73,dept3,,False,proj42task1a,request,False
f71563c0-3d80-4394-bee5-7d5fb417b175,proj71,,accountant,2,proj41task2propa,,False,schedule,proj12,dept4,1,False,proj42task1propa,write,False
40b61f7e-f53e-470a-9e8d-fb382adb00a9,proj61,,accountant,,proj42task1a,dept3,False,task,proj52,dept4,,False,proj41task1a,read,False
7a4351f2-e7fc-4a47-a5ae-891d1bf66685,proj21,,accountant,2,proj31task1a,dept3,True,task,proj62,dept3,,False,proj31task2propa,setCost,False
1e5b69c5-8362-45fb-8b81-01c943a92b36,proj22,,accountant,,proj41task1a,dept3,True,task,proj22,dept4,,True,proj31task1propa,approve,False
e96adcbd-6855-4829-8fd9-ed90b555f216,proj61,,accountant,,proj41task1a,dept3,True,schedule,proj21,dept4,2,True,proj31task2propa,request,False
3854e6f5-dbdc-4f68-be13-29a26b8c21a2,proj73,proj73,accountant,,proj22task2propa,,True,budget,proj62,dept3,,False,proj31task1a,approve,False
8be6230d-ea6e-41c5-94a6-dd00626e2422,proj61,,accountant,1,proj32task2propa,,True,budget,proj22,dept4,1,True,proj41task2propa,setStatus,False
923fa938-dcfb-431d-852a-a02b5ab6b94c,proj62,,accountant,,proj31task2a,dept3,False,task,proj51,dept4,,False,proj31task1propa,read,False
eec56604-4d2e-4fde-9e3b-acd4c1982a8d,proj11,proj11,accountant,,proj32task1propa,dept3,True,budget,proj52,dept4,2,False,proj41task1propa,setSchedule,False
26915b43-2b46-45a5-a8be-1ce113a25b83,proj22,proj22,accountant,,proj31task2propa,,False,schedule,proj73,dept4,1,False,proj31task2propa,setSchedule,False
90b20867-d725-4528-9f86-62d44b263a08,proj72,proj72,accountant,2,proj31task1propa,dept3,True,task,proj72,dept3,2,True,proj31task1propa,approve,False
2e9e192f-ff1d-49d9-a22e-1a22003878af,proj61,proj61,accountant,,proj32task1propa,dept3,False,budget,proj52,dept4,,True,proj41task1propa,setSchedule,False
a353a18a-80af-4434-8b9f-485c5fbfb024,proj12,proj12,accountant,,proj32task2a,dept4,True,schedule,proj21,dept4,,True,proj31task1a,setSchedule,False
843a6f27-c356-45eb-942a-3df5d1c51081,proj74,,accountant,,proj42task1propa,dept3,True,task,proj71,dept4,,True,proj32task1a,approve,False
7c0e64e2-a773-4ead-96ef-4cf52d431044,proj62,proj62,accountant,1,proj31task2a,dept4,True,budget,proj62,dept3,1,True,proj31task2propa,write,False
