user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
67ec0a6b-1fcb-495f-999b-67e51998dcb8,proj12,proj12,accountant,1,proj42task1a,,True,schedule,proj72,dept7,2,False,proj22task2propa,write,False
bfe295e8-1add-4a59-aebb-0f7fbc114ccd,proj51,proj51,accountant,1,proj31task1a,dept6,True,budget,proj11,dept1,2,False,proj42task1propa,request,False
193ebc98-ceb0-4fe7-8f8a-4fb4d23ab241,proj61,,accountant,,proj42task1propa,,False,budget,proj73,dept1,,False,proj31task2propa,setSchedule,False
dfe17520-1a5c-4596-b07e-d16cf580645a,proj62,proj62,accountant,,proj42task1propa,dept1,True,task,proj72,dept6,,True,proj31task2propa,read,False
5147ab53-1b86-43ba-a040-de513bbe2289,proj11,proj11,accountant,2,proj32task2a,dept7,False,schedule,proj73,dept5,2,True,proj31task1propa,setSchedule,False
6c126315-eb1e-4c07-9108-095aea185f2f,proj61,proj61,accountant,1,proj41task1propa,dept7,False,task,proj22,dept7,,True,proj32task1propa,approve,False
d7863b59-ed4c-4ced-aafc-1b44a6abddd6,proj71,,accountant,2,proj31task2propa,dept5,False,schedule,proj51,dept8,2,True,proj32task1a,setCost,False
cbb90999-bf80-4b0c-bab2-0355741d5574,proj11,,accountant,2,proj32task1propa,,False,budget,proj61,dept8,,False,proj31task2a,setStatus,False
1ec500b2-ddbd-427f-aa53-11555e8f106b,proj73,,accountant,,proj31task2a,dept2,True,task,proj11,dept2,2,True,proj32task1propa,setStatus,False
0cfc3523-0edb-4417-98a1-0bc872e19fd6,proj71,proj71,accountant,,proj32task1propa,dept7,False,task,proj74,dept5,,False,proj32task2a,request,False
6e0eabf9-a75c-4240-855c-9be820e132c0,proj22,proj22,accountant,2,proj31task2a,,False,task,proj51,dept6,,False,proj31task1propa,read,False
cba4ee1a-d7d6-415e-867d-a502c21cced5,proj52,,accountant,,proj32task1propa,,False,task,proj61,dept7,2,True,proj42task1a,request,False
c5b6cc41-df35-4450-9bd5-ae3d5b4d3ea7,proj71,proj71,accountant,,proj42task1a,dept6,False,schedule,proj72,dept2,2,False,proj41task2a,setSchedule,False
8961d025-20f7-46ba-9509-faf14f40dbd4,proj52,,accountant,,proj31task1propa,dept5,True,budget,proj61,dept8,,False,proj41task2propa,approve,False
f2e04d35-0de6-4bd5-ba6e-f83abc4a478b,proj11,proj11,accountant,1,proj31task1a,,False,task,proj12,dept2,2,True,proj41task1a,setSchedule,False
2e7f62a6-bf8f-4646-98c7-db4e75077513,proj72,,accountant,,proj41task1a,dept1,True,schedule,proj11,dept5,2,True,proj31task1a,read,False
1c1c14f1-87d9-4678-8f65-28c31cf2d8ce,proj72,proj72,accountant,,proj31task2a,dept2,True,task,proj61,dept5,,False,proj22task2propa,setCost,False
c128fb1b-2878-491a-9d93-d7c443374cd8,proj11,proj11,accountant,,proj32task1a,,True,schedule,proj52,dept5,1,True,proj41task2propa,request,False
dc4d4a9e-e599-4eaa-b2a9-f7ac5ac590b5,proj51,,accountant,,proj42task1propa,dept5,False,schedule,proj73,dept1,2,True,proj41task2propa,read,False
430905af-1d8b-4a71-8fdc-4773737c2f31,proj12,,accountant,,proj31task1a,,False,budget,proj73,dept2,1,False,proj31task2propa,read,False
25af009b-d09c-4269-b28e-3edafcfabfb5,proj62,proj62,accountant,2,proj41task1propa,dept6,True,budget,proj74,dept2,1,False,proj42task1propa,read,False
3694ee31-f618-482f-8f93-87ac82540903,proj71,,accountant,1,proj31task1propa,,True,task,proj51,dept5,2,True,proj31task2propa,setSchedule,False
b566e8bf-3c0f-492c-b552-9027dbf258bb,proj73,,accountant,1,proj32task2a,,True,budget,proj22,dept6,1,True,proj41task1a,setSchedule,False
5a4158f3-f110-4683-ad7b-d711fc265068,proj22,,accountant,1,proj22task2propa,dept6,False,schedule,proj73,dept6,2,False,proj31task1a,request,False
