user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
27cf1641-7f52-4747-9715-fd5242017072,proj51,proj51,auditor,,proj61task1a,,False,budget,proj61,dept7,1,False,proj52task2propa,setCost,False
0a77060f-44b0-4fa2-ab58-6d71a49dd815,proj51,proj51,auditor,,proj52task2propa,,False,budget,proj52,dept1,1,True,proj51task1a,setSchedule,False
9b13e0b5-e13f-4671-82df-fdf3e4289bc1,proj62,proj62,auditor,1,proj51task1a,,True,schedule,proj61,dept3,,False,proj51task2propa,approve,False
aab97671-f0dc-4b48-be43-49e544980a4b,proj52,proj52,auditor,,proj61task2a,dept4,False,task,proj61,dept1,2,True,proj51task1propa,approve,False
0cb8944a-4ca0-4877-8682-0f21ae65c54a,proj62,proj62,auditor,2,proj42task2propa,,False,task,proj51,dept8,,True,proj61task2propa,approve,False
222e0dae-cf40-4e8a-a101-8bf43202238e,proj52,,auditor,,proj42task2propa,dept8,True,budget,proj62,dept4,,False,proj61task2a,approve,False
d2f46e1a-971b-4320-a122-0fed2d9d5a8a,proj51,proj51,auditor,,proj51task2a,dept2,True,task,proj62,dept3,1,True,proj42task2propa,request,False
279a860e-0820-4916-81ad-68663d2afdba,proj62,,auditor,,proj51task2propa,dept7,True,budget,proj52,dept1,,True,proj51task1a,setStatus,False
84c226e9-153d-460a-a894-70c4e56f2fa0,proj61,,auditor,1,proj62task1a,dept3,False,schedule,proj52,dept1,1,True,proj51task2propa,approve,False
0dd78f3d-fb02-4efb-bd24-7949fa9657f4,proj62,proj62,auditor,1,proj61task1a,,True,task,proj61,dept7,1,True,proj61task2a,setCost,False
7ba348a0-e3e3-4923-b1f4-341823612bf2,proj62,,auditor,,proj61task1propa,dept1,True,budget,proj62,dept4,1,True,proj61task1a,setCost,False
d3a80f49-f82c-4a43-b5bc-26ba48313dc7,proj52,proj52,auditor,,proj52task2a,dept2,False,task,proj51,dept4,,True,proj62task1a,read,False
b0980d8e-4f0e-4a6a-b63a-00c20112dcf7,proj62,proj62,auditor,,proj51task1a,dept2,False,schedule,proj61,dept4,,False,proj61task1propa,write,False
542b9ff0-4934-417f-8224-53c4e15abb55,proj62,proj62,auditor,2,proj52task1a,dept2,False,task,proj52,dept1,,True,proj62task1a,setCost,False
cdc7a0a7-0060-445b-8903-92754b514890,proj61,,auditor,,proj61task1a,dept4,True,schedule,proj52,dept1,,True,proj52task1a,request,False
70303fb8-7416-4013-ae43-1fc3ac6b7d09,proj61,proj61,auditor,1,proj51task1propa,dept4,False,budget,proj62,dept4,,False,proj61task2propa,read,False
e67cb86f-6a08-481a-8156-bb685677b57a,proj52,proj52,auditor,2,proj42task2a,dept2,False,schedule,proj61,dept1,,False,proj52task1a,request,False
f4e9cfb2-3f31-4e04-b636-46b6d849667b,proj62,proj62,auditor,,proj52task1a,,True,schedule,proj61,dept4,2,True,proj61task1a,setCost,False
04a80813-2a34-4020-9021-e97a042b8c87,proj61,proj61,auditor,,proj42task2a,,False,budget,proj51,dept7,1,True,proj61task2a,setSchedule,False
6bcd3de0-92f9-4cb5-a116-06e2d317e4b7,proj62,proj62,auditor,,proj51task1propa,dept1,False,schedule,proj61,dept4,1,False,proj51task1a,read,False
99bd7f7b-11e5-4eda-819f-a64f010095d9,proj52,proj52,auditor,,proj42task2propa,dept4,True,task,proj61,dept8,,True,proj42task2a,request,False
c8f14268-f43a-40ba-84fa-26c8ad4b6842,proj61,proj61,auditor,,proj42task2a,dept1,False,schedule,proj52,dept3,1,True,proj51task2a,request,False
5ac5135e-b993-4a56-9fd6-613befbaa41a,proj62,,auditor,,proj42task2propa,dept7,True,task,proj62,dept8,,True,proj61task2propa,setStatus,False
25145da1-754c-4db6-8321-7222ad9c2248,proj61,,auditor,1,proj61task1propa,,True,schedule,proj52,dept1,,True,proj51task1a,setCost,False
3fe552e8-8623-4637-8043-998ba3345729,proj51,,auditor,,proj51task1a,dept8,True,budget,proj62,dept7,2,True,proj62task1a,setStatus,False
