user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
a9730a76-e1fd-4700-8b59-66e998b006ee,proj73,proj73,auditor,1,proj61task2propa,dept2,False,schedule,proj72,dept2,,True,proj61task2propa,approve,False
6c0b7732-f3eb-4dc0-9b9f-2b269d0e0b22,proj12,proj12,auditor,,proj62task1a,dept7,True,budget,proj73,dept4,1,True,proj62task1a,setSchedule,False
6e8cbaef-680e-474d-b2a5-67ecc2c7f9b5,proj42,,auditor,,proj51task2propa,dept8,True,schedule,proj11,dept8,1,False,proj51task1propa,write,False
4b21ca49-55d0-4af6-b2ee-69ebb510bb18,proj31,,auditor,1,proj51task2a,dept7,True,budget,proj11,dept2,,True,proj42task2a,setStatus,False
9c1c8ab9-4e6d-4809-8f75-7987d99da310,proj74,,auditor,,proj42task2propa,,True,budget,proj71,dept1,2,False,proj61task2a,setSchedule,False
41948ca9-758d-457c-b070-4efc87e23cec,proj31,proj31,auditor,,proj51task2a,dept3,True,budget,proj32,dept7,2,True,proj52task2a,setStatus,False
b49abd57-d3ca-4447-bb1e-19362566f9c1,proj32,,auditor,,proj61task1a,dept2,False,budget,proj22,dept8,,False,proj42task2propa,write,False
1a7bd525-03c6-467c-bbf8-6894648cfffe,proj41,proj41,auditor,2,proj42task2propa,,False,task,proj32,dept4,2,False,proj61task2propa,setStatus,False
81b787d5-b826-4244-b50e-ff167e26c362,proj12,proj12,auditor,,proj51task2a,,True,schedule,proj21,dept3,,True,proj62task1a,setCost,False
62a0fa5c-275f-4f55-a7fd-b867dab2fea2,proj42,,auditor,1,proj52task2propa,dept2,True,task,proj71,dept1,2,True,proj51task1a,request,False
c9aed226-30df-4c66-b920-d5f05e918913,proj72,proj72,auditor,1,proj51task1a,dept2,True,budget,proj31,dept1,1,False,proj52task2a,setStatus,False
11b483dc-b4e1-4f95-a5f0-8ddbedab742a,proj22,proj22,auditor,2,proj51task2a,,True,budget,proj11,dept2,1,False,proj51task2propa,request,False
ae256841-2cfb-4b28-b15a-0f8a5aeab951,proj42,proj42,auditor,,proj42task2propa,dept8,False,schedule,proj73,dept4,,True,proj61task1a,read,False
c4342ba9-3bc7-467f-87eb-5bc7fb92b25c,proj21,,auditor,1,proj51task1a,dept8,False,task,proj12,dept8,2,False,proj51task2propa,approve,False
b939232d-18c8-424e-98de-cc2abff11882,proj32,proj32,auditor,1,proj61task1propa,,False,schedule,proj74,dept4,,True,proj51task2a,setStatus,False
0e1f8738-8bc9-453c-8ccd-b6fc463dbdc3,proj74,,auditor,,proj61task2propa,dept3,False,schedule,proj74,dept7,,True,proj61task1a,approve,False
007beac0-60e2-4e6c-b218-4b2971767954,proj72,,auditor,2,proj52task2propa,,False,budget,proj11,dept8,1,False,proj51task2a,setCost,False
a2ac3004-9274-4afd-99d8-27568de2cec6,proj41,proj41,auditor,2,proj52task1a,dept7,True,schedule,proj71,dept4,,True,proj61task1propa,request,False
5eaaa5d6-5e5f-48d6-a631-a925bb791307,proj22,proj22,auditor,1,proj52task1a,,False,task,proj72,dept8,,False,proj61task1a,write,False
e3e9a555-a533-4dcf-b4ac-92460100bcbe,proj12,proj12,auditor,1,proj42task2propa,dept7,True,schedule,proj72,dept7,2,True,proj42task2a,write,False
4b98786f-ac9e-4c29-9825-2da5abc73936,proj71,,auditor,,proj52task2propa,,False,task,proj21,dept3,,True,proj51task2a,setStatus,False
6a72c911-4e06-4efe-9226-856680356eda,proj72,,auditor,2,proj61task1a,,True,budget,proj32,dept2,,False,proj61task1propa,approve,False
937e50b4-be57-4fd3-a54f-f61f6d5fc10d,proj11,proj11,auditor,,proj51task1propa,dept7,False,schedule,proj72,dept3,,True,proj42task2a,approve,False
edb7151b-dfbb-4b5c-aa0d-ef2703941144,proj73,proj73,auditor,1,proj52task1propa,,True,budget,proj31,dept3,1,True,proj42task2a,request,False
e88f79ab-f9e2-4f17-bc92-f3390a19d17e,proj31,,auditor,,proj51task2a,,False,schedule,proj73,dept4,2,True,proj42task2a,request,False
99192df9-b30b-4f39-b94d-4d7a0fe96b65,proj71,proj71,auditor,1,proj42task2propa,dept4,True,schedule,proj32,dept7,,False,proj61task2propa,setCost,False
804caa66-27d1-4f9a-9f9b-6d41d6b2d519,proj31,,auditor,2,proj52task2a,dept1,True,budget,proj41,dept8,1,False,proj52task1propa,request,False
20946af5-e5dc-430f-ae08-fc161310725b,proj22,,auditor,2,proj61task2propa,dept2,True,budget,proj32,dept3,2,True,proj52task1a,setStatus,False
20fbd26f-268a-4a32-b946-6d52088e9062,proj22,proj22,auditor,,proj42task2propa,,True,budget,proj42,dept4,,False,proj61task2propa,approve,False
dfc2f1f3-156c-46d7-b70c-deb96c6354cb,proj21,proj21,auditor,2,proj51task2propa,,True,schedule,proj11,dept8,1,True,proj52task1a,approve,False
0f9b3805-7724-4815-b502-c02cd33ed46e,proj12,,auditor,,proj61task2propa,dept7,False,budget,proj12,dept4,1,False,proj61task2propa,request,False
d3c84ea1-14a5-49cf-820c-6de8e2d99c35,proj11,proj11,auditor,2,proj61task2a,,False,budget,proj71,dept1,,True,proj42task2propa,setStatus,False
ea94e8c5-e10d-4872-9751-5fca31974c0f,proj11,,auditor,2,proj51task1a,dept3,False,schedule,proj74,dept4,,True,proj52task2propa,setCost,False
da8efc9a-c393-4c9d-809f-d623f423d703,proj73,proj73,auditor,,proj51task1propa,,True,budget,proj41,dept4,2,False,proj51task1a,setCost,False
f837a6f9-4b2c-4241-b8f2-fdf97d71d103,proj73,,auditor,,proj51task2a,,False,task,proj41,dept1,,True,proj61task1propa,write,False
3a74b776-68eb-4195-a338-ef89ff05a29f,proj71,,auditor,,proj42task2a,,True,task,proj21,dept8,1,False,proj42task2propa,read,False
3a2d4bda-8281-467e-b02f-0a367faf33be,proj31,proj31,auditor,1,proj61task1propa,dept1,True,task,proj22,dept3,,False,proj42task2a,request,False
cff94a8a-1b6e-4286-b3ff-0c795e194257,proj42,,auditor,2,proj52task1a,,True,budget,proj74,dept1,,False,proj51task2a,approve,False
9b45b99e-aed3-4ba3-a6c8-fa01fc44a925,proj41,proj41,auditor,2,proj51task1propa,dept2,True,schedule,proj32,dept7,,False,proj51task2propa,setSchedule,False
5a446478-ddc3-482b-b290-49c75ee82410,proj22,,auditor,,proj61task1a,,True,schedule,proj32,dept7,2,True,proj61task2propa,approve,False
546a0be0-a196-461a-9b06-b3d91ebd2f4e,proj31,proj31,auditor,1,proj61task1propa,dept7,True,budget,proj42,dept7,,False,proj52task1a,setSchedule,False
fd3f851c-41eb-498f-8556-a08ed8a71c90,proj73,,auditor,2,proj62task1a,dept3,False,schedule,proj11,dept2,2,True,proj52task2propa,approve,False
72d82d77-83de-4629-8350-2d1950a0dead,proj22,proj22,auditor,1,proj51task2a,,True,schedule,proj74,dept2,1,False,proj61task2propa,read,False
399eb41e-59ad-45e5-9515-1170075d099b,proj12,proj12,auditor,,proj61task2propa,,True,task,proj73,dept1,,False,proj52task1propa,write,False
0d80ebec-dfe8-4635-9a54-58779b9f7a05,proj74,,auditor,,proj51task2propa,,False,budget,proj22,dept2,,True,proj42task2propa,setCost,False
a2a5b343-7999-48ed-9099-bd186802d5d9,proj11,proj11,auditor,,proj52task2propa,,True,schedule,proj73,dept7,,False,proj51task2a,request,False
f79cc950-102b-435f-85a4-60ace44fe377,proj12,,auditor,2,proj52task1a,,True,task,proj12,dept4,,False,proj61task1a,approve,False
0d1832d1-afd2-4797-8452-84d68c609503,proj22,proj22,auditor,,proj52task2propa,,False,task,proj32,dept2,1,False,proj52task1propa,setSchedule,False
b111319a-2e13-48a9-ae97-468798388587,proj73,,auditor,2,proj51task2propa,,True,schedule,proj21,dept4,2,False,proj52task1propa,write,False
e50bfb04-0f3d-4a63-aa34-b3fe0a2c28c0,proj42,proj42,auditor,2,proj61task2a,dept8,True,schedule,proj74,dept1,2,True,proj52task2propa,setStatus,False
0415d054-0c28-4040-b3cc-b728a444d895,proj74,proj74,auditor,,proj52task2propa,dept7,True,schedule,proj41,dept1,,False,proj51task1a,write,False
4d759d68-d6a0-4367-ae50-7383f3d3ef46,proj41,proj41,auditor,1,proj51task2a,dept2,True,schedule,proj21,dept2,,False,proj51task1a,setCost,False
eeb253b7-9584-4b5c-b07b-92a54d3bc3ee,proj73,,auditor,1,proj52task1propa,dept2,True,schedule,proj74,dept4,1,True,proj62task1a,setCost,False
3cfa236a-ec3f-44a0-8428-9c8671def136,proj22,proj22,auditor,1,proj51task2propa,,True,schedule,proj22,dept7,,False,proj61task2a,setCost,False
80afbba2-95c9-4d69-852a-2f94e9698575,proj21,,auditor,,proj61task2a,dept2,True,budget,proj11,dept2,1,False,proj61task1a,setCost,False
