user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
e3720a75-25d2-466d-8935-2189c615f94a,proj31,,auditor,,proj42task1propa,dept8,True,budget,proj72,dept8,1,False,proj11task2propa,setCost,False
62f68826-c8c6-491b-bce4-f3ca1e798db0,proj31,,auditor,,proj32task1a,dept2,False,schedule,proj21,dept3,2,True,proj22task2a,setSchedule,False
72395282-66a1-40c4-8122-10e9081268d8,proj11,,auditor,1,proj31task2a,,True,budget,proj32,dept2,,False,proj72task1a,approve,False
c28a5c3f-96ca-4df3-b567-8cfbc46c76cd,proj42,proj42,auditor,,proj73task2propa,dept1,False,schedule,proj72,dept1,1,True,proj41task1propa,setCost,False
fd1c7cb9-a693-4a28-9d3a-d7090ad06d0d,proj11,proj11,auditor,,proj73task2a,dept3,True,schedule,proj31,dept7,2,False,proj41task1a,approve,False
b3b2d701-57f7-402e-b8b1-d5af1b18980e,proj74,proj74,auditor,,proj31task2a,,False,task,proj42,dept3,,True,proj62task2propa,setSchedule,False
b5a97b78-bfc6-4dc7-80f3-ddd3d45173e0,proj22,proj22,auditor,,proj21task1propa,dept4,False,budget,proj42,dept3,,False,proj72task2a,setSchedule,False
79cb3895-4ab2-4c6b-a714-d00b25e47a6b,proj74,proj74,auditor,1,proj42task1propa,dept2,True,budget,proj71,dept1,1,True,proj32task1propa,read,False
db13d9f3-7935-4e3b-8deb-0a0689f5f9c5,proj22,,auditor,2,proj11task2propa,dept8,False,schedule,proj42,dept7,2,True,proj41task1a,approve,False
c7dc8292-ad9d-4b5a-89b6-21b74c12dba2,proj32,,auditor,,proj12task2a,dept3,True,budget,proj41,dept8,1,True,proj62task2propa,setStatus,False
a803e5cf-a95d-44a4-885d-83c0d1e7cae9,proj73,proj73,auditor,,proj71task2a,,True,schedule,proj71,dept8,1,True,proj71task2a,setStatus,False
19a97565-8a62-4ccd-b374-4722a5bda142,proj11,,auditor,1,proj71task2a,,False,task,proj22,dept2,,True,proj41task1a,read,False
d8034171-88a1-4576-8f0a-fb21d7be0e03,proj21,,auditor,2,proj71task1propa,,True,schedule,proj42,dept3,2,True,proj31task1a,approve,False
7292e87e-a0f9-4e35-9abc-72756d8f4233,proj31,,auditor,,proj21task1a,dept7,True,schedule,proj12,dept8,,False,proj72task1propa,setCost,False
f091bb25-bf81-4d1e-a5d7-d459e223cb47,proj41,proj41,auditor,2,proj31task1propa,,False,schedule,proj71,dept2,,True,proj73task2propa,request,False
2bbfc826-cd13-4cc5-baca-810bcb147291,proj42,,auditor,1,proj31task1propa,,False,budget,proj41,dept7,2,True,proj31task2propa,setStatus,False
18ddf148-d6bd-4f8f-bb17-bd072e080ff0,proj71,,auditor,,proj12task2propa,dept8,False,schedule,proj12,dept3,2,False,proj72task1propa,setStatus,False
3b597ddc-6b26-46fb-a616-5f0d0cd590d0,proj22,proj22,auditor,2,proj11task1propa,dept4,True,budget,proj21,dept2,,False,proj71task2a,setCost,False
afcbb9ea-8944-457e-b522-7ff255dc42c6,proj74,,auditor,,proj11task2propa,dept4,True,schedule,proj72,dept7,2,False,proj11task2a,write,False
