user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0637da56-765a-4499-92db-27bb1e054b0a,proj22,,manager,,proj21task1propa,,True,task,proj12,dept3,1,False,proj21task2a,setStatus,False
2600f5a2-051a-4f17-988e-85c0b63ae242,proj21,proj21,manager,1,proj21task2propa,,True,budget,proj12,dept6,,True,proj21task2a,request,False
9e50ac2e-38f8-4d08-b645-389011cdc14a,proj11,,manager,1,proj11task2a,dept8,True,schedule,proj22,dept3,2,True,proj12task1a,write,False
64bc2920-3a81-4762-ab94-1e9facddb001,proj12,proj12,manager,2,proj11task1a,,True,task,proj22,dept5,2,True,proj21task1propa,read,False
eddc0b66-ca17-4a58-99fe-4ed39a72296a,proj21,,manager,,proj12task2a,,False,schedule,proj12,dept3,,False,proj12task1a,write,False
70c782ce-997c-47b2-92e9-cfa16096d30a,proj22,,manager,,proj11task2propa,dept4,True,schedule,proj11,dept6,,False,proj22task1a,setCost,False
6ac49237-8826-4e92-a0bd-0b9d32fb7944,proj11,proj11,manager,,proj21task2propa,dept3,False,budget,proj12,dept4,,True,proj12task2a,request,False
b83dba66-0b54-407a-b66e-c5513184d722,proj22,,manager,,proj21task1propa,dept3,False,task,proj21,dept8,,True,proj11task2propa,read,False
d41e75d8-5931-4228-bd3d-cd96c45f04bb,proj12,,manager,,proj12task1a,,True,budget,proj22,dept8,2,True,proj12task2a,read,False
634edd82-ee63-48e3-8883-38720d768e89,proj21,proj21,manager,,proj11task2propa,dept3,False,budget,proj12,dept3,2,True,proj11task2propa,read,False
df32ae5d-c80a-4764-87d0-7f7acaf30d95,proj11,,manager,2,proj12task1a,,False,task,proj12,dept5,2,False,proj11task2a,setStatus,False
f3e9404a-ac29-42e6-93ed-7822b7aa1000,proj11,,manager,2,proj12task2propa,dept4,False,schedule,proj12,dept5,,False,proj22task1a,request,False
b07bb0b9-cc43-450c-8f69-b49882836b66,proj22,proj22,manager,,proj21task1propa,dept6,False,task,proj22,dept6,1,False,proj21task2propa,write,False
fa0b31c7-5dbf-46b1-bf71-bd937d4ebf21,proj21,proj21,manager,1,proj22task1a,dept4,True,task,proj11,dept5,2,True,proj11task1a,setSchedule,False
ae66c6bc-7235-4119-b0f7-984a8fe51be4,proj21,,manager,2,proj21task2propa,dept7,True,task,proj11,dept8,,False,proj11task1a,write,False
d30a4b2a-4b5f-42ff-a02f-d3fab47c6d41,proj22,,manager,1,proj21task2propa,dept6,False,task,proj22,dept6,1,True,proj11task1a,read,False
