user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
ff05218f-84df-4676-9a70-dc26a4845cc3,proj22,proj22,manager,2,proj31task1a,dept4,False,schedule,proj11,dept8,1,False,proj62task2propa,setStatus,False
9c718d45-a1c5-4124-ba89-1ed4396ba617,proj12,proj12,manager,1,proj71task1a,,False,budget,proj11,dept6,,True,proj42task1a,read,False
238205de-7852-41eb-acc5-994968ad59d8,proj22,,manager,1,proj41task1a,,False,schedule,proj12,dept6,,False,proj62task1a,setCost,False
ac719de4-4648-496d-8037-7c0a480b8653,proj21,,manager,,proj72task1a,dept5,True,task,proj21,dept6,1,True,proj61task1propa,request,False
3641d0e3-da6d-4994-a3d3-1e8943da4b17,proj22,proj22,manager,,proj61task1a,dept5,False,schedule,proj22,dept7,,False,proj32task2propa,setCost,False
42ad23d8-1262-4827-ab99-43d36f6ef8e1,proj21,,manager,2,proj32task1propa,,True,schedule,proj22,dept4,2,True,proj73task2propa,request,False
d91a6359-934e-42aa-868e-a00463959d00,proj21,proj21,manager,,proj61task2propa,dept6,False,schedule,proj22,dept6,2,True,proj72task1propa,setStatus,False
84ae43d2-8856-422a-876b-f08700346245,proj12,,manager,,proj51task1a,,False,task,proj22,dept3,1,True,proj41task2a,approve,False
c3b57dc4-eb1a-4922-a246-0ef35c198ed5,proj22,,manager,,proj22task2propa,dept3,False,budget,proj21,dept7,2,False,proj61task1propa,request,False
11d7604f-728f-4762-8803-1ff888e09771,proj12,proj12,manager,,proj72task2a,dept6,False,task,proj21,dept8,,True,proj73task2a,setSchedule,False
6cceefe3-6811-4a8d-a8f6-48ae327896db,proj22,proj22,manager,1,proj62task2propa,dept5,False,task,proj21,dept4,,False,proj61task1propa,request,False
293ac506-57cc-4a2f-bba2-575d7e70267d,proj12,proj12,manager,,proj31task1a,dept5,True,schedule,proj11,dept3,1,False,proj62task1a,read,False
91d54b9f-d8b3-461e-8779-4488c76ee517,proj21,,manager,2,proj51task1a,dept7,True,budget,proj22,dept3,,True,proj51task1propa,setCost,False
3fda7565-c724-477e-98df-3f87aa28a03d,proj11,proj11,manager,,proj71task2propa,dept8,False,schedule,proj22,dept5,1,False,proj51task1a,setCost,False
5f203aca-ee35-4f76-b293-fe2194196346,proj11,proj11,manager,1,proj71task1a,dept4,True,task,proj12,dept8,,False,proj61task2propa,setCost,False
48c401a5-6f3f-4eff-afd8-3fa8ad174a51,proj21,,manager,2,proj42task2a,dept3,False,task,proj22,dept3,1,True,proj42task2propa,setCost,False
98ad106d-fce4-48e9-9598-8f7e528be1fb,proj22,proj22,manager,,proj52task1a,,False,budget,proj22,dept4,1,False,proj72task1a,setStatus,False
11ee0f42-55a3-4589-bf01-84887923c156,proj11,proj11,manager,2,proj72task1propa,,True,task,proj11,dept6,,True,proj52task2a,read,False
42ac07e1-5222-47a0-b5c3-c531834fc12a,proj11,,manager,2,proj73task1propa,,True,task,proj12,dept6,,True,proj42task2propa,approve,False
0cedb35a-2584-4c19-a9ef-4ccdc6210b38,proj11,,manager,2,proj71task1a,dept8,True,task,proj22,dept3,,True,proj41task1propa,setSchedule,False
94a969d1-29cd-4834-8f3d-f9612e910478,proj11,,manager,,proj42task2propa,dept3,False,schedule,proj22,dept4,,True,proj52task1a,request,False
e8292153-11cb-41cc-b363-e1b821a32b9b,proj11,proj11,manager,,proj52task1propa,,True,task,proj11,dept8,,True,proj51task2propa,setStatus,False
d856d0e9-bb09-4896-91e3-2185d8e59074,proj21,proj21,manager,2,proj52task2a,dept3,True,budget,proj22,dept7,1,False,proj32task2propa,setStatus,False
