user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
d5f96f87-31b6-47d7-b598-0a4b79fd7889,proj61,,manager,,proj21task2a,dept6,True,budget,proj32,dept3,,False,proj11task1propa,read,False
0a447c0c-4470-4b42-835f-0aee6737cc25,proj52,proj52,manager,,proj12task2a,,True,schedule,proj31,dept5,1,True,proj12task2propa,read,False
da696d02-6b61-4268-8aa9-f967f546d3b0,proj51,,manager,1,proj12task1propa,,False,budget,proj31,dept3,,True,proj21task1propa,request,False
5de1d2b1-f196-4783-b313-c99bca9a6b2f,proj62,,manager,,proj21task1propa,dept6,True,schedule,proj72,dept4,2,True,proj22task2a,request,False
0dc684b7-2cc9-49b2-95b5-c35ec3d717d4,proj61,proj61,manager,,proj11task2propa,,True,task,proj71,dept4,2,False,proj11task1propa,setStatus,False
b56ff717-0dc7-4c80-a2db-e33b701e6d5b,proj32,,manager,,proj22task1propa,,False,task,proj32,dept8,,False,proj21task1propa,read,False
3ee7a112-039d-43ff-9b69-cf6a1072855f,proj32,proj32,manager,2,proj22task2a,dept3,False,budget,proj41,dept7,,True,proj21task2a,approve,False
1f22356f-200e-4895-9a4c-ec14d93dbfd6,proj74,,manager,1,proj21task1a,,True,budget,proj73,dept7,,True,proj21task1propa,setCost,False
320c2ea4-d39a-4297-b155-b4305daf95b2,proj72,proj72,manager,1,proj21task1a,,False,budget,proj51,dept7,,False,proj21task1propa,read,False
fd89b4aa-2eaf-47d9-a744-58888ad1877f,proj73,,manager,1,proj21task2a,,False,task,proj62,dept5,,True,proj12task2propa,read,False
976f23ba-1ed1-4b3f-9da8-d54b1bbd5ec7,proj41,proj41,manager,1,proj12task1a,,True,task,proj74,dept8,,False,proj22task1propa,write,False
ead75026-fef2-4e95-b25e-2ac6983898b7,proj31,,manager,,proj11task2a,dept3,True,schedule,proj61,dept5,,True,proj22task1propa,write,False
5244e70f-345f-4468-b697-4a00ddb10427,proj72,,manager,1,proj12task1a,dept4,True,task,proj51,dept6,2,False,proj12task2propa,write,False
ab6de699-4985-4640-ba8d-e2a9e9831487,proj52,,manager,,proj12task2a,,True,budget,proj51,dept4,,True,proj12task2a,approve,False
c5b14c08-02c2-43a6-93d3-e18435e0f42b,proj62,,manager,1,proj12task1a,dept6,False,task,proj42,dept6,1,True,proj11task2a,setCost,False
9a035fb9-fbe4-42a5-8555-08669c60d2e8,proj41,proj41,manager,,proj12task2a,,True,task,proj74,dept8,1,False,proj11task1propa,write,False
441ba1dd-05c4-421a-8871-fca5b44ed354,proj62,,manager,,proj22task1a,dept8,False,task,proj51,dept7,2,False,proj22task1a,read,False
7512e81b-fcff-41de-b2c2-9a3857a4c4a4,proj52,proj52,manager,,proj22task1propa,dept5,False,task,proj41,dept7,1,True,proj22task2a,write,False
03e563f6-d440-4f6a-8707-e25979bbb92e,proj74,,manager,,proj21task1propa,dept4,False,schedule,proj73,dept7,,True,proj12task2propa,request,False
52dc08aa-570d-4ae7-a1a2-96750323fd5d,proj52,,manager,2,proj21task1propa,,True,schedule,proj51,dept3,,True,proj12task1a,setSchedule,False
97bd8a05-e859-4d43-8e8a-518867e73eb6,proj74,proj74,manager,1,proj11task2propa,,False,task,proj71,dept3,2,False,proj12task1propa,setCost,False
4e43aaf9-47c6-4359-bcbc-84a8d3da990b,proj42,,manager,2,proj11task2a,dept3,False,task,proj51,dept3,,False,proj22task1propa,write,False
bcd6f2e6-3a51-42b7-a771-5a11c8701bd6,proj32,,manager,2,proj21task1propa,,False,budget,proj42,dept7,,False,proj11task1propa,approve,False
f2fbb15e-95cc-4881-bc4e-4a93466dd698,proj71,proj71,manager,2,proj22task2a,dept3,True,schedule,proj42,dept3,2,False,proj11task1a,write,False
44842149-3cd8-40f9-b1a1-03520ba69fc9,proj61,,manager,,proj22task1a,dept5,False,schedule,proj74,dept4,2,True,proj12task2a,setStatus,False
ddab87c1-cef4-48db-955d-d8d426e9cc55,proj52,proj52,manager,2,proj22task2a,dept7,False,task,proj31,dept8,,False,proj12task2propa,setCost,False
1e02f533-f86c-4477-81a0-3812150ab3f9,proj61,proj61,manager,2,proj22task2a,dept7,True,budget,proj62,dept7,,False,proj12task2propa,request,False
04068162-2aaa-4ce6-a172-09d5a60dfdba,proj74,,manager,2,proj11task1propa,dept4,True,task,proj72,dept3,1,False,proj12task2propa,approve,False
