user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
49a8ff0b-d67d-4fb8-87ae-d5e3dda46f17,proj31,,planner,,proj62task2propa,,False,schedule,proj42,dept3,,True,proj73task1a,setStatus,False
7d5ae9fc-7def-48de-87e3-268312ec348c,proj42,,planner,,proj71task2a,dept1,False,task,proj42,dept6,,True,proj73task2propa,setSchedule,False
dd7df829-e6a9-463a-9356-18750f462325,proj52,,planner,,proj73task1propa,,True,schedule,proj62,dept2,2,True,proj71task1propa,setCost,False
e9749996-4bfb-41e7-aebf-e0509410f434,proj12,proj12,planner,,proj73task2propa,,False,schedule,proj42,dept3,2,True,proj73task2propa,setCost,False
42a9950a-2c76-48ec-b1ea-8475aacd667e,proj41,,planner,1,proj73task2a,,False,schedule,proj42,dept3,,False,proj73task2a,setStatus,False
3e0d38e2-10b7-416d-b3fe-80ae32a6e523,proj22,,planner,,proj71task1propa,,False,schedule,proj12,dept2,,False,proj62task1propa,write,False
36059e88-3f9b-4f9d-9204-b931b2235011,proj22,proj22,planner,,proj72task2propa,,False,budget,proj11,dept2,,False,proj71task2propa,request,False
385828e2-dab5-4ed7-a1b1-28ee57e99a30,proj52,,planner,,proj71task1propa,,True,schedule,proj51,dept2,,False,proj71task1propa,setSchedule,False
26c7eb65-4bf0-4047-a55a-0d73d4db8ef2,proj31,proj31,planner,,proj72task2propa,dept1,True,budget,proj22,dept1,1,True,proj71task1propa,read,False
923b652b-6b5a-4ec2-b02e-2dffd5c16363,proj12,,planner,,proj73task2propa,dept2,True,budget,proj61,dept5,,True,proj71task2a,approve,False
b5c08005-53d8-4d03-bf66-303caf88cd60,proj31,,planner,,proj71task2propa,dept2,True,task,proj42,dept5,2,False,proj73task2a,setSchedule,False
109d2010-61cf-4921-ac8a-0324e4b06b2a,proj12,,planner,2,proj73task2a,dept2,False,schedule,proj62,dept5,1,True,proj73task2propa,setStatus,False
8a5bf048-883d-4a9f-8ce1-201b0067a7e6,proj51,,planner,,proj62task2propa,dept6,True,schedule,proj51,dept2,1,True,proj62task2a,write,False
