user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
51cabdfa-2448-4a45-a3e7-0494b91847c1,proj61,proj61,planner,1,proj61task2propa,,True,schedule,proj42,dept3,2,False,proj41task2a,setStatus,False
ab11803d-6a83-4189-ad85-1393c7b4283c,proj41,,planner,,proj42task1a,,False,budget,proj61,dept1,,True,proj22task1propa,setStatus,False
dec4bd6c-9bbf-45f4-b82f-acab84c520bb,proj11,,planner,,proj51task2a,,False,task,proj62,dept4,,False,proj11task2propa,setSchedule,False
9beff170-c6fa-4f3a-ae3d-74d43fee3d2e,proj31,,planner,1,proj51task2a,dept2,False,budget,proj62,dept3,,True,proj22task1a,approve,False
b677f6dc-5655-4b55-a0b6-31f8fbcc11fb,proj62,,planner,,proj52task1a,,False,budget,proj32,dept5,,True,proj11task2propa,setCost,False
b3015c83-6fdb-422a-845d-afbdde4d3cda,proj32,,planner,,proj51task2propa,,True,budget,proj11,dept6,,True,proj21task1propa,write,False
7d7f0029-07d0-487d-94cd-d72bd31374e5,proj41,proj41,planner,,proj22task2propa,,False,budget,proj31,dept3,,True,proj32task1a,read,False
ef9a7130-eec1-46b9-8b8b-4d27ef3fb413,proj11,proj11,planner,,proj32task1propa,dept1,False,schedule,proj42,dept3,,True,proj52task2a,request,False
bd1fd2ee-9c48-4b55-b05c-f18193a8f4f1,proj12,,planner,1,proj12task2a,dept5,False,task,proj12,dept1,1,False,proj22task2propa,write,False
74964aeb-5244-44ba-86cb-7400061b81fa,proj21,proj21,planner,2,proj42task1propa,,False,budget,proj21,dept2,,True,proj22task2propa,write,False
8b76ca28-4a27-4d37-855b-6427232f188a,proj62,,planner,1,proj21task2a,,False,schedule,proj32,dept5,,True,proj11task2a,setStatus,False
fa4789d6-ba93-4d05-a007-528c555f218f,proj11,proj11,planner,,proj52task2a,,True,budget,proj62,dept5,,False,proj12task2propa,setSchedule,False
0d4b3e78-4ea2-4092-b1a8-98dc11b1c8f1,proj42,,planner,1,proj32task2a,dept5,False,budget,proj12,dept4,2,True,proj31task2propa,setCost,False
241b9841-b9e5-49d1-91e1-1507bf1d8919,proj11,proj11,planner,,proj41task2a,,True,task,proj41,dept4,1,True,proj61task2propa,request,False
44ef398a-4599-4d39-8e44-758c22cf47c3,proj31,,planner,2,proj12task1propa,,False,schedule,proj42,dept5,2,True,proj51task1a,approve,False
366749b9-a2c2-4c69-abf7-99f6072bfc97,proj42,proj42,planner,,proj42task2a,,True,budget,proj51,dept1,,True,proj11task1a,approve,False
1e083375-7d0c-4c26-90f8-8727942308ef,proj41,proj41,planner,1,proj22task2propa,dept5,False,budget,proj21,dept6,2,True,proj12task1a,request,False
ebcd036f-0161-4221-9740-beb528a74f95,proj12,,planner,1,proj11task1a,dept2,False,budget,proj12,dept5,,True,proj31task2a,setSchedule,False
5c5e186f-d64b-4f54-ba76-9615e53a37f4,proj61,proj61,planner,2,proj61task1a,,False,budget,proj11,dept1,,False,proj31task2propa,request,False
