user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
7a3d2af6-8c1b-436e-95f6-6206703fe1ae,proj42,proj42,accountant,,proj22task2propa,dept3,False,budget,proj31,dept3,,True,proj22task2propa,setCost,False
5e9854cf-80ec-4c39-941e-4c00b7c81070,proj31,,accountant,,proj31task1a,dept3,False,budget,proj32,dept3,,True,proj42task1a,request,False
d61684d3-484f-45d8-ad1c-1580381d587b,proj42,proj42,accountant,2,proj31task1propa,dept3,True,task,proj32,dept3,,True,proj41task2a,read,False
e4bc4312-6e4a-4ec9-858f-87c281134f50,proj42,proj42,accountant,2,proj41task1a,,True,schedule,proj32,dept3,,True,proj31task1a,write,False
8ba443d4-6398-42e2-b46f-b55be223f754,proj31,,accountant,1,proj31task1propa,,True,task,proj32,dept4,,True,proj22task2propa,setCost,False
e7142e45-6844-447c-a217-4006f27f9feb,proj41,proj41,accountant,,proj41task2propa,dept3,True,task,proj32,dept4,1,True,proj32task1a,approve,False
97077f35-e226-45e7-8b87-f0e8a36c99c6,proj32,,accountant,,proj41task2a,,True,schedule,proj32,dept4,1,False,proj41task1a,setStatus,False
bbf6fc1a-b81b-46d7-a87d-33b25485b0a7,proj42,proj42,accountant,,proj31task2a,,True,budget,proj32,dept4,,True,proj31task1a,setSchedule,False
7cd14670-ac48-4120-9d61-b47b97d6b76b,proj41,proj41,accountant,1,proj41task1a,dept4,False,task,proj32,dept4,2,True,proj31task1a,setStatus,False
a1f5a3b8-4d0a-43ac-816a-a20a57f2f91d,proj41,,accountant,1,proj41task1a,,True,task,proj41,dept3,,False,proj42task1propa,setStatus,False
3ae5b889-8c54-41db-b20c-5f34a2b2ace6,proj32,proj32,accountant,,proj42task1a,,False,schedule,proj31,dept4,2,False,proj41task2a,setCost,False
94a80604-f4bc-41f6-835f-4bdf6319afb2,proj31,proj31,accountant,2,proj31task2propa,,True,schedule,proj42,dept4,2,True,proj32task2a,setSchedule,False
accfa709-1a3c-415b-b5e7-5d71907561ec,proj31,proj31,accountant,2,proj42task1propa,dept3,True,task,proj32,dept4,1,False,proj42task1a,setSchedule,False
6ab74b9a-7a1e-4f55-97da-3af6b8c91b32,proj42,proj42,accountant,,proj31task1propa,dept4,False,budget,proj41,dept3,,False,proj22task2propa,write,False
00067068-2466-45c8-9987-dd2fa568e62e,proj31,,accountant,,proj31task1propa,,False,task,proj31,dept3,2,True,proj32task2propa,setStatus,False
b63bd108-d961-448b-8874-471bdbba6e54,proj42,,accountant,,proj31task2a,dept4,False,schedule,proj31,dept4,2,False,proj31task2a,approve,False
108968c6-afa8-48fa-8627-fb1fdd047499,proj32,,accountant,,proj31task2propa,,False,task,proj41,dept3,,False,proj31task2a,write,False
ed6933d7-9b40-4b56-94e0-6044d70332cf,proj31,,accountant,,proj32task1propa,,False,budget,proj32,dept4,,False,proj42task1propa,read,False
ff1649af-c9da-417d-bf20-edaf0dd5f889,proj31,,accountant,1,proj31task2a,dept3,False,budget,proj31,dept4,,False,proj42task1propa,request,False
a979fa6b-75f3-4537-978e-ddfd4c9b5bf1,proj32,,accountant,2,proj41task1a,dept4,False,schedule,proj32,dept4,2,True,proj41task1propa,request,False
0ac21b41-7c81-4970-99d5-9ede946f3f86,proj41,,accountant,,proj42task1propa,dept3,True,task,proj41,dept4,1,True,proj31task1a,approve,False
453d104b-3308-405d-94a8-025eb2abb7b7,proj41,,accountant,1,proj32task1a,,True,schedule,proj31,dept4,1,False,proj31task2propa,write,False
5ff77300-14f5-44f0-81a8-3734a1b3fcf4,proj31,proj31,accountant,1,proj41task2a,,False,budget,proj32,dept4,,True,proj32task2a,setCost,False
706bc775-da4b-481b-9256-db08466b1d04,proj41,proj41,accountant,,proj41task1a,dept4,True,budget,proj41,dept3,,True,proj31task1a,read,False
d2233852-721a-474d-965d-b06bde1514c9,proj32,,accountant,,proj41task2propa,,False,task,proj32,dept4,1,True,proj32task1propa,request,False
315e0e9d-4b02-4b52-a56a-dbec4667db2c,proj42,,accountant,1,proj31task1a,,False,budget,proj31,dept4,1,False,proj42task1propa,write,False
d870e974-2c6e-4f26-b058-a6d28bad3c9d,proj32,,accountant,1,proj32task1propa,,True,budget,proj42,dept3,2,True,proj32task1a,setSchedule,False
3ac2d726-dac7-481d-9695-d169e26609e8,proj31,proj31,accountant,1,proj41task2propa,,False,task,proj42,dept3,2,False,proj41task2a,write,False
8bbd129c-e10f-42fa-8205-dfc776bf8e3c,proj42,proj42,accountant,,proj41task2a,dept4,False,task,proj41,dept3,2,True,proj42task1propa,approve,False
a97e8b99-8916-4f99-8d57-228a69e359ef,proj31,,accountant,1,proj41task2propa,,True,task,proj32,dept3,,True,proj42task1propa,setSchedule,False
a0524068-1f9f-4a45-8bba-37bfb0318342,proj32,,accountant,2,proj31task2propa,dept4,False,schedule,proj32,dept4,,False,proj31task1propa,setStatus,False
aa197937-99ec-40e1-a52c-3ce98c3c784a,proj31,proj31,accountant,1,proj31task2a,dept3,False,task,proj31,dept3,2,False,proj31task1a,setStatus,False
7291d6dc-741b-4e94-a009-6a24d2f78756,proj31,proj31,accountant,,proj41task2propa,,False,budget,proj31,dept3,2,False,proj31task2propa,setStatus,False
8bfd8919-cf06-47d2-8e64-86179fdf2ea4,proj31,proj31,accountant,,proj31task2a,dept3,False,schedule,proj32,dept4,,True,proj22task2propa,setSchedule,False
f2101275-837f-411b-af2b-2560d533c95c,proj32,proj32,accountant,,proj32task2a,,True,budget,proj42,dept4,,False,proj41task2a,setCost,False
35000fb8-3c3f-467b-81c7-d07be3bb4ad2,proj42,,accountant,,proj22task2propa,,True,budget,proj32,dept4,1,False,proj31task2propa,approve,False
db7dc7d4-cb47-46b3-8686-a94b995e3eac,proj41,proj41,accountant,,proj32task1a,dept4,False,budget,proj42,dept4,,True,proj42task1a,setStatus,False
82cf3f25-0b87-4e9d-85fa-8c3a30b21236,proj42,proj42,accountant,1,proj32task2propa,dept3,False,budget,proj31,dept3,1,True,proj42task1a,setStatus,False
b42c6698-5afd-4a32-8d27-dc0bf02c672b,proj31,proj31,accountant,,proj41task1propa,,False,task,proj42,dept3,,False,proj31task2propa,request,False
76a89535-cf31-435a-b937-b1dfab98c7b2,proj31,,accountant,2,proj31task2propa,,False,task,proj31,dept4,,True,proj31task1propa,request,False
61a3c513-96ef-47af-8686-2755f4ddd032,proj42,proj42,accountant,,proj31task1propa,dept4,False,schedule,proj42,dept4,,True,proj31task2a,read,False
3524f50f-a411-44d9-8123-ae3ce8e48921,proj42,,accountant,,proj31task2a,,True,budget,proj31,dept3,2,False,proj41task1a,approve,False
3340fdda-dea2-4811-ab08-6028c623c4ea,proj32,,accountant,2,proj41task1propa,,True,schedule,proj42,dept3,,False,proj22task2propa,setStatus,False
cbf63db5-af62-4d88-b123-690e3b5ee7b9,proj41,proj41,accountant,1,proj41task1propa,dept4,False,budget,proj41,dept4,2,True,proj42task1propa,read,False
6427ced4-0c9a-4aac-9d50-d434f9d01f72,proj32,proj32,accountant,,proj42task1a,,False,budget,proj31,dept4,,False,proj41task2a,setSchedule,False
8b2d9d40-2c8b-4662-996c-59ca682de47c,proj41,,accountant,1,proj31task2a,dept3,False,task,proj41,dept3,,False,proj42task1propa,approve,False
a28ff864-ed2c-4243-90f5-e1c2e2b2925d,proj31,,accountant,1,proj22task2propa,,True,task,proj41,dept3,2,True,proj31task1a,setSchedule,False
67c7636a-53b9-479b-8b2d-270a4266cd22,proj32,proj32,accountant,2,proj42task1propa,dept3,True,budget,proj42,dept4,2,False,proj41task1propa,setStatus,False
960af4b5-b11d-43f7-adf9-cb9c4d0f4891,proj41,,accountant,,proj42task1a,dept4,False,schedule,proj31,dept3,1,False,proj32task1propa,approve,False
7c60e7d7-0930-4e39-9bce-1cadb19a6aff,proj41,,accountant,1,proj41task2propa,,True,schedule,proj41,dept4,1,False,proj41task1a,write,False
fb10e6b5-8384-4b2a-8d73-0d924e2d315d,proj42,proj42,accountant,,proj42task1propa,dept4,False,task,proj32,dept3,,False,proj31task1propa,setSchedule,False
cd3391f7-e28e-4d82-9f2d-7298496eb528,proj32,proj32,accountant,2,proj22task2propa,,True,budget,proj41,dept3,,False,proj31task2a,request,False
013a0c72-c0be-4bf1-95a2-8219bc335e7b,proj32,proj32,accountant,1,proj42task1propa,,True,budget,proj31,dept4,2,False,proj41task2a,read,False
17b0f5cc-640f-420a-a229-bfe651f440e5,proj42,proj42,accountant,1,proj32task2a,,False,budget,proj32,dept3,1,False,proj32task1a,setSchedule,False
f499e716-61c8-42c1-817e-88cbf6de4196,proj42,,accountant,,proj32task1propa,dept3,True,budget,proj42,dept4,,True,proj31task2a,approve,False
f44ea1f9-524f-4a17-8423-8ece31acc9e9,proj42,proj42,accountant,,proj31task1a,,True,schedule,proj32,dept4,,False,proj32task2propa,setSchedule,False
cb353385-de14-454c-8961-e59679e2a6d5,proj41,,accountant,,proj32task2a,,False,task,proj41,dept4,1,False,proj32task2propa,request,False
8a43017e-9f22-441d-829a-903db160b44d,proj32,proj32,accountant,,proj42task1a,dept3,False,schedule,proj42,dept4,2,False,proj31task1propa,setCost,False
f7ebfe31-90b9-4386-b099-9dd153bf52d3,proj32,proj32,accountant,2,proj22task2propa,,True,budget,proj41,dept3,1,True,proj32task1a,write,False
545e00ee-82ac-4fe8-8a33-5d67276fdeb6,proj32,,accountant,,proj31task1a,dept4,True,task,proj42,dept4,,True,proj31task2propa,write,False
7cf683f4-1a50-49cc-9424-4c32fc2fa8c1,proj32,proj32,accountant,1,proj32task1a,,False,budget,proj32,dept3,1,True,proj32task2propa,write,False
6317738a-78fb-4774-926d-c0a7bffb8f34,proj31,proj31,accountant,2,proj32task1propa,dept4,True,budget,proj31,dept3,1,True,proj32task2propa,setStatus,False
4fc83b53-0263-474a-bccb-b1c18bdf3276,proj32,proj32,accountant,,proj42task1a,,True,task,proj31,dept3,1,True,proj31task2a,setCost,False
a9e7d1e2-d86d-4865-b8b1-ab9a01631bdc,proj42,,accountant,2,proj32task1a,,False,schedule,proj42,dept3,1,True,proj32task2propa,setStatus,False
a8748d50-71b0-45d2-a31a-3a518e469dca,proj41,,accountant,,proj32task1propa,dept4,True,schedule,proj42,dept3,2,True,proj42task1propa,setSchedule,False
40963589-37c1-4b74-a6ad-889b4a8ec65e,proj31,,accountant,,proj32task1propa,,True,budget,proj41,dept3,1,True,proj31task1propa,setStatus,False
ed3153ae-68f8-42fc-829b-b540d322c9d9,proj42,proj42,accountant,1,proj31task1a,,False,task,proj41,dept3,1,True,proj32task1propa,setCost,False
943b1133-2ba4-402c-a89e-228d0ba84389,proj32,proj32,accountant,,proj31task1propa,,False,schedule,proj31,dept3,2,True,proj41task2a,approve,False
6873ffb7-d457-4a5c-a4b3-7c4a1f90fafd,proj32,proj32,accountant,2,proj42task1a,,False,budget,proj32,dept3,1,False,proj32task2a,setStatus,False
fe4fd647-9779-4890-b384-c2f76531365f,proj41,,accountant,,proj42task1propa,,True,budget,proj41,dept4,,False,proj32task1propa,approve,False
ff5c4390-c334-41ba-88b3-cb0be75435fb,proj31,,accountant,,proj32task2a,,True,schedule,proj42,dept4,2,False,proj31task2propa,setStatus,False
49d0fd12-c27e-4399-8df6-226fc3cf3f92,proj41,proj41,accountant,1,proj41task1a,,True,budget,proj32,dept4,2,False,proj41task2propa,request,False
