user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
f6443f1d-9457-4e03-a004-9490f0c73248,proj73,proj73,planner,1,proj73task1propa,dept7,False,task,proj74,dept7,2,True,proj71task2a,setStatus,False
9cd15391-b7e3-4a6c-b6dc-84ccbf14b7c2,proj73,,planner,1,proj72task2propa,,False,task,proj72,dept7,1,True,proj72task1a,setSchedule,False
ede11d03-806a-4e14-a349-743cb61e8b2a,proj73,,planner,2,proj62task1propa,dept8,False,schedule,proj74,dept7,1,False,proj72task2propa,approve,False
9bb9f91f-5b0c-4dae-ab6e-44fc957e2ebb,proj71,,planner,2,proj71task1propa,dept7,False,task,proj73,dept7,,False,proj71task1a,setStatus,False
46d4d30e-9e1f-4d53-a40a-035d6e4a23d1,proj72,,planner,2,proj73task2a,,True,schedule,proj74,dept7,,True,proj71task1a,approve,False
c7730458-9de9-4262-935f-1a72ceefe546,proj72,,planner,,proj71task1a,,False,budget,proj73,dept8,2,False,proj73task1propa,setStatus,False
58290c5c-07d7-4ad0-b4e9-f046b41205d7,proj72,proj72,planner,,proj72task2a,,True,schedule,proj74,dept7,,False,proj72task1a,setSchedule,False
e796448c-8005-496b-aa68-907d057dced2,proj71,proj71,planner,,proj62task1propa,,False,task,proj71,dept8,2,False,proj72task1propa,setStatus,False
c57ca27b-265f-407d-bc9c-8c739278f3bc,proj71,,planner,2,proj72task1propa,dept8,False,task,proj73,dept8,1,True,proj71task2a,write,False
b8ca76fa-e9dd-4a40-ad01-039648fec528,proj73,proj73,planner,1,proj71task2a,,False,schedule,proj74,dept7,2,True,proj72task1propa,request,False
c82c0d24-3650-42c8-9173-d89665499dc9,proj72,proj72,planner,2,proj72task1a,dept7,True,task,proj72,dept8,1,True,proj71task1propa,approve,False
2ffb352d-8f4c-4cbd-97e2-3fc2317be734,proj73,,planner,,proj73task1propa,dept8,True,task,proj71,dept7,2,True,proj62task2a,setStatus,False
